Orthogroup	MFC_MF33_proteins	MHP_MHP682_proteins
OG0000000	WP_308704747.1	WP_371807681.1
OG0000001	WP_258556753.1	WP_258555804.1, WP_258555825.1, WP_258555827.1
OG0000002	WP_160609436.1	WP_160585824.1
OG0000002	WP_160609402.1	WP_160585690.1
OG0000003	WP_258556794.1	WP_160585818.1
OG0000004	WP_220190012.1	WP_160585636.1, WP_160585635.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_160585819.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000011	WP_220190082.1, WP_308704744.1	WP_160585600.1
OG0000011	WP_220190083.1	WP_160585601.1
OG0000013	WP_160609296.1, WP_160609295.1	WP_258555342.1
OG0000013	WP_258556745.1	WP_371807677.1
OG0000014	WP_160609255.1	WP_220191212.1, WP_160585811.1
OG0000016	WP_160609266.1	WP_160585619.1
OG0000017	WP_160609392.1	WP_020835500.1
OG0000017	WP_160609265.1	WP_011206380.1
OG0000018	WP_002557538.1	WP_160585710.1
OG0000019	WP_160609324.1	WP_258555870.1
OG0000020	WP_160609394.1	WP_160585812.1
OG0000020	WP_220190067.1	WP_308507016.1
OG0000022	WP_160609400.1	WP_160585692.1
OG0000023	WP_160581288.1	WP_160585708.1
OG0000024	WP_231237865.1	WP_160585687.1, WP_160585557.1
OG0000025	WP_160609399.1	WP_160585693.1
OG0000026	WP_160581190.1	WP_044284614.1, WP_160585054.1
OG0000027	WP_160593509.1	WP_160585589.1
OG0000028	WP_160609297.1	WP_160585703.1
OG0000029	WP_160609256.1	WP_160585736.1
OG0000030	WP_160609414.1	WP_308507013.1, WP_160584917.1
OG0000031	WP_160609420.1	WP_088172525.1, WP_011284063.1
OG0000032	WP_258556787.1	WP_308507003.1
OG0000039	WP_160609261.1, WP_160609260.1	WP_160585321.1
OG0000040	WP_258556766.1, WP_308704725.1, WP_160580937.1	WP_160585830.1
OG0000042	WP_160609259.1, WP_160609271.1	WP_160585626.1
OG0000043	WP_160581416.1	WP_014579804.1
OG0000045	WP_144245607.1	WP_160585827.1
OG0000048	WP_160609435.1, WP_308704749.1	WP_160585777.1
OG0000049	WP_308704732.1	WP_160585653.1
OG0000050	WP_160609423.1	WP_160585700.1
OG0000051	WP_160583877.1	WP_160585663.1
OG0000052	WP_002557464.1	WP_146379447.1
OG0000053	WP_160609345.1	WP_160585821.1
OG0000054	WP_160609300.1	WP_160585698.1
OG0000056	WP_160609397.1	WP_160585574.1
OG0000057	WP_258556751.1	WP_258555814.1
OG0000062	WP_160581109.1	WP_011206522.1
OG0000063	WP_160609377.1	WP_160585761.1
OG0000064	WP_160581114.1	WP_011290440.1
OG0000065	WP_160583941.1	WP_225972975.1
OG0000066	WP_160609349.1	WP_011205965.1
OG0000068	WP_002557593.1	WP_011206103.1
OG0000069	WP_002557626.1	WP_011284269.1
OG0000070	WP_160609299.1	WP_146379657.1
OG0000071	WP_160609337.1	WP_160585831.1
OG0000072	WP_160609338.1	WP_371807683.1, WP_371807682.1
OG0000073	WP_160609366.1	WP_371807678.1
OG0000074	WP_308704727.1	WP_044284596.1
OG0000075	WP_160581028.1	WP_014579568.1
OG0000076	WP_002557921.1	WP_160584756.1
OG0000077	WP_160609246.1	WP_160585806.1
OG0000078	WP_160609283.1	WP_160585694.1
OG0000079	WP_160609290.1	WP_011206305.1
OG0000080	WP_196792423.1	WP_179695988.1
OG0000081	WP_308704724.1	WP_160585534.1
OG0000082	WP_220189984.1	WP_371807680.1
OG0000083	WP_160581484.1	WP_160585593.1
OG0000084	WP_002557451.1	WP_011206222.1
OG0000085	WP_002557452.1	WP_011206223.1
OG0000086	WP_160609432.1	WP_160585778.1
OG0000087	WP_236681783.1	WP_044272477.1
OG0000088	WP_160581443.1	WP_044272480.1
OG0000089	WP_002557461.1	WP_011206231.1
OG0000090	WP_002557465.1	WP_160585750.1
OG0000091	WP_160609387.1	WP_020835487.1
OG0000092	WP_160609385.1	WP_011205847.1
OG0000093	WP_002557472.1	WP_020835484.1
OG0000094	WP_160581096.1	WP_014579519.1
OG0000095	WP_160609382.1	WP_160585829.1
OG0000096	WP_002557480.1	WP_011206529.1
OG0000097	WP_002557483.1	WP_258555535.1
OG0000098	WP_160609378.1	WP_160585760.1
OG0000099	WP_160609396.1	WP_308507019.1
OG0000100	WP_160609398.1	WP_160585575.1
OG0000101	WP_002557497.1	WP_011206510.1
OG0000102	WP_002557499.1	WP_160585050.1
OG0000103	WP_160609358.1	WP_160585769.1
OG0000104	WP_002557510.1	WP_011206239.1
OG0000105	WP_002557514.1	WP_135618882.1
