Orthogroup	MHP_Ue273_proteins	MHP_1257_proteins
OG0000000	WP_347952487.1	WP_348571665.1
OG0000000	WP_347952213.1, WP_347952221.1	WP_348571641.1
OG0000000	WP_347952456.1, WP_347952486.1	WP_348572099.1
OG0000001	WP_347952260.1	WP_011206342.1
OG0000002	WP_020835748.1	WP_348571662.1
OG0000002	WP_347952457.1	WP_348572102.1
OG0000003	WP_347952470.1	WP_348572110.1
OG0000003	WP_347952393.1	WP_348571976.1
OG0000003	WP_192894277.1	WP_348572120.1
OG0000004	WP_347952295.1, WP_347952293.1, WP_347952296.1, WP_347952281.1, WP_347952279.1, WP_347952275.1, WP_347952277.1	WP_348571826.1
OG0000005	WP_347952342.1	WP_146379449.1
OG0000005	WP_347952345.1	WP_348571918.1
OG0000005	WP_347952343.1	WP_160615842.1
OG0000005	WP_146379451.1	WP_348571917.1
OG0000005	WP_347952346.1	WP_348571920.1
OG0000006	WP_347952241.1	WP_348571744.1
OG0000006	WP_347952227.1	WP_348571703.1
OG0000007	WP_135618608.1	WP_348571975.1
OG0000008	WP_347952220.1	WP_179696025.1
OG0000008	WP_347952490.1	WP_348572153.1
OG0000009	WP_041361566.1	WP_041361566.1
OG0000009	WP_041361519.1	WP_041361519.1
OG0000009	WP_011290021.1	WP_011290021.1
OG0000010	WP_347952475.1	WP_348572122.1
OG0000011	WP_347952482.1	WP_348572129.1
OG0000011	WP_347952481.1	WP_348572128.1
OG0000012	WP_158632000.1	WP_348572023.1
OG0000013	WP_347952233.1	WP_348571721.1
OG0000013	WP_347952491.1	WP_348572166.1
OG0000014	WP_347952397.1	WP_348572005.1
OG0000014	WP_347952382.1	WP_348572003.1
OG0000016	WP_347952265.1	WP_020835836.1
OG0000016	WP_347952351.1	WP_160585547.1
OG0000017	WP_243215933.1	WP_243215933.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_347952278.1, WP_347952280.1, WP_347952282.1	WP_348571828.1
OG0000020	WP_347952330.1	WP_348571893.1
OG0000020	WP_347952331.1	WP_348571894.1
OG0000021	WP_347952374.1	WP_348571955.1
OG0000022	WP_347952446.1	WP_348572088.1
OG0000022	WP_347952455.1	WP_348572098.1
OG0000023	WP_347952417.1	WP_348572055.1
OG0000024	WP_160585687.1	WP_160585259.1
OG0000024	WP_347952412.1	WP_348572044.1
OG0000025	WP_347952447.1	WP_348572089.1
OG0000025	WP_347952453.1	WP_348572096.1
OG0000026	WP_347952418.1	WP_192894288.1
OG0000026	WP_011206159.1	WP_160606777.1
OG0000027	WP_347952308.1	WP_020835902.1
OG0000027	WP_160585589.1	WP_348571864.1
OG0000028	WP_347952235.1	WP_348571725.1
OG0000029	WP_347952396.1	WP_348571967.1
OG0000029	WP_347952383.1	WP_348572001.1
OG0000030	WP_160584917.1	WP_020835904.1
OG0000031	WP_011206142.1	WP_348572080.1
OG0000032	WP_347952437.1	WP_135618726.1
OG0000032	WP_347952310.1	WP_348571862.1
OG0000033	WP_347952234.1	WP_348571723.1
OG0000035	WP_347952292.1	WP_348571840.1
OG0000036	WP_347952344.1	WP_020835495.1
OG0000036	WP_347952347.1	WP_348571921.1
OG0000037	WP_347952485.1	WP_348572141.1
OG0000038	WP_347952469.1	WP_348572108.1
OG0000038	WP_347952461.1	WP_348572103.1
OG0000039	WP_347952442.1, WP_347952441.1	WP_348572083.1
OG0000040	WP_347952301.1	WP_348571851.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000042	WP_347952269.1	WP_348571819.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_160585827.1	WP_348572084.1
OG0000046	WP_347952303.1	WP_348571853.1
OG0000048	WP_347952212.1	WP_348571637.1
OG0000049	WP_020835860.1	WP_020835860.1
OG0000050	WP_347952238.1	WP_348571733.1
OG0000051	WP_347952252.1	WP_348571782.1
OG0000052	WP_011289937.1	WP_011289937.1
OG0000053	WP_347952425.1	WP_348572063.1
OG0000054	WP_347952240.1	WP_044272538.1
OG0000055	WP_146379455.1	WP_348571923.1
OG0000056	WP_347952327.1	WP_348571887.1
OG0000057	WP_347952268.1	WP_348571813.1
OG0000060	WP_020835489.1	WP_020835489.1
OG0000061	WP_135618818.1	WP_135618818.1
OG0000062	WP_160588098.1	WP_011206522.1
OG0000063	WP_160606495.1	WP_348571897.1
OG0000064	WP_347952332.1	WP_348571896.1
OG0000065	WP_347952215.1	WP_225972975.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_347952376.1	WP_348571959.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_347952299.1	WP_348571847.1
OG0000072	WP_347952300.1	WP_348571849.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_179221041.1	WP_348571983.1
OG0000075	WP_135618517.1	WP_014579568.1
OG0000076	WP_160607908.1	WP_146379475.1
OG0000077	WP_347952370.1	WP_014579581.1
OG0000078	WP_347952448.1	WP_348572093.1
OG0000079	WP_146379663.1	WP_146379663.1
OG0000080	WP_179695988.1	WP_011206314.1
OG0000081	WP_347952367.1	WP_348571946.1
OG0000082	WP_347952488.1	WP_348571719.1
OG0000083	WP_011206216.1	WP_160590043.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_011206223.1
OG0000086	WP_347952209.1	WP_348571632.1
OG0000087	WP_020835732.1	WP_011206228.1
OG0000088	WP_020835733.1	WP_146379590.1
OG0000089	WP_347952211.1	WP_011206231.1
OG0000090	WP_020835488.1	WP_094521535.1
OG0000091	WP_020835487.1	WP_011205850.1
