Assembly	ragtag.patch
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	871408
Total length (>= 1000 bp)	868176
Total length (>= 5000 bp)	862711
Total length (>= 10000 bp)	862711
Total length (>= 25000 bp)	862711
Total length (>= 50000 bp)	862711
# contigs	6
Largest contig	862711
Total length	869512
GC (%)	28.59
N50	862711
N90	862711
auN	855976.0
L50	1
L90	1
# N's per 100 kbp	471.18
