#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQRH01000009.1:23983-25722|- -            580 539at2085            -            541  1.9e-246  814.3  14.1   1   1  1.2e-248  2.2e-246  814.1  14.1     1   541     8   574     8   574 0.97 NZ_QQRH01000009.1_23 # 23983 # 25722 # -1 # ID=64_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.297
NZ_QQRH01000002.1:42643-44010|- -            456 539at2085            -            541   4.2e-10   34.2   1.0   1   3      0.16        28   -1.5   0.0   197   228    56    87    39   101 0.72 NZ_QQRH01000002.1_33 # 42643 # 44010 # -1 # ID=22_33;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_QQRH01000002.1:42643-44010|- -            456 539at2085            -            541   4.2e-10   34.2   1.0   2   3   1.3e-08   2.3e-06   21.9   0.1   235   346   157   268   150   272 0.88 NZ_QQRH01000002.1_33 # 42643 # 44010 # -1 # ID=22_33;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_QQRH01000002.1:42643-44010|- -            456 539at2085            -            541   4.2e-10   34.2   1.0   3   3   5.9e-05      0.01    9.8   0.1   451   540   354   449   348   450 0.83 NZ_QQRH01000002.1_33 # 42643 # 44010 # -1 # ID=22_33;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_QQRH01000018.1:12755-14194|- -            480 539at2085            -            541   1.7e-07   25.6   6.6   1   3     0.014       2.4    2.0   0.0   186   317    43   184    34   196 0.65 NZ_QQRH01000018.1_13 # 12755 # 14194 # -1 # ID=9_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_QQRH01000018.1:12755-14194|- -            480 539at2085            -            541   1.7e-07   25.6   6.6   2   3   1.6e-09   2.7e-07   24.9   2.3   408   525   237   366   226   382 0.78 NZ_QQRH01000018.1_13 # 12755 # 14194 # -1 # ID=9_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_QQRH01000018.1:12755-14194|- -            480 539at2085            -            541   1.7e-07   25.6   6.6   3   3      0.12        21   -1.1   0.1    29   128   366   470   360   473 0.52 NZ_QQRH01000018.1_13 # 12755 # 14194 # -1 # ID=9_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
NZ_QQRH01000012.1:11402-12643|+ -            414 539at2085            -            541   0.00012   16.2   0.4   1   3      0.17        30   -1.6   0.2    99   142     9    52     3    89 0.64 NZ_QQRH01000012.1_7 # 11402 # 12643 # 1 # ID=3_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
NZ_QQRH01000012.1:11402-12643|+ -            414 539at2085            -            541   0.00012   16.2   0.4   2   3   2.1e-05    0.0037   11.3   0.0   153   362   133   347   128   353 0.80 NZ_QQRH01000012.1_7 # 11402 # 12643 # 1 # ID=3_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
NZ_QQRH01000012.1:11402-12643|+ -            414 539at2085            -            541   0.00012   16.2   0.4   3   3     0.014       2.4    2.0   0.0   411   458   361   406   354   409 0.76 NZ_QQRH01000012.1_7 # 11402 # 12643 # 1 # ID=3_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.318
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP696/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP696/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP696/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP696/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP696/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP696/Use
# Date:            Sun Dec  1 19:15:42 2024
# [ok]
