#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP098238.1:110956-111747|+ -            264 1679at2085           -            265   5.2e-79  260.6  12.4   1   1   5.5e-81   5.7e-79  260.5  12.4    12   256     1   255     1   263 0.90 NZ_CP098238.1_93 # 110956 # 111747 # 1 # ID=1_93;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.264
NZ_CP098238.1:91074-92375|+   -            434 1679at2085           -            265   2.1e-23   78.3  12.5   1   3   1.4e-11   1.4e-09   33.0   0.2   123   177     6    64     1    77 0.80 NZ_CP098238.1_76 # 91074 # 92375 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP098238.1:91074-92375|+   -            434 1679at2085           -            265   2.1e-23   78.3  12.5   2   3   7.5e-13   7.8e-11   37.1   0.9    22   173    78   228    70   239 0.76 NZ_CP098238.1_76 # 91074 # 92375 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP098238.1:91074-92375|+   -            434 1679at2085           -            265   2.1e-23   78.3  12.5   3   3   5.4e-06   0.00056   14.7   0.9    24   139   251   380   245   386 0.62 NZ_CP098238.1_76 # 91074 # 92375 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP098238.1:596538-597134|- -            199 1679at2085           -            265   5.4e-13   44.2   5.5   1   2   7.4e-13   7.7e-11   37.1   0.1   123   172    41    91    32   109 0.90 NZ_CP098238.1_495 # 596538 # 597134 # -1 # ID=1_495;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
NZ_CP098238.1:596538-597134|- -            199 1679at2085           -            265   5.4e-13   44.2   5.5   2   2   0.00031     0.032    8.9   1.9    24    97   117   195   102   198 0.77 NZ_CP098238.1_495 # 596538 # 597134 # -1 # ID=1_495;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
NZ_CP098238.1:237868-239196|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   1   3      0.93        97   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_CP098238.1_219 # 237868 # 239196 # -1 # ID=1_219;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP098238.1:237868-239196|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   2   3   8.9e-14   9.3e-12   40.2   0.2    97   174   194   275   184   287 0.78 NZ_CP098238.1_219 # 237868 # 239196 # -1 # ID=1_219;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP098238.1:237868-239196|- -            443 1679at2085           -            265   1.6e-12   42.6  16.2   3   3   0.00027     0.028    9.1   6.5    21   104   291   366   283   386 0.70 NZ_CP098238.1_219 # 237868 # 239196 # -1 # ID=1_219;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP098238.1:170147-171028|+ -            294 1679at2085           -            265   1.7e-10   36.0   9.5   1   2   1.8e-11   1.9e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_CP098238.1_155 # 170147 # 171028 # 1 # ID=1_155;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
NZ_CP098238.1:170147-171028|+ -            294 1679at2085           -            265   1.7e-10   36.0   9.5   2   2    0.0013      0.14    6.8   4.0    47   103   108   169    77   190 0.77 NZ_CP098238.1_155 # 170147 # 171028 # 1 # ID=1_155;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
NZ_CP098238.1:53655-54914|+   -            420 1679at2085           -            265   1.1e-05   20.3  11.6   1   2   4.4e-07   4.5e-05   18.2   0.1   124   175   161   215   145   236 0.75 NZ_CP098238.1_45 # 53655 # 54914 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.307
NZ_CP098238.1:53655-54914|+   -            420 1679at2085           -            265   1.1e-05   20.3  11.6   2   2     0.017       1.8    3.2   8.1    39   121   257   343   252   346 0.85 NZ_CP098238.1_45 # 53655 # 54914 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.307
NZ_CP098238.1:349511-350488|- -            326 1679at2085           -            265   1.2e-05   20.1   0.1   1   1   2.5e-07   2.6e-05   19.0   0.1   119   155     2    37     1    47 0.85 NZ_CP098238.1_306 # 349511 # 350488 # -1 # ID=1_306;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/153B/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/153B/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/153B/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/153B/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/153B/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/153B/Use
# Date:            Sun Dec  1 19:01:14 2024
# [ok]
