Orthogroup	MHP_Ue273_genes	MHP_153B_genes
OG0000000	VQY17_RS02200	NB625_RS02335
OG0000001	VQY17_RS01300	NB625_RS01280
OG0000001	VQY17_RS02775	NB625_RS02955
OG0000001	VQY17_RS02730	NB625_RS02910
OG0000002	VQY17_RS02210	NB625_RS02350
OG0000002	VQY17_RS02205	NB625_RS02345
OG0000002	VQY17_RS01780	NB625_RS01730
OG0000003	VQY17_RS01865	NB625_RS01750, NB625_RS00510
OG0000003	VQY17_RS00940	NB625_RS02310
OG0000003	VQY17_RS01910	NB625_RS01830
OG0000004	VQY17_RS03185	NB625_RS03355
OG0000004	VQY17_RS03190	NB625_RS03360
OG0000004	VQY17_RS03025, VQY17_RS03005	NB625_RS03170
OG0000004	VQY17_RS02985	NB625_RS03190
OG0000005	VQY17_RS00100	NB625_RS00100
OG0000005	VQY17_RS00120	NB625_RS00125
OG0000005	VQY17_RS00110	NB625_RS00105
OG0000006	VQY17_RS02495	NB625_RS02650
OG0000006	VQY17_RS02360	NB625_RS02500
OG0000007	VQY17_RS00945	NB625_RS02315
OG0000008	VQY17_RS02320	NB625_RS02460
OG0000008	VQY17_RS02500	NB625_RS02660
OG0000009	VQY17_RS00665	NB625_RS01020
OG0000009	VQY17_RS00085	NB625_RS00085
OG0000009	VQY17_RS00680	NB625_RS01005
OG0000010	VQY17_RS01920, VQY17_RS01580, VQY17_RS01585, VQY17_RS00095	NB625_RS01850
OG0000011	VQY17_RS02025	NB625_RS01950
OG0000012	VQY17_RS01935	NB625_RS01865
OG0000013	VQY17_RS02405	NB625_RS02545
OG0000013	VQY17_RS00185	NB625_RS00190
OG0000014	VQY17_RS01120	NB625_RS01095
OG0000014	VQY17_RS00605	NB625_RS01085
OG0000015	VQY17_RS01665	NB625_RS02065
OG0000016	VQY17_RS02820	NB625_RS02995
OG0000016	VQY17_RS00170	NB625_RS00175
OG0000017	VQY17_RS00155	NB625_RS00160
OG0000017	VQY17_RS02830	NB625_RS03005
OG0000019	VQY17_RS03000, VQY17_RS03010	NB625_RS03185
OG0000019	VQY17_RS03030	NB625_RS03175
OG0000019	VQY17_RS02990	NB625_RS03195
OG0000020	VQY17_RS03555	NB625_RS03695
OG0000022	VQY17_RS01695	NB625_RS01665
OG0000022	VQY17_RS01765	NB625_RS01720
OG0000023	VQY17_RS01335	NB625_RS01320
OG0000024	VQY17_RS02725	NB625_RS02905
OG0000024	VQY17_RS01295	NB625_RS01275
OG0000025	VQY17_RS01700	NB625_RS01670
OG0000025	VQY17_RS01755	NB625_RS01715
OG0000026	VQY17_RS01380	NB625_RS01365
OG0000026	VQY17_RS01735	NB625_RS01695
OG0000027	VQY17_RS03330	NB625_RS03505
OG0000028	VQY17_RS02415	NB625_RS02565
OG0000029	VQY17_RS01115	NB625_RS00600
OG0000029	VQY17_RS00610	NB625_RS01080
OG0000031	VQY17_RS01635	NB625_RS01605
OG0000032	VQY17_RS01610	NB625_RS01585
OG0000033	VQY17_RS02410	NB625_RS02555
OG0000035	VQY17_RS03200	NB625_RS03365
OG0000036	VQY17_RS00115	NB625_RS00110
OG0000036	VQY17_RS00130	NB625_RS00130
OG0000037	VQY17_RS01620	NB625_RS01595
OG0000038	VQY17_RS01860	NB625_RS01745
OG0000038	VQY17_RS00500	NB625_RS00500
OG0000039	VQY17_RS01650, VQY17_RS01645	NB625_RS01615
OG0000040	VQY17_RS03270	NB625_RS03440
OG0000041	VQY17_RS00670	NB625_RS01015
OG0000042	VQY17_RS02925	NB625_RS03095
