Orthogroup	MHP_Ue273_genes	MFC_MF33_genes
OG0000000	VQY17_RS02200	DR085_RS03035
OG0000001	VQY17_RS01300, VQY17_RS02775, VQY17_RS02730	DR085_RS03235
OG0000002	VQY17_RS01780	DR085_RS03805
OG0000004	VQY17_RS03185, VQY17_RS03175, VQY17_RS03190, VQY17_RS03025, VQY17_RS03005, VQY17_RS02985, VQY17_RS02995	DR085_RS01395
OG0000011	VQY17_RS02025	DR085_RS03875, DR085_RS02795
OG0000011	VQY17_RS02020	DR085_RS02805
OG0000013	VQY17_RS02405	DR085_RS00915, DR085_RS00910
OG0000013	VQY17_RS00185	DR085_RS03115
OG0000014	VQY17_RS01120, VQY17_RS00605	DR085_RS03650
OG0000016	VQY17_RS02820	DR085_RS00605
OG0000017	VQY17_RS00155	DR085_RS02380
OG0000017	VQY17_RS02830	DR085_RS00595
OG0000019	VQY17_RS03000, VQY17_RS03010	DR085_RS03320
OG0000020	VQY17_RS03550	DR085_RS03795
OG0000020	VQY17_RS03555	DR085_RS03790
OG0000022	VQY17_RS01765	DR085_RS03800
OG0000024	VQY17_RS02725, VQY17_RS01295	DR085_RS00665
OG0000025	VQY17_RS01755	DR085_RS02460
OG0000026	VQY17_RS01380, VQY17_RS01735	DR085_RS01755
OG0000027	VQY17_RS03350	DR085_RS03845
OG0000029	VQY17_RS01115, VQY17_RS00610	DR085_RS00425
OG0000030	VQY17_RS03345	DR085_RS03850
OG0000031	VQY17_RS01635	DR085_RS02695
OG0000032	VQY17_RS03340	DR085_RS03940
OG0000039	VQY17_RS01650, VQY17_RS01645	DR085_RS00495, DR085_RS00485
OG0000040	VQY17_RS03270	DR085_RS03110, DR085_RS00715, DR085_RS00720
OG0000042	VQY17_RS02925, VQY17_RS02920	DR085_RS00480, DR085_RS00645
OG0000043	VQY17_RS01990	DR085_RS02670
OG0000045	VQY17_RS01655	DR085_RS00505
OG0000048	VQY17_RS02180	DR085_RS02880, DR085_RS03055
