Orthogroup	MHP_Ue273_genes	MHP_7448_genes
OG0000000	VQY17_RS02200	MHP7448_RS02135
OG0000000	VQY17_RS01770	MHP7448_RS01735
OG0000000	VQY17_RS01775	MHP7448_RS01740
OG0000001	VQY17_RS02775	MHP7448_RS02820
OG0000001	VQY17_RS02730	MHP7448_RS04045
OG0000002	VQY17_RS02210	MHP7448_RS03995
OG0000002	VQY17_RS02205	MHP7448_RS03900
OG0000002	VQY17_RS01780	MHP7448_RS01745
OG0000003	VQY17_RS01865	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505
OG0000003	VQY17_RS00940, VQY17_RS01910	MHP7448_RS03870
OG0000004	VQY17_RS03185	MHP7448_RS03230
OG0000004	VQY17_RS03190	MHP7448_RS03235
OG0000004	VQY17_RS02985	MHP7448_RS03055
OG0000004	VQY17_RS02995	MHP7448_RS03065
OG0000005	VQY17_RS00100	MHP7448_RS00100
OG0000005	VQY17_RS00120	MHP7448_RS00120
OG0000005	VQY17_RS00105	MHP7448_RS00105
OG0000005	VQY17_RS00110	MHP7448_RS00110
OG0000005	VQY17_RS00125	MHP7448_RS00125
OG0000006	VQY17_RS02495	MHP7448_RS04025
OG0000008	VQY17_RS02320	MHP7448_RS02240
OG0000008	VQY17_RS02500	MHP7448_RS04030
OG0000009	VQY17_RS00665	MHP7448_RS00675
OG0000009	VQY17_RS00085	MHP7448_RS00085
OG0000009	VQY17_RS00680	MHP7448_RS00690
OG0000010	VQY17_RS01920	MHP7448_RS01885
OG0000010	VQY17_RS00095	MHP7448_RS00095
OG0000011	VQY17_RS02025	MHP7448_RS01970
OG0000011	VQY17_RS02020	MHP7448_RS01965
OG0000012	VQY17_RS02130, VQY17_RS02980, VQY17_RS01725	MHP7448_RS01780, MHP7448_RS03630
OG0000012	VQY17_RS01805	MHP7448_RS01190
OG0000012	VQY17_RS01935	MHP7448_RS03880
OG0000013	VQY17_RS02405	MHP7448_RS02430
OG0000013	VQY17_RS00185	MHP7448_RS03945
OG0000014	VQY17_RS01120	MHP7448_RS01090
OG0000014	VQY17_RS00605	MHP7448_RS00605
OG0000016	VQY17_RS02820	MHP7448_RS02865
OG0000016	VQY17_RS00170	MHP7448_RS00170
OG0000017	VQY17_RS00155	MHP7448_RS00155
OG0000017	VQY17_RS02830	MHP7448_RS02875
OG0000019	VQY17_RS03000, VQY17_RS03010, VQY17_RS03030	MHP7448_RS03045
OG0000019	VQY17_RS02990	MHP7448_RS03040
OG0000020	VQY17_RS03550	MHP7448_RS03580
OG0000020	VQY17_RS03555	MHP7448_RS03585
OG0000021	VQY17_RS00510	MHP7448_RS03950
OG0000022	VQY17_RS01695	MHP7448_RS01680
OG0000022	VQY17_RS01765	MHP7448_RS01730
OG0000024	VQY17_RS02725	MHP7448_RS02765
OG0000024	VQY17_RS01295	MHP7448_RS01290
OG0000025	VQY17_RS01700	MHP7448_RS01685
OG0000025	VQY17_RS01755	MHP7448_RS01725
OG0000026	VQY17_RS01380	MHP7448_RS01380
OG0000026	VQY17_RS01735	MHP7448_RS01705
OG0000027	VQY17_RS03330	MHP7448_RS03845
OG0000027	VQY17_RS03350	MHP7448_RS03390
OG0000028	VQY17_RS02415	MHP7448_RS02440
OG0000029	VQY17_RS01115	MHP7448_RS01085
OG0000029	VQY17_RS00610	MHP7448_RS00610
OG0000030	VQY17_RS03345	MHP7448_RS03385
OG0000032	VQY17_RS01610	MHP7448_RS01595
OG0000032	VQY17_RS03340	MHP7448_RS03380
OG0000033	VQY17_RS02410	MHP7448_RS02435
OG0000035	VQY17_RS03200	MHP7448_RS03240
OG0000035	VQY17_RS03170	MHP7448_RS03225
OG0000036	VQY17_RS00115	MHP7448_RS00115
OG0000036	VQY17_RS00130	MHP7448_RS00130
OG0000037	VQY17_RS01620	MHP7448_RS03970
OG0000038	VQY17_RS01860	MHP7448_RS01825
OG0000038	VQY17_RS00500	MHP7448_RS00500
OG0000039	VQY17_RS01650, VQY17_RS01645	MHP7448_RS01635
OG0000040	VQY17_RS03270	MHP7448_RS03315
OG0000041	VQY17_RS00670	MHP7448_RS00680
OG0000042	VQY17_RS02925	MHP7448_RS02965
OG0000043	VQY17_RS01990	MHP7448_RS01935
OG0000043	VQY17_RS01990	MHP7448_RS02315
OG0000044	VQY17_RS01710	MHP7448_RS04120
OG0000045	VQY17_RS01655	MHP7448_RS01640
OG0000046	VQY17_RS03280	MHP7448_RS03325
OG0000047	VQY17_RS01605	MHP7448_RS01590
OG0000048	VQY17_RS02180	MHP7448_RS02115
OG0000049	VQY17_RS03040	MHP7448_RS03085
OG0000050	VQY17_RS02445	MHP7448_RS02470
OG0000051	VQY17_RS02645	MHP7448_RS02675
OG0000052	VQY17_RS00075	MHP7448_RS00075
OG0000053	VQY17_RS01470	MHP7448_RS01465
OG0000054	VQY17_RS02470	MHP7448_RS02495
OG0000055	VQY17_RS00135	MHP7448_RS00135
OG0000056	VQY17_RS03535	MHP7448_RS03565
OG0000057	VQY17_RS02900, VQY17_RS02905	MHP7448_RS02950
OG0000060	VQY17_RS00080	MHP7448_RS00080
OG0000062	VQY17_RS03585	MHP7448_RS03615
OG0000063	VQY17_RS03580	MHP7448_RS03610
OG0000064	VQY17_RS03570	MHP7448_RS03600
OG0000065	VQY17_RS02255	MHP7448_RS02180
OG0000066	VQY17_RS01370	MHP7448_RS01370
OG0000067	VQY17_RS00525	MHP7448_RS00525
OG0000068	VQY17_RS00645	MHP7448_RS00655
OG0000069	VQY17_RS02795	MHP7448_RS02835
OG0000070	VQY17_RS02475	MHP7448_RS02500
OG0000071	VQY17_RS03260	MHP7448_RS03305
OG0000072	VQY17_RS03265	MHP7448_RS03310
