Orthogroup	MHP_Ue273_genes	MHP_116_genes
OG0000000	VQY17_RS02200	ABJ972_RS02145
OG0000000	VQY17_RS02325	ABJ972_RS02080
OG0000000	VQY17_RS01770, VQY17_RS01775	ABJ972_RS01695
OG0000001	VQY17_RS01300	ABJ972_RS01270
OG0000001	VQY17_RS02730	ABJ972_RS02675
OG0000002	VQY17_RS02210	ABJ972_RS02150
OG0000002	VQY17_RS01780	ABJ972_RS01715
OG0000003	VQY17_RS00505	ABJ972_RS01765, ABJ972_RS00485
OG0000003	VQY17_RS01910	ABJ972_RS01815
OG0000004	VQY17_RS03185	ABJ972_RS03105
OG0000004	VQY17_RS03175	ABJ972_RS03100
OG0000004	VQY17_RS03190	ABJ972_RS03110
OG0000004	VQY17_RS02985	ABJ972_RS02945
OG0000004	VQY17_RS02995	ABJ972_RS02940
OG0000005	VQY17_RS00100	ABJ972_RS00100
OG0000005	VQY17_RS00105	ABJ972_RS00105
OG0000005	VQY17_RS00110, VQY17_RS00125	ABJ972_RS00110
OG0000006	VQY17_RS02495	ABJ972_RS02440
OG0000006	VQY17_RS02360	ABJ972_RS02305
OG0000008	VQY17_RS02320	ABJ972_RS02260
OG0000008	VQY17_RS02500	ABJ972_RS02445
OG0000009	VQY17_RS00665	ABJ972_RS01005
OG0000009	VQY17_RS00085	ABJ972_RS00085
OG0000009	VQY17_RS00680	ABJ972_RS00990
OG0000010	VQY17_RS01920	ABJ972_RS01825
OG0000010	VQY17_RS00095	ABJ972_RS00095
OG0000011	VQY17_RS02025	ABJ972_RS01915
OG0000011	VQY17_RS02020	ABJ972_RS01910
OG0000012	VQY17_RS02130, VQY17_RS02980, VQY17_RS01725	ABJ972_RS02160
OG0000012	VQY17_RS01935	ABJ972_RS01840
OG0000013	VQY17_RS02405	ABJ972_RS02350
OG0000013	VQY17_RS00185	ABJ972_RS00170
OG0000014	VQY17_RS01120	ABJ972_RS01075
OG0000014	VQY17_RS00605	ABJ972_RS01065
OG0000016	VQY17_RS02820	ABJ972_RS02765
OG0000016	VQY17_RS00170	ABJ972_RS00155
OG0000017	VQY17_RS00155	ABJ972_RS00140
OG0000017	VQY17_RS02830	ABJ972_RS02775
OG0000018	VQY17_RS01340	ABJ972_RS01310
OG0000019	VQY17_RS03030	ABJ972_RS02935
OG0000019	VQY17_RS02990	ABJ972_RS02950
OG0000020	VQY17_RS03550	ABJ972_RS03450
OG0000020	VQY17_RS03555	ABJ972_RS03455
OG0000021	VQY17_RS00510	ABJ972_RS00495
OG0000022	VQY17_RS01695	ABJ972_RS01635
OG0000022	VQY17_RS01765	ABJ972_RS01690
OG0000023	VQY17_RS01335	ABJ972_RS01305
OG0000024	VQY17_RS02725	ABJ972_RS02670
OG0000024	VQY17_RS01295	ABJ972_RS01260
OG0000025	VQY17_RS01700	ABJ972_RS01640
OG0000025	VQY17_RS01755	ABJ972_RS01685
OG0000026	VQY17_RS01380	ABJ972_RS01350
OG0000026	VQY17_RS01735	ABJ972_RS01665
OG0000027	VQY17_RS03330	ABJ972_RS03260
OG0000028	VQY17_RS02415	ABJ972_RS02360
OG0000029	VQY17_RS01115	ABJ972_RS00585
OG0000029	VQY17_RS00610	ABJ972_RS01060
OG0000031	VQY17_RS01635	ABJ972_RS01580
OG0000032	VQY17_RS01610	ABJ972_RS01555
OG0000033	VQY17_RS02410	ABJ972_RS02355
OG0000035	VQY17_RS03200	ABJ972_RS03115
OG0000036	VQY17_RS00130	ABJ972_RS00115
OG0000039	VQY17_RS01650, VQY17_RS01645	ABJ972_RS01595
OG0000040	VQY17_RS03270	ABJ972_RS03190
OG0000041	VQY17_RS00670	ABJ972_RS01000
OG0000042	VQY17_RS02925, VQY17_RS02920	ABJ972_RS02860
OG0000043	VQY17_RS01990	ABJ972_RS01880
OG0000044	VQY17_RS01710	ABJ972_RS01650
OG0000045	VQY17_RS01655	ABJ972_RS01600
OG0000046	VQY17_RS03280	ABJ972_RS03200
OG0000048	VQY17_RS02180	ABJ972_RS02065
OG0000049	VQY17_RS03040	ABJ972_RS02960
OG0000050	VQY17_RS02445	ABJ972_RS02390
OG0000051	VQY17_RS02645	ABJ972_RS02590
OG0000052	VQY17_RS00075	ABJ972_RS00075
OG0000053	VQY17_RS01470	ABJ972_RS01435
OG0000054	VQY17_RS02470	ABJ972_RS02415
OG0000055	VQY17_RS00135	ABJ972_RS00120
OG0000056	VQY17_RS03535	ABJ972_RS03435
OG0000057	VQY17_RS02900, VQY17_RS02905	ABJ972_RS02845
OG0000061	VQY17_RS01930	ABJ972_RS01835
OG0000062	VQY17_RS03585	ABJ972_RS03485, ABJ972_RS03515
OG0000063	VQY17_RS03580	ABJ972_RS03510, ABJ972_RS03480
OG0000064	VQY17_RS03570	ABJ972_RS03470
