Orthogroup	MHP_Ue273_genes	MHP_133A_genes
OG0000000	VQY17_RS02200	NB626_RS02350
OG0000000	VQY17_RS02195	NB626_RS01845
OG0000000	VQY17_RS02325	NB626_RS02250
OG0000000	VQY17_RS01770	NB626_RS01835
OG0000000	VQY17_RS01775	NB626_RS01850
OG0000001	VQY17_RS02730	NB626_RS02930
OG0000002	VQY17_RS02210	NB626_RS02360
OG0000002	VQY17_RS01780	NB626_RS01855
OG0000003	VQY17_RS00505	NB626_RS00600
OG0000003	VQY17_RS00940	NB626_RS02325
OG0000003	VQY17_RS01910	NB626_RS01965
OG0000004	VQY17_RS03185	NB626_RS03385
OG0000004	VQY17_RS03190	NB626_RS03390
OG0000004	VQY17_RS03025, VQY17_RS03005	NB626_RS03200
OG0000004	VQY17_RS02985	NB626_RS03220
OG0000005	VQY17_RS00100	NB626_RS00100
OG0000005	VQY17_RS00120	NB626_RS00120
OG0000005	VQY17_RS00105	NB626_RS00110
OG0000005	VQY17_RS00125	NB626_RS00125
OG0000006	VQY17_RS02495	NB626_RS02680, NB626_RS02685
OG0000006	VQY17_RS02360	NB626_RS02520
OG0000007	VQY17_RS00945	NB626_RS02330
OG0000008	VQY17_RS02320	NB626_RS02470
OG0000008	VQY17_RS02500	NB626_RS02690
OG0000009	VQY17_RS00665	NB626_RS00765
OG0000009	VQY17_RS00085	NB626_RS00085
OG0000009	VQY17_RS00680	NB626_RS00780
OG0000010	VQY17_RS01920	NB626_RS01975
OG0000011	VQY17_RS02025	NB626_RS02080
OG0000012	VQY17_RS01935	NB626_RS01990
OG0000013	VQY17_RS02405	NB626_RS02565
OG0000013	VQY17_RS00185	NB626_RS00185
OG0000014	VQY17_RS01120	NB626_RS01210
OG0000014	VQY17_RS00605	NB626_RS00705
OG0000016	VQY17_RS00170	NB626_RS00170
OG0000017	VQY17_RS00155	NB626_RS00155
OG0000017	VQY17_RS02830	NB626_RS03035
OG0000018	VQY17_RS01340	NB626_RS01440
OG0000019	VQY17_RS03000, VQY17_RS03010	NB626_RS03205, NB626_RS03215
OG0000019	VQY17_RS02990	NB626_RS03225
OG0000020	VQY17_RS03555	NB626_RS03760
OG0000022	VQY17_RS01695	NB626_RS01775
OG0000022	VQY17_RS01765	NB626_RS01830
OG0000023	VQY17_RS01335	NB626_RS01435
OG0000024	VQY17_RS02725	NB626_RS02925
OG0000024	VQY17_RS01295	NB626_RS01390
OG0000025	VQY17_RS01700	NB626_RS01780
OG0000025	VQY17_RS01755	NB626_RS01825
OG0000026	VQY17_RS01380	NB626_RS01480
OG0000026	VQY17_RS01735	NB626_RS01805
OG0000027	VQY17_RS03330	NB626_RS03540
OG0000027	VQY17_RS03350	NB626_RS03555
OG0000028	VQY17_RS02415	NB626_RS02595
OG0000029	VQY17_RS01115	NB626_RS01205
OG0000029	VQY17_RS00610	NB626_RS00710
OG0000030	VQY17_RS03345	NB626_RS03550
OG0000031	VQY17_RS01635	NB626_RS01710
OG0000032	VQY17_RS01610	NB626_RS01690
OG0000032	VQY17_RS03340	NB626_RS03545
OG0000033	VQY17_RS02410	NB626_RS02570, NB626_RS02580
OG0000035	VQY17_RS03200	NB626_RS03395
OG0000035	VQY17_RS03170	NB626_RS03380
OG0000036	VQY17_RS00115	NB626_RS00115
OG0000036	VQY17_RS00130	NB626_RS00130
OG0000038	VQY17_RS01810	NB626_RS01885
OG0000039	VQY17_RS01650, VQY17_RS01645	NB626_RS01720
OG0000040	VQY17_RS03270	NB626_RS03470
