Orthogroup	MHP_Ue273_genes	MHP_ES2L_genes
OG0000000	VQY17_RS02325	HZK19_RS03675
OG0000000	VQY17_RS01770	HZK19_RS01690
OG0000000	VQY17_RS01775	HZK19_RS01695
OG0000001	VQY17_RS01300	HZK19_RS03720
OG0000001	VQY17_RS02775	HZK19_RS02765
OG0000001	VQY17_RS02730	HZK19_RS03840
OG0000002	VQY17_RS02205	HZK19_RS02175
OG0000002	VQY17_RS01780	HZK19_RS01705
OG0000003	VQY17_RS01865	HZK19_RS01715
OG0000003	VQY17_RS01910	HZK19_RS01800
OG0000004	VQY17_RS03185	HZK19_RS03240
OG0000004	VQY17_RS03175	HZK19_RS03230
OG0000004	VQY17_RS03025, VQY17_RS03005	HZK19_RS02970
OG0000005	VQY17_RS00100	HZK19_RS00085
OG0000005	VQY17_RS00120	HZK19_RS00105
OG0000005	VQY17_RS00105	HZK19_RS00090
OG0000005	VQY17_RS00110	HZK19_RS00095
OG0000005	VQY17_RS00125	HZK19_RS00110
OG0000006	VQY17_RS02495	HZK19_RS02470
OG0000008	VQY17_RS02320	HZK19_RS03695, HZK19_RS03790
OG0000008	VQY17_RS02500	HZK19_RS03825
OG0000009	VQY17_RS00680	HZK19_RS00655
OG0000010	VQY17_RS01920	HZK19_RS01810
OG0000010	VQY17_RS01580	HZK19_RS03735
OG0000010	VQY17_RS01585	HZK19_RS03740
OG0000011	VQY17_RS02025	HZK19_RS03920
OG0000012	VQY17_RS01935	HZK19_RS01825
OG0000013	VQY17_RS02405	HZK19_RS02370
OG0000013	VQY17_RS00185	HZK19_RS03715
OG0000014	VQY17_RS00605	HZK19_RS00595
OG0000015	VQY17_RS01665	HZK19_RS03870
OG0000016	VQY17_RS02820	HZK19_RS02805
OG0000016	VQY17_RS00170	HZK19_RS00155
OG0000017	VQY17_RS00155	HZK19_RS00140
OG0000017	VQY17_RS02830	HZK19_RS02815
OG0000019	VQY17_RS03030	HZK19_RS03845
OG0000019	VQY17_RS02990	HZK19_RS03850
OG0000020	VQY17_RS03550	HZK19_RS03860
OG0000020	VQY17_RS03555	HZK19_RS03600
OG0000022	VQY17_RS01695	HZK19_RS01625
OG0000022	VQY17_RS01765	HZK19_RS01685
OG0000023	VQY17_RS01335	HZK19_RS01285
OG0000024	VQY17_RS02725	HZK19_RS02710
OG0000024	VQY17_RS01295	HZK19_RS01240
OG0000025	VQY17_RS01700	HZK19_RS01630
OG0000025	VQY17_RS01755	HZK19_RS01680
OG0000026	VQY17_RS01380	HZK19_RS01330
OG0000026	VQY17_RS01735	HZK19_RS01660
OG0000027	VQY17_RS03330	HZK19_RS03390
OG0000027	VQY17_RS03350	HZK19_RS03405
OG0000028	VQY17_RS02415	HZK19_RS02380
OG0000029	VQY17_RS01115	HZK19_RS01065
OG0000029	VQY17_RS00610	HZK19_RS00600
OG0000030	VQY17_RS03345	HZK19_RS03400
OG0000032	VQY17_RS01610	HZK19_RS01545
OG0000032	VQY17_RS03340	HZK19_RS03395
OG0000035	VQY17_RS03200	HZK19_RS03235
OG0000035	VQY17_RS03170	HZK19_RS03225
OG0000036	VQY17_RS00115	HZK19_RS00100
OG0000036	VQY17_RS00130	HZK19_RS03705, HZK19_RS03710
OG0000037	VQY17_RS01620	HZK19_RS01550
OG0000038	VQY17_RS01860, VQY17_RS01810	HZK19_RS01710
OG0000038	VQY17_RS00500	HZK19_RS03945
OG0000039	VQY17_RS01650, VQY17_RS01645	HZK19_RS01580
OG0000040	VQY17_RS03270	HZK19_RS03325
OG0000042	VQY17_RS02925, VQY17_RS02920	HZK19_RS02900
OG0000043	VQY17_RS01990	HZK19_RS01875
OG0000044	VQY17_RS01710	HZK19_RS03955
OG0000045	VQY17_RS01655	HZK19_RS01585
OG0000046	VQY17_RS03280	HZK19_RS03335
OG0000047	VQY17_RS01605	HZK19_RS03090
OG0000048	VQY17_RS02180	HZK19_RS02065
OG0000049	VQY17_RS03040	HZK19_RS02995
OG0000050	VQY17_RS02445	HZK19_RS02415
OG0000051	VQY17_RS02645	HZK19_RS02620
OG0000052	VQY17_RS00075	HZK19_RS00075
OG0000053	VQY17_RS01470	HZK19_RS01415
OG0000054	VQY17_RS02470	HZK19_RS02440
OG0000055	VQY17_RS00135	HZK19_RS00120
OG0000056	VQY17_RS03535	HZK19_RS03580
OG0000057	VQY17_RS02900, VQY17_RS02905	HZK19_RS02885
OG0000060	VQY17_RS00080	HZK19_RS00080
OG0000061	VQY17_RS01930	HZK19_RS01820
OG0000062	VQY17_RS03585	HZK19_RS03630
OG0000063	VQY17_RS03580	HZK19_RS03625
OG0000064	VQY17_RS03570	HZK19_RS03615
OG0000065	VQY17_RS02255	HZK19_RS02220
OG0000066	VQY17_RS01370	HZK19_RS01320
OG0000067	VQY17_RS00525	HZK19_RS00515
OG0000068	VQY17_RS00645	HZK19_RS00635
OG0000069	VQY17_RS02795	HZK19_RS02780
OG0000070	VQY17_RS02475	HZK19_RS02445
OG0000071	VQY17_RS03260	HZK19_RS03315
OG0000072	VQY17_RS03265	HZK19_RS03320
OG0000073	VQY17_RS00705	HZK19_RS00680
OG0000074	VQY17_RS00910	HZK19_RS00875
