Orthogroup	MHP_Ue273_genes	MHP_11_genes
OG0000000	VQY17_RS02200	B5C39_RS02485
OG0000000	VQY17_RS02195, VQY17_RS02325	B5C39_RS03935
OG0000000	VQY17_RS01770	B5C39_RS03750
OG0000000	VQY17_RS01775	B5C39_RS03235
OG0000001	VQY17_RS02775	B5C39_RS03070
OG0000001	VQY17_RS02730	B5C39_RS03020
OG0000002	VQY17_RS02210	B5C39_RS03825
OG0000002	VQY17_RS01780	B5C39_RS03240
OG0000003	VQY17_RS00505	B5C39_RS02395
OG0000003	VQY17_RS01910	B5C39_RS03345
OG0000004	VQY17_RS03185	B5C39_RS00380
OG0000004	VQY17_RS03175	B5C39_RS00390
OG0000005	VQY17_RS00100	B5C39_RS00915
OG0000005	VQY17_RS00120	B5C39_RS00935
OG0000005	VQY17_RS00105	B5C39_RS00920
OG0000005	VQY17_RS00110	B5C39_RS00925
OG0000005	VQY17_RS00125	B5C39_RS00940
OG0000006	VQY17_RS02495	B5C39_RS03845
OG0000008	VQY17_RS02320	B5C39_RS03740, B5C39_RS03830
OG0000008	VQY17_RS02500	B5C39_RS03850
OG0000009	VQY17_RS00085	B5C39_RS00900
OG0000009	VQY17_RS00680	B5C39_RS02225
OG0000010	VQY17_RS01920	B5C39_RS03350
OG0000010	VQY17_RS01580	B5C39_RS01340
OG0000010	VQY17_RS00095	B5C39_RS00910
OG0000011	VQY17_RS02025	B5C39_RS03455
OG0000011	VQY17_RS02020	B5C39_RS03450
OG0000012	VQY17_RS02130, VQY17_RS02980, VQY17_RS01725, VQY17_RS01805, VQY17_RS01935	B5C39_RS01220
OG0000013	VQY17_RS02405	B5C39_RS02685
OG0000013	VQY17_RS00185	B5C39_RS03780
OG0000014	VQY17_RS01120	B5C39_RS01820
OG0000014	VQY17_RS00605	B5C39_RS02290
OG0000015	VQY17_RS01665	B5C39_RS03085, B5C39_RS03915
OG0000016	VQY17_RS02820	B5C39_RS00060
OG0000016	VQY17_RS00170	B5C39_RS00985
OG0000017	VQY17_RS00155	B5C39_RS00970
OG0000017	VQY17_RS02830	B5C39_RS00070
OG0000019	VQY17_RS03000, VQY17_RS03010	B5C39_RS03765
OG0000020	VQY17_RS03550	B5C39_RS00735
OG0000020	VQY17_RS03555	B5C39_RS00740
OG0000022	VQY17_RS01695	B5C39_RS03170
OG0000022	VQY17_RS01765, VQY17_RS01760	B5C39_RS03225
OG0000024	VQY17_RS02725	B5C39_RS03015
OG0000024	VQY17_RS01295	B5C39_RS01625
OG0000025	VQY17_RS01700	B5C39_RS03175
OG0000025	VQY17_RS01755	B5C39_RS03220
OG0000026	VQY17_RS01380	B5C39_RS01535
OG0000026	VQY17_RS01735	B5C39_RS03200
OG0000027	VQY17_RS03330	B5C39_RS00530
OG0000027	VQY17_RS03350	B5C39_RS00545
OG0000029	VQY17_RS01115	B5C39_RS01825
OG0000029	VQY17_RS00610	B5C39_RS02285
OG0000030	VQY17_RS03345	B5C39_RS00540
OG0000031	VQY17_RS01635	B5C39_RS03115
OG0000032	VQY17_RS03340	B5C39_RS03770
OG0000035	VQY17_RS03200	B5C39_RS00395
OG0000035	VQY17_RS03170	B5C39_RS00375
OG0000036	VQY17_RS00115	B5C39_RS00930
OG0000036	VQY17_RS00130	B5C39_RS00945
OG0000038	VQY17_RS01810	B5C39_RS03265
OG0000039	VQY17_RS01650	B5C39_RS03875
OG0000039	VQY17_RS01645	B5C39_RS03130
OG0000040	VQY17_RS03270	B5C39_RS00465
OG0000042	VQY17_RS02925, VQY17_RS02920	B5C39_RS00160
OG0000043	VQY17_RS01990	B5C39_RS03420
OG0000044	VQY17_RS01710	B5C39_RS03955
OG0000045	VQY17_RS01655	B5C39_RS03140
OG0000046	VQY17_RS03280	B5C39_RS00475
OG0000047	VQY17_RS01605	B5C39_RS00010
OG0000048	VQY17_RS02180	B5C39_RS03615
OG0000049	VQY17_RS03040	B5C39_RS00240
OG0000050	VQY17_RS02445	B5C39_RS02725
OG0000051	VQY17_RS02645	B5C39_RS02930
OG0000052	VQY17_RS00075	B5C39_RS00890
OG0000053	VQY17_RS01470	B5C39_RS01450
OG0000054	VQY17_RS02470	B5C39_RS02750
OG0000055	VQY17_RS00135	B5C39_RS00950
OG0000056	VQY17_RS03535	B5C39_RS00720
OG0000057	VQY17_RS02900, VQY17_RS02905	B5C39_RS00145
OG0000061	VQY17_RS01930	B5C39_RS03095
OG0000062	VQY17_RS03585	B5C39_RS00780
OG0000063	VQY17_RS03580	B5C39_RS00775
OG0000064	VQY17_RS03570	B5C39_RS00765
OG0000065	VQY17_RS02255	B5C39_RS02530
OG0000066	VQY17_RS01370	B5C39_RS01545
OG0000067	VQY17_RS00525	B5C39_RS02370
OG0000068	VQY17_RS00645	B5C39_RS02250
OG0000069	VQY17_RS02795	B5C39_RS00035
OG0000070	VQY17_RS02475	B5C39_RS02755
OG0000071	VQY17_RS03260	B5C39_RS00455
OG0000072	VQY17_RS03265	B5C39_RS00460
OG0000073	VQY17_RS00705	B5C39_RS02200
OG0000074	VQY17_RS00910	B5C39_RS02005
OG0000076	VQY17_RS00360	B5C39_RS01185
OG0000077	VQY17_RS00445	B5C39_RS02455
OG0000078	VQY17_RS01715	B5C39_RS03190
OG0000079	VQY17_RS02550	B5C39_RS02835
OG0000080	VQY17_RS02595	B5C39_RS03700
OG0000081	VQY17_RS00340	B5C39_RS01165
OG0000082	VQY17_RS02400	B5C39_RS02680
OG0000083	VQY17_RS02095	B5C39_RS03525
OG0000084	VQY17_RS02125	B5C39_RS03550
OG0000085	VQY17_RS02135	B5C39_RS03555
OG0000086	VQY17_RS02145	B5C39_RS03565
OG0000087	VQY17_RS02160	B5C39_RS03580
OG0000088	VQY17_RS02165	B5C39_RS03585
OG0000089	VQY17_RS02175	B5C39_RS03595
OG0000090	VQY17_RS00070	B5C39_RS00885
OG0000091	VQY17_RS00055	B5C39_RS00870
OG0000092	VQY17_RS00040	B5C39_RS00855
OG0000093	VQY17_RS00035	B5C39_RS00850
OG0000094	VQY17_RS00030	B5C39_RS00845
OG0000095	VQY17_RS00005	B5C39_RS00820
OG0000096	VQY17_RS03620	B5C39_RS00815
OG0000097	VQY17_RS03600	B5C39_RS00795
OG0000098	VQY17_RS03590	B5C39_RS00785
OG0000099	VQY17_RS03540	B5C39_RS00725
OG0000100	VQY17_RS03525	B5C39_RS00710
OG0000101	VQY17_RS03520	B5C39_RS00705
OG0000102	VQY17_RS01750	B5C39_RS03215
OG0000103	VQY17_RS02220	B5C39_RS02495
OG0000104	VQY17_RS02225	B5C39_RS02500
OG0000105	VQY17_RS02240	B5C39_RS02515
OG0000106	VQY17_RS02250	B5C39_RS02525
OG0000107	VQY17_RS02260	B5C39_RS02535
OG0000108	VQY17_RS02265	B5C39_RS02540
OG0000109	VQY17_RS02270	B5C39_RS02545
OG0000110	VQY17_RS02390	B5C39_RS02670
OG0000111	VQY17_RS02385	B5C39_RS02665
OG0000112	VQY17_RS02375	B5C39_RS02655
OG0000113	VQY17_RS02355	B5C39_RS02635
OG0000114	VQY17_RS02345	B5C39_RS02625
OG0000115	VQY17_RS02335	B5C39_RS02610
OG0000116	VQY17_RS01315	B5C39_RS01600
OG0000117	VQY17_RS01320	B5C39_RS01595
OG0000118	VQY17_RS01355	B5C39_RS01560
OG0000119	VQY17_RS01360	B5C39_RS01555
OG0000120	VQY17_RS01375	B5C39_RS01540
OG0000121	VQY17_RS01405	B5C39_RS01515
OG0000122	VQY17_RS01410	B5C39_RS01510
OG0000123	VQY17_RS01430	B5C39_RS01490
OG0000124	VQY17_RS01435	B5C39_RS01485
OG0000125	VQY17_RS01440	B5C39_RS01480
OG0000126	VQY17_RS01455	B5C39_RS01470
OG0000127	VQY17_RS01460	B5C39_RS01460
OG0000128	VQY17_RS01475	B5C39_RS01445
OG0000129	VQY17_RS01480	B5C39_RS01440
OG0000130	VQY17_RS01490	B5C39_RS01430
OG0000131	VQY17_RS01520	B5C39_RS01400
OG0000132	VQY17_RS01535	B5C39_RS01385
OG0000133	VQY17_RS00530	B5C39_RS02365
OG0000134	VQY17_RS00535	B5C39_RS02360
OG0000135	VQY17_RS00550	B5C39_RS02345
OG0000136	VQY17_RS00555	B5C39_RS02340
OG0000137	VQY17_RS00595	B5C39_RS02310
OG0000138	VQY17_RS00620	B5C39_RS02275
OG0000139	VQY17_RS00650	B5C39_RS02245
OG0000140	VQY17_RS00655	B5C39_RS02240
OG0000141	VQY17_RS02915	B5C39_RS00155
OG0000142	VQY17_RS02910	B5C39_RS00150
OG0000143	VQY17_RS02885	B5C39_RS00125
OG0000144	VQY17_RS02875	B5C39_RS00115
OG0000145	VQY17_RS02865	B5C39_RS00105
OG0000146	VQY17_RS02855	B5C39_RS00095
OG0000147	VQY17_RS02850	B5C39_RS00090
OG0000148	VQY17_RS02835	B5C39_RS00075
OG0000149	VQY17_RS02825	B5C39_RS00065
OG0000150	VQY17_RS02810	B5C39_RS00050
OG0000151	VQY17_RS02760	B5C39_RS03055
OG0000152	VQY17_RS02755	B5C39_RS03050
OG0000153	VQY17_RS02750	B5C39_RS03045
OG0000154	VQY17_RS02740	B5C39_RS03035
OG0000155	VQY17_RS02705	B5C39_RS02995
OG0000156	VQY17_RS02695	B5C39_RS02985
OG0000157	VQY17_RS02690	B5C39_RS02980
OG0000158	VQY17_RS02680	B5C39_RS03905
OG0000159	VQY17_RS02460	B5C39_RS03950
OG0000160	VQY17_RS02455	B5C39_RS02735
OG0000161	VQY17_RS02450	B5C39_RS02730
OG0000162	VQY17_RS02440	B5C39_RS02720
OG0000163	VQY17_RS02435	B5C39_RS02715
OG0000164	VQY17_RS01640	B5C39_RS03120
OG0000165	VQY17_RS02015	B5C39_RS03445
OG0000166	VQY17_RS02035	B5C39_RS03465
OG0000167	VQY17_RS02050	B5C39_RS03480
OG0000168	VQY17_RS02055	B5C39_RS03485
OG0000169	VQY17_RS03035	B5C39_RS00235
OG0000170	VQY17_RS03050	B5C39_RS00250
OG0000171	VQY17_RS03060	B5C39_RS00260
OG0000172	VQY17_RS03065	B5C39_RS00265
OG0000173	VQY17_RS03070	B5C39_RS00270
OG0000174	VQY17_RS03075	B5C39_RS00275
OG0000175	VQY17_RS03090	B5C39_RS00290
OG0000176	VQY17_RS03135	B5C39_RS00340
OG0000177	VQY17_RS03140	B5C39_RS00345
OG0000178	VQY17_RS03145	B5C39_RS00350
OG0000179	VQY17_RS03155	B5C39_RS00360
OG0000180	VQY17_RS03160	B5C39_RS00365
OG0000181	VQY17_RS03210	B5C39_RS00405
OG0000182	VQY17_RS03220	B5C39_RS00415
OG0000183	VQY17_RS03255	B5C39_RS00450
OG0000184	VQY17_RS03305	B5C39_RS00495
OG0000185	VQY17_RS03290	B5C39_RS00480
OG0000186	VQY17_RS01545	B5C39_RS01375
OG0000187	VQY17_RS01560	B5C39_RS01360
OG0000188	VQY17_RS01570	B5C39_RS01350
OG0000189	VQY17_RS02305	B5C39_RS02580
OG0000190	VQY17_RS02300	B5C39_RS02575
OG0000191	VQY17_RS02280	B5C39_RS02555
OG0000192	VQY17_RS01240	B5C39_RS01685
OG0000193	VQY17_RS01230	B5C39_RS01695
OG0000194	VQY17_RS00690	B5C39_RS02215
OG0000195	VQY17_RS00695	B5C39_RS02210
OG0000196	VQY17_RS00715	B5C39_RS02190
OG0000197	VQY17_RS00720	B5C39_RS02185
OG0000198	VQY17_RS00735	B5C39_RS02170
OG0000199	VQY17_RS00740	B5C39_RS02165
OG0000200	VQY17_RS00755	B5C39_RS02150
OG0000201	VQY17_RS00765	B5C39_RS02140
OG0000202	VQY17_RS00825	B5C39_RS02085
OG0000203	VQY17_RS00830	B5C39_RS02080
OG0000204	VQY17_RS00835	B5C39_RS02075
OG0000205	VQY17_RS00840	B5C39_RS02070
OG0000206	VQY17_RS00860	B5C39_RS02050
OG0000207	VQY17_RS00875	B5C39_RS02035
OG0000208	VQY17_RS00880	B5C39_RS02030
OG0000209	VQY17_RS00885	B5C39_RS02025
OG0000210	VQY17_RS00935	B5C39_RS01980
OG0000211	VQY17_RS00970	B5C39_RS01970
OG0000212	VQY17_RS00980	B5C39_RS01960
OG0000213	VQY17_RS00985	B5C39_RS01955
OG0000214	VQY17_RS00990	B5C39_RS01950
OG0000215	VQY17_RS00995	B5C39_RS01945
OG0000216	VQY17_RS01000	B5C39_RS01940
OG0000217	VQY17_RS01005	B5C39_RS01935
OG0000218	VQY17_RS01015	B5C39_RS01925
OG0000219	VQY17_RS01020	B5C39_RS01920
OG0000220	VQY17_RS01025	B5C39_RS01915
OG0000221	VQY17_RS01030	B5C39_RS01910
OG0000222	VQY17_RS01035	B5C39_RS01905
OG0000223	VQY17_RS01040	B5C39_RS01900
OG0000224	VQY17_RS01050	B5C39_RS01890
OG0000225	VQY17_RS01060	B5C39_RS01880
