Orthogroup	MHP_Ue273_genes	MFC_MF30_genes
OG0000000	VQY17_RS02200	DR084_RS02900
OG0000001	VQY17_RS01300, VQY17_RS02775, VQY17_RS02730	DR084_RS03095
OG0000002	VQY17_RS02210, VQY17_RS02205	DR084_RS03505
OG0000002	VQY17_RS01780	DR084_RS03620
OG0000004	VQY17_RS02985, VQY17_RS02995	DR084_RS02890
OG0000011	VQY17_RS02025	DR084_RS03145
OG0000011	VQY17_RS02020	DR084_RS01055
OG0000013	VQY17_RS02405	DR084_RS00890, DR084_RS00885
OG0000013	VQY17_RS00185	DR084_RS02985
OG0000014	VQY17_RS01120, VQY17_RS00605	DR084_RS03465
OG0000016	VQY17_RS02820	DR084_RS00585
OG0000017	VQY17_RS00155	DR084_RS02415
OG0000017	VQY17_RS02830	DR084_RS00575
OG0000019	VQY17_RS03000, VQY17_RS03010, VQY17_RS03030, VQY17_RS02990	DR084_RS03440
OG0000020	VQY17_RS03555	DR084_RS02530
OG0000022	VQY17_RS01765	DR084_RS03625
OG0000024	VQY17_RS02725, VQY17_RS01295	DR084_RS00640
OG0000025	VQY17_RS01755	DR084_RS02490
OG0000026	VQY17_RS01380, VQY17_RS01735	DR084_RS01955
OG0000027	VQY17_RS03350	DR084_RS03655
OG0000029	VQY17_RS01115, VQY17_RS00610	DR084_RS00420
OG0000030	VQY17_RS03345	DR084_RS03660
OG0000031	VQY17_RS01635	DR084_RS01000
OG0000039	VQY17_RS01650, VQY17_RS01645	DR084_RS00480
OG0000040	VQY17_RS03270	DR084_RS02240, DR084_RS00690
OG0000042	VQY17_RS02925, VQY17_RS02920	DR084_RS00475, DR084_RS00620
OG0000043	VQY17_RS01990	DR084_RS01025
OG0000045	VQY17_RS01655	DR084_RS00485
OG0000048	VQY17_RS02180	DR084_RS02740
OG0000049	VQY17_RS03040	DR084_RS02050
OG0000050	VQY17_RS02445	DR084_RS00965
OG0000051	VQY17_RS02645	DR084_RS01670
OG0000052	VQY17_RS00075	DR084_RS02375
OG0000053	VQY17_RS01470	DR084_RS03670
OG0000054	VQY17_RS02470	DR084_RS00940
OG0000055	VQY17_RS00135	DR084_RS03600, DR084_RS03710
OG0000056	VQY17_RS03535	DR084_RS02515
OG0000057	VQY17_RS02900, VQY17_RS02905	DR084_RS00500
OG0000062	VQY17_RS03585	DR084_RS02265
OG0000063	VQY17_RS03580	DR084_RS03590
OG0000064	VQY17_RS03570	DR084_RS02250
OG0000065	VQY17_RS02255	DR084_RS01815
OG0000066	VQY17_RS01370	DR084_RS01945
OG0000067	VQY17_RS00525	DR084_RS00345
OG0000068	VQY17_RS00645	DR084_RS00455
OG0000069	VQY17_RS02795	DR084_RS00610
