Orthogroup	MHP_Ue273_genes	MFC_MF11_genes
OG0000000	VQY17_RS02200	DR093_RS02920
OG0000000	VQY17_RS01770	DR093_RS03435
OG0000001	VQY17_RS01300, VQY17_RS02775, VQY17_RS02730	DR093_RS00830, DR093_RS00825
OG0000002	VQY17_RS01780	DR093_RS03845
OG0000004	VQY17_RS02985, VQY17_RS02995	DR093_RS01845
OG0000011	VQY17_RS02025	DR093_RS03025
OG0000011	VQY17_RS02020	DR093_RS03260
OG0000013	VQY17_RS02405	DR093_RS01095, DR093_RS01090
OG0000013	VQY17_RS00185	DR093_RS03220
OG0000014	VQY17_RS01120, VQY17_RS00605	DR093_RS03805
OG0000016	VQY17_RS02820	DR093_RS00770
OG0000016	VQY17_RS00170	DR093_RS00190
OG0000017	VQY17_RS00155	DR093_RS00175
OG0000017	VQY17_RS02830	DR093_RS00760
OG0000019	VQY17_RS02990	DR093_RS03265
OG0000020	VQY17_RS03550	DR093_RS03835
OG0000020	VQY17_RS03555	DR093_RS03830
OG0000022	VQY17_RS01765	DR093_RS03840
OG0000023	VQY17_RS01335	DR093_RS01985
OG0000024	VQY17_RS02725, VQY17_RS01295	DR093_RS00835
OG0000025	VQY17_RS01755	DR093_RS01230
OG0000026	VQY17_RS01380, VQY17_RS01735	DR093_RS02030
OG0000027	VQY17_RS03330	DR093_RS01425
OG0000027	VQY17_RS03350	DR093_RS03885
OG0000029	VQY17_RS01115, VQY17_RS00610	DR093_RS00605
OG0000030	VQY17_RS03345	DR093_RS03890
OG0000031	VQY17_RS01635	DR093_RS02685
OG0000032	VQY17_RS03335, VQY17_RS01615, VQY17_RS01610, VQY17_RS03340	DR093_RS01420
OG0000039	VQY17_RS01650, VQY17_RS01645	DR093_RS00665
OG0000040	VQY17_RS03270	DR093_RS02380, DR093_RS03230
OG0000042	VQY17_RS02925, VQY17_RS02920	DR093_RS00660, DR093_RS03365, DR093_RS00810
OG0000043	VQY17_RS01990	DR093_RS02660
OG0000045	VQY17_RS01655	DR093_RS00670
OG0000047	VQY17_RS01605	DR093_RS00840
OG0000048	VQY17_RS02180	DR093_RS03685, DR093_RS03690
OG0000049	VQY17_RS03040	DR093_RS03590
OG0000050	VQY17_RS02445	DR093_RS04015
OG0000051	VQY17_RS02645	DR093_RS01745
OG0000052	VQY17_RS00075	DR093_RS00140
OG0000053	VQY17_RS01470	DR093_RS03940
OG0000054	VQY17_RS02470	DR093_RS01140
OG0000056	VQY17_RS03535	DR093_RS01205
OG0000057	VQY17_RS02900, VQY17_RS02905	DR093_RS00685
OG0000062	VQY17_RS03585	DR093_RS00025
OG0000063	VQY17_RS03580	DR093_RS03775
OG0000064	VQY17_RS03570	DR093_RS00010
OG0000065	VQY17_RS02255	DR093_RS01890
OG0000066	VQY17_RS01370	DR093_RS02020
OG0000067	VQY17_RS00525	DR093_RS00530
OG0000068	VQY17_RS00645	DR093_RS00640
OG0000069	VQY17_RS02795	DR093_RS00795
OG0000070	VQY17_RS02475	DR093_RS01120
OG0000071	VQY17_RS03260	DR093_RS02370
OG0000072	VQY17_RS03265	DR093_RS03980
OG0000073	VQY17_RS00705	DR093_RS02505
OG0000074	VQY17_RS00910	DR093_RS03915
OG0000077	VQY17_RS00445	DR093_RS00460
OG0000078	VQY17_RS01715	DR093_RS00930
OG0000079	VQY17_RS02550	DR093_RS01040
OG0000080	VQY17_RS02595	DR093_RS03415
OG0000081	VQY17_RS00340	DR093_RS00355
OG0000082	VQY17_RS02400	DR093_RS01100
OG0000083	VQY17_RS02095	DR093_RS02955
OG0000084	VQY17_RS02125	DR093_RS02790
OG0000085	VQY17_RS02135	DR093_RS02785
OG0000086	VQY17_RS02145	DR093_RS04020
OG0000087	VQY17_RS02160	DR093_RS02760
OG0000088	VQY17_RS02165	DR093_RS02755
OG0000089	VQY17_RS02175	DR093_RS02745
OG0000090	VQY17_RS00070	DR093_RS00130
OG0000091	VQY17_RS00055	DR093_RS00115
OG0000092	VQY17_RS00040	DR093_RS00100
OG0000093	VQY17_RS00035	DR093_RS00095
OG0000094	VQY17_RS00030	DR093_RS04155
OG0000095	VQY17_RS00005	DR093_RS00065
OG0000096	VQY17_RS03620	DR093_RS00060
OG0000097	VQY17_RS03600	DR093_RS00040
OG0000098	VQY17_RS03590	DR093_RS00030
OG0000099	VQY17_RS03540	DR093_RS01200
OG0000100	VQY17_RS03525	DR093_RS01210
OG0000101	VQY17_RS03520	DR093_RS01215
OG0000102	VQY17_RS01750	DR093_RS01225
OG0000103	VQY17_RS02220	DR093_RS01855
OG0000104	VQY17_RS02225	DR093_RS01860
OG0000105	VQY17_RS02240	DR093_RS01875
OG0000106	VQY17_RS02250	DR093_RS01885
OG0000107	VQY17_RS02260	DR093_RS01895
OG0000108	VQY17_RS02265	DR093_RS01900
OG0000109	VQY17_RS02270	DR093_RS01905
OG0000110	VQY17_RS02390	DR093_RS01910
OG0000111	VQY17_RS02385	DR093_RS01915
OG0000112	VQY17_RS02375	DR093_RS01925
OG0000113	VQY17_RS02355	DR093_RS03930
OG0000114	VQY17_RS02345	DR093_RS01950
OG0000115	VQY17_RS02335	DR093_RS01960
OG0000116	VQY17_RS01315	DR093_RS01970
OG0000117	VQY17_RS01320	DR093_RS01975
OG0000118	VQY17_RS01355	DR093_RS02005
OG0000119	VQY17_RS01360	DR093_RS02010
OG0000120	VQY17_RS01375	DR093_RS02025
OG0000121	VQY17_RS01405	DR093_RS02050
OG0000122	VQY17_RS01410	DR093_RS02055
OG0000123	VQY17_RS01430	DR093_RS02075
OG0000124	VQY17_RS01435	DR093_RS02080
OG0000125	VQY17_RS01440	DR093_RS02085
OG0000126	VQY17_RS01455	DR093_RS02095
OG0000127	VQY17_RS01460	DR093_RS02105
OG0000128	VQY17_RS01475	DR093_RS02120
OG0000129	VQY17_RS01480	DR093_RS02125
OG0000130	VQY17_RS01490	DR093_RS02135
OG0000131	VQY17_RS01520	DR093_RS02165
OG0000132	VQY17_RS01535	DR093_RS03945
OG0000133	VQY17_RS00530	DR093_RS00535
OG0000134	VQY17_RS00535	DR093_RS03795
OG0000135	VQY17_RS00550	DR093_RS00555
OG0000136	VQY17_RS00555	DR093_RS00560
OG0000137	VQY17_RS00595	DR093_RS00590
OG0000138	VQY17_RS00620	DR093_RS00615
OG0000139	VQY17_RS00650	DR093_RS00645
OG0000140	VQY17_RS00655	DR093_RS00650
OG0000141	VQY17_RS02915	DR093_RS00675
OG0000142	VQY17_RS02910	DR093_RS03810
OG0000143	VQY17_RS02885	DR093_RS00705
OG0000144	VQY17_RS02875	DR093_RS00715
OG0000145	VQY17_RS02865	DR093_RS00725
OG0000146	VQY17_RS02855	DR093_RS00735
OG0000147	VQY17_RS02850	DR093_RS00740
OG0000148	VQY17_RS02835	DR093_RS00755
OG0000149	VQY17_RS02825	DR093_RS00765
OG0000150	VQY17_RS02810	DR093_RS00780
OG0000151	VQY17_RS02760	DR093_RS00845
OG0000152	VQY17_RS02755	DR093_RS00850
OG0000153	VQY17_RS02750	DR093_RS00855
OG0000154	VQY17_RS02740	DR093_RS00865
OG0000155	VQY17_RS02705	DR093_RS00885
OG0000156	VQY17_RS02695	DR093_RS00905
OG0000157	VQY17_RS02690	DR093_RS03815
OG0000158	VQY17_RS02680	DR093_RS03820
OG0000159	VQY17_RS02460	DR093_RS01150
OG0000160	VQY17_RS02455	DR093_RS01155
OG0000161	VQY17_RS02450	DR093_RS01165
OG0000162	VQY17_RS02440	DR093_RS02715
OG0000163	VQY17_RS02435	DR093_RS02710
OG0000164	VQY17_RS01640	DR093_RS04010
OG0000165	VQY17_RS02015	DR093_RS02995
OG0000166	VQY17_RS02035	DR093_RS02980
OG0000167	VQY17_RS02050	DR093_RS02890
OG0000168	VQY17_RS02055	DR093_RS02895
OG0000169	VQY17_RS03035	DR093_RS02185
OG0000170	VQY17_RS03050	DR093_RS02200
OG0000171	VQY17_RS03060	DR093_RS02210
OG0000172	VQY17_RS03065	DR093_RS02215
OG0000173	VQY17_RS03070	DR093_RS02220
OG0000174	VQY17_RS03075	DR093_RS02225
OG0000175	VQY17_RS03090	DR093_RS02240
OG0000176	VQY17_RS03135	DR093_RS02280
OG0000177	VQY17_RS03140	DR093_RS02285
OG0000178	VQY17_RS03145	DR093_RS02290
OG0000179	VQY17_RS03155	DR093_RS02300
OG0000180	VQY17_RS03160	DR093_RS02305
OG0000181	VQY17_RS03210	DR093_RS03965
OG0000182	VQY17_RS03220	DR093_RS02330
OG0000183	VQY17_RS03255	DR093_RS02365
OG0000184	VQY17_RS03305	DR093_RS02865
OG0000185	VQY17_RS03290	DR093_RS02880
OG0000186	VQY17_RS01545	DR093_RS02615
OG0000187	VQY17_RS01560	DR093_RS02600
OG0000188	VQY17_RS01570	DR093_RS02590
OG0000189	VQY17_RS02305	DR093_RS04000
OG0000190	VQY17_RS02300	DR093_RS02575
OG0000191	VQY17_RS02280	DR093_RS02555
OG0000192	VQY17_RS01240	DR093_RS02545
OG0000193	VQY17_RS01230	DR093_RS02530
