Orthogroup	MHP_Ue273_genes	MHP_KM014_genes
OG0000000	VQY17_RS02325	CIB43_RS03010
OG0000000	VQY17_RS01770	CIB43_RS02595
OG0000001	VQY17_RS02775	CIB43_RS03715
OG0000001	VQY17_RS02730	CIB43_RS03670
OG0000002	VQY17_RS02210	CIB43_RS03100
OG0000002	VQY17_RS02205	CIB43_RS04020
OG0000002	VQY17_RS01780	CIB43_RS02610
OG0000003	VQY17_RS00505	CIB43_RS01390
OG0000003	VQY17_RS01910	CIB43_RS02725
OG0000004	VQY17_RS03185	CIB43_RS00290
OG0000004	VQY17_RS03175	CIB43_RS00275
OG0000005	VQY17_RS00100	CIB43_RS00810
OG0000005	VQY17_RS00120	CIB43_RS00830
OG0000006	VQY17_RS02495	CIB43_RS03435
OG0000006	VQY17_RS02330, VQY17_RS02360	CIB43_RS03420
OG0000008	VQY17_RS02320	CIB43_RS03225
OG0000009	VQY17_RS00085	CIB43_RS00790
OG0000009	VQY17_RS00680	CIB43_RS01550
OG0000010	VQY17_RS01920	CIB43_RS02735
OG0000010	VQY17_RS00095	CIB43_RS00795
OG0000011	VQY17_RS02025	CIB43_RS02850
OG0000014	VQY17_RS01120	CIB43_RS01955
OG0000015	VQY17_RS01665	CIB43_RS01235
OG0000016	VQY17_RS02820	CIB43_RS03755
OG0000017	VQY17_RS00155	CIB43_RS00855
OG0000017	VQY17_RS02830	CIB43_RS03765
OG0000018	VQY17_RS01340	CIB43_RS02195
OG0000019	VQY17_RS03030	CIB43_RS00115
OG0000019	VQY17_RS02990	CIB43_RS03950, CIB43_RS00005
OG0000020	VQY17_RS03555	CIB43_RS00635
OG0000022	VQY17_RS01765	CIB43_RS02590
OG0000024	VQY17_RS01295	CIB43_RS02140
OG0000025	VQY17_RS01755	CIB43_RS02585
OG0000026	VQY17_RS01735	CIB43_RS02565
OG0000027	VQY17_RS03350	CIB43_RS00440
OG0000028	VQY17_RS02415	CIB43_RS03325
OG0000030	VQY17_RS03345	CIB43_RS00435
OG0000035	VQY17_RS03200	CIB43_RS00280
OG0000035	VQY17_RS03170	CIB43_RS00270
OG0000036	VQY17_RS00115	CIB43_RS00815
OG0000038	VQY17_RS01860, VQY17_RS01810	CIB43_RS02625
OG0000039	VQY17_RS01650, VQY17_RS01645	CIB43_RS02500
OG0000041	VQY17_RS00670	CIB43_RS03980
OG0000042	VQY17_RS02925, VQY17_RS02920	CIB43_RS03855
OG0000043	VQY17_RS01990	CIB43_RS02825
OG0000043	VQY17_RS01990	CIB43_RS00070
OG0000045	VQY17_RS01655	CIB43_RS02520
OG0000047	VQY17_RS01605	CIB43_RS01205
OG0000048	VQY17_RS02180	CIB43_RS02995
OG0000049	VQY17_RS03040	CIB43_RS00150
OG0000051	VQY17_RS02645	CIB43_RS03575
OG0000052	VQY17_RS00075	CIB43_RS00775
OG0000053	VQY17_RS01470	CIB43_RS02315
OG0000054	VQY17_RS02470	CIB43_RS03395
OG0000055	VQY17_RS00135	CIB43_RS00835
OG0000056	VQY17_RS03535	CIB43_RS00630, CIB43_RS03960
OG0000057	VQY17_RS02900, VQY17_RS02905	CIB43_RS03840
OG0000060	VQY17_RS00080	CIB43_RS00780
OG0000061	VQY17_RS01930	CIB43_RS02745
OG0000062	VQY17_RS03585	CIB43_RS00675
OG0000063	VQY17_RS03580	CIB43_RS00660
OG0000064	VQY17_RS03570	CIB43_RS00650
OG0000065	VQY17_RS02255	CIB43_RS03145
OG0000067	VQY17_RS00525	CIB43_RS01410
OG0000068	VQY17_RS00645	CIB43_RS01520
OG0000069	VQY17_RS02795	CIB43_RS03740
OG0000070	VQY17_RS02475	CIB43_RS03400
OG0000071	VQY17_RS03260	CIB43_RS00360
OG0000072	VQY17_RS03265	CIB43_RS00375
OG0000073	VQY17_RS00705	CIB43_RS01580
OG0000075	VQY17_RS00345	CIB43_RS01060
OG0000077	VQY17_RS00445	CIB43_RS01330
OG0000078	VQY17_RS01715	CIB43_RS02560
OG0000079	VQY17_RS02550	CIB43_RS03480
OG0000080	VQY17_RS02595	CIB43_RS03525
OG0000081	VQY17_RS00340	CIB43_RS01055
OG0000082	VQY17_RS02400	CIB43_RS03315
OG0000083	VQY17_RS02095	CIB43_RS02935
OG0000084	VQY17_RS02125	CIB43_RS02955
OG0000086	VQY17_RS02145	CIB43_RS02970
OG0000087	VQY17_RS02160	CIB43_RS02975
OG0000088	VQY17_RS02165	CIB43_RS02980
OG0000089	VQY17_RS02175	CIB43_RS02990
OG0000090	VQY17_RS00070	CIB43_RS00770
OG0000091	VQY17_RS00055	CIB43_RS00760
OG0000092	VQY17_RS00040	CIB43_RS00745
OG0000093	VQY17_RS00035	CIB43_RS00735
OG0000094	VQY17_RS00030	CIB43_RS00730
OG0000095	VQY17_RS00005	CIB43_RS00715
OG0000096	VQY17_RS03620	CIB43_RS00700
OG0000097	VQY17_RS03600	CIB43_RS00690
OG0000100	VQY17_RS03525	CIB43_RS00610
OG0000101	VQY17_RS03520	CIB43_RS00600
OG0000102	VQY17_RS01750	CIB43_RS02580
OG0000103	VQY17_RS02220	CIB43_RS03110
OG0000104	VQY17_RS02225	CIB43_RS03120
OG0000105	VQY17_RS02240	CIB43_RS03130
OG0000106	VQY17_RS02250	CIB43_RS03140
OG0000107	VQY17_RS02260	CIB43_RS03150
OG0000108	VQY17_RS02265	CIB43_RS03155
OG0000109	VQY17_RS02270	CIB43_RS03160
OG0000110	VQY17_RS02390	CIB43_RS03290
OG0000111	VQY17_RS02385	CIB43_RS03285
OG0000112	VQY17_RS02375	CIB43_RS03280
OG0000113	VQY17_RS02355	CIB43_RS03260
OG0000114	VQY17_RS02345	CIB43_RS03245
OG0000115	VQY17_RS02335	CIB43_RS03230
OG0000116	VQY17_RS01315	CIB43_RS02165
OG0000117	VQY17_RS01320	CIB43_RS02170
OG0000118	VQY17_RS01355	CIB43_RS02205
OG0000119	VQY17_RS01360	CIB43_RS02210
OG0000120	VQY17_RS01375	CIB43_RS02230
OG0000121	VQY17_RS01405	CIB43_RS02250
OG0000122	VQY17_RS01410	CIB43_RS02255
OG0000123	VQY17_RS01430	CIB43_RS02275
OG0000124	VQY17_RS01435	CIB43_RS02280
OG0000125	VQY17_RS01440	CIB43_RS02285
OG0000126	VQY17_RS01455	CIB43_RS02295
OG0000127	VQY17_RS01460	CIB43_RS02305
OG0000128	VQY17_RS01475	CIB43_RS02320
OG0000129	VQY17_RS01480	CIB43_RS02330
OG0000130	VQY17_RS01490	CIB43_RS02335
OG0000131	VQY17_RS01520	CIB43_RS02370
OG0000132	VQY17_RS01535	CIB43_RS02385
OG0000133	VQY17_RS00530	CIB43_RS01415
OG0000134	VQY17_RS00535	CIB43_RS01425
OG0000135	VQY17_RS00550	CIB43_RS01435
OG0000136	VQY17_RS00555	CIB43_RS01440
OG0000137	VQY17_RS00595	CIB43_RS01470
OG0000138	VQY17_RS00620	CIB43_RS01495
OG0000139	VQY17_RS00650	CIB43_RS01525
OG0000140	VQY17_RS00655	CIB43_RS01540
OG0000141	VQY17_RS02915	CIB43_RS03850
OG0000142	VQY17_RS02910	CIB43_RS03845
OG0000143	VQY17_RS02885	CIB43_RS03835
OG0000144	VQY17_RS02875	CIB43_RS03815
OG0000145	VQY17_RS02865	CIB43_RS03805
OG0000146	VQY17_RS02855	CIB43_RS03790
OG0000147	VQY17_RS02850	CIB43_RS03785
OG0000148	VQY17_RS02835	CIB43_RS03780
OG0000149	VQY17_RS02825	CIB43_RS03760
OG0000150	VQY17_RS02810	CIB43_RS03745
OG0000151	VQY17_RS02760	CIB43_RS03700
OG0000152	VQY17_RS02755	CIB43_RS03695
OG0000153	VQY17_RS02750	CIB43_RS03690
OG0000154	VQY17_RS02740	CIB43_RS03680
OG0000155	VQY17_RS02705	CIB43_RS03645
OG0000156	VQY17_RS02695	CIB43_RS03635
OG0000157	VQY17_RS02690	CIB43_RS03625
OG0000158	VQY17_RS02680	CIB43_RS03620
OG0000159	VQY17_RS02460	CIB43_RS03385
OG0000160	VQY17_RS02455	CIB43_RS03380
OG0000161	VQY17_RS02450	CIB43_RS03375
OG0000163	VQY17_RS02435	CIB43_RS03370
OG0000164	VQY17_RS01640	CIB43_RS02495
OG0000165	VQY17_RS02015	CIB43_RS02840
OG0000166	VQY17_RS02035	CIB43_RS02860
OG0000167	VQY17_RS02050	CIB43_RS02875
OG0000168	VQY17_RS02055	CIB43_RS02880
OG0000169	VQY17_RS03035	CIB43_RS00130
OG0000171	VQY17_RS03060	CIB43_RS00155
OG0000172	VQY17_RS03065	CIB43_RS00160
OG0000173	VQY17_RS03070	CIB43_RS00165
OG0000174	VQY17_RS03075	CIB43_RS00170
OG0000175	VQY17_RS03090	CIB43_RS00190
OG0000176	VQY17_RS03135	CIB43_RS00235
OG0000177	VQY17_RS03140	CIB43_RS00240
OG0000178	VQY17_RS03145	CIB43_RS00245
OG0000179	VQY17_RS03155	CIB43_RS00255
OG0000180	VQY17_RS03160	CIB43_RS00260
OG0000181	VQY17_RS03210	CIB43_RS00310
OG0000182	VQY17_RS03220	CIB43_RS00320
OG0000183	VQY17_RS03255	CIB43_RS00355
OG0000184	VQY17_RS03305	CIB43_RS00430
OG0000185	VQY17_RS03290	CIB43_RS00380
OG0000186	VQY17_RS01545	CIB43_RS02400
OG0000187	VQY17_RS01560	CIB43_RS02410
OG0000188	VQY17_RS01570	CIB43_RS02425
