Orthogroup	MHP_Ue273_genes	MHP_MHP691_genes
OG0000000	VQY17_RS01775	DR087_RS03570
OG0000001	VQY17_RS02775	DR087_RS04015
OG0000001	VQY17_RS02730	DR087_RS03255
OG0000002	VQY17_RS02210, VQY17_RS02205	DR087_RS03810
OG0000002	VQY17_RS01780	DR087_RS04755
OG0000003	VQY17_RS01865	DR087_RS01665
OG0000003	VQY17_RS00940	DR087_RS04680, DR087_RS04220
OG0000004	VQY17_RS03185	DR087_RS00850
OG0000004	VQY17_RS03175	DR087_RS00860
OG0000005	VQY17_RS00100	DR087_RS00530
OG0000005	VQY17_RS00105	DR087_RS00540
OG0000005	VQY17_RS00110, VQY17_RS00125	DR087_RS04465
OG0000006	VQY17_RS02495	DR087_RS04360
OG0000006	VQY17_RS02360	DR087_RS04080
OG0000007	VQY17_RS00945	DR087_RS04205, DR087_RS04210
OG0000007	VQY17_RS00960	DR087_RS03750
OG0000008	VQY17_RS02500	DR087_RS04355
OG0000009	VQY17_RS00085	DR087_RS00515
OG0000010	VQY17_RS01920	DR087_RS01605
OG0000010	VQY17_RS00095	DR087_RS03875
OG0000011	VQY17_RS02025	DR087_RS04590
OG0000011	VQY17_RS02020	DR087_RS01515
OG0000012	VQY17_RS01935	DR087_RS03740
OG0000013	VQY17_RS02405	DR087_RS01680
OG0000013	VQY17_RS00185	DR087_RS04185
OG0000014	VQY17_RS00605	DR087_RS03520
OG0000015	VQY17_RS01665	DR087_RS04110
OG0000016	VQY17_RS02820	DR087_RS01400
OG0000016	VQY17_RS00170	DR087_RS02395
OG0000017	VQY17_RS00155	DR087_RS02410
OG0000017	VQY17_RS02830	DR087_RS01410
OG0000019	VQY17_RS03030	DR087_RS03610
OG0000020	VQY17_RS03550	DR087_RS04440
OG0000020	VQY17_RS03555	DR087_RS04445
OG0000022	VQY17_RS01695	DR087_RS02045
OG0000022	VQY17_RS01765	DR087_RS04630
OG0000024	VQY17_RS02725	DR087_RS03250
OG0000025	VQY17_RS01700	DR087_RS04625
OG0000025	VQY17_RS01755	DR087_RS02095
OG0000026	VQY17_RS01380	DR087_RS01165
OG0000026	VQY17_RS01735	DR087_RS02075
OG0000027	VQY17_RS03330	DR087_RS04635
OG0000027	VQY17_RS03350	DR087_RS04475
OG0000028	VQY17_RS02415	DR087_RS04675, DR087_RS01670
OG0000029	VQY17_RS01115	DR087_RS02775
OG0000029	VQY17_RS00610	DR087_RS03175
OG0000030	VQY17_RS03345	DR087_RS04470
OG0000031	VQY17_RS01635	DR087_RS03210
OG0000032	VQY17_RS01610	DR087_RS03235
OG0000032	VQY17_RS03340	DR087_RS00575
OG0000033	VQY17_RS02410	DR087_RS01675
OG0000035	VQY17_RS03200	DR087_RS00855
OG0000035	VQY17_RS03170	DR087_RS00865
