Orthogroup	MHP_131B_proteins	MHP_168_proteins
OG0000000	WP_404924494.1	WP_014579837.1
OG0000000	WP_148174330.1	WP_014579857.1
OG0000000	WP_404924489.1	WP_233417365.1
OG0000001	WP_232039579.1, WP_187145661.1	WP_014579709.1
OG0000001	WP_404924272.1	WP_014579924.1, WP_014579925.1
OG0000002	WP_225972974.1	WP_228365382.1
OG0000002	WP_404924222.1	WP_158209055.1
OG0000002	WP_404924467.1	WP_014579748.1, WP_014579753.1
OG0000003	WP_404924470.1, WP_404924388.1	WP_014579780.1
OG0000003	WP_404924565.1	WP_052293597.1
OG0000004	WP_160588068.1	WP_014579982.1
OG0000004	WP_404924307.1	WP_014579984.1
OG0000005	WP_011289941.1	WP_014579527.1
OG0000005	WP_404924354.1	WP_014579529.1
OG0000005	WP_347952346.1	WP_228365402.1, WP_228365401.1
OG0000006	WP_280996645.1	WP_044278023.1
OG0000006	WP_404924232.1	WP_081450699.1
OG0000008	WP_404924227.1	WP_014579856.1
OG0000008	WP_404924560.1	WP_014579768.1
OG0000008	WP_404924495.1	WP_014579887.1
OG0000009	WP_404924404.1	WP_014579653.1
OG0000009	WP_011290021.1	WP_228365411.1
OG0000010	WP_404924479.1	WP_014579794.1
OG0000011	WP_404924567.1	WP_014579809.1
OG0000013	WP_225972984.1	WP_228365388.1
OG0000013	WP_404924502.1	WP_228365404.1
OG0000014	WP_404924552.1	WP_014579661.1
OG0000014	WP_404924399.1	WP_014579660.1
OG0000015	WP_404924384.1	WP_014579746.1
OG0000016	WP_404924526.1	WP_014579937.1
OG0000016	WP_404924358.1	WP_044277949.1
OG0000017	WP_020835500.1	WP_228365403.1
OG0000017	WP_020835837.1	WP_014579938.1
OG0000018	WP_404924379.1	WP_011206365.1
OG0000020	WP_404924535.1	WP_014580041.1
OG0000020	WP_404924536.1	WP_187286313.1
OG0000021	WP_404924390.1	WP_014579585.1, WP_014579767.1
OG0000021	WP_404924389.1	WP_044277959.1
OG0000022	WP_404924458.1	WP_044277993.1
OG0000022	WP_146379581.1	WP_014579755.1
OG0000024	WP_179696078.1	WP_014579922.1
OG0000024	WP_404924435.1	WP_044277983.1, WP_014579707.1
OG0000025	WP_404924459.1	WP_011284074.1
OG0000025	WP_404924464.1	WP_014579756.1
OG0000026	WP_020835640.1	WP_044277987.1
OG0000026	WP_160606777.1	WP_014579760.1
OG0000027	WP_020835902.1	WP_011206475.1
OG0000027	WP_404924323.1	WP_014580004.1
OG0000029	WP_404924422.1	WP_014579599.1
OG0000029	WP_404924400.1	WP_014579659.1
OG0000030	WP_308704613.1	WP_228365396.1
OG0000030	WP_404924534.1	WP_014580003.1
OG0000031	WP_088172525.1	WP_011206356.1
OG0000031	WP_404924450.1	WP_011284063.1
OG0000032	WP_404924322.1	WP_014580002.1
OG0000035	WP_404924533.1	WP_014579983.1
OG0000035	WP_160588066.1	WP_014579981.1
OG0000036	WP_347952344.1, WP_146379454.1	WP_014579530.1
OG0000037	WP_404924568.1	WP_014579778.1
OG0000038	WP_404924469.1	WP_014579779.1
OG0000039	WP_404924559.1	WP_187286318.1
OG0000040	WP_404924313.1	WP_014579993.1
OG0000041	WP_011290019.1	WP_014579652.1
OG0000041	WP_228366127.1	WP_228365413.1
OG0000042	WP_044272729.1	WP_014579952.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_014579804.1	WP_014579681.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000044	WP_404911819.1	WP_044277998.1
OG0000045	WP_404924452.1	WP_228365422.1
OG0000046	WP_404924314.1	WP_014579994.1
OG0000048	WP_011284150.1	WP_014579838.1
OG0000049	WP_020835860.1	WP_014579961.1
OG0000050	WP_404924247.1	WP_014579879.1
OG0000051	WP_404924263.1	WP_044278027.1
OG0000052	WP_404924352.1	WP_014579524.1
OG0000053	WP_404924445.1	WP_014579730.1
OG0000054	WP_404924248.1	WP_014579883.1
OG0000055	WP_146379455.1	WP_014579531.1
OG0000056	WP_404924340.1	WP_148218555.1
OG0000057	WP_404924285.1	WP_228365395.1
OG0000058	WP_404924374.1	WP_014580039.1
OG0000059	WP_404924377.1	WP_014579680.1
OG0000060	WP_020835489.1	WP_228365399.1
OG0000061	WP_404924566.1	WP_014579745.1
OG0000062	WP_011206522.1	WP_014580045.1
OG0000063	WP_041361715.1	WP_014580044.1
OG0000064	WP_348571896.1	WP_014580043.1
OG0000065	WP_225972975.1	WP_228365381.1
OG0000066	WP_404913732.1	WP_011205965.1
OG0000067	WP_404924548.1	WP_014579588.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_014579884.1
OG0000071	WP_404924311.1	WP_014579991.1
OG0000072	WP_404924312.1	WP_014579992.1
OG0000073	WP_404912207.1	WP_011206093.1
OG0000074	WP_308704709.1	WP_014579624.1
OG0000075	WP_404924368.1	WP_014579568.1
OG0000076	WP_404924369.1	WP_011289987.1
OG0000077	WP_135618533.1	WP_014579581.1
OG0000079	WP_020835797.1	WP_011206305.1
OG0000080	WP_192894279.1	WP_179695988.1
OG0000081	WP_404924544.1	WP_014579567.1
OG0000083	WP_014579823.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_014579845.1
OG0000085	WP_404924208.1	WP_014579844.1
OG0000086	WP_404924507.1	WP_014579843.1
OG0000087	WP_020835732.1	WP_014579840.1
OG0000088	WP_020835733.1	WP_014579839.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_404924539.1	WP_044278048.1
OG0000091	WP_020835487.1	WP_014579522.1
OG0000092	WP_404924538.1	WP_011205847.1
OG0000093	WP_160584856.1	WP_011205846.1
OG0000094	WP_160606485.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_014579516.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_404924537.1	WP_228365398.1
OG0000098	WP_404924345.1	WP_014580046.1
OG0000099	WP_404924341.1	WP_014580030.1
OG0000100	WP_404924338.1	WP_014580027.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_404924487.1	WP_044277991.1
OG0000103	WP_404924223.1	WP_014579835.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_014579832.1
OG0000106	WP_146379631.1	WP_014579830.1
OG0000107	WP_011284169.1	WP_014579828.1
OG0000108	WP_011206247.1	WP_011206247.1
OG0000109	WP_404924224.1	WP_014579826.1
OG0000110	WP_404924239.1	WP_014579870.1
OG0000111	WP_404924516.1	WP_044278012.1
OG0000112	WP_404924236.1	WP_228365385.1
OG0000113	WP_404924231.1	WP_014579864.1
OG0000114	WP_404923958.1	WP_044278010.1
OG0000115	WP_011290245.1	WP_014579859.1
OG0000116	WP_404924436.1	WP_014579712.1
OG0000117	WP_160590503.1	WP_014579713.1
OG0000118	WP_011290108.1	WP_011284023.1
OG0000119	WP_135618686.1	WP_044277984.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011290114.1
OG0000122	WP_020835643.1	WP_014579725.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_014579726.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160585089.1	WP_011290120.1
OG0000127	WP_404924444.1	WP_011284040.1
OG0000128	WP_404924446.1	WP_014579731.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160588225.1	WP_014579734.1
OG0000132	WP_011205939.1	WP_014579737.1
OG0000133	WP_094521764.1	WP_014579589.1
OG0000134	WP_308507044.1	WP_228365407.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_014579592.1
OG0000137	WP_404924396.1	WP_014579598.1
OG0000138	WP_404924401.1	WP_014579656.1
OG0000139	WP_011290017.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_146379698.1	WP_014579951.1
OG0000142	WP_011284289.1	WP_011206395.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_404924284.1	WP_014579946.1
OG0000145	WP_225972996.1	WP_228365394.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_041361684.1	WP_014579939.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_011206376.1
OG0000151	WP_404924277.1	WP_014579931.1
OG0000152	WP_404924276.1	WP_228365391.1
OG0000153	WP_233688497.1	WP_014579929.1
OG0000154	WP_160587842.1	WP_044278028.1
OG0000155	WP_020835820.1	WP_011206337.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_014579918.1
OG0000158	WP_404924268.1	WP_014579917.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_044278019.1
OG0000161	WP_011206287.1	WP_014579880.1
OG0000162	WP_135619210.1	WP_081450704.1
OG0000163	WP_404924246.1	WP_014579877.1
OG0000164	WP_348572081.1	WP_014579775.1
OG0000165	WP_011206200.1	WP_014579808.1
OG0000166	WP_160590029.1	WP_014579811.1
OG0000167	WP_011206207.1	WP_014579814.1
OG0000168	WP_404924203.1	WP_014579815.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_020835862.1	WP_014579964.1
OG0000171	WP_404924298.1	WP_014579966.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011206425.1	WP_011206425.1
OG0000174	WP_160600929.1	WP_014579967.1
OG0000175	WP_404924532.1	WP_014579969.1
OG0000176	WP_160585271.1	WP_014579976.1
OG0000177	WP_160585273.1	WP_014579977.1
OG0000178	WP_160585275.1	WP_011206441.1
OG0000179	WP_020835880.1	WP_014579979.1
OG0000180	WP_081642895.1	WP_011206445.1
OG0000181	WP_020835888.1	WP_014579985.1
OG0000182	WP_011206453.1	WP_014579987.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_011206468.1
OG0000185	WP_146379740.1	WP_011206465.1
OG0000186	WP_020835656.1	WP_014579739.1
OG0000187	WP_011284055.1	WP_014579741.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_160607686.1	WP_014579854.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_020835755.1	WP_014579850.1
OG0000192	WP_160587990.1	WP_011284001.1
OG0000193	WP_094521610.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_011283923.1
OG0000195	WP_094521583.1	WP_011283924.1
OG0000196	WP_020835573.1	WP_014579648.1
OG0000197	WP_404924405.1	WP_014579647.1
OG0000198	WP_011283930.1	WP_014579645.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160588272.1	WP_014579644.1
OG0000201	WP_404924407.1	WP_014579642.1
OG0000202	WP_011290039.1	WP_014579634.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_011206071.1	WP_014579633.1
OG0000205	WP_404924414.1	WP_014579632.1
OG0000206	WP_011290044.1	WP_011206066.1
OG0000207	WP_011206063.1	WP_014579629.1
OG0000208	WP_011290046.1	WP_011206062.1
OG0000209	WP_011206061.1	WP_014579628.1
OG0000210	WP_404924418.1	WP_014579621.1
OG0000211	WP_011290054.1	WP_011206050.1
OG0000212	WP_011206048.1	WP_014579618.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011290055.1	WP_014579617.1
OG0000216	WP_014579616.1	WP_014579616.1
OG0000217	WP_404924419.1	WP_011206044.1
OG0000218	WP_011290058.1	WP_014579615.1
OG0000219	WP_011206041.1	WP_020835591.1
OG0000220	WP_020835592.1	WP_011206040.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_404924420.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_020835596.1	WP_014579610.1
OG0000226	WP_011206032.1	WP_014579609.1
OG0000227	WP_011290064.1	WP_014579608.1
OG0000228	WP_404924421.1	WP_014579607.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_011206027.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_014579603.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_233688672.1	WP_011290071.1
OG0000234	WP_404924425.1	WP_014579664.1
OG0000235	WP_011290078.1	WP_014579665.1
OG0000236	WP_011283989.1	WP_014579666.1
OG0000237	WP_404924426.1	WP_014579667.1
OG0000238	WP_011206006.1	WP_014579669.1
OG0000239	WP_011290347.1	WP_011206399.1
OG0000240	WP_020835851.1	WP_011206400.1
OG0000241	WP_135619036.1	WP_011206402.1
OG0000242	WP_020835854.1	WP_044278032.1
OG0000243	WP_011290352.1	WP_014579955.1
OG0000244	WP_041361690.1	WP_014579956.1
OG0000245	WP_404924288.1	WP_011206408.1
OG0000246	WP_050195463.1	WP_014579532.1
OG0000247	WP_404924356.1	WP_014579534.1
OG0000248	WP_146379774.1	WP_014579535.1
OG0000249	WP_404924357.1	WP_014579536.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_347952354.1	WP_014579544.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_160606527.1	WP_014579546.1
OG0000254	WP_160584767.1	WP_014579548.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011283865.1
OG0000257	WP_011289973.1	WP_014579555.1
OG0000258	WP_011283871.1	WP_011283871.1
OG0000259	WP_404924364.1	WP_014579562.1
OG0000260	WP_404924365.1	WP_011205903.1
OG0000261	WP_404924542.1	WP_014579565.1
OG0000262	WP_135618519.1	WP_014579569.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_404924371.1	WP_011283887.1
OG0000265	WP_404924372.1	WP_014579574.1
OG0000266	WP_011205923.1	WP_044277957.1
OG0000267	WP_146379477.1	WP_014579577.1
OG0000268	WP_404924385.1	WP_011283894.1
OG0000269	WP_011206134.1	WP_014579579.1
OG0000270	WP_404924335.1	WP_014580022.1
OG0000271	WP_404924334.1	WP_014580021.1
OG0000272	WP_011284373.1	WP_011284373.1
OG0000273	WP_404924333.1	WP_011206502.1
OG0000274	WP_011290423.1	WP_014580018.1
OG0000275	WP_228366117.1	WP_044278043.1
OG0000276	WP_011290421.1	WP_011284368.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_160588182.1	WP_011206493.1
OG0000279	WP_404924043.1	WP_014580014.1
OG0000280	WP_011206490.1	WP_014580013.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_404924327.1	WP_014580010.1
OG0000283	WP_160584907.1	WP_014580009.1
OG0000284	WP_011206484.1	WP_014580008.1
OG0000285	WP_404924325.1	WP_014580007.1
OG0000286	WP_146379652.1	WP_014579875.1
OG0000287	WP_011206297.1	WP_011206297.1
OG0000288	WP_011206299.1	WP_011284218.1
OG0000289	WP_404924251.1	WP_014579889.1
OG0000290	WP_011290297.1	WP_014579908.1
OG0000291	WP_011206320.1	WP_014579906.1
OG0000292	WP_404924261.1	WP_014579905.1
OG0000293	WP_404924260.1	WP_014579904.1
OG0000294	WP_404924259.1	WP_014579902.1
OG0000295	WP_404924258.1	WP_014579901.1
OG0000296	WP_404924255.1	WP_014579894.1
OG0000297	WP_146379664.1	WP_014579893.1
OG0000298	WP_160606533.1	WP_014579538.1
OG0000299	WP_094521545.1	WP_011205878.1
OG0000300	WP_041361533.1	WP_014579572.1
OG0000301	WP_135618529.1	WP_011283891.1
OG0000302	WP_011205925.1	WP_014579576.1
OG0000303	WP_146379484.1	WP_014579593.1
OG0000304	WP_220190741.1	WP_044277963.1
OG0000305	WP_404924282.1	WP_014579943.1
OG0000306	WP_146379686.1	WP_014579934.1
OG0000307	WP_404924275.1	WP_014579928.1
OG0000308	WP_020835811.1	WP_014579911.1
OG0000309	WP_011206313.1	WP_011206313.1
OG0000310	WP_011206298.1	WP_011206298.1
OG0000311	WP_011206293.1	WP_014579885.1
OG0000312	WP_041361671.1	WP_014579882.1
OG0000313	WP_011206141.1	WP_014579776.1
OG0000314	WP_404924483.1	WP_014579810.1
OG0000315	WP_011290197.1	WP_014579816.1
OG0000316	WP_404924204.1	WP_014579818.1
OG0000317	WP_135618864.1	WP_011290211.1
OG0000318	WP_404924205.1	WP_228365380.1
OG0000319	WP_135618880.1	WP_014579833.1
OG0000320	WP_404924234.1	WP_014579866.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_014579724.1
OG0000323	WP_160588227.1	WP_014579736.1
OG0000324	WP_011290222.1	WP_014579849.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_404924411.1	WP_014579637.1
OG0000327	WP_160584807.1	WP_011206076.1
OG0000328	WP_041361583.1	WP_014579627.1
OG0000329	WP_225973017.1	WP_011206056.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_146379704.1	WP_011206405.1
OG0000332	WP_011290372.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_020835889.1	WP_014579986.1
OG0000335	WP_041361699.1	WP_014579988.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_050195472.1	WP_011206520.1
OG0000338	WP_014580051.1	WP_014580051.1
OG0000339	WP_404924230.1	WP_014579860.1
OG0000340	WP_146379551.1	WP_011205973.1
OG0000341	WP_011290226.1	WP_014579853.1
OG0000342	WP_011290029.1	WP_014579646.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_404924394.1	WP_014579596.1
OG0000345	WP_014579611.1	WP_014579611.1
OG0000346	WP_232039558.1	WP_014580011.1
OG0000347	WP_011205955.1	WP_011205955.1
OG0000348	WP_404924412.1	WP_225973015.1
OG0000349	WP_404924332.1	WP_014580020.1
OG0000350	WP_404924274.1	WP_228365390.1
OG0000351	WP_011206131.1	WP_044277958.1
OG0000352	WP_404924481.1	WP_014579807.1
OG0000353	WP_404924440.1	WP_014579723.1
OG0000354	WP_404924550.1	WP_044277974.1
OG0000355	WP_011206194.1	WP_011206194.1
OG0000356	WP_404924505.1	WP_228365379.1
OG0000357	WP_404924531.1	WP_011206427.1
OG0000358	WP_404924299.1	WP_014579968.1
OG0000359	WP_192894285.1	WP_228365410.1
