Orthogroup	MHP_232_genes	MFC_MF29_genes
OG0000000	MHP_RS02080	DR095_RS03080
OG0000000	MHP_RS03825	DR095_RS01240
OG0000001	MHP_RS00720, MHP_RS00725, MHP_RS03580, MHP_RS03935, MHP_RS02610	DR095_RS00305, DR095_RS00300
OG0000002	MHP_RS01720	DR095_RS03820
OG0000008	MHP_RS01640	DR095_RS03220
OG0000011	MHP_RS01915	DR095_RS03240, DR095_RS03235
OG0000011	MHP_RS01910	DR095_RS03230
OG0000013	MHP_RS02275	DR095_RS00580, DR095_RS00575
OG0000013	MHP_RS03840	DR095_RS03215
OG0000014	MHP_RS00920, MHP_RS01385	DR095_RS03760
OG0000016	MHP_RS02785	DR095_RS00250
OG0000017	MHP_RS00165	DR095_RS01000
OG0000017	MHP_RS02795	DR095_RS00240
OG0000018	MHP_RS03940, MHP_RS03945	DR095_RS03835
OG0000020	MHP_RS03465	DR095_RS03810
OG0000020	MHP_RS03470	DR095_RS03805
OG0000022	MHP_RS01705	DR095_RS03815
OG0000023	MHP_RS02730	DR095_RS01955
OG0000024	MHP_RS02605, MHP_RS00730	DR095_RS00310
OG0000025	MHP_RS01700	DR095_RS01230
OG0000026	MHP_RS00640, MHP_RS01680	DR095_RS01450
OG0000027	MHP_RS03280	DR095_RS03960
OG0000028	MHP_RS02285	DR095_RS00595
OG0000029	MHP_RS00925, MHP_RS01380	DR095_RS00085
OG0000030	MHP_RS03260, MHP_RS03275	DR095_RS03965
OG0000031	MHP_RS01600	DR095_RS02710
OG0000039	MHP_RS03880, MHP_RS01615	DR095_RS00145
OG0000040	MHP_RS03205	DR095_RS01945, DR095_RS00375, DR095_RS00380
OG0000042	MHP_RS02885	DR095_RS00140, DR095_RS00285
OG0000043	MHP_RS01880	DR095_RS01635, DR095_RS02735
OG0000045	MHP_RS01625	DR095_RS03295, DR095_RS03300
OG0000048	MHP_RS02060	DR095_RS03095, DR095_RS02830
OG0000050	MHP_RS02315	DR095_RS03970
OG0000051	MHP_RS02520	DR095_RS01545
OG0000052	MHP_RS00075	DR095_RS01040
OG0000053	MHP_RS00555	DR095_RS03995, DR095_RS01535
OG0000054	MHP_RS02340	DR095_RS00625
OG0000055	MHP_RS00145	DR095_RS01035
OG0000056	MHP_RS03450	DR095_RS01205
OG0000057	MHP_RS02870	DR095_RS00165
