Orthogroup	MHP_232_genes	MHP_F72C_genes
OG0000000	MHP_RS02080	EHI52_RS01825
OG0000000	MHP_RS04000	EHI52_RS03780
OG0000000	MHP_RS02190	EHI52_RS02325
OG0000000	MHP_RS03915	EHI52_RS03815
OG0000000	MHP_RS01715	EHI52_RS01775
OG0000001	MHP_RS03580	EHI52_RS02790
OG0000001	MHP_RS02610	EHI52_RS02740
OG0000002	MHP_RS03905	EHI52_RS02215
OG0000002	MHP_RS03800	EHI52_RS01820
OG0000002	MHP_RS01720	EHI52_RS01780
OG0000003	MHP_RS01825	EHI52_RS03670
OG0000004	MHP_RS03135	EHI52_RS03225
OG0000004	MHP_RS02960	EHI52_RS03045, EHI52_RS03025
OG0000005	MHP_RS00100	EHI52_RS00100
OG0000005	MHP_RS00120	EHI52_RS00120
OG0000005	MHP_RS00105	EHI52_RS00105
OG0000005	MHP_RS00110	EHI52_RS00110
OG0000005	MHP_RS00125	EHI52_RS00125
OG0000006	MHP_RS02365	EHI52_RS02500
OG0000006	MHP_RS02230	EHI52_RS03880
OG0000008	MHP_RS03725, MHP_RS03910	EHI52_RS02320
OG0000008	MHP_RS01640	EHI52_RS03775
OG0000008	MHP_RS03920	EHI52_RS03830
OG0000009	MHP_RS00085	EHI52_RS00085
OG0000009	MHP_RS01315	EHI52_RS00680
OG0000010	MHP_RS01830	EHI52_RS02085
OG0000011	MHP_RS01915	EHI52_RS01985
OG0000011	MHP_RS01910	EHI52_RS01990
OG0000012	MHP_RS00400	EHI52_RS01160, EHI52_RS02210, EHI52_RS01810, EHI52_RS03060, EHI52_RS03535, EHI52_RS03635
OG0000013	MHP_RS02275	EHI52_RS02410
OG0000013	MHP_RS03840	EHI52_RS03710
OG0000014	MHP_RS00920	EHI52_RS01155
OG0000016	MHP_RS02785	EHI52_RS02830
OG0000016	MHP_RS00180	EHI52_RS00170
OG0000017	MHP_RS00165	EHI52_RS00155
OG0000017	MHP_RS02795	EHI52_RS02840
OG0000019	MHP_RS02955	EHI52_RS03855
OG0000020	MHP_RS03465	EHI52_RS03550
OG0000020	MHP_RS03470	EHI52_RS03555
OG0000022	MHP_RS01655	EHI52_RS01715
OG0000022	MHP_RS01705	EHI52_RS01770
OG0000024	MHP_RS02605	EHI52_RS02735
OG0000024	MHP_RS00730	EHI52_RS01335
OG0000025	MHP_RS01660	EHI52_RS01720
OG0000025	MHP_RS01700	EHI52_RS01765
OG0000026	MHP_RS00640	EHI52_RS01425
OG0000026	MHP_RS01680	EHI52_RS01745
OG0000027	MHP_RS03675	EHI52_RS03355
OG0000029	MHP_RS00925	EHI52_RS01150
OG0000029	MHP_RS01380	EHI52_RS00620
OG0000030	MHP_RS03260	EHI52_RS03350
OG0000031	MHP_RS02675, MHP_RS01600	EHI52_RS01660
OG0000035	MHP_RS03130	EHI52_RS03220
OG0000035	MHP_RS03120	EHI52_RS03205
OG0000036	MHP_RS00115	EHI52_RS00115
OG0000036	MHP_RS00130	EHI52_RS00130
OG0000037	MHP_RS03820	EHI52_RS01640
OG0000038	MHP_RS01490	EHI52_RS03810
OG0000039	MHP_RS03880, MHP_RS01615	EHI52_RS01675
OG0000040	MHP_RS03205	EHI52_RS03295
OG0000041	MHP_RS01320	EHI52_RS03655
OG0000042	MHP_RS02885	EHI52_RS02930
OG0000043	MHP_RS01880	EHI52_RS02020
OG0000045	MHP_RS01625	EHI52_RS01680
OG0000046	MHP_RS03215	EHI52_RS03305
OG0000048	MHP_RS02060	EHI52_RS01840
OG0000049	MHP_RS02985	EHI52_RS03065
OG0000050	MHP_RS02315	EHI52_RS02450
OG0000051	MHP_RS02520	EHI52_RS02650
OG0000052	MHP_RS00075	EHI52_RS00075
OG0000053	MHP_RS00555	EHI52_RS01510
OG0000054	MHP_RS02340	EHI52_RS02475
