Orthogroup	MHP_232_genes	MHP_TB1_genes
OG0000000	MHP_RS02080	B5M19_RS04470
OG0000000	MHP_RS02190	B5M19_RS03770
OG0000000	MHP_RS03825	B5M19_RS02095
OG0000000	MHP_RS01715	B5M19_RS02100
OG0000001	MHP_RS00720, MHP_RS00725	B5M19_RS02595
OG0000001	MHP_RS03580	B5M19_RS02555
OG0000001	MHP_RS02610	B5M19_RS02510
OG0000002	MHP_RS03905	B5M19_RS04465
OG0000002	MHP_RS03800	B5M19_RS04625
OG0000002	MHP_RS01720	B5M19_RS02105
OG0000003	MHP_RS01825	B5M19_RS03885
OG0000004	MHP_RS03135	B5M19_RS04240
OG0000005	MHP_RS00100	B5M19_RS00020
OG0000005	MHP_RS00105	B5M19_RS00030
OG0000005	MHP_RS00110, MHP_RS00125	B5M19_RS04010, B5M19_RS04005
OG0000006	MHP_RS02365	B5M19_RS03635, B5M19_RS03630
OG0000006	MHP_RS03575	B5M19_RS03605
OG0000006	MHP_RS02230	B5M19_RS02695
OG0000008	MHP_RS03725, MHP_RS03910	B5M19_RS03790
OG0000008	MHP_RS01640	B5M19_RS03340
OG0000008	MHP_RS03920	B5M19_RS04540
OG0000009	MHP_RS01325	B5M19_RS04475
OG0000009	MHP_RS01315	B5M19_RS04265
OG0000010	MHP_RS01830	B5M19_RS00670
OG0000010	MHP_RS03845, MHP_RS00445	B5M19_RS03275
OG0000010	MHP_RS00095	B5M19_RS00015
OG0000011	MHP_RS01915	B5M19_RS04080
OG0000011	MHP_RS01910	B5M19_RS00765
OG0000012	MHP_RS00400	B5M19_RS03815
OG0000013	MHP_RS02275	B5M19_RS02640
OG0000013	MHP_RS03840	B5M19_RS00100
OG0000014	MHP_RS00920	B5M19_RS03715
OG0000014	MHP_RS01385	B5M19_RS03505
OG0000015	MHP_RS02750	B5M19_RS02855
OG0000016	MHP_RS02785	B5M19_RS01425
OG0000016	MHP_RS00180	B5M19_RS00080, B5M19_RS04015
OG0000017	MHP_RS00165	B5M19_RS00065
OG0000017	MHP_RS02795	B5M19_RS01415
OG0000018	MHP_RS03940	B5M19_RS04450
OG0000018	MHP_RS03945	B5M19_RS04445
OG0000020	MHP_RS03465	B5M19_RS04305
OG0000020	MHP_RS03470	B5M19_RS02010
OG0000021	MHP_RS01755	B5M19_RS00590
OG0000022	MHP_RS01655	B5M19_RS02040
OG0000022	MHP_RS01705	B5M19_RS02090
OG0000024	MHP_RS02605	B5M19_RS02500
OG0000024	MHP_RS00730	B5M19_RS04395
OG0000025	MHP_RS01660	B5M19_RS04315
OG0000025	MHP_RS01700	B5M19_RS02085
OG0000026	MHP_RS00640	B5M19_RS01210
OG0000026	MHP_RS01680	B5M19_RS02065
OG0000027	MHP_RS03675	B5M19_RS00565
OG0000027	MHP_RS03280	B5M19_RS00550
OG0000028	MHP_RS02285	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380
OG0000029	MHP_RS00925	B5M19_RS03200
OG0000029	MHP_RS01380	B5M19_RS04520, B5M19_RS03510
OG0000030	MHP_RS03260	B5M19_RS00570
OG0000030	MHP_RS03275	B5M19_RS00555
OG0000031	MHP_RS02675	B5M19_RS04360
OG0000031	MHP_RS01600	B5M19_RS03305
OG0000032	MHP_RS03960	B5M19_RS00560
OG0000033	MHP_RS02280	B5M19_RS04375, B5M19_RS02455
OG0000035	MHP_RS03130	B5M19_RS01610
OG0000035	MHP_RS03120	B5M19_RS04235
OG0000036	MHP_RS00115, MHP_RS00130	B5M19_RS00040
OG0000039	MHP_RS03880, MHP_RS01615	B5M19_RS03320
OG0000040	MHP_RS03205	B5M19_RS02985
OG0000041	MHP_RS01320	B5M19_RS03050
OG0000042	MHP_RS02885	B5M19_RS01320
OG0000043	MHP_RS01880	B5M19_RS02270
OG0000044	MHP_RS01785	B5M19_RS00620
OG0000045	MHP_RS01625	B5M19_RS03325
OG0000047	MHP_RS02735	B5M19_RS03245
OG0000048	MHP_RS02060	B5M19_RS03695
OG0000049	MHP_RS02985	B5M19_RS01455
OG0000050	MHP_RS02315	B5M19_RS02825
OG0000051	MHP_RS02520	B5M19_RS04110
OG0000052	MHP_RS00075	B5M19_RS00005
OG0000053	MHP_RS00555	B5M19_RS01120
OG0000054	MHP_RS02340	B5M19_RS02800
OG0000055	MHP_RS00145	B5M19_RS00045
OG0000056	MHP_RS03450	B5M19_RS00375
OG0000057	MHP_RS02870	B5M19_RS01340
OG0000058	MHP_RS00435	B5M19_RS02250
OG0000058	MHP_RS02670	B5M19_RS02905
OG0000060	MHP_RS03865	B5M19_RS04370
OG0000061	MHP_RS01580	B5M19_RS03265
OG0000062	MHP_RS03505	B5M19_RS01970
OG0000063	MHP_RS03500	B5M19_RS01975
OG0000064	MHP_RS03490	B5M19_RS01990
OG0000065	MHP_RS02125	B5M19_RS02925
OG0000066	MHP_RS00650	B5M19_RS01220
OG0000067	MHP_RS01460	B5M19_RS02375
OG0000068	MHP_RS03685	B5M19_RS04480
OG0000069	MHP_RS02760	B5M19_RS03520
OG0000070	MHP_RS02345	B5M19_RS02795
OG0000071	MHP_RS03195	B5M19_RS02995
OG0000072	MHP_RS03200	B5M19_RS02990
OG0000073	MHP_RS01290	B5M19_RS01840
OG0000074	MHP_RS01100	B5M19_RS01645
OG0000075	MHP_RS00350	B5M19_RS00265
OG0000076	MHP_RS00365	B5M19_RS00280
OG0000077	MHP_RS01545	B5M19_RS03440
OG0000078	MHP_RS01670	B5M19_RS02055
OG0000079	MHP_RS02420	B5M19_RS01010
OG0000080	MHP_RS03805	B5M19_RS03900
OG0000081	MHP_RS00345	B5M19_RS00260
OG0000082	MHP_RS02270	B5M19_RS04420, B5M19_RS04415
OG0000083	MHP_RS01985	B5M19_RS00845
OG0000084	MHP_RS02010	B5M19_RS02760
OG0000085	MHP_RS02015	B5M19_RS02755
OG0000086	MHP_RS02025	B5M19_RS02745
OG0000087	MHP_RS02040	B5M19_RS02730
OG0000088	MHP_RS02045	B5M19_RS02725
OG0000089	MHP_RS02055	B5M19_RS03690
OG0000090	MHP_RS00070	B5M19_RS03775
OG0000091	MHP_RS00055	B5M19_RS04280
OG0000092	MHP_RS00040	B5M19_RS01895
OG0000093	MHP_RS00035	B5M19_RS01900
OG0000094	MHP_RS00030	B5M19_RS01905
OG0000095	MHP_RS00005	B5M19_RS04290
OG0000096	MHP_RS03540	B5M19_RS01935
OG0000097	MHP_RS03520	B5M19_RS01955
OG0000098	MHP_RS03510	B5M19_RS04295
OG0000099	MHP_RS03455	B5M19_RS00370
OG0000100	MHP_RS03440	B5M19_RS00385
OG0000101	MHP_RS03435	B5M19_RS00390
OG0000102	MHP_RS01695	B5M19_RS02080
OG0000103	MHP_RS02090	B5M19_RS02960
OG0000104	MHP_RS02095	B5M19_RS04460
OG0000105	MHP_RS02110	B5M19_RS02940
OG0000106	MHP_RS02120	B5M19_RS02930
OG0000107	MHP_RS02130	B5M19_RS04455
OG0000108	MHP_RS02135	B5M19_RS04620
OG0000109	MHP_RS02140	B5M19_RS02910
OG0000110	MHP_RS02260	B5M19_RS02660
OG0000111	MHP_RS02255	B5M19_RS02665
OG0000112	MHP_RS02245	B5M19_RS02675
OG0000113	MHP_RS02225	B5M19_RS02700
OG0000114	MHP_RS02215	B5M19_RS02710
OG0000115	MHP_RS02205	B5M19_RS03610
OG0000116	MHP_RS00705	B5M19_RS02580
OG0000117	MHP_RS00700	B5M19_RS02575
OG0000118	MHP_RS00665	B5M19_RS01235
OG0000119	MHP_RS00660	B5M19_RS01230
OG0000120	MHP_RS00645	B5M19_RS01215
OG0000121	MHP_RS00620	B5M19_RS01190
OG0000122	MHP_RS00615	B5M19_RS01185
OG0000123	MHP_RS00595	B5M19_RS01165
OG0000124	MHP_RS00590	B5M19_RS01160
OG0000125	MHP_RS00585	B5M19_RS01155
OG0000126	MHP_RS00575	B5M19_RS01145
OG0000127	MHP_RS00565	B5M19_RS01135
OG0000128	MHP_RS00550	B5M19_RS01115
OG0000129	MHP_RS00545	B5M19_RS01110
OG0000130	MHP_RS00535	B5M19_RS01100
OG0000131	MHP_RS00505	B5M19_RS01075
OG0000132	MHP_RS00490	B5M19_RS01060
OG0000133	MHP_RS01455	B5M19_RS02380
OG0000134	MHP_RS01450	B5M19_RS02385
OG0000135	MHP_RS01435	B5M19_RS02400
OG0000136	MHP_RS01430	B5M19_RS02405
OG0000137	MHP_RS01400	B5M19_RS02445
OG0000138	MHP_RS01370	B5M19_RS03090
OG0000139	MHP_RS01340	B5M19_RS03070
OG0000140	MHP_RS01335	B5M19_RS03065
OG0000141	MHP_RS02880	B5M19_RS01330
OG0000142	MHP_RS02875	B5M19_RS01335
OG0000143	MHP_RS02850	B5M19_RS01360
OG0000144	MHP_RS02840	B5M19_RS01370
OG0000145	MHP_RS02830	B5M19_RS01380
OG0000146	MHP_RS02820	B5M19_RS01390
OG0000147	MHP_RS02815	B5M19_RS01395
OG0000148	MHP_RS02800	B5M19_RS01410
OG0000149	MHP_RS02790	B5M19_RS01420
OG0000150	MHP_RS02775	B5M19_RS04180
OG0000151	MHP_RS02645	B5M19_RS02540
OG0000152	MHP_RS02640	B5M19_RS02535
OG0000153	MHP_RS02635	B5M19_RS02530
OG0000154	MHP_RS02625	B5M19_RS02520
OG0000155	MHP_RS02585	B5M19_RS02480
OG0000156	MHP_RS02575	B5M19_RS00860
OG0000157	MHP_RS02570	B5M19_RS00865
OG0000158	MHP_RS04005	B5M19_RS04580
OG0000159	MHP_RS04015	B5M19_RS02810
OG0000160	MHP_RS02325	B5M19_RS02815
OG0000161	MHP_RS02320	B5M19_RS02820
OG0000162	MHP_RS02310	B5M19_RS02830
OG0000163	MHP_RS02305	B5M19_RS02835
OG0000164	MHP_RS01605	B5M19_RS04495
OG0000165	MHP_RS01905	B5M19_RS00760
OG0000166	MHP_RS01925	B5M19_RS00785
OG0000167	MHP_RS01940	B5M19_RS00800
OG0000168	MHP_RS01945	B5M19_RS00805
OG0000169	MHP_RS02980	B5M19_RS01450
OG0000170	MHP_RS02995	B5M19_RS01465
OG0000171	MHP_RS03005	B5M19_RS01475
OG0000172	MHP_RS03010	B5M19_RS01480
OG0000173	MHP_RS03015	B5M19_RS01490
OG0000174	MHP_RS03020	B5M19_RS01495
OG0000175	MHP_RS03035	B5M19_RS01510
OG0000176	MHP_RS03085	B5M19_RS01560
OG0000177	MHP_RS03090	B5M19_RS01565
OG0000178	MHP_RS03095	B5M19_RS04200
OG0000179	MHP_RS03105	B5M19_RS01580
OG0000180	MHP_RS03110	B5M19_RS01585
OG0000181	MHP_RS03145	B5M19_RS03045
