Orthogroup	MHP_232_genes	MHP_111A_genes
OG0000000	MHP_RS04000	NB623_RS01855
OG0000000	MHP_RS02190	NB623_RS02460
OG0000000	MHP_RS03825	NB623_RS01845, NB623_RS01850
OG0000000	MHP_RS01715	NB623_RS01865
OG0000001	MHP_RS03580	NB623_RS02960
OG0000001	MHP_RS02610	NB623_RS02910
OG0000002	MHP_RS03905	NB623_RS02345
OG0000002	MHP_RS03800	NB623_RS01905
OG0000003	MHP_RS01485	NB623_RS00495
OG0000004	MHP_RS03125	NB623_RS03350
OG0000004	MHP_RS03135	NB623_RS03365
OG0000004	MHP_RS02960	NB623_RS03180
OG0000005	MHP_RS00100	NB623_RS00105
OG0000005	MHP_RS00105	NB623_RS00110
OG0000005	MHP_RS00110	NB623_RS00115
OG0000006	MHP_RS02365	NB623_RS02650
OG0000008	MHP_RS03725, MHP_RS03910	NB623_RS02455
OG0000008	MHP_RS01640	NB623_RS01760
OG0000008	MHP_RS03920	NB623_RS02665, NB623_RS02660
OG0000009	MHP_RS01325	NB623_RS00665
OG0000009	MHP_RS00085	NB623_RS00090
OG0000009	MHP_RS01315	NB623_RS00680
OG0000010	MHP_RS01830	NB623_RS02245
OG0000011	MHP_RS01915	NB623_RS02145
OG0000011	MHP_RS01910	NB623_RS02150
OG0000012	MHP_RS00400	NB623_RS01890, NB623_RS01710, NB623_RS01005, NB623_RS02340, NB623_RS02230
OG0000013	MHP_RS02275	NB623_RS02540
OG0000014	MHP_RS00920	NB623_RS01220
OG0000014	MHP_RS01385	NB623_RS00600
OG0000015	MHP_RS02750	NB623_RS01925
OG0000016	MHP_RS00180	NB623_RS00160
OG0000017	MHP_RS00165	NB623_RS00145
OG0000017	MHP_RS02795	NB623_RS03015
OG0000018	MHP_RS03940	NB623_RS01950
OG0000019	MHP_RS02955	NB623_RS03195, NB623_RS03185
OG0000020	MHP_RS03465	NB623_RS03740
OG0000020	MHP_RS03470	NB623_RS03745
OG0000022	MHP_RS01655	NB623_RS01785
OG0000022	MHP_RS01705	NB623_RS01840
OG0000023	MHP_RS02730	NB623_RS01940
OG0000024	MHP_RS02605	NB623_RS02905
OG0000024	MHP_RS00730	NB623_RS01395
OG0000025	MHP_RS01660	NB623_RS01790
OG0000025	MHP_RS01700	NB623_RS01835
OG0000026	MHP_RS00640	NB623_RS01480
OG0000026	MHP_RS01680	NB623_RS01815
OG0000027	MHP_RS03675	NB623_RS03520
OG0000027	MHP_RS03280	NB623_RS03535
OG0000029	MHP_RS00925	NB623_RS01215
OG0000029	MHP_RS01380	NB623_RS00605
OG0000030	MHP_RS03260	NB623_RS03510
OG0000030	MHP_RS03275	NB623_RS03530
OG0000031	MHP_RS02675	NB623_RS01985
OG0000032	MHP_RS03960	NB623_RS03525
OG0000035	MHP_RS03130	NB623_RS03355
OG0000035	MHP_RS03120	NB623_RS03345
OG0000036	MHP_RS00115	NB623_RS00120
OG0000037	MHP_RS03820	NB623_RS01700
OG0000038	MHP_RS01490	NB623_RS00485
OG0000039	MHP_RS03880, MHP_RS01615	NB623_RS01730
