Orthogroup	MHP_232_genes	MHP_154B_genes
OG0000000	MHP_RS02080	NB624_RS02330
OG0000000	MHP_RS03825	NB624_RS01720, NB624_RS01725
OG0000001	MHP_RS03580	NB624_RS02960
OG0000001	MHP_RS02610	NB624_RS02915
OG0000002	MHP_RS03905	NB624_RS02340
OG0000002	MHP_RS01720	NB624_RS01730
OG0000003	MHP_RS01485	NB624_RS01755
OG0000003	MHP_RS01825	NB624_RS01835
OG0000004	MHP_RS02960	NB624_RS03195
OG0000005	MHP_RS00100	NB624_RS00100
OG0000005	MHP_RS00110	NB624_RS00105
OG0000006	MHP_RS02365	NB624_RS02650
OG0000006	MHP_RS02230	NB624_RS02645
OG0000008	MHP_RS03725, MHP_RS03910	NB624_RS02450
OG0000008	MHP_RS01640	NB624_RS01625, NB624_RS01635
OG0000008	MHP_RS03920	NB624_RS02665
OG0000009	MHP_RS01325	NB624_RS01015
OG0000009	MHP_RS00085	NB624_RS00085
OG0000009	MHP_RS01315	NB624_RS01000
OG0000010	MHP_RS01830, MHP_RS03845, MHP_RS00445, MHP_RS00095	NB624_RS01855
OG0000011	MHP_RS01915	NB624_RS01955
OG0000011	MHP_RS01910	NB624_RS01950
OG0000012	MHP_RS00400	NB624_RS02895, NB624_RS01075, NB624_RS01870
OG0000013	MHP_RS02275	NB624_RS02540
OG0000013	MHP_RS03840	NB624_RS00185
OG0000014	MHP_RS00920	NB624_RS01090
OG0000014	MHP_RS01385	NB624_RS01080
OG0000015	MHP_RS02750	NB624_RS02070
OG0000016	MHP_RS02785	NB624_RS03000
OG0000016	MHP_RS00180	NB624_RS00170
OG0000017	MHP_RS00165	NB624_RS00155
OG0000017	MHP_RS02795	NB624_RS03010
OG0000018	MHP_RS03940	NB624_RS02095
OG0000019	MHP_RS02955	NB624_RS03190
OG0000020	MHP_RS03465	NB624_RS03690
OG0000020	MHP_RS03470	NB624_RS03695
OG0000021	MHP_RS01475	NB624_RS01765
OG0000022	MHP_RS01655	NB624_RS01660
OG0000022	MHP_RS01705	NB624_RS01715
OG0000023	MHP_RS00685, MHP_RS02730	NB624_RS01310
OG0000024	MHP_RS02605	NB624_RS02910
OG0000024	MHP_RS00730	NB624_RS01265
OG0000025	MHP_RS01660	NB624_RS01665
OG0000025	MHP_RS01700	NB624_RS01710
OG0000026	MHP_RS00640	NB624_RS01355
