HOG	OG	Gene Tree Parent Clade	MFC_ATCC27716_protein	MFC_MF11_protein	MFC_MF18_protein	MFC_MF22_protein	MFC_MF29_protein	MFC_MF30_protein	MFC_MF33_protein	MFC_MS42_protein	MHP_11_protein	MHP_168L_protein	MHP_168_protein	MHP_232_protein	MHP_7422_protein	MHP_7448_protein	MHP_98_protein	MHP_ES2L_protein	MHP_ES2_protein	MHP_F72C_protein	MHP_J_protein	MHP_LH_protein	MHP_MHP650_protein	MHP_MHP653_protein	MHP_MHP679_protein	MHP_MHP682_protein	MHP_MHP691_protein	MHP_MHP694_protein	MHP_MHP696_protein	MHP_MHP699_protein	MHP_MHP709_protein	MHP_NCTC10127_protein	MHP_REF_protein	MHP_TB1_protein	MHP_UFV01_protein	MHP_UFV02_protein
N30.HOG0000000	OG0000000	n10									WP_088172557.1																					WP_011206201.1				
N30.HOG0000001	OG0000000	n34									WP_044284797.1																					WP_044284797.1				
N30.HOG0000002	OG0000000	n98									WP_011206202.1																					WP_011206202.1				
N30.HOG0000003	OG0000001	n19									WP_044284785.1																					WP_044284785.1				
N30.HOG0000004	OG0000001	n74									WP_044284791.1																					WP_044284791.1				
N30.HOG0000005	OG0000002	n2									WP_241499457.1																					WP_232039504.1				
N30.HOG0000006	OG0000002	n42									WP_011206279.1																					WP_011206279.1				
N30.HOG0000007	OG0000003	n27									WP_088172539.1																					WP_129640577.1				
N30.HOG0000008	OG0000003	n49									WP_206600680.1																									
N30.HOG0000009	OG0000003	n61									WP_088172555.1																					WP_088172555.1				
N30.HOG0000010	OG0000004	n12																														WP_011206151.1				
N30.HOG0000011	OG0000004	n28									WP_241499462.1																					WP_232039538.1				
N30.HOG0000012	OG0000004	n44									WP_241499463.1																					WP_011206295.1				
N30.HOG0000013	OG0000005	n28									WP_129640575.1																					WP_129640575.1				
N30.HOG0000014	OG0000005	n60									WP_323749055.1																					WP_323749055.1				
N30.HOG0000015	OG0000006	n1																														WP_232039607.1				
N30.HOG0000016	OG0000006	n11									WP_011206109.1																					WP_011206109.1				
N30.HOG0000017	OG0000006	n37									WP_088172531.1																					WP_129640618.1				
N30.HOG0000018	OG0000006	n57									WP_088172536.1																									
N30.HOG0000019	OG0000008	n3									WP_011206450.1																					WP_011206450.1				
N30.HOG0000020	OG0000008	n34									WP_088172517.1																					WP_011206448.1				
N30.HOG0000021	OG0000008	n41									WP_088172515.1																					WP_088172515.1				
N30.HOG0000022	OG0000009	n53									WP_088172546.1																					WP_129640581.1				
N30.HOG0000023	OG0000010	n9									WP_011206342.1																					WP_011206342.1				
N30.HOG0000024	OG0000010	n33									WP_232039579.1																					WP_232039579.1				
N30.HOG0000025	OG0000011	n17																														WP_129640589.1				
N30.HOG0000026	OG0000011	n32									WP_088172513.1																					WP_011206411.1				
N30.HOG0000027	OG0000012	n29									WP_011206371.1																					WP_011206371.1, WP_232039627.1, WP_232039612.1				
N30.HOG0000028	OG0000013	n3									WP_232039545.1																					WP_232039545.1				
N30.HOG0000029	OG0000013	n29									WP_088172547.1																					WP_088172547.1				
N30.HOG0000030	OG0000014	n5									WP_232039548.1																					WP_232039548.1				
N30.HOG0000031	OG0000014	n25									WP_011205979.1																					WP_011205979.1				
N30.HOG0000032	OG0000015	n8									WP_044284786.1																					WP_044284786.1				
N30.HOG0000033	OG0000016	n20									WP_088172544.1																					WP_129640579.1				
N30.HOG0000034	OG0000017	n1									WP_011206449.1																					WP_011206449.1				
N30.HOG0000035	OG0000017	n39									WP_011206447.1																					WP_011206447.1				
N30.HOG0000036	OG0000018	n0									WP_044284805.1																					WP_044284805.1				
N30.HOG0000037	OG0000019	n10									WP_011205862.1																					WP_011205862.1				
N30.HOG0000038	OG0000019	n26									WP_088172524.1																					WP_011205865.1				
N30.HOG0000039	OG0000020	n1									WP_011205920.1																					WP_011205920.1				
N30.HOG0000040	OG0000021	n16									WP_044284803.1																					WP_232039593.1				
N30.HOG0000041	OG0000021	n19									WP_088172559.1																					WP_232039511.1				
