Assembly	ragtag.patch
# contigs (>= 0 bp)	46
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	906915
Total length (>= 1000 bp)	892391
Total length (>= 5000 bp)	880759
Total length (>= 10000 bp)	880759
Total length (>= 25000 bp)	880759
Total length (>= 50000 bp)	880759
# contigs	12
Largest contig	880759
Total length	896751
GC (%)	28.47
N50	880759
N90	880759
auN	865099.4
L50	1
L90	1
# N's per 100 kbp	678.90
