Orthogroup	MHP_MHP650_proteins	MHP_116_proteins
OG0000000	WP_160601117.1	WP_348602510.1
OG0000000	WP_013302014.1, WP_308704770.1, WP_160601261.1, WP_160601285.1, WP_160601277.1, WP_308704771.1	WP_348602504.1
OG0000000	WP_308704769.1	WP_348602862.1
OG0000000	WP_258556712.1	WP_348602524.1
OG0000000	WP_160601020.1, WP_233688764.1	WP_348602817.1
OG0000001	WP_258556637.1	WP_348602774.1
OG0000001	WP_011206342.1, WP_258556621.1	WP_348602576.1
OG0000002	WP_258556677.1	WP_237697200.1
OG0000002	WP_160601263.1	WP_348602505.1
OG0000002	WP_160601022.1	WP_348602818.1
OG0000003	WP_220200909.1	WP_348602823.1, WP_348602702.1
OG0000003	WP_220200875.1	WP_094521666.1
OG0000004	WP_160601251.1	WP_348602620.1
OG0000004	WP_160601249.1	WP_348602621.1
OG0000005	WP_160601191.1	WP_348602674.1
OG0000005	WP_160590473.1	WP_348602675.1
OG0000005	WP_160601189.1	WP_348602676.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_160585819.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_348602508.1
OG0000008	WP_011206260.1	WP_348602523.1
OG0000008	WP_258556714.1	WP_348602544.1
OG0000009	WP_160600866.1	WP_348602749.1
OG0000009	WP_094521537.1	WP_348602671.1
OG0000009	WP_258556653.1	WP_348602762.1
OG0000009	WP_094521581.1	WP_348602747.1
OG0000010	WP_160601055.1	WP_348602833.1
OG0000011	WP_160600906.1	WP_348602848.1
OG0000011	WP_160600904.1	WP_348602847.1
OG0000013	WP_371863325.1	WP_348602536.1
OG0000013	WP_371863321.1	WP_348602684.1
OG0000014	WP_220200910.1	WP_348602713.1
OG0000014	WP_160601233.1	WP_348602753.1
OG0000015	WP_160601171.1	WP_240536643.1, WP_146379573.1
OG0000016	WP_160600777.1	WP_348602584.1
OG0000016	WP_160600653.1	WP_348602682.1
OG0000017	WP_228365403.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_135618680.1, WP_160601158.1	WP_348602781.1
OG0000019	WP_258556650.1	WP_348602605.1
OG0000020	WP_308704754.1	WP_348602656.1
OG0000020	WP_308704755.1	WP_348602657.1
OG0000021	WP_094521655.1, WP_220200881.1	WP_348602703.1
OG0000022	WP_160601006.1	WP_348602807.1
OG0000022	WP_160601018.1	WP_348602816.1
OG0000024	WP_258556699.1	WP_348602575.1
OG0000024	WP_160600862.1	WP_348602773.1
OG0000025	WP_160601008.1	WP_348602808.1
OG0000025	WP_160601016.1	WP_348602815.1
OG0000026	WP_044284614.1	WP_348602786.1
OG0000026	WP_160585054.1	WP_348602812.1
OG0000027	WP_011206475.1	WP_348602636.1
OG0000028	WP_160600719.1	WP_348602538.1
OG0000029	WP_160601095.1	WP_348602714.1
OG0000029	WP_160601231.1	WP_348602752.1
OG0000030	WP_308704764.1	WP_348602635.1
OG0000032	WP_160601271.1	WP_348602799.1
OG0000034	WP_160601267.1	WP_348602507.1
OG0000035	WP_160601253.1	WP_044284714.1
OG0000036	WP_014579530.1	WP_348602677.1
OG0000039	WP_160601257.1	WP_348602802.1
OG0000040	WP_160601121.1	WP_348602629.1
OG0000041	WP_232039589.1	WP_011290019.1
OG0000042	WP_160600794.1	WP_348602593.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_160590485.1	WP_160606615.1
OG0000048	WP_011284150.1	WP_011284150.1
OG0000049	WP_160600923.1	WP_348602606.1
OG0000050	WP_160600723.1	WP_348602539.1
OG0000051	WP_160601045.1	WP_348602565.1
OG0000052	WP_011283836.1	WP_011283836.1
OG0000053	WP_160600836.1	WP_348602794.1
OG0000054	WP_160600727.1	WP_348602541.1
OG0000055	WP_014579531.1	WP_348602678.1
OG0000056	WP_160600810.1	WP_348571887.1
OG0000057	WP_258556625.1, WP_258556626.1	WP_348602591.1
OG0000060	WP_220200887.1	WP_348602670.1, WP_348602763.1
OG0000061	WP_160587888.1	WP_348602835.1
OG0000062	WP_160588098.1	WP_348602661.1, WP_011206522.1
OG0000063	WP_041361715.1	WP_348602663.1, WP_348602660.1
OG0000064	WP_011290440.1	WP_348602658.1
OG0000065	WP_243216185.1	WP_225972975.1
OG0000066	WP_160600846.1	WP_011205965.1
OG0000067	WP_160601069.1	WP_348602706.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_348602542.1
OG0000071	WP_160601125.1	WP_348571847.1
OG0000072	WP_160601123.1	WP_348602628.1
OG0000073	WP_011290025.1	WP_011206093.1
OG0000074	WP_011206057.1	WP_348602722.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_160600693.1	WP_146379475.1
OG0000077	WP_160601219.1	WP_348602701.1
OG0000078	WP_160601010.1	WP_348602810.1
OG0000079	WP_160600966.1	WP_348602553.1
OG0000080	WP_011206314.1	WP_348602560.1
OG0000081	WP_160600689.1	WP_011289985.1
OG0000083	WP_014579823.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_160601152.1	WP_348602498.1
OG0000086	WP_160601147.1	WP_348602499.1
OG0000087	WP_160601142.1	WP_348602502.1
OG0000088	WP_020835733.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_011283835.1	WP_094521535.1
OG0000091	WP_160600822.1	WP_348602669.1
OG0000092	WP_011205847.1	WP_348602668.1
OG0000093	WP_020835484.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_348602667.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_146379771.1	WP_348602664.1
OG0000098	WP_160600816.1	WP_348602662.1, WP_135619170.1
OG0000099	WP_160600812.1	WP_348602654.1
OG0000100	WP_160600806.1	WP_160585575.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_135619192.1	WP_348602859.1
OG0000103	WP_160601114.1	WP_348571656.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_160588282.1	WP_094521691.1
OG0000106	WP_011284167.1	WP_348602514.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_192894278.1
OG0000109	WP_160601110.1	WP_348602515.1
OG0000110	WP_160601201.1	WP_243216208.1
OG0000111	WP_258556696.1	WP_348602533.1
OG0000112	WP_258556695.1	WP_348602531.1
OG0000113	WP_160601227.1	WP_348602528.1
OG0000114	WP_258555507.1	WP_348602527.1
OG0000115	WP_011290245.1	WP_011290245.1
OG0000116	WP_160600860.1	WP_348602777.1
OG0000117	WP_160600858.1	WP_348602778.1
OG0000118	WP_011284023.1	WP_348572057.1
OG0000119	WP_160600850.1	WP_348602783.1
OG0000120	WP_160600844.1	WP_348602785.1
OG0000121	WP_011284032.1	WP_348602788.1
OG0000122	WP_020835643.1	WP_348602789.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_160600842.1	WP_348602791.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_146379560.1	WP_011205950.1
OG0000127	WP_011290122.1	WP_011205948.1
OG0000128	WP_160600834.1	WP_348602795.1
OG0000129	WP_160600832.1	WP_014579732.1
OG0000130	WP_160600828.1	WP_011284046.1
OG0000131	WP_146379566.1	WP_094521635.1
OG0000132	WP_094521636.1	WP_135618714.1
OG0000133	WP_011206123.1	WP_011206123.1
OG0000134	WP_308704761.1	WP_348602707.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_135618546.1	WP_348602708.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_160584793.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_146379496.1
OG0000141	WP_160600792.1	WP_160584965.1
OG0000142	WP_160600791.1	WP_348602592.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_160600787.1	WP_348602590.1
OG0000145	WP_228365394.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_160600783.1	WP_011206384.1
OG0000148	WP_160600779.1	WP_348602586.1
OG0000149	WP_011290331.1	WP_348602585.1
OG0000150	WP_160600775.1	WP_011206376.1
OG0000151	WP_160600765.1	WP_348602580.1
OG0000152	WP_160600763.1	WP_348602579.1
OG0000153	WP_160600761.1	WP_233688497.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_011206337.1	WP_348602573.1
OG0000156	WP_160601028.1	WP_348602572.1
OG0000157	WP_160601030.1	WP_348602571.1
OG0000158	WP_160601032.1	WP_348602570.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011284209.1	WP_011284209.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000162	WP_135619210.1	WP_135619210.1
OG0000163	WP_160600721.1	WP_348571730.1
OG0000164	WP_160601269.1	WP_233688726.1
OG0000165	WP_160600902.1	WP_348602846.1
OG0000166	WP_160600910.1	WP_348602850.1
OG0000167	WP_011206207.1	WP_348602852.1
OG0000168	WP_160587908.1	WP_348602853.1
OG0000169	WP_002557698.1	WP_179221201.1
OG0000170	WP_011206420.1	WP_020835862.1
OG0000171	WP_050195447.1	WP_348602609.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160600927.1	WP_160588049.1
OG0000174	WP_160600929.1	WP_348602610.1
OG0000175	WP_160588054.1	WP_160585645.1
OG0000176	WP_160600939.1	WP_348602616.1
OG0000177	WP_014579977.1	WP_160606697.1
OG0000178	WP_020835878.1	WP_348602617.1
OG0000179	WP_160600943.1	WP_014579979.1
OG0000180	WP_160600945.1	WP_011206445.1
OG0000181	WP_160601136.1	WP_348602622.1
OG0000182	WP_011206453.1	WP_014579987.1
OG0000183	WP_011206459.1	WP_348571845.1
OG0000184	WP_135619119.1	WP_160585238.1
OG0000185	WP_020835897.1	WP_146379740.1
OG0000186	WP_160601247.1	WP_135618718.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_160601241.1	WP_011205932.1
OG0000189	WP_160601185.1	WP_348602521.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_135619204.1	WP_348602517.1
OG0000192	WP_011284001.1	WP_348602857.1
OG0000193	WP_011283999.1	WP_094521610.1
OG0000194	WP_094521582.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_011283924.1
OG0000196	WP_228729168.1	WP_228729168.1
OG0000197	WP_041361572.1	WP_348602746.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160600870.1	WP_146379501.1
OG0000201	WP_160600874.1	WP_011283934.1
OG0000202	WP_308704756.1	WP_348602735.1
OG0000203	WP_011206072.1	WP_348602734.1
OG0000204	WP_014579633.1	WP_348602733.1
OG0000205	WP_014579632.1	WP_348602732.1
OG0000206	WP_160600886.1	WP_135618589.1
OG0000207	WP_011283951.1	WP_011283951.1
OG0000208	WP_011290046.1	WP_348602727.1
OG0000209	WP_011206061.1	WP_348602726.1
OG0000210	WP_044284597.1	WP_135618604.1
OG0000211	WP_011206050.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_160601104.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_020835589.1
OG0000216	WP_014579616.1	WP_348602720.1
OG0000217	WP_011206044.1	WP_348602719.1
OG0000218	WP_011206042.1	WP_011290058.1
OG0000219	WP_220200886.1	WP_011206041.1
OG0000220	WP_011206040.1	WP_160590391.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_011206037.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160601098.1	WP_160585734.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_348602718.1
OG0000228	WP_094521599.1	WP_348602717.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_348602716.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_233688672.1
OG0000234	WP_044284822.1	WP_348602756.1
OG0000235	WP_020835611.1	WP_348602758.1
OG0000236	WP_160600997.1	WP_011283989.1
OG0000237	WP_160600995.1	WP_348572018.1
