Orthogroup	MHP_MHP650_proteins	MHP_4284_proteins
OG0000000	WP_160601117.1	WP_406823103.1
OG0000000	WP_160601020.1, WP_233688764.1	WP_406823272.1
OG0000001	WP_258556637.1	WP_406823250.1
OG0000001	WP_258556624.1	WP_240536609.1
OG0000001	WP_011206342.1, WP_258556621.1	WP_406823154.1
OG0000002	WP_258556677.1	WP_258555377.1, WP_160606963.1
OG0000002	WP_160601263.1	WP_406823109.1
OG0000002	WP_160601022.1	WP_406823273.1
OG0000003	WP_220200909.1	WP_406823224.1
OG0000003	WP_237697199.1	WP_406823104.1
OG0000003	WP_220200875.1	WP_406823281.1
OG0000004	WP_160601251.1	WP_406823182.1
OG0000004	WP_160601249.1	WP_406823184.1
OG0000004	WP_160600949.1	WP_406823298.1
OG0000005	WP_160601191.1	WP_406823208.1
OG0000005	WP_160590473.1	WP_146379450.1
OG0000005	WP_160601189.1	WP_406823209.1, WP_406823210.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_160585819.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_011206260.1	WP_406823102.1
OG0000008	WP_258556714.1	WP_406823131.1
OG0000009	WP_094521537.1	WP_146379448.1
OG0000009	WP_094521581.1	WP_146379497.1
OG0000010	WP_160601055.1	WP_406823282.1
OG0000011	WP_160600906.1	WP_406823289.1
OG0000011	WP_160600904.1	WP_406823288.1
OG0000013	WP_371863325.1	WP_406823122.1
OG0000014	WP_220200910.1	WP_406823229.1
OG0000014	WP_160601233.1	WP_406823237.1
OG0000015	WP_160601171.1	WP_240536643.1, WP_406823263.1
OG0000016	WP_160600777.1	WP_020835836.1
OG0000016	WP_160600653.1	WP_406823211.1
OG0000017	WP_228365403.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_258556650.1	WP_406823175.1
OG0000020	WP_308704754.1	WP_406823202.1
OG0000020	WP_308704755.1	WP_406823203.1
OG0000022	WP_160601006.1	WP_406823266.1
OG0000022	WP_160601018.1	WP_406823271.1
OG0000023	WP_160601161.1	WP_044272391.1
OG0000024	WP_258556699.1	WP_406823153.1
OG0000024	WP_160600862.1	WP_406823249.1
OG0000025	WP_160601008.1	WP_160607943.1
OG0000025	WP_160601016.1	WP_160606775.1
OG0000026	WP_044284614.1	WP_044284614.1
OG0000026	WP_160585054.1	WP_406823270.1
OG0000027	WP_011206475.1	WP_406823196.1
OG0000028	WP_160600719.1, WP_160600717.1	WP_406823124.1
OG0000029	WP_160601095.1	WP_406823230.1
OG0000030	WP_308704764.1	WP_240536353.1
OG0000032	WP_160601271.1	WP_135618726.1
OG0000034	WP_233688423.1	WP_406823106.1
OG0000034	WP_160601267.1, WP_160601273.1	WP_406823108.1
OG0000035	WP_160601253.1	WP_406823183.1
OG0000036	WP_014579530.1	WP_020835495.1, WP_348571921.1
OG0000039	WP_160601257.1	WP_406823259.1
OG0000040	WP_160601121.1	WP_406823189.1
OG0000041	WP_220200864.1	WP_228366127.1
OG0000042	WP_160600794.1	WP_406823168.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000044	WP_011206179.1	WP_011206179.1
OG0000045	WP_160590485.1	WP_406823261.1
OG0000048	WP_011284150.1	WP_011290213.1
OG0000049	WP_160600923.1	WP_020835860.1
OG0000050	WP_160600723.1	WP_406823126.1
OG0000051	WP_160601045.1	WP_406823144.1
OG0000052	WP_011283836.1	WP_011289937.1
OG0000053	WP_160600836.1	WP_406823255.1
OG0000054	WP_160600727.1	WP_348602541.1
OG0000055	WP_014579531.1	WP_348571923.1
OG0000056	WP_160600810.1	WP_348571887.1
OG0000057	WP_258556625.1, WP_258556626.1	WP_020835847.1
OG0000060	WP_220200887.1	WP_348602763.1
OG0000061	WP_160587888.1	WP_135618818.1
OG0000062	WP_160588098.1	WP_011206522.1
OG0000063	WP_041361715.1	WP_406823204.1
OG0000064	WP_011290440.1	WP_011290440.1
OG0000065	WP_243216185.1	WP_225972975.1
OG0000066	WP_160600846.1	WP_011205965.1
OG0000067	WP_160601069.1	WP_406823225.1
OG0000068	WP_011206103.1	WP_160587949.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_348602542.1
OG0000071	WP_160601125.1	WP_406823187.1
OG0000072	WP_160601123.1	WP_406823188.1
OG0000073	WP_011290025.1	WP_011290025.1
OG0000074	WP_011206057.1	WP_348571983.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_160600693.1	WP_146379475.1
OG0000077	WP_160601219.1	WP_406823222.1
OG0000078	WP_160601010.1	WP_406823268.1
OG0000079	WP_160600966.1	WP_020835797.1
OG0000080	WP_011206314.1	WP_406823141.1
OG0000081	WP_160600689.1	WP_406823218.1
OG0000083	WP_014579823.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_160601152.1	WP_011206223.1
OG0000086	WP_160601147.1	WP_406823091.1
OG0000087	WP_160601142.1	WP_020835732.1
OG0000088	WP_020835733.1	WP_406823093.1
OG0000089	WP_011206231.1	WP_011290212.1
OG0000090	WP_011283835.1	WP_094521535.1
OG0000091	WP_160600822.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_020835484.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_160606485.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_146379771.1	WP_406823206.1
OG0000098	WP_160600816.1	WP_404924345.1
OG0000099	WP_160600812.1	WP_406823200.1
OG0000100	WP_160600806.1	WP_404924338.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_135619192.1	WP_348602859.1
OG0000103	WP_160601114.1	WP_406823095.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_160588282.1	WP_094521691.1
OG0000106	WP_011284167.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_192894278.1
OG0000109	WP_160601110.1	WP_160606848.1
OG0000110	WP_160601201.1	WP_406823119.1
OG0000111	WP_258556696.1	WP_404924516.1
OG0000112	WP_258556695.1	WP_406823117.1
OG0000113	WP_160601227.1	WP_406823114.1
OG0000114	WP_258555507.1	WP_258555507.1
OG0000115	WP_011290245.1	WP_011290245.1
OG0000116	WP_160600860.1	WP_011290103.1
OG0000117	WP_160600858.1	WP_044272388.1
OG0000118	WP_011284023.1	WP_011290108.1
OG0000119	WP_160600850.1	WP_160585678.1
OG0000120	WP_160600844.1	WP_406823252.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_160600842.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_146379560.1	WP_160606641.1
OG0000127	WP_011290122.1	WP_011290122.1
OG0000128	WP_160600834.1	WP_406823256.1
OG0000129	WP_160600832.1	WP_014579732.1
OG0000130	WP_160600828.1	WP_011284046.1
OG0000131	WP_146379566.1	WP_011284047.1
OG0000132	WP_094521636.1	WP_160588229.1
OG0000133	WP_011206123.1	WP_094521764.1
OG0000134	WP_308704761.1	WP_228365407.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_135618546.1	WP_179695961.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_160584793.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_160584795.1
OG0000141	WP_160600792.1	WP_406823167.1
OG0000142	WP_160600791.1	WP_406823166.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_160600787.1	WP_406823165.1
OG0000145	WP_228365394.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_160600783.1	WP_011206384.1
OG0000148	WP_160600779.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_160600775.1	WP_011206376.1
OG0000151	WP_160600765.1	WP_020835828.1
OG0000152	WP_160600763.1	WP_406823158.1
OG0000153	WP_160600761.1	WP_406823157.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_011206337.1	WP_020835820.1
OG0000156	WP_160601028.1	WP_406823151.1
OG0000157	WP_160601030.1	WP_020835818.1
OG0000158	WP_160601032.1	WP_406823149.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011284209.1	WP_406823128.1
OG0000161	WP_011206287.1	WP_406823127.1
OG0000162	WP_135619210.1	WP_135619210.1
OG0000163	WP_160600721.1	WP_406823125.1
OG0000164	WP_160601269.1	WP_406823258.1
OG0000165	WP_160600902.1	WP_011206200.1
OG0000166	WP_160600910.1	WP_160590029.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_160587908.1	WP_135618848.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_011206420.1	WP_020835862.1
OG0000171	WP_050195447.1	WP_011290367.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_160600927.1	WP_011206425.1
OG0000174	WP_160600929.1	WP_406823176.1
OG0000175	WP_160588054.1	WP_160606707.1
OG0000176	WP_160600939.1	WP_406823178.1
OG0000177	WP_014579977.1	WP_160585273.1
OG0000178	WP_020835878.1	WP_044272620.1
OG0000179	WP_160600943.1	WP_020835880.1
OG0000180	WP_160600945.1	WP_081642895.1
OG0000181	WP_160601136.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_135619119.1	WP_011206468.1
OG0000185	WP_020835897.1	WP_146379740.1
OG0000186	WP_160601247.1	WP_348572074.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_160601241.1	WP_011205932.1
OG0000189	WP_160601185.1	WP_406823100.1
OG0000190	WP_011206256.1	WP_146379637.1
OG0000191	WP_135619204.1	WP_020835755.1
OG0000192	WP_011284001.1	WP_404912441.1
OG0000193	WP_011283999.1	WP_094521610.1
OG0000194	WP_094521582.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_228729168.1	WP_179695841.1
OG0000197	WP_041361572.1	WP_406823236.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160600870.1	WP_160588272.1
OG0000201	WP_160600874.1	WP_011283934.1
OG0000202	WP_308704756.1	WP_406823234.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_014579633.1	WP_011206071.1
OG0000205	WP_014579632.1	WP_160585610.1
OG0000206	WP_160600886.1	WP_011290044.1
OG0000207	WP_011283951.1	WP_094521594.1
OG0000208	WP_011290046.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_044284597.1	WP_160606686.1
OG0000211	WP_011206050.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_160601104.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_011290055.1
OG0000216	WP_014579616.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_011206044.1
OG0000218	WP_011206042.1	WP_011290058.1
OG0000219	WP_220200886.1	WP_011206041.1
OG0000220	WP_011206040.1	WP_406823232.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_160601098.1	WP_160585734.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011206031.1
OG0000228	WP_094521599.1	WP_406823231.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
OG0000234	WP_044284822.1	WP_041361598.1
OG0000235	WP_020835611.1	WP_020835611.1
OG0000236	WP_160600997.1	WP_020835612.1
OG0000237	WP_160600995.1	WP_406823239.1
OG0000238	WP_160600993.1	WP_406823240.1
OG0000239	WP_160600796.1	WP_011290347.1
OG0000240	WP_011206400.1	WP_020835851.1
OG0000241	WP_011206402.1	WP_160585231.1
OG0000242	WP_160600798.1	WP_348571822.1
OG0000243	WP_011206404.1	WP_348602596.1
OG0000244	WP_160600800.1	WP_041361690.1
OG0000245	WP_011206408.1	WP_406823170.1
OG0000246	WP_050195463.1	WP_050195463.1
OG0000247	WP_160600649.1	WP_179695932.1
OG0000248	WP_160600703.1	WP_052259122.1
OG0000249	WP_160600651.1	WP_348571927.1
OG0000250	WP_011205875.1	WP_160584772.1
OG0000251	WP_318023737.1	WP_318023737.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_011289964.1	WP_135618489.1
OG0000254	WP_160600665.1	WP_348602687.1
OG0000255	WP_160600667.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_220200824.1	WP_041361723.1
OG0000260	WP_011283879.1	WP_011289982.1
OG0000261	WP_160600687.1	WP_406823217.1
OG0000262	WP_014579569.1	WP_041361531.1
OG0000263	WP_011283885.1	WP_160585532.1
OG0000264	WP_011205916.1	WP_011283887.1
OG0000265	WP_160600699.1	WP_233688622.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_044284773.1
OG0000268	WP_011283894.1	WP_011283894.1
OG0000269	WP_011206134.1	WP_406823221.1
OG0000270	WP_160600753.1	WP_348571879.1
OG0000271	WP_160600751.1	WP_404924334.1
OG0000272	WP_011284373.1	WP_011284373.1
OG0000273	WP_011206502.1	WP_011206502.1
OG0000274	WP_160600745.1	WP_011290423.1
OG0000275	WP_308704753.1	WP_238374142.1
OG0000276	WP_160600741.1	WP_011290421.1
OG0000277	WP_011206494.1	WP_011206494.1
OG0000278	WP_160600739.1	WP_160588182.1
OG0000279	WP_014580014.1	WP_011290418.1
OG0000280	WP_135619140.1	WP_094521520.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_160600735.1	WP_160590212.1
OG0000283	WP_160584907.1	WP_014580009.1
OG0000284	WP_014580008.1	WP_011206484.1
OG0000285	WP_160600733.1	WP_011290413.1
OG0000286	WP_146379652.1	WP_044272526.1
OG0000287	WP_011206297.1	WP_406823133.1
OG0000288	WP_160600959.1	WP_348602548.1
OG0000289	WP_020835793.1	WP_348602549.1
OG0000290	WP_135618967.1	WP_011290297.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_011206319.1	WP_044284681.1
OG0000293	WP_094521723.1	WP_348571776.1
OG0000294	WP_160600980.1	WP_406823142.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_160600968.1	WP_041361673.1
OG0000297	WP_011284225.1	WP_406823135.1
OG0000298	WP_160600655.1	WP_160606533.1
OG0000299	WP_011205878.1	WP_406823213.1
OG0000300	WP_014579572.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_011283891.1
OG0000302	WP_014579576.1	WP_011205925.1
