Orthogroup	MHP_MHP650_proteins	MHP_LH_proteins
OG0000000	WP_160601117.1	WP_233688770.1
OG0000000	WP_308704770.1, WP_160601261.1, WP_160601285.1, WP_160601277.1	WP_233688766.1
OG0000000	WP_308704769.1	WP_318035154.1
OG0000000	WP_258556712.1	WP_233688440.1
OG0000000	WP_233688764.1	WP_233688764.1
OG0000001	WP_258556637.1	WP_179696094.1
OG0000001	WP_258556624.1	WP_228365393.1
OG0000001	WP_011206342.1	WP_233688495.1
OG0000002	WP_258556677.1	WP_233688429.1
OG0000002	WP_160601116.1	WP_160588366.1
OG0000002	WP_160601263.1	WP_233688422.1
OG0000002	WP_160601022.1	WP_233688740.1
OG0000003	WP_237697199.1	WP_233688427.1
OG0000003	WP_220200875.1	WP_233688750.1
OG0000004	WP_160601249.1	WP_233688544.1
OG0000004	WP_160600949.1	WP_233688516.1
OG0000005	WP_160601191.1	WP_233688595.1
OG0000005	WP_160590473.1	WP_233688596.1
OG0000005	WP_160601189.1	WP_233688597.1, WP_233688600.1
OG0000006	WP_228366101.1	WP_233688469.1
OG0000006	WP_233688441.1	WP_233688441.1
OG0000006	WP_160601229.1	WP_233688445.1
OG0000007	WP_002557992.1	WP_233688426.1
OG0000008	WP_011206260.1	WP_233688439.1
OG0000008	WP_258556714.1	WP_233688470.1
OG0000009	WP_094521537.1	WP_094521537.1
OG0000009	WP_258556653.1	WP_233688691.1
OG0000009	WP_094521581.1	WP_179221024.1
OG0000010	WP_160601055.1	WP_179221114.1
OG0000011	WP_160600906.1	WP_233688757.1
OG0000011	WP_160600904.1	WP_233688756.1
OG0000013	WP_371863325.1	WP_233688454.1
OG0000013	WP_371863321.1	WP_233688607.1
OG0000014	WP_160601233.1	WP_233688640.1
OG0000016	WP_160600777.1	WP_011206378.1
OG0000016	WP_160600653.1	WP_233688605.1
OG0000017	WP_228365403.1	WP_233688603.1
OG0000017	WP_020835837.1	WP_233688501.1
OG0000019	WP_258556650.1	WP_233688523.1
OG0000020	WP_308704754.1	WP_233688577.1
OG0000020	WP_308704755.1	WP_233688578.1
OG0000022	WP_160601006.1	WP_233688731.1
OG0000022	WP_160601018.1	WP_233688738.1
OG0000024	WP_258556699.1	WP_179696078.1
OG0000024	WP_160600862.1	WP_233688698.1
OG0000025	WP_160601008.1	WP_233688732.1
OG0000025	WP_160601016.1	WP_233688737.1
OG0000026	WP_044284614.1	WP_044284614.1
OG0000026	WP_160585054.1	WP_233688735.1
OG0000027	WP_011206475.1	WP_011206475.1
OG0000027	WP_160601209.1	WP_233688557.1
OG0000029	WP_160601095.1	WP_233688669.1
OG0000029	WP_160601231.1	WP_233688642.1
OG0000030	WP_308704764.1	WP_232039555.1
OG0000030	WP_160590224.1	WP_020835904.1
OG0000031	WP_088172525.1	WP_179695837.1
OG0000032	WP_160601271.1	WP_233688723.1
OG0000033	WP_160600708.1	WP_233688460.1, WP_233688457.1
OG0000034	WP_233688423.1	WP_233688423.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_160601253.1	WP_233688543.1
OG0000036	WP_014579530.1	WP_233688598.1, WP_233688601.1
OG0000037	WP_308704768.1	WP_233688762.1
OG0000039	WP_160601259.1, WP_160601257.1	WP_011290139.1
OG0000040	WP_160601121.1	WP_233688550.1
OG0000042	WP_160600794.1	WP_233688512.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_011206179.1	WP_011206179.1
OG0000045	WP_160590485.1	WP_020835667.1
OG0000047	WP_160601275.1	WP_233688684.1
OG0000048	WP_011284150.1	WP_146379588.1
OG0000049	WP_160600923.1	WP_233688524.1
OG0000050	WP_160600723.1	WP_233688465.1
OG0000051	WP_160601045.1	WP_233688485.1
OG0000052	WP_011283836.1	WP_011283836.1
OG0000053	WP_160600836.1	WP_233688713.1
OG0000054	WP_160600727.1	WP_044272538.1
OG0000055	WP_014579531.1	WP_135618462.1
OG0000056	WP_160600810.1	WP_233688574.1
OG0000057	WP_258556625.1, WP_258556626.1	WP_233688511.1
OG0000058	WP_160601091.1	WP_179695838.1
OG0000060	WP_220200887.1	WP_233688593.1
OG0000061	WP_160587888.1	WP_135618818.1
OG0000062	WP_160588098.1	WP_094521530.1
OG0000063	WP_041361715.1	WP_233688580.1
OG0000064	WP_011290440.1	WP_233688579.1
OG0000065	WP_243216185.1	WP_011290219.1
OG0000066	WP_160600846.1	WP_011205965.1
OG0000067	WP_160601069.1	WP_233688634.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_160601125.1	WP_233688548.1
OG0000072	WP_160601123.1	WP_233688549.1
OG0000073	WP_011290025.1	WP_011206093.1
OG0000074	WP_011206057.1	WP_233688661.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_160600693.1	WP_011289987.1
OG0000077	WP_160601219.1	WP_233688625.1
OG0000078	WP_160601010.1	WP_233688734.1
OG0000079	WP_160600966.1	WP_233688475.1
OG0000080	WP_011206314.1	WP_233688480.1
OG0000081	WP_160600689.1	WP_233688621.1
OG0000083	WP_014579823.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_160601152.1	WP_233688415.1
OG0000086	WP_160601147.1	WP_233688416.1
OG0000087	WP_160601142.1	WP_011206228.1
OG0000088	WP_020835733.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_011283835.1	WP_233688592.1
OG0000091	WP_160600822.1	WP_233688590.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_020835484.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_233688588.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_146379771.1	WP_233688583.1
OG0000098	WP_160600816.1	WP_233688581.1
OG0000099	WP_160600812.1	WP_233688575.1
OG0000100	WP_160600806.1	WP_233688571.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_135619192.1	WP_233688736.1
OG0000103	WP_160601114.1	WP_233688430.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_160588282.1	WP_135618882.1
OG0000106	WP_011284167.1	WP_135618884.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_011206247.1
OG0000109	WP_160601110.1	WP_233688434.1
OG0000110	WP_160601201.1	WP_233688451.1
OG0000111	WP_258556696.1	WP_233688450.1
OG0000112	WP_258556695.1	WP_233688448.1
OG0000113	WP_160601227.1	WP_233688444.1
OG0000114	WP_258555507.1	WP_233688443.1
OG0000115	WP_011290245.1	WP_011206264.1
OG0000116	WP_160600860.1	WP_233688702.1
OG0000117	WP_160600858.1	WP_233688703.1
OG0000118	WP_011284023.1	WP_233688707.1
OG0000119	WP_160600850.1	WP_179696055.1
OG0000120	WP_160600844.1	WP_160600844.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_011205958.1
OG0000123	WP_011205954.1	WP_233688711.1
OG0000124	WP_160600842.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_146379560.1	WP_011205950.1
OG0000127	WP_011290122.1	WP_011284040.1
OG0000128	WP_160600834.1	WP_233688714.1
OG0000129	WP_160600832.1	WP_014579732.1
OG0000130	WP_160600828.1	WP_011284046.1
OG0000131	WP_146379566.1	WP_233688716.1
OG0000132	WP_094521636.1	WP_233688719.1
OG0000133	WP_011206123.1	WP_014579589.1
OG0000134	WP_308704761.1	WP_233688635.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_135618546.1	WP_233688636.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_011206106.1
OG0000139	WP_011206102.1	WP_179221023.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_160600792.1	WP_011284290.1
OG0000142	WP_160600791.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_233688509.1
OG0000144	WP_160600787.1	WP_233688507.1
OG0000145	WP_228365394.1	WP_228365394.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_160600783.1	WP_233688504.1
OG0000148	WP_160600779.1	WP_233688502.1
OG0000149	WP_011290331.1	WP_011206379.1
OG0000150	WP_160600775.1	WP_135619006.1
OG0000151	WP_160600765.1	WP_179696082.1
OG0000152	WP_160600763.1	WP_160606405.1
OG0000153	WP_160600761.1	WP_233688497.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_011206337.1	WP_233688493.1
OG0000156	WP_160601028.1	WP_011206335.1
OG0000157	WP_160601030.1	WP_011206334.1
OG0000158	WP_160601032.1	WP_275092455.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_011284209.1	WP_233688466.1
OG0000161	WP_011206287.1	WP_011206287.1
