Orthogroup	MHP_168L_genes	MHP_J_genes
OG0000000	MHP168L_RS02190	MHJ_RS02155
OG0000000	MHP168L_RS03890	MHJ_RS02065
OG0000000	MHP168L_RS02335	MHJ_RS02265
OG0000000	MHP168L_RS03865	MHJ_RS01665
OG0000000	MHP168L_RS01715	MHJ_RS01670
OG0000001	MHP168L_RS01370	MHJ_RS01255
OG0000001	MHP168L_RS03950	MHJ_RS01250
OG0000001	MHP168L_RS02830	MHJ_RS02765
OG0000001	MHP168L_RS02785	MHJ_RS02710
OG0000002	MHP168L_RS04010	MHJ_RS03585
OG0000002	MHP168L_RS01710	MHJ_RS01675
OG0000003	MHP168L_RS00485	MHJ_RS00485
OG0000003	MHP168L_RS03875	MHJ_RS01795
OG0000004	MHP168L_RS03190	MHJ_RS03175
OG0000004	MHP168L_RS03195	MHJ_RS03180
OG0000004	MHP168L_RS03205	MHJ_RS03190
OG0000004	MHP168L_RS03030	MHJ_RS02980
OG0000005	MHP168L_RS00090	MHJ_RS00090
OG0000005	MHP168L_RS00100	MHJ_RS00095
OG0000005	MHP168L_RS00105	MHJ_RS00100
OG0000006	MHP168L_RS02535	MHJ_RS03920
OG0000006	MHP168L_RS02530	MHJ_RS03915
OG0000006	MHP168L_RS02380	MHJ_RS02300
OG0000006	MHP168L_RS02525	MHJ_RS03910
OG0000008	MHP168L_RS02330	MHJ_RS03790
OG0000008	MHP168L_RS01795	MHJ_RS03850
OG0000008	MHP168L_RS04025	MHJ_RS03925
OG0000009	MHP168L_RS00990	MHJ_RS00650
OG0000009	MHP168L_RS03915	MHJ_RS00660
OG0000010	MHP168L_RS01950	MHJ_RS01805
OG0000010	MHP168L_RS01650	MHJ_RS01530
OG0000010	MHP168L_RS00085	MHJ_RS00085
OG0000011	MHP168L_RS03995	MHJ_RS04005
OG0000011	MHP168L_RS03990	MHJ_RS01900
OG0000011	MHP168L_RS02035	MHJ_RS01895
OG0000012	MHP168L_RS01405, MHP168L_RS02220, MHP168L_RS03040	MHJ_RS02345
OG0000013	MHP168L_RS02430	MHJ_RS02355
OG0000013	MHP168L_RS03905	MHJ_RS03825
OG0000014	MHP168L_RS01070	MHJ_RS01060
OG0000014	MHP168L_RS01055	MHJ_RS00590
OG0000015	MHP168L_RS04080	MHJ_RS03980
OG0000016	MHP168L_RS02870	MHJ_RS02810
OG0000016	MHP168L_RS00150	MHJ_RS00145
OG0000017	MHP168L_RS00135	MHJ_RS00130
OG0000017	MHP168L_RS02880	MHJ_RS02820
OG0000018	MHP168L_RS01250, MHP168L_RS04065, MHP168L_RS04060, MHP168L_RS01415	MHJ_RS01295
OG0000019	MHP168L_RS04055	MHJ_RS03950
OG0000020	MHP168L_RS03590	MHJ_RS03515
OG0000020	MHP168L_RS03595	MHJ_RS03995
OG0000021	MHP168L_RS00495	MHJ_RS00495
