Orthogroup	MHP_168L_genes	MHP_111A_genes
OG0000000	MHP168L_RS02335	NB623_RS02460
OG0000000	MHP168L_RS03865	NB623_RS01845
OG0000000	MHP168L_RS01715	NB623_RS01865
OG0000001	MHP168L_RS01370	NB623_RS01400
OG0000001	MHP168L_RS02830	NB623_RS02960
OG0000001	MHP168L_RS02780	NB623_RS02915
OG0000001	MHP168L_RS02785	NB623_RS02910
OG0000002	MHP168L_RS04010	NB623_RS02345
OG0000003	MHP168L_RS01860	NB623_RS00495, NB623_RS00505
OG0000004	MHP168L_RS03190	NB623_RS03360
OG0000004	MHP168L_RS03205	NB623_RS03365
OG0000005	MHP168L_RS00090	NB623_RS00105
OG0000005	MHP168L_RS00100	NB623_RS00110
OG0000005	MHP168L_RS00105	NB623_RS00115
OG0000006	MHP168L_RS02535, MHP168L_RS02530	NB623_RS02650
OG0000008	MHP168L_RS02330	NB623_RS02455
OG0000008	MHP168L_RS01795	NB623_RS01760
OG0000008	MHP168L_RS04025	NB623_RS02660
OG0000009	MHP168L_RS00990	NB623_RS00665
OG0000009	MHP168L_RS03915	NB623_RS00680
OG0000010	MHP168L_RS01950	NB623_RS02245
OG0000011	MHP168L_RS03995	NB623_RS02145
OG0000011	MHP168L_RS02035	NB623_RS02150
OG0000013	MHP168L_RS02430	NB623_RS02540
OG0000014	MHP168L_RS01070	NB623_RS01220
OG0000014	MHP168L_RS01055	NB623_RS00600
OG0000015	MHP168L_RS04080	NB623_RS01750
OG0000015	MHP168L_RS03530	NB623_RS01925
OG0000016	MHP168L_RS00150	NB623_RS00160
OG0000017	MHP168L_RS00135	NB623_RS00145
OG0000017	MHP168L_RS02880	NB623_RS03015
OG0000018	MHP168L_RS04065	NB623_RS01950
OG0000019	MHP168L_RS04055	NB623_RS03195, NB623_RS03185
OG0000020	MHP168L_RS03590	NB623_RS03740
OG0000020	MHP168L_RS03595	NB623_RS03745
OG0000021	MHP168L_RS00495, MHP168L_RS01790, MHP168L_RS00490, MHP168L_RS02360	NB623_RS02325
OG0000022	MHP168L_RS01775	NB623_RS01785
OG0000022	MHP168L_RS01725	NB623_RS01840
OG0000023	MHP168L_RS03545	NB623_RS01940
OG0000024	MHP168L_RS02775	NB623_RS02905
OG0000024	MHP168L_RS03940, MHP168L_RS03945	NB623_RS01395
OG0000025	MHP168L_RS01770	NB623_RS01790
OG0000025	MHP168L_RS01730	NB623_RS01835
OG0000026	MHP168L_RS01455	NB623_RS01480
OG0000026	MHP168L_RS01750	NB623_RS01815
OG0000027	MHP168L_RS03825	NB623_RS03520
OG0000027	MHP168L_RS03345	NB623_RS03535
OG0000029	MHP168L_RS00580	NB623_RS01215
OG0000029	MHP168L_RS01050	NB623_RS00605
OG0000030	MHP168L_RS03325	NB623_RS03510
OG0000030	MHP168L_RS03340	NB623_RS03530
OG0000031	MHP168L_RS03575	NB623_RS01985
OG0000032	MHP168L_RS03335	NB623_RS03525
OG0000035	MHP168L_RS03200	NB623_RS03355
OG0000035	MHP168L_RS03185	NB623_RS03345
OG0000036	MHP168L_RS00110	NB623_RS00120
OG0000037	MHP168L_RS01845	NB623_RS01695
OG0000039	MHP168L_RS01815	NB623_RS01730
OG0000040	MHP168L_RS03275	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000041	MHP168L_RS00985	NB623_RS00670
OG0000041	MHP168L_RS03925	NB623_RS01315
OG0000042	MHP168L_RS02970	NB623_RS03100
OG0000043	MHP168L_RS01210	NB623_RS02180
OG0000044	MHP168L_RS04140	NB623_RS01800
OG0000044	MHP168L_RS01900	NB623_RS02300
OG0000045	MHP168L_RS01810	NB623_RS01740
OG0000046	MHP168L_RS03280	NB623_RS03450
OG0000047	MHP168L_RS03540	NB623_RS01935
OG0000048	MHP168L_RS02210	NB623_RS01920
OG0000049	MHP168L_RS03050	NB623_RS03205
OG0000050	MHP168L_RS02475	NB623_RS02600
OG0000051	MHP168L_RS04035	NB623_RS02820
OG0000052	MHP168L_RS00075	NB623_RS00080
OG0000053	MHP168L_RS01540	NB623_RS01570
OG0000054	MHP168L_RS02500	NB623_RS02625
OG0000055	MHP168L_RS00115	NB623_RS00125
OG0000056	MHP168L_RS03515	NB623_RS03725
OG0000057	MHP168L_RS02955	NB623_RS03085
OG0000058	MHP168L_RS01190	NB623_RS01995
OG0000058	MHP168L_RS03580	NB623_RS01990
OG0000060	MHP168L_RS00080	NB623_RS00085
OG0000061	MHP168L_RS01960, MHP168L_RS01660	NB623_RS02235
OG0000062	MHP168L_RS03630	NB623_RS03775
OG0000063	MHP168L_RS03625	NB623_RS03770
OG0000064	MHP168L_RS03615	NB623_RS03760
OG0000065	MHP168L_RS04005	NB623_RS02390
OG0000066	MHP168L_RS01445	NB623_RS01470
OG0000068	MHP168L_RS04135	NB623_RS00640
OG0000069	MHP168L_RS02845	NB623_RS02980
OG0000070	MHP168L_RS02505	NB623_RS02630
OG0000071	MHP168L_RS03265	NB623_RS03425
OG0000072	MHP168L_RS03270	NB623_RS03430
OG0000073	MHP168L_RS00955	NB623_RS00710
OG0000074	MHP168L_RS00765	NB623_RS00910
OG0000075	MHP168L_RS00320	NB623_RS00330
OG0000077	MHP168L_RS00425	NB623_RS00430
OG0000079	MHP168L_RS02590	NB623_RS02720
OG0000080	MHP168L_RS03895	NB623_RS02770
OG0000081	MHP168L_RS00315	NB623_RS00325
OG0000083	MHP168L_RS02110	NB623_RS02075
OG0000084	MHP168L_RS02265	NB623_RS02045
OG0000085	MHP168L_RS02260	NB623_RS02040
OG0000086	MHP168L_RS02250	NB623_RS02030
OG0000087	MHP168L_RS02235	NB623_RS02015
OG0000088	MHP168L_RS02230	NB623_RS02010
OG0000089	MHP168L_RS02215	NB623_RS02000
OG0000090	MHP168L_RS00070	NB623_RS00070
OG0000091	MHP168L_RS00055	NB623_RS00055
OG0000092	MHP168L_RS00040	NB623_RS00050
OG0000093	MHP168L_RS00035	NB623_RS00035
OG0000094	MHP168L_RS00030	NB623_RS00030
OG0000095	MHP168L_RS00005	NB623_RS00005
