Orthogroup	MHP_168L_genes	MFC_MF22_genes
OG0000000	MHP168L_RS02190	DR094_RS03000
OG0000001	MHP168L_RS01370, MHP168L_RS03950, MHP168L_RS02830, MHP168L_RS02780, MHP168L_RS02785	DR094_RS00325, DR094_RS00330
OG0000002	MHP168L_RS01710	DR094_RS03610
OG0000011	MHP168L_RS03995, MHP168L_RS03990	DR094_RS03520
OG0000011	MHP168L_RS02035	DR094_RS02895
OG0000013	MHP168L_RS02430	DR094_RS00075, DR094_RS00080
OG0000013	MHP168L_RS03905	DR094_RS03050
OG0000014	MHP168L_RS01070, MHP168L_RS01055	DR094_RS03555
OG0000016	MHP168L_RS02870	DR094_RS00380
OG0000017	MHP168L_RS00135	DR094_RS00975
OG0000017	MHP168L_RS02880	DR094_RS00390
OG0000018	MHP168L_RS04065, MHP168L_RS04060	DR094_RS03735
OG0000020	MHP168L_RS03590	DR094_RS03600
OG0000020	MHP168L_RS03595	DR094_RS03595
OG0000022	MHP168L_RS01725	DR094_RS03605
OG0000023	MHP168L_RS01410, MHP168L_RS03930, MHP168L_RS03545	DR094_RS02170
OG0000024	MHP168L_RS02775, MHP168L_RS03940, MHP168L_RS03945	DR094_RS00320
OG0000025	MHP168L_RS01730	DR094_RS01205
OG0000026	MHP168L_RS01455, MHP168L_RS01750	DR094_RS02215
OG0000027	MHP168L_RS03825	DR094_RS01395
OG0000027	MHP168L_RS03345	DR094_RS03650
OG0000028	MHP168L_RS02445, MHP168L_RS02440	DR094_RS00060
OG0000029	MHP168L_RS00580, MHP168L_RS01050	DR094_RS00545
OG0000030	MHP168L_RS03325, MHP168L_RS03340	DR094_RS03655
OG0000031	MHP168L_RS03575, MHP168L_RS01215, MHP168L_RS01830	DR094_RS02590
OG0000032	MHP168L_RS03335	DR094_RS01390
OG0000039	MHP168L_RS01815	DR094_RS00485
OG0000040	MHP168L_RS03275	DR094_RS02025, DR094_RS00270
OG0000042	MHP168L_RS02970	DR094_RS00490, DR094_RS00345
OG0000043	MHP168L_RS01210	DR094_RS02615
OG0000045	MHP168L_RS01810	DR094_RS03140, DR094_RS03135
OG0000048	MHP168L_RS02210	DR094_RS02695, DR094_RS02985
OG0000050	MHP168L_RS02475	DR094_RS03765
OG0000051	MHP168L_RS04035	DR094_RS01715
OG0000052	MHP168L_RS00075	DR094_RS01015
