#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:205690-206481|- -            264 1679at2085           -            265   6.8e-79  260.4  12.3   1   1   6.7e-81   7.5e-79  260.2  12.3    12   256     1   255     1   263 0.90 scf00000000_182 # 205690 # 206481 # -1 # ID=1_182;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.270
scf00000000:225062-226363|- -            434 1679at2085           -            265   4.8e-23   77.3  12.0   1   3   1.3e-11   1.4e-09   33.1   0.2   123   177     6    64     1    79 0.80 scf00000000_199 # 225062 # 226363 # -1 # ID=1_199;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
scf00000000:225062-226363|- -            434 1679at2085           -            265   4.8e-23   77.3  12.0   2   3   1.6e-12   1.8e-10   36.1   0.6    22   173    78   228    71   240 0.77 scf00000000_199 # 225062 # 226363 # -1 # ID=1_199;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
scf00000000:225062-226363|- -            434 1679at2085           -            265   4.8e-23   77.3  12.0   3   3   6.2e-06    0.0007   14.4   1.1    24   139   251   380   245   386 0.62 scf00000000_199 # 225062 # 226363 # -1 # ID=1_199;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
seq00000016:5083-5679|-     -            199 1679at2085           -            265   3.4e-13   45.0   5.6   1   2   7.7e-13   8.6e-11   37.1   0.1   123   172    41    91    31   105 0.91 seq00000016_2 # 5083 # 5679 # -1 # ID=15_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
seq00000016:5083-5679|-     -            199 1679at2085           -            265   3.4e-13   45.0   5.6   2   2   0.00017     0.019    9.7   1.9    24    97   117   195   102   198 0.78 seq00000016_2 # 5083 # 5679 # -1 # ID=15_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
scf00000000:75572-76903|+   -            444 1679at2085           -            265   8.6e-13   43.7  16.5   1   3      0.93     1e+02   -2.5   0.1   231   258   137   164   114   170 0.58 scf00000000_57 # 75572 # 76903 # 1 # ID=1_57;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
scf00000000:75572-76903|+   -            444 1679at2085           -            265   8.6e-13   43.7  16.5   2   3     6e-14   6.7e-12   40.7   0.3    96   174   193   275   184   288 0.79 scf00000000_57 # 75572 # 76903 # 1 # ID=1_57;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
scf00000000:75572-76903|+   -            444 1679at2085           -            265   8.6e-13   43.7  16.5   3   3   0.00018      0.02    9.7   6.6    21   110   291   372   283   388 0.68 scf00000000_57 # 75572 # 76903 # 1 # ID=1_57;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
scf00000000:124883-125764|+ -            294 1679at2085           -            265   1.7e-10   36.1   9.5   1   2   1.8e-11     2e-09   32.6   0.3   119   175     6    66     2    84 0.78 scf00000000_116 # 124883 # 125764 # 1 # ID=1_116;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
scf00000000:124883-125764|+ -            294 1679at2085           -            265   1.7e-10   36.1   9.5   2   2    0.0013      0.15    6.8   4.0    47   103   108   169    77   190 0.77 scf00000000_116 # 124883 # 125764 # 1 # ID=1_116;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
