#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
seq00000026:628-2367|-      -            580 539at2085            -            541  2.2e-246  814.2  13.8   1   1  1.3e-248  2.5e-246  814.0  13.8     1   541     8   574     8   574 0.97 seq00000026_2 # 628 # 2367 # -1 # ID=25_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.299
scf00000000:246966-248333|- -            456 539at2085            -            541   4.7e-10   34.2   1.0   1   3      0.16        32   -1.5   0.0   197   228    56    87    39   101 0.72 scf00000000_212 # 246966 # 248333 # -1 # ID=1_212;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
scf00000000:246966-248333|- -            456 539at2085            -            541   4.7e-10   34.2   1.0   2   3   1.3e-08   2.6e-06   21.9   0.1   235   346   157   268   150   272 0.88 scf00000000_212 # 246966 # 248333 # -1 # ID=1_212;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
scf00000000:246966-248333|- -            456 539at2085            -            541   4.7e-10   34.2   1.0   3   3   5.9e-05     0.012    9.8   0.1   451   540   354   449   348   450 0.83 scf00000000_212 # 246966 # 248333 # -1 # ID=1_212;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
seq00000014:2807-4246|+     -            480 539at2085            -            541   1.9e-07   25.6   6.6   1   3     0.014       2.7    2.0   0.0   186   317    43   184    34   196 0.65 seq00000014_4 # 2807 # 4246 # 1 # ID=13_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
seq00000014:2807-4246|+     -            480 539at2085            -            541   1.9e-07   25.6   6.6   2   3   1.6e-09     3e-07   24.9   2.3   408   525   237   366   226   382 0.78 seq00000014_4 # 2807 # 4246 # 1 # ID=13_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
seq00000014:2807-4246|+     -            480 539at2085            -            541   1.9e-07   25.6   6.6   3   3      0.12        23   -1.1   0.1    29   128   366   470   360   473 0.52 seq00000014_4 # 2807 # 4246 # 1 # ID=13_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.308
scf00000000:13231-14472|-   -            414 539at2085            -            541    0.0001   16.6   0.5   1   3      0.17        33   -1.6   0.2    99   142     9    52     3    89 0.64 scf00000000_17 # 13231 # 14472 # -1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.315
scf00000000:13231-14472|-   -            414 539at2085            -            541    0.0001   16.6   0.5   2   3   1.5e-05    0.0029   11.8   0.0   153   362   133   347   119   353 0.81 scf00000000_17 # 13231 # 14472 # -1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.315
scf00000000:13231-14472|-   -            414 539at2085            -            541    0.0001   16.6   0.5   3   3     0.014       2.7    2.0   0.0   411   458   361   406   353   409 0.77 scf00000000_17 # 13231 # 14472 # -1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.315
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use
# Date:            Thu Nov 28 19:35:26 2024
# [ok]
