#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:127504-128085|+ -            194 4276at2085           -            173   1.2e-66  219.3   7.2   1   1   1.1e-68   1.4e-66  219.0   7.2     3   173     2   190     1   190 0.91 scf00000000_119 # 127504 # 128085 # 1 # ID=1_119;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.270
scf00000000:226381-227070|- -            230 4276at2085           -            173   7.2e-05   18.2   0.5   1   2   1.1e-05    0.0015   13.9   0.0     6    27     8    29     3    39 0.82 scf00000000_200 # 226381 # 227070 # -1 # ID=1_200;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.296
scf00000000:226381-227070|- -            230 4276at2085           -            173   7.2e-05   18.2   0.5   2   2     0.041       5.4    2.3   0.1    23    72   135   184   126   213 0.75 scf00000000_200 # 226381 # 227070 # -1 # ID=1_200;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.296
seq00000018:11617-12255|+   -            213 4276at2085           -            173   0.00061   15.2   0.9   1   2   4.3e-05    0.0056   12.0   0.2     2    42     3    42     2    86 0.75 seq00000018_22 # 11617 # 12255 # 1 # ID=17_22;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.290
seq00000018:11617-12255|+   -            213 4276at2085           -            173   0.00061   15.2   0.9   2   2     0.078        10    1.4   0.0   125   146   157   178   139   208 0.88 seq00000018_22 # 11617 # 12255 # 1 # ID=17_22;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.290
scf00000000:106168-106806|+ -            213 4276at2085           -            173   0.00063   15.1   0.7   1   2   4.1e-05    0.0053   12.1   0.2     2    42     3    42     2    98 0.78 scf00000000_91 # 106168 # 106806 # 1 # ID=1_91;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.290
scf00000000:106168-106806|+ -            213 4276at2085           -            173   0.00063   15.1   0.7   2   2     0.082        11    1.3   0.0   125   146   157   178   140   208 0.88 scf00000000_91 # 106168 # 106806 # 1 # ID=1_91;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.290
seq00000015:18712-21555|+   -            948 4276at2085           -            173    0.0017   13.7   0.4   1   2    0.0049      0.65    5.3   0.0     2    22    30    50    29    74 0.74 seq00000015_13 # 18712 # 21555 # 1 # ID=14_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.327
seq00000015:18712-21555|+   -            948 4276at2085           -            173    0.0017   13.7   0.4   2   2    0.0033      0.43    5.9   0.2     4    26   639   661   637   679 0.86 seq00000015_13 # 18712 # 21555 # 1 # ID=14_13;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.327
scf00000000:197092-199935|+ -            948 4276at2085           -            173    0.0017   13.7   0.4   1   2    0.0049      0.65    5.3   0.0     2    22    30    50    29    74 0.74 scf00000000_176 # 197092 # 199935 # 1 # ID=1_176;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
scf00000000:197092-199935|+ -            948 4276at2085           -            173    0.0017   13.7   0.4   2   2    0.0033      0.43    5.9   0.2     4    26   639   661   637   679 0.86 scf00000000_176 # 197092 # 199935 # 1 # ID=1_176;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4276at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/4276at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4276at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP699/Use
# Date:            Thu Nov 28 19:35:25 2024
# [ok]
