Orthogroup	MHP_111A_genes	MHP_MHP650_genes
OG0000000	NB623_RS02460	DR083_RS04515
OG0000000	NB623_RS01850	DR083_RS04215
OG0000001	NB623_RS01400	DR083_RS04075
OG0000001	NB623_RS02960	DR083_RS00590
OG0000001	NB623_RS02910	DR083_RS00540
OG0000002	NB623_RS02345	DR083_RS04320
OG0000002	NB623_RS01905	DR083_RS02760
OG0000002	NB623_RS01015	DR083_RS04915
OG0000003	NB623_RS00495, NB623_RS00505	DR083_RS04940
OG0000003	NB623_RS01035	DR083_RS04460
OG0000004	NB623_RS03365	DR083_RS03440
OG0000004	NB623_RS03170	DR083_RS01645
OG0000005	NB623_RS00105	DR083_RS03065
OG0000005	NB623_RS00110	DR083_RS03050
OG0000005	NB623_RS00115	DR083_RS04870
OG0000006	NB623_RS02650	DR083_RS04420
OG0000007	NB623_RS01045	DR083_RS03475
OG0000007	NB623_RS01050	DR083_RS03470
OG0000007	NB623_RS01060	DR083_RS03465
OG0000008	NB623_RS02455	DR083_RS04510
OG0000008	NB623_RS02660	DR083_RS04540
OG0000009	NB623_RS00665	DR083_RS01225
OG0000009	NB623_RS00090	DR083_RS05040
OG0000009	NB623_RS00680	DR083_RS01240
OG0000010	NB623_RS02245	DR083_RS02305
OG0000011	NB623_RS02145	DR083_RS01555
OG0000011	NB623_RS02150	DR083_RS01550
OG0000012	NB623_RS02340	DR083_RS03720
OG0000013	NB623_RS02540	DR083_RS05105
OG0000014	NB623_RS00600	DR083_RS04890
OG0000016	NB623_RS00160	DR083_RS00040
OG0000017	NB623_RS00145	DR083_RS00025
OG0000017	NB623_RS03015	DR083_RS00640
OG0000020	NB623_RS03740	DR083_RS04635
OG0000020	NB623_RS03745	DR083_RS04640
OG0000021	NB623_RS02325	DR083_RS02335, DR083_RS02215, DR083_RS03855
OG0000022	NB623_RS01785	DR083_RS02055
OG0000022	NB623_RS01840	DR083_RS04755
OG0000024	NB623_RS02905	DR083_RS03365
OG0000024	NB623_RS01395	DR083_RS01215
OG0000025	NB623_RS01790	DR083_RS04750
OG0000025	NB623_RS01835	DR083_RS02105
OG0000026	NB623_RS01480	DR083_RS01120
OG0000026	NB623_RS01815	DR083_RS02085
OG0000027	NB623_RS03520	DR083_RS02995
OG0000027	NB623_RS03535	DR083_RS04880
OG0000028	NB623_RS02565, NB623_RS02570	DR083_RS00320, DR083_RS00315
OG0000029	NB623_RS01215	DR083_RS02525
OG0000029	NB623_RS00605	DR083_RS03325
OG0000030	NB623_RS03510	DR083_RS04855
OG0000030	NB623_RS03530	DR083_RS04885
OG0000031	NB623_RS01720	DR083_RS03560
OG0000031	NB623_RS01985	DR083_RS02520
OG0000032	NB623_RS01690	DR083_RS03590
OG0000032	NB623_RS03525	DR083_RS03215
OG0000033	NB623_RS02560	DR083_RS00310
OG0000034	NB623_RS00990	DR083_RS04525
OG0000034	NB623_RS00980	DR083_RS04530
OG0000035	NB623_RS03355	DR083_RS03445
OG0000036	NB623_RS00120	DR083_RS03040
OG0000037	NB623_RS01695	DR083_RS04925
OG0000039	NB623_RS01730	DR083_RS03505
OG0000040	NB623_RS03445, NB623_RS03440, NB623_RS03435	DR083_RS02780
OG0000041	NB623_RS00670	DR083_RS01230
OG0000041	NB623_RS01315	DR083_RS01935
OG0000042	NB623_RS03100	DR083_RS00730
OG0000043	NB623_RS02180	DR083_RS01520
OG0000044	NB623_RS01800	DR083_RS04960
OG0000044	NB623_RS02300	DR083_RS02245
OG0000045	NB623_RS01740, NB623_RS01735	DR083_RS03515
OG0000046	NB623_RS03450	DR083_RS04815
