Orthogroup	MHP_111A_genes	MHP_Ue273_genes
OG0000000	NB623_RS01855	VQY17_RS02195
OG0000000	NB623_RS01845	VQY17_RS01770
OG0000000	NB623_RS01865	VQY17_RS01775
OG0000001	NB623_RS01400	VQY17_RS01300
OG0000001	NB623_RS02960	VQY17_RS02775
OG0000001	NB623_RS02915, NB623_RS02910	VQY17_RS02730
OG0000002	NB623_RS02345	VQY17_RS02210
OG0000003	NB623_RS00495, NB623_RS00505	VQY17_RS00505
OG0000003	NB623_RS00940	VQY17_RS00940
OG0000004	NB623_RS03360	VQY17_RS03185
OG0000004	NB623_RS03350	VQY17_RS03175
OG0000004	NB623_RS03170	VQY17_RS03025, VQY17_RS03005
OG0000004	NB623_RS03180	VQY17_RS02995
OG0000005	NB623_RS00105	VQY17_RS00100
OG0000005	NB623_RS00110	VQY17_RS00105
OG0000005	NB623_RS00115	VQY17_RS00110
OG0000006	NB623_RS02650	VQY17_RS02495
OG0000006	NB623_RS02495	VQY17_RS02360
OG0000007	NB623_RS00955, NB623_RS00950	VQY17_RS00945
OG0000007	NB623_RS00970	VQY17_RS00960
OG0000008	NB623_RS02455	VQY17_RS02320
OG0000008	NB623_RS02665, NB623_RS02660	VQY17_RS02500
OG0000009	NB623_RS00660, NB623_RS00665	VQY17_RS00665
OG0000009	NB623_RS00090	VQY17_RS00085
OG0000009	NB623_RS00680	VQY17_RS00680
OG0000010	NB623_RS02245	VQY17_RS01920
OG0000011	NB623_RS02145	VQY17_RS02025
OG0000011	NB623_RS02150	VQY17_RS02020
OG0000012	NB623_RS01890	VQY17_RS01805
OG0000012	NB623_RS02230	VQY17_RS01935
OG0000013	NB623_RS02540	VQY17_RS02405
OG0000014	NB623_RS01220	VQY17_RS01120
OG0000014	NB623_RS00600	VQY17_RS00605
OG0000015	NB623_RS01750, NB623_RS01925	VQY17_RS01665
OG0000016	NB623_RS00160	VQY17_RS00170
OG0000017	NB623_RS00145	VQY17_RS00155
OG0000017	NB623_RS03015	VQY17_RS02830
OG0000019	NB623_RS03195, NB623_RS03185	VQY17_RS03000, VQY17_RS03010
OG0000019	NB623_RS03175	VQY17_RS03030
OG0000020	NB623_RS03740	VQY17_RS03550
OG0000020	NB623_RS03745	VQY17_RS03555
OG0000021	NB623_RS02325	VQY17_RS00510
OG0000022	NB623_RS01785	VQY17_RS01695
OG0000022	NB623_RS01840	VQY17_RS01765
OG0000024	NB623_RS02905	VQY17_RS02725
OG0000024	NB623_RS01395	VQY17_RS01295
OG0000025	NB623_RS01790	VQY17_RS01700
OG0000025	NB623_RS01835	VQY17_RS01755
OG0000026	NB623_RS01480	VQY17_RS01380
OG0000026	NB623_RS01815	VQY17_RS01735
OG0000027	NB623_RS03520	VQY17_RS03330
OG0000027	NB623_RS03535	VQY17_RS03350
OG0000028	NB623_RS02565, NB623_RS02570	VQY17_RS02415
OG0000029	NB623_RS01215	VQY17_RS01115
OG0000029	NB623_RS00605	VQY17_RS00610
OG0000030	NB623_RS03530	VQY17_RS03345
OG0000032	NB623_RS01690	VQY17_RS01610
OG0000032	NB623_RS03525	VQY17_RS03340
OG0000033	NB623_RS02545, NB623_RS02550	VQY17_RS02410
OG0000035	NB623_RS03355	VQY17_RS03200
OG0000035	NB623_RS03345	VQY17_RS03170
OG0000036	NB623_RS00120	VQY17_RS00115
OG0000037	NB623_RS01695	VQY17_RS01620
OG0000039	NB623_RS01730	VQY17_RS01650, VQY17_RS01645
OG0000040	NB623_RS03445, NB623_RS03440, NB623_RS03435	VQY17_RS03270
OG0000041	NB623_RS00670	VQY17_RS00670
OG0000042	NB623_RS03100	VQY17_RS02925
OG0000043	NB623_RS02180	VQY17_RS01990
OG0000044	NB623_RS01800	VQY17_RS01710
OG0000045	NB623_RS01740	VQY17_RS01655
OG0000046	NB623_RS03460	VQY17_RS03280
OG0000046	NB623_RS03465, NB623_RS03455, NB623_RS03450	VQY17_RS03285
OG0000048	NB623_RS01920	VQY17_RS02180
OG0000049	NB623_RS03205	VQY17_RS03040
OG0000050	NB623_RS02600	VQY17_RS02445
OG0000051	NB623_RS02820	VQY17_RS02645
OG0000052	NB623_RS00080, NB623_RS00075	VQY17_RS00075
OG0000053	NB623_RS01570	VQY17_RS01470
OG0000054	NB623_RS02625	VQY17_RS02470
OG0000055	NB623_RS00125	VQY17_RS00135
OG0000056	NB623_RS03725	VQY17_RS03535
OG0000057	NB623_RS03085	VQY17_RS02900, VQY17_RS02905
OG0000060	NB623_RS00085	VQY17_RS00080
OG0000061	NB623_RS02235	VQY17_RS01930
OG0000062	NB623_RS03775	VQY17_RS03585
OG0000063	NB623_RS03770	VQY17_RS03580
OG0000064	NB623_RS03760	VQY17_RS03570
OG0000065	NB623_RS02390	VQY17_RS02255
OG0000066	NB623_RS01470	VQY17_RS01370
OG0000068	NB623_RS00640	VQY17_RS00645
OG0000069	NB623_RS02980	VQY17_RS02795
OG0000070	NB623_RS02630	VQY17_RS02475
OG0000071	NB623_RS03425	VQY17_RS03260
OG0000072	NB623_RS03430	VQY17_RS03265
OG0000073	NB623_RS00710	VQY17_RS00705
OG0000074	NB623_RS00910	VQY17_RS00910
OG0000075	NB623_RS00330	VQY17_RS00345
OG0000076	NB623_RS00345	VQY17_RS00360
OG0000077	NB623_RS00430	VQY17_RS00445
OG0000078	NB623_RS01805	VQY17_RS01715
OG0000079	NB623_RS02720	VQY17_RS02550
OG0000080	NB623_RS02770	VQY17_RS02595
OG0000081	NB623_RS00325	VQY17_RS00340
OG0000083	NB623_RS02075	VQY17_RS02095
OG0000084	NB623_RS02045	VQY17_RS02125
OG0000085	NB623_RS02040	VQY17_RS02135
OG0000086	NB623_RS02030	VQY17_RS02145
OG0000087	NB623_RS02015	VQY17_RS02160
OG0000088	NB623_RS02010	VQY17_RS02165
OG0000089	NB623_RS02000	VQY17_RS02175
OG0000090	NB623_RS00070	VQY17_RS00070
OG0000091	NB623_RS00055	VQY17_RS00055
OG0000092	NB623_RS00050	VQY17_RS00040
OG0000093	NB623_RS00035	VQY17_RS00035
OG0000094	NB623_RS00030	VQY17_RS00030
OG0000095	NB623_RS00005	VQY17_RS00005
OG0000096	NB623_RS03810	VQY17_RS03620
OG0000097	NB623_RS03790	VQY17_RS03600
OG0000098	NB623_RS03780	VQY17_RS03590
OG0000099	NB623_RS03730	VQY17_RS03540
OG0000100	NB623_RS03715	VQY17_RS03525
OG0000101	NB623_RS03710	VQY17_RS03520
OG0000102	NB623_RS01830	VQY17_RS01750
OG0000103	NB623_RS02355	VQY17_RS02220
