Orthogroup	MHP_111A_genes	MFC_ATCC27716_genes
OG0000000	NB623_RS01020	MFC_RS02935
OG0000000	NB623_RS01025	MFC_RS00010
OG0000000	NB623_RS01850	MFC_RS00365
OG0000001	NB623_RS01400, NB623_RS02960, NB623_RS02915, NB623_RS02910	MFC_RS03350
OG0000002	NB623_RS02345, NB623_RS01905	MFC_RS00395
OG0000002	NB623_RS01015	MFC_RS02940
OG0000003	NB623_RS01035	MFC_RS02995
OG0000007	NB623_RS01045	MFC_RS02975
OG0000007	NB623_RS01050	MFC_RS02970
OG0000007	NB623_RS01060	MFC_RS02965
OG0000008	NB623_RS01760	MFC_RS03380
OG0000011	NB623_RS02145	MFC_RS03510, MFC_RS03505
OG0000011	NB623_RS02150	MFC_RS01350
OG0000013	NB623_RS02540	MFC_RS03175, MFC_RS02880
OG0000014	NB623_RS01220, NB623_RS00600	MFC_RS00870
OG0000017	NB623_RS00145	MFC_RS03155
OG0000017	NB623_RS03015	MFC_RS01040
OG0000018	NB623_RS01950	MFC_RS00540
OG0000020	NB623_RS03740	MFC_RS00305
OG0000020	NB623_RS03745	MFC_RS00300
OG0000022	NB623_RS01840	MFC_RS00360
OG0000023	NB623_RS01940	MFC_RS01695
OG0000024	NB623_RS02905, NB623_RS01395	MFC_RS01110
OG0000025	NB623_RS01835	MFC_RS00355
OG0000026	NB623_RS01480, NB623_RS01815	MFC_RS00580
OG0000027	NB623_RS03535	MFC_RS02850
OG0000029	NB623_RS01215, NB623_RS00605	MFC_RS00875
OG0000030	NB623_RS03510, NB623_RS03530	MFC_RS02855
OG0000031	NB623_RS01985	MFC_RS01295
OG0000032	NB623_RS01690	MFC_RS02685
OG0000032	NB623_RS03525	MFC_RS02860
OG0000033	NB623_RS02560	MFC_RS01210
OG0000037	NB623_RS01700	MFC_RS03185
OG0000037	NB623_RS01695	MFC_RS03295, MFC_RS00375
OG0000039	NB623_RS01730	MFC_RS03135, MFC_RS00935
OG0000040	NB623_RS03440, NB623_RS03435	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	NB623_RS03100	MFC_RS00930, MFC_RS01085
OG0000043	NB623_RS02180	MFC_RS01320
OG0000045	NB623_RS01740	MFC_RS00950
OG0000048	NB623_RS01920	MFC_RS00140
OG0000049	NB623_RS03205	MFC_RS03220, MFC_RS03365
OG0000050	NB623_RS02600	MFC_RS01260
OG0000051	NB623_RS02820	MFC_RS02240
OG0000052	NB623_RS00080	MFC_RS00160
OG0000053	NB623_RS01570	MFC_RS00665
OG0000054	NB623_RS02625	MFC_RS01235
OG0000055	NB623_RS00125	MFC_RS03415, MFC_RS03540
OG0000056	NB623_RS03725	MFC_RS00325
OG0000057	NB623_RS03085	MFC_RS00965
OG0000062	NB623_RS03775	MFC_RS00270
OG0000063	NB623_RS03770	MFC_RS00275
OG0000064	NB623_RS03760	MFC_RS00285
OG0000065	NB623_RS02390	MFC_RS00440
OG0000066	NB623_RS01470	MFC_RS00570
OG0000068	NB623_RS00640	MFC_RS00910
OG0000069	NB623_RS02980	MFC_RS01075
OG0000070	NB623_RS02630	MFC_RS01215
OG0000071	NB623_RS03425	MFC_RS01630
OG0000072	NB623_RS03430	MFC_RS01635
OG0000073	NB623_RS00710	MFC_RS03395, MFC_RS03390
OG0000075	NB623_RS00330	MFC_RS02565
OG0000077	NB623_RS00430	MFC_RS02670
OG0000079	NB623_RS02720	MFC_RS02930, MFC_RS03120
OG0000080	NB623_RS02770	MFC_RS03315
OG0000081	NB623_RS00325	MFC_RS03430, MFC_RS02560
OG0000083	NB623_RS02075	MFC_RS00040
OG0000084	NB623_RS02045	MFC_RS00070
OG0000085	NB623_RS02040	MFC_RS00075
OG0000086	NB623_RS02030	MFC_RS00085
OG0000087	NB623_RS02015	MFC_RS03320
OG0000088	NB623_RS02010	MFC_RS00105
OG0000089	NB623_RS02000	MFC_RS00115
OG0000090	NB623_RS00070	MFC_RS00165
OG0000091	NB623_RS00055	MFC_RS00180
OG0000092	NB623_RS00050	MFC_RS00195
OG0000093	NB623_RS00035	MFC_RS00200
OG0000094	NB623_RS00030	MFC_RS00205
OG0000095	NB623_RS00005	MFC_RS00230
OG0000096	NB623_RS03810	MFC_RS00235
OG0000097	NB623_RS03790	MFC_RS00255
OG0000098	NB623_RS03780	MFC_RS00265
OG0000099	NB623_RS03730	MFC_RS00320
OG0000100	NB623_RS03715	MFC_RS00335
OG0000101	NB623_RS03710	MFC_RS00340
OG0000102	NB623_RS01830	MFC_RS00350
OG0000103	NB623_RS02355	MFC_RS00405
OG0000104	NB623_RS02360	MFC_RS00410
OG0000105	NB623_RS02380	MFC_RS00425
OG0000106	NB623_RS02385	MFC_RS00435
OG0000107	NB623_RS02395	MFC_RS00445
OG0000108	NB623_RS02400	MFC_RS00450
OG0000109	NB623_RS02405	MFC_RS00455
OG0000110	NB623_RS02525	MFC_RS00460
OG0000111	NB623_RS02520	MFC_RS00465
OG0000112	NB623_RS02510	MFC_RS00475
OG0000113	NB623_RS02490	MFC_RS00490
OG0000114	NB623_RS02485	MFC_RS00500
OG0000115	NB623_RS02470	MFC_RS00510
OG0000116	NB623_RS01415	MFC_RS00520
OG0000117	NB623_RS01420	MFC_RS00525
OG0000118	NB623_RS01455	MFC_RS00555
OG0000119	NB623_RS01465	MFC_RS00560
OG0000120	NB623_RS01475	MFC_RS00575
OG0000121	NB623_RS01505	MFC_RS00600
OG0000122	NB623_RS01510	MFC_RS00605
OG0000123	NB623_RS01530	MFC_RS00625
OG0000124	NB623_RS01535	MFC_RS00630
OG0000125	NB623_RS01545	MFC_RS00635
OG0000126	NB623_RS01550	MFC_RS00645
OG0000127	NB623_RS01560	MFC_RS00655
OG0000128	NB623_RS01575	MFC_RS00670
OG0000129	NB623_RS01580	MFC_RS00675
OG0000130	NB623_RS01590	MFC_RS00685
OG0000131	NB623_RS01620	MFC_RS00715
OG0000132	NB623_RS01635	MFC_RS00735
OG0000133	NB623_RS00525	MFC_RS00805
OG0000134	NB623_RS00530	MFC_RS00810
OG0000135	NB623_RS00545	MFC_RS00825
OG0000136	NB623_RS00550	MFC_RS00830
OG0000137	NB623_RS00590	MFC_RS00860
OG0000138	NB623_RS00615	MFC_RS00885
OG0000139	NB623_RS00645	MFC_RS00915
OG0000140	NB623_RS00650	MFC_RS00920
OG0000141	NB623_RS03095	MFC_RS00955
OG0000142	NB623_RS03090	MFC_RS00960
OG0000143	NB623_RS03075	MFC_RS00985
OG0000144	NB623_RS03060	MFC_RS00995
OG0000145	NB623_RS03050	MFC_RS01005
OG0000146	NB623_RS03040	MFC_RS01015
OG0000147	NB623_RS03035	MFC_RS01020
OG0000148	NB623_RS03020	MFC_RS01035
OG0000149	NB623_RS03010	MFC_RS01045
OG0000150	NB623_RS02995	MFC_RS01060
OG0000151	NB623_RS02945	MFC_RS01115
OG0000152	NB623_RS02940	MFC_RS01120
OG0000153	NB623_RS02935	MFC_RS01125
OG0000154	NB623_RS02925	MFC_RS01135
OG0000155	NB623_RS02885	MFC_RS01155
OG0000156	NB623_RS02875	MFC_RS01175
OG0000157	NB623_RS02870	MFC_RS01180
OG0000158	NB623_RS02860	MFC_RS01190
OG0000159	NB623_RS02615	MFC_RS01245
OG0000160	NB623_RS02610	MFC_RS01250
OG0000161	NB623_RS02605	MFC_RS01255
OG0000162	NB623_RS02595	MFC_RS01265
OG0000163	NB623_RS02590	MFC_RS01270
OG0000164	NB623_RS01725	MFC_RS01300
OG0000165	NB623_RS02155	MFC_RS01345
OG0000166	NB623_RS02135	MFC_RS01365
OG0000167	NB623_RS02120	MFC_RS01380
OG0000168	NB623_RS02115	MFC_RS01385
OG0000169	NB623_RS03200	MFC_RS01430
OG0000170	NB623_RS03215	MFC_RS01455
OG0000171	NB623_RS03225	MFC_RS01465
OG0000172	NB623_RS03230	MFC_RS01470
OG0000173	NB623_RS03235	MFC_RS01475
OG0000174	NB623_RS03240	MFC_RS01480
OG0000175	NB623_RS03265	MFC_RS01495
OG0000176	NB623_RS03310	MFC_RS01540
OG0000177	NB623_RS03315	MFC_RS01545
OG0000178	NB623_RS03320	MFC_RS01550
OG0000179	NB623_RS03330	MFC_RS01560
OG0000180	NB623_RS03335	MFC_RS01565
OG0000181	NB623_RS03375	MFC_RS01580
OG0000182	NB623_RS03385	MFC_RS01590
OG0000183	NB623_RS03420	MFC_RS01625
OG0000184	NB623_RS03485	MFC_RS01655
OG0000185	NB623_RS03475	MFC_RS01670
OG0000186	NB623_RS01645	MFC_RS01710
OG0000187	NB623_RS01660	MFC_RS01725
OG0000188	NB623_RS01670	MFC_RS01735
OG0000189	NB623_RS02445	MFC_RS03385
OG0000190	NB623_RS02440	MFC_RS01750
OG0000191	NB623_RS02415	MFC_RS01770
OG0000192	NB623_RS01340	MFC_RS01780
OG0000193	NB623_RS01325	MFC_RS01795
OG0000194	NB623_RS00690	MFC_RS01805
OG0000195	NB623_RS00695	MFC_RS01810
OG0000196	NB623_RS00720	MFC_RS01830
OG0000197	NB623_RS00730	MFC_RS01835
OG0000198	NB623_RS00740	MFC_RS01850
OG0000199	NB623_RS00745	MFC_RS01855
OG0000200	NB623_RS00760	MFC_RS01865
OG0000201	NB623_RS00770	MFC_RS01875
OG0000202	NB623_RS00830	MFC_RS01930
OG0000203	NB623_RS00835	MFC_RS01935
OG0000204	NB623_RS00840	MFC_RS01940
OG0000205	NB623_RS00845	MFC_RS01945
OG0000206	NB623_RS00865	MFC_RS01965
OG0000207	NB623_RS00880	MFC_RS01980
OG0000208	NB623_RS00885	MFC_RS01985
OG0000209	NB623_RS00890	MFC_RS01990
OG0000210	NB623_RS00935	MFC_RS02040
OG0000211	NB623_RS01070	MFC_RS02050
OG0000212	NB623_RS01080	MFC_RS02060
OG0000213	NB623_RS01085	MFC_RS02065
OG0000214	NB623_RS01090	MFC_RS02070
OG0000215	NB623_RS01095	MFC_RS02075
OG0000216	NB623_RS01100	MFC_RS02080
OG0000217	NB623_RS01105	MFC_RS02085
OG0000218	NB623_RS01115	MFC_RS02095
OG0000219	NB623_RS01120	MFC_RS02100
OG0000220	NB623_RS01125	MFC_RS02105
OG0000221	NB623_RS01130	MFC_RS02110
OG0000222	NB623_RS01135	MFC_RS03235
OG0000223	NB623_RS01140	MFC_RS02115
OG0000224	NB623_RS01150	MFC_RS02125
OG0000225	NB623_RS01160	MFC_RS02135
OG0000226	NB623_RS01165	MFC_RS02140
OG0000227	NB623_RS01170	MFC_RS02145
OG0000228	NB623_RS01175	MFC_RS03530
OG0000229	NB623_RS01180	MFC_RS02155
OG0000230	NB623_RS01185	MFC_RS02160
OG0000231	NB623_RS01195	MFC_RS02170
OG0000232	NB623_RS01205	MFC_RS02180
OG0000233	NB623_RS01225	MFC_RS02190
OG0000234	NB623_RS01260	MFC_RS02220
OG0000235	NB623_RS01270	MFC_RS02230
OG0000236	NB623_RS01275	MFC_RS02235
OG0000237	NB623_RS01280	MFC_RS02250
OG0000238	NB623_RS01285	MFC_RS02255
OG0000239	NB623_RS03105	MFC_RS02285
OG0000240	NB623_RS03110	MFC_RS02290
OG0000241	NB623_RS03120	MFC_RS02300
OG0000242	NB623_RS03125	MFC_RS02305
OG0000243	NB623_RS03130	MFC_RS02310
OG0000244	NB623_RS03140	MFC_RS02320
OG0000245	NB623_RS03145	MFC_RS02330
OG0000246	NB623_RS00130	MFC_RS02345
OG0000247	NB623_RS00140	MFC_RS02355
OG0000248	NB623_RS00150	MFC_RS02380
OG0000249	NB623_RS00155	MFC_RS02385
OG0000250	NB623_RS00175	MFC_RS02400
OG0000251	NB623_RS00205	MFC_RS02430
OG0000252	NB623_RS00210	MFC_RS02440
OG0000253	NB623_RS00215	MFC_RS02445
OG0000254	NB623_RS00225	MFC_RS02455
OG0000255	NB623_RS00230	MFC_RS02465
OG0000256	NB623_RS00240	MFC_RS02470
OG0000257	NB623_RS00260	MFC_RS02495
OG0000258	NB623_RS00270	MFC_RS02505
OG0000259	NB623_RS00300	MFC_RS02535
OG0000260	NB623_RS00310	MFC_RS02545
OG0000261	NB623_RS00320	MFC_RS02555
OG0000262	NB623_RS00340	MFC_RS02570
OG0000263	NB623_RS00350	MFC_RS02585
OG0000264	NB623_RS00365	MFC_RS02600
OG0000265	NB623_RS00375	MFC_RS02610
OG0000266	NB623_RS00390	MFC_RS02625
OG0000267	NB623_RS00405	MFC_RS02640
OG0000268	NB623_RS00410	MFC_RS02645
OG0000269	NB623_RS00425	MFC_RS02660
OG0000270	NB623_RS03685	MFC_RS02720
OG0000271	NB623_RS03675	MFC_RS02725
OG0000272	NB623_RS03670	MFC_RS02730
OG0000273	NB623_RS03665	MFC_RS02735
OG0000274	NB623_RS03650	MFC_RS02755
OG0000275	NB623_RS03640	MFC_RS03455
OG0000276	NB623_RS03635	MFC_RS02765
OG0000277	NB623_RS03625	MFC_RS02775
OG0000278	NB623_RS03620	MFC_RS02780
OG0000279	NB623_RS03615	MFC_RS02790
OG0000280	NB623_RS03605	MFC_RS02795
OG0000281	NB623_RS03600	MFC_RS03255
OG0000282	NB623_RS03570	MFC_RS02820
OG0000283	NB623_RS03565	MFC_RS02825
OG0000284	NB623_RS03560	MFC_RS02830
OG0000285	NB623_RS03555	MFC_RS02835
OG0000286	NB623_RS02575	MFC_RS02865
OG0000287	NB623_RS02675	MFC_RS02890
OG0000288	NB623_RS02685	MFC_RS02900
OG0000289	NB623_RS02690	MFC_RS02905
OG0000290	NB623_RS02810	MFC_RS03030
OG0000291	NB623_RS02800	MFC_RS03040
OG0000292	NB623_RS02795	MFC_RS03045
OG0000293	NB623_RS02790	MFC_RS03050
OG0000294	NB623_RS02780	MFC_RS03060
OG0000295	NB623_RS02775	MFC_RS03065
OG0000296	NB623_RS02730	MFC_RS03110
OG0000297	NB623_RS02725	MFC_RS03115
OG0000298	NB623_RS00165	MFC_RS02395
OG0000299	NB623_RS00185	MFC_RS02415
OG0000300	NB623_RS00360	MFC_RS02595
OG0000301	NB623_RS00395	MFC_RS02630
OG0000302	NB623_RS00400	MFC_RS02635
OG0000303	NB623_RS00555	MFC_RS00835
OG0000304	NB623_RS01210	MFC_RS00865
OG0000305	NB623_RS03045	MFC_RS01010
OG0000306	NB623_RS02970	MFC_RS01090
OG0000307	NB623_RS02930	MFC_RS01130
OG0000308	NB623_RS02835	MFC_RS03020
OG0000309	NB623_RS02765	MFC_RS03075
OG0000310	NB623_RS02680	MFC_RS02895
OG0000311	NB623_RS02635	MFC_RS01220
OG0000312	NB623_RS02620	MFC_RS01240
OG0000313	NB623_RS01715	MFC_RS01290
OG0000314	NB623_RS02140	MFC_RS01360
OG0000315	NB623_RS02110	MFC_RS01390
OG0000316	NB623_RS02100	MFC_RS01400
OG0000317	NB623_RS02005	MFC_RS00110
OG0000318	NB623_RS02095	MFC_RS00020
OG0000319	NB623_RS02370	MFC_RS00420
OG0000320	NB623_RS02500	MFC_RS00485
OG0000321	NB623_RS01450	MFC_RS00550
OG0000322	NB623_RS01500	MFC_RS00595
OG0000323	NB623_RS01630	MFC_RS00725
OG0000324	NB623_RS02410	MFC_RS01775
OG0000325	NB623_RS00705	MFC_RS01815
OG0000326	NB623_RS00805	MFC_RS01905
OG0000327	NB623_RS00810	MFC_RS01910
OG0000328	NB623_RS00895	MFC_RS01995
OG0000329	NB623_RS00915	MFC_RS02020
OG0000330	NB623_RS01235	MFC_RS02200
OG0000331	NB623_RS03135	MFC_RS02315
OG0000332	NB623_RS03270	MFC_RS01505
OG0000333	NB623_RS03280	MFC_RS01515
OG0000334	NB623_RS03380	MFC_RS01585
OG0000335	NB623_RS03390	MFC_RS01595
OG0000336	NB623_RS03590	MFC_RS02805
OG0000337	NB623_RS03765	MFC_RS00280
OG0000338	NB623_RS03805	MFC_RS00240
OG0000339	NB623_RS02475	MFC_RS00505
OG0000340	NB623_RS01430	MFC_RS00530
OG0000341	NB623_RS02435	MFC_RS01755
OG0000342	NB623_RS00735	MFC_RS01845
OG0000343	NB623_RS03290	MFC_RS01525
OG0000344	NB623_RS00570	MFC_RS00850
OG0000345	NB623_RS01155	MFC_RS02130
OG0000346	NB623_RS03595	MFC_RS02800
OG0000347	NB623_RS01525	MFC_RS00620
OG0000348	NB623_RS00815	MFC_RS01915
OG0000349	NB623_RS03655	MFC_RS02745
OG0000350	NB623_RS02920	MFC_RS03345
OG0000351	NB623_RS00480	MFC_RS00785
OG0000352	NB623_RS02160	MFC_RS01340
OG0000353	NB623_RS01490	MFC_RS00590
OG0000354	NB623_RS00630	MFC_RS00900
OG0000355	NB623_RS02185	MFC_RS01315
OG0000356	NB623_RS02105	MFC_RS01395
OG0000357	NB623_RS03245	MFC_RS01485
OG0000358	NB623_RS03250	MFC_RS01490
OG0000359	NB623_RS00780	MFC_RS01885
