Orthogroup	MHP_111A_genes	MHP_116_genes
OG0000000	NB623_RS01020	ABJ972_RS02100
OG0000000	NB623_RS01025	ABJ972_RS02095
OG0000000	NB623_RS02460	ABJ972_RS02265
OG0000000	NB623_RS01845, NB623_RS01850, NB623_RS01865	ABJ972_RS01695
OG0000001	NB623_RS01400	ABJ972_RS01270
OG0000001	NB623_RS02915, NB623_RS02910	ABJ972_RS02675
OG0000002	NB623_RS02345	ABJ972_RS02150
OG0000002	NB623_RS01015	ABJ972_RS02105
OG0000003	NB623_RS00495	ABJ972_RS01765
OG0000003	NB623_RS00505	ABJ972_RS00485
OG0000003	NB623_RS02255	ABJ972_RS01815
OG0000004	NB623_RS03360	ABJ972_RS03105
OG0000004	NB623_RS03350	ABJ972_RS03100
OG0000004	NB623_RS03365	ABJ972_RS03120
OG0000004	NB623_RS03180	ABJ972_RS02940
OG0000005	NB623_RS00105	ABJ972_RS00100
OG0000005	NB623_RS00110	ABJ972_RS00105
OG0000005	NB623_RS00115	ABJ972_RS00110
OG0000006	NB623_RS02650	ABJ972_RS02440
OG0000006	NB623_RS02495	ABJ972_RS02305
OG0000006	NB623_RS02465	ABJ972_RS02275
OG0000007	NB623_RS01045	ABJ972_RS02135
OG0000007	NB623_RS01050	ABJ972_RS02130
OG0000007	NB623_RS01060	ABJ972_RS02125
OG0000008	NB623_RS02455	ABJ972_RS02260
OG0000008	NB623_RS01760	ABJ972_RS01615
OG0000008	NB623_RS02665, NB623_RS02660	ABJ972_RS02445
OG0000009	NB623_RS00665	ABJ972_RS01005
OG0000009	NB623_RS00090	ABJ972_RS00085
OG0000009	NB623_RS00680	ABJ972_RS00990
OG0000010	NB623_RS02245	ABJ972_RS01825
OG0000011	NB623_RS02145	ABJ972_RS01915
OG0000011	NB623_RS02150	ABJ972_RS01910
OG0000012	NB623_RS02230	ABJ972_RS01840
OG0000013	NB623_RS02540	ABJ972_RS02350
OG0000014	NB623_RS01220	ABJ972_RS01075
OG0000014	NB623_RS00600	ABJ972_RS01065
OG0000016	NB623_RS00160	ABJ972_RS00155
OG0000017	NB623_RS00145	ABJ972_RS00140
OG0000017	NB623_RS03015	ABJ972_RS02775
OG0000018	NB623_RS01440, NB623_RS01950	ABJ972_RS01310
OG0000019	NB623_RS03175	ABJ972_RS02935
OG0000020	NB623_RS03740	ABJ972_RS03450
OG0000020	NB623_RS03745	ABJ972_RS03455
OG0000021	NB623_RS02325	ABJ972_RS00490, ABJ972_RS00495
OG0000022	NB623_RS01785	ABJ972_RS01635
OG0000022	NB623_RS01840	ABJ972_RS01690
OG0000024	NB623_RS02905	ABJ972_RS02670
OG0000024	NB623_RS01395	ABJ972_RS01260
OG0000025	NB623_RS01790	ABJ972_RS01640
OG0000025	NB623_RS01835	ABJ972_RS01685
OG0000026	NB623_RS01480	ABJ972_RS01350
OG0000026	NB623_RS01815	ABJ972_RS01665
OG0000027	NB623_RS03520	ABJ972_RS03260
OG0000028	NB623_RS02565, NB623_RS02570	ABJ972_RS02360
OG0000029	NB623_RS01215	ABJ972_RS00585
OG0000029	NB623_RS00605	ABJ972_RS01060
OG0000030	NB623_RS03510	ABJ972_RS03245
OG0000032	NB623_RS01690	ABJ972_RS01555
OG0000033	NB623_RS02545	ABJ972_RS02355
OG0000035	NB623_RS03355	ABJ972_RS03115
OG0000037	NB623_RS01700	ABJ972_RS01560
OG0000039	NB623_RS01730	ABJ972_RS01595
OG0000040	NB623_RS03445, NB623_RS03440, NB623_RS03435	ABJ972_RS03190
OG0000041	NB623_RS00670	ABJ972_RS01000
OG0000042	NB623_RS03100	ABJ972_RS02860
OG0000043	NB623_RS02180	ABJ972_RS01880
OG0000044	NB623_RS01800	ABJ972_RS01650
OG0000045	NB623_RS01740	ABJ972_RS01600
OG0000046	NB623_RS03460	ABJ972_RS03200
OG0000048	NB623_RS01920	ABJ972_RS02065
OG0000049	NB623_RS03205	ABJ972_RS02960
OG0000050	NB623_RS02600	ABJ972_RS02390
OG0000051	NB623_RS02820	ABJ972_RS02590
OG0000052	NB623_RS00080	ABJ972_RS00075
OG0000053	NB623_RS01570	ABJ972_RS01435
OG0000054	NB623_RS02625	ABJ972_RS02415
OG0000055	NB623_RS00125	ABJ972_RS00120
OG0000056	NB623_RS03725	ABJ972_RS03435
OG0000057	NB623_RS03085	ABJ972_RS02845
OG0000061	NB623_RS02235	ABJ972_RS01835
OG0000062	NB623_RS03775	ABJ972_RS03485, ABJ972_RS03515
OG0000063	NB623_RS03770	ABJ972_RS03510, ABJ972_RS03480
OG0000064	NB623_RS03760	ABJ972_RS03470
OG0000065	NB623_RS02390	ABJ972_RS02200
OG0000066	NB623_RS01470	ABJ972_RS01340
OG0000068	NB623_RS00640	ABJ972_RS01025
OG0000069	NB623_RS02980	ABJ972_RS02740
OG0000070	NB623_RS02630	ABJ972_RS02420
OG0000071	NB623_RS03425	ABJ972_RS03180
OG0000072	NB623_RS03430	ABJ972_RS03185
OG0000073	NB623_RS00710	ABJ972_RS00965
OG0000074	NB623_RS00910	ABJ972_RS00765
OG0000075	NB623_RS00330	ABJ972_RS00325
OG0000076	NB623_RS00345	ABJ972_RS00340
OG0000077	NB623_RS00430	ABJ972_RS00425
OG0000078	NB623_RS01805	ABJ972_RS01655
OG0000079	NB623_RS02720	ABJ972_RS02495
OG0000080	NB623_RS02770	ABJ972_RS02540
OG0000081	NB623_RS00325	ABJ972_RS00320
