Orthogroup	MHP_111A_genes	MHP_7422_genes
OG0000000	NB623_RS01020	MHL_RS02190
OG0000000	NB623_RS01030	MHL_RS03905
OG0000000	NB623_RS02460	MHL_RS02380
OG0000000	NB623_RS01865	MHL_RS03710
OG0000001	NB623_RS01400	MHL_RS03980
OG0000001	NB623_RS02960	MHL_RS02845
OG0000001	NB623_RS02910	MHL_RS04080
OG0000002	NB623_RS02345	MHL_RS04055
OG0000002	NB623_RS01015	MHL_RS02195
OG0000003	NB623_RS01040, NB623_RS01035	MHL_RS02255
OG0000004	NB623_RS03360	MHL_RS03205
OG0000004	NB623_RS03365	MHL_RS03215
OG0000005	NB623_RS00105	MHL_RS00105
OG0000005	NB623_RS00110	MHL_RS04205
OG0000005	NB623_RS00115	MHL_RS00115
OG0000006	NB623_RS02650	MHL_RS03635
OG0000006	NB623_RS02495	MHL_RS02420
OG0000006	NB623_RS02465	MHL_RS02390
OG0000007	NB623_RS01045	MHL_RS02250
OG0000007	NB623_RS01050	MHL_RS02245
OG0000007	NB623_RS01060	MHL_RS02240
OG0000008	NB623_RS02455	MHL_RS02375
OG0000008	NB623_RS01760	MHL_RS04180
OG0000008	NB623_RS02665, NB623_RS02660	MHL_RS04065
OG0000009	NB623_RS00660, NB623_RS00665	MHL_RS00755
OG0000009	NB623_RS00090	MHL_RS00090
OG0000009	NB623_RS00680	MHL_RS00770
OG0000010	NB623_RS02245	MHL_RS01930
OG0000011	NB623_RS02145	MHL_RS04185
OG0000011	NB623_RS02150	MHL_RS02020
OG0000012	NB623_RS02230	MHL_RS03845
OG0000013	NB623_RS02540	MHL_RS02470
OG0000014	NB623_RS01220	MHL_RS01170
OG0000014	NB623_RS00600	MHL_RS00695
OG0000015	NB623_RS01685	MHL_RS01645
OG0000016	NB623_RS00160	MHL_RS00175
OG0000017	NB623_RS00145	MHL_RS00160
OG0000017	NB623_RS03015	MHL_RS02895
OG0000018	NB623_RS01440	MHL_RS01405
OG0000020	NB623_RS03740	MHL_RS03545
OG0000020	NB623_RS03745	MHL_RS03550
OG0000021	NB623_RS02325	MHL_RS03930
OG0000022	NB623_RS01785	MHL_RS01740
OG0000022	NB623_RS01840	MHL_RS01790
OG0000024	NB623_RS02905	MHL_RS02790
OG0000024	NB623_RS01395	MHL_RS01355
OG0000025	NB623_RS01790	MHL_RS01745
OG0000025	NB623_RS01835	MHL_RS01785
OG0000026	NB623_RS01480	MHL_RS01445
OG0000027	NB623_RS03520	MHL_RS03755
OG0000027	NB623_RS03535	MHL_RS03360
OG0000028	NB623_RS02565	MHL_RS02480
OG0000029	NB623_RS01215	MHL_RS01165
OG0000029	NB623_RS00605	MHL_RS00700
OG0000030	NB623_RS03510	MHL_RS03335
OG0000030	NB623_RS03530	MHL_RS03355
OG0000031	NB623_RS01720	MHL_RS01685
OG0000032	NB623_RS01690	MHL_RS04000
OG0000032	NB623_RS03525	MHL_RS03350
OG0000033	NB623_RS02545, NB623_RS02550	MHL_RS02475
OG0000034	NB623_RS00990	MHL_RS04045
OG0000035	NB623_RS03355	MHL_RS03210
OG0000035	NB623_RS03345	MHL_RS03195
OG0000036	NB623_RS00120	MHL_RS00120
OG0000039	NB623_RS01730	MHL_RS01705
