Orthogroup	MHP_111A_genes	MHP_UFV02_genes
OG0000000	NB623_RS01020	FEF31_RS01875
OG0000000	NB623_RS01030	FEF31_RS04515
OG0000000	NB623_RS02460	FEF31_RS02055
OG0000000	NB623_RS01845	FEF31_RS01380
OG0000000	NB623_RS01850	FEF31_RS01385
OG0000001	NB623_RS01400	FEF31_RS00940
OG0000001	NB623_RS02960	FEF31_RS02540
OG0000001	NB623_RS02910	FEF31_RS02490
OG0000002	NB623_RS02345	FEF31_RS01945
OG0000002	NB623_RS01905	FEF31_RS01940
OG0000002	NB623_RS01015	FEF31_RS04505
OG0000003	NB623_RS01040, NB623_RS01035	FEF31_RS04510
OG0000004	NB623_RS03360	FEF31_RS03760
OG0000004	NB623_RS03365	FEF31_RS03775
OG0000005	NB623_RS00105	FEF31_RS03370
OG0000005	NB623_RS00110	FEF31_RS04660
OG0000005	NB623_RS00115	FEF31_RS03380
OG0000006	NB623_RS02650	FEF31_RS02230
OG0000006	NB623_RS02465	FEF31_RS02060
OG0000007	NB623_RS01045	FEF31_RS01925
OG0000007	NB623_RS01050	FEF31_RS01915
OG0000007	NB623_RS01060	FEF31_RS01910
OG0000008	NB623_RS02455	FEF31_RS02050
OG0000008	NB623_RS01760	FEF31_RS01300
OG0000008	NB623_RS02665, NB623_RS02660	FEF31_RS02250
OG0000009	NB623_RS00665	FEF31_RS00325
OG0000009	NB623_RS00680	FEF31_RS00335
OG0000010	NB623_RS02245	FEF31_RS01600
OG0000011	NB623_RS02145	FEF31_RS01695
OG0000011	NB623_RS02150	FEF31_RS01690
OG0000012	NB623_RS01710, NB623_RS01005, NB623_RS02340	FEF31_RS02235
OG0000013	NB623_RS02540	FEF31_RS02135
OG0000014	NB623_RS01220	FEF31_RS00745
OG0000014	NB623_RS00600	FEF31_RS04375
OG0000015	NB623_RS01685	FEF31_RS01295
OG0000016	NB623_RS00160	FEF31_RS03440
OG0000017	NB623_RS00145	FEF31_RS03425
OG0000017	NB623_RS03015	FEF31_RS02590
OG0000020	NB623_RS03740	FEF31_RS03220
OG0000020	NB623_RS03745	FEF31_RS04270
OG0000021	NB623_RS02325	FEF31_RS00170
OG0000022	NB623_RS01785	FEF31_RS01320
OG0000022	NB623_RS01840	FEF31_RS04450
OG0000024	NB623_RS02905	FEF31_RS02485
OG0000024	NB623_RS01395	FEF31_RS00930
OG0000025	NB623_RS01790	FEF31_RS04445
OG0000025	NB623_RS01835	FEF31_RS01370
OG0000026	NB623_RS01480	FEF31_RS01025
OG0000026	NB623_RS01815	FEF31_RS01350
OG0000027	NB623_RS03520	FEF31_RS03015
OG0000027	NB623_RS03535	FEF31_RS04605
OG0000029	NB623_RS01215	FEF31_RS00735
OG0000029	NB623_RS00605	FEF31_RS00270
OG0000030	NB623_RS03510	FEF31_RS04590
OG0000030	NB623_RS03530	FEF31_RS04600
OG0000031	NB623_RS01720	FEF31_RS01265
OG0000032	NB623_RS03525	FEF31_RS03020
OG0000034	NB623_RS00990	FEF31_RS01895
OG0000035	NB623_RS03355	FEF31_RS03765
OG0000036	NB623_RS00120	FEF31_RS03385
OG0000039	NB623_RS01730	FEF31_RS01275
OG0000040	NB623_RS03445, NB623_RS03440, NB623_RS03435	FEF31_RS03890
OG0000041	NB623_RS00670	FEF31_RS00330
OG0000042	NB623_RS03100	FEF31_RS02675
OG0000043	NB623_RS02180	FEF31_RS01660, FEF31_RS01455
OG0000044	NB623_RS01800	FEF31_RS04775
OG0000044	NB623_RS02300	FEF31_RS01545
OG0000045	NB623_RS01740	FEF31_RS01280, FEF31_RS01285
OG0000046	NB623_RS03460	FEF31_RS02960, FEF31_RS02245
OG0000048	NB623_RS01920	FEF31_RS01845
OG0000049	NB623_RS03205	FEF31_RS03620
OG0000050	NB623_RS02600	FEF31_RS02180
OG0000051	NB623_RS02820	FEF31_RS02395
OG0000052	NB623_RS00080	FEF31_RS03360
OG0000053	NB623_RS01570	FEF31_RS04425
OG0000054	NB623_RS02625	FEF31_RS02205
OG0000055	NB623_RS00125	FEF31_RS03405
OG0000056	NB623_RS03725	FEF31_RS03205
OG0000057	NB623_RS03085	FEF31_RS02660
OG0000058	NB623_RS01995	FEF31_RS01470
OG0000061	NB623_RS02235	FEF31_RS01245, FEF31_RS01610
OG0000062	NB623_RS03775	FEF31_RS03250
OG0000063	NB623_RS03770	FEF31_RS04645
OG0000064	NB623_RS03760	FEF31_RS03235
OG0000065	NB623_RS02390	FEF31_RS01990
OG0000066	NB623_RS01470	FEF31_RS01015
OG0000068	NB623_RS00640	FEF31_RS00305
OG0000069	NB623_RS02980	FEF31_RS02555
OG0000070	NB623_RS02630	FEF31_RS02210
OG0000071	NB623_RS03425	FEF31_RS03835
OG0000072	NB623_RS03430	FEF31_RS04700
OG0000073	NB623_RS00710	FEF31_RS00360
OG0000074	NB623_RS00910	FEF31_RS04395
OG0000075	NB623_RS00330	FEF31_RS00005
OG0000077	NB623_RS00430	FEF31_RS00105
OG0000078	NB623_RS01805	FEF31_RS01340
OG0000079	NB623_RS02720	FEF31_RS02300
OG0000080	NB623_RS02770	FEF31_RS02345
OG0000081	NB623_RS00325	FEF31_RS03610
OG0000083	NB623_RS02075	FEF31_RS01765
OG0000084	NB623_RS02045	FEF31_RS01795
OG0000085	NB623_RS02040	FEF31_RS01800
OG0000086	NB623_RS02030	FEF31_RS01810
OG0000087	NB623_RS02015	FEF31_RS01825
OG0000088	NB623_RS02010	FEF31_RS01830
OG0000089	NB623_RS02000	FEF31_RS01840
OG0000090	NB623_RS00070	FEF31_RS03355
OG0000091	NB623_RS00055	FEF31_RS03340
OG0000092	NB623_RS00050	FEF31_RS03325
OG0000093	NB623_RS00035	FEF31_RS03320
OG0000094	NB623_RS00030	FEF31_RS03315
OG0000095	NB623_RS00005	FEF31_RS03290
OG0000096	NB623_RS03810	FEF31_RS03285
OG0000097	NB623_RS03790	FEF31_RS03265
OG0000098	NB623_RS03780	FEF31_RS03255
OG0000099	NB623_RS03730	FEF31_RS04640
OG0000100	NB623_RS03715	FEF31_RS03195
OG0000101	NB623_RS03710	FEF31_RS03190
OG0000102	NB623_RS01830	FEF31_RS01365
OG0000103	NB623_RS02355	FEF31_RS01955
OG0000104	NB623_RS02360	FEF31_RS01960
OG0000105	NB623_RS02380	FEF31_RS01975
OG0000106	NB623_RS02385	FEF31_RS01985
OG0000107	NB623_RS02395	FEF31_RS01995
OG0000108	NB623_RS02400	FEF31_RS02000
OG0000109	NB623_RS02405	FEF31_RS02005
OG0000110	NB623_RS02525	FEF31_RS02120
OG0000111	NB623_RS02520	FEF31_RS02115
OG0000112	NB623_RS02510	FEF31_RS02105
OG0000113	NB623_RS02490	FEF31_RS02085
OG0000114	NB623_RS02485	FEF31_RS02075
OG0000115	NB623_RS02470	FEF31_RS02065
OG0000116	NB623_RS01415	FEF31_RS00955
OG0000117	NB623_RS01420	FEF31_RS00960
OG0000118	NB623_RS01455	FEF31_RS00995
OG0000119	NB623_RS01465	FEF31_RS01000
OG0000120	NB623_RS01475	FEF31_RS01020
OG0000121	NB623_RS01505	FEF31_RS01045
OG0000122	NB623_RS01510	FEF31_RS01050
OG0000123	NB623_RS01530	FEF31_RS01070
OG0000124	NB623_RS01535	FEF31_RS01075
OG0000125	NB623_RS01545	FEF31_RS01080
OG0000126	NB623_RS01550	FEF31_RS01090
OG0000127	NB623_RS01560	FEF31_RS01100
OG0000128	NB623_RS01575	FEF31_RS01115
OG0000129	NB623_RS01580	FEF31_RS01120
OG0000130	NB623_RS01590	FEF31_RS01130
OG0000131	NB623_RS01620	FEF31_RS01160
OG0000132	NB623_RS01635	FEF31_RS04430
OG0000133	NB623_RS00525	FEF31_RS00190
OG0000134	NB623_RS00530	FEF31_RS00195
OG0000135	NB623_RS00545	FEF31_RS00210
OG0000136	NB623_RS00550	FEF31_RS00215
OG0000137	NB623_RS00590	FEF31_RS00245
OG0000138	NB623_RS00615	FEF31_RS00280
OG0000139	NB623_RS00645	FEF31_RS00310
OG0000140	NB623_RS00650	FEF31_RS00315
OG0000141	NB623_RS03095	FEF31_RS02670
OG0000142	NB623_RS03090	FEF31_RS04555
OG0000143	NB623_RS03075	FEF31_RS02645
OG0000144	NB623_RS03060	FEF31_RS02635
OG0000145	NB623_RS03050	FEF31_RS02625
OG0000146	NB623_RS03040	FEF31_RS02615
OG0000147	NB623_RS03035	FEF31_RS02610
OG0000148	NB623_RS03020	FEF31_RS02595
OG0000149	NB623_RS03010	FEF31_RS02585
OG0000150	NB623_RS02995	FEF31_RS02570
OG0000151	NB623_RS02945	FEF31_RS02525
OG0000152	NB623_RS02940	FEF31_RS02520
OG0000153	NB623_RS02935	FEF31_RS02515
OG0000154	NB623_RS02925	FEF31_RS02505
OG0000155	NB623_RS02885	FEF31_RS02465
OG0000156	NB623_RS02875	FEF31_RS02455
OG0000157	NB623_RS02870	FEF31_RS04545
OG0000158	NB623_RS02860	FEF31_RS04540
OG0000159	NB623_RS02615	FEF31_RS02195
OG0000160	NB623_RS02610	FEF31_RS02190
OG0000161	NB623_RS02605	FEF31_RS02185
OG0000162	NB623_RS02595	FEF31_RS02175
OG0000163	NB623_RS02590	FEF31_RS02170
OG0000164	NB623_RS01725	FEF31_RS01270
OG0000165	NB623_RS02155	FEF31_RS01685
OG0000166	NB623_RS02135	FEF31_RS01705
OG0000167	NB623_RS02120	FEF31_RS01720
OG0000168	NB623_RS02115	FEF31_RS01725
OG0000169	NB623_RS03200	FEF31_RS03615
OG0000170	NB623_RS03215	FEF31_RS04785, FEF31_RS04795
OG0000171	NB623_RS03225	FEF31_RS03640
OG0000172	NB623_RS03230	FEF31_RS03645
OG0000173	NB623_RS03235	FEF31_RS03650
OG0000174	NB623_RS03240	FEF31_RS03655
OG0000175	NB623_RS03265	FEF31_RS03670
OG0000176	NB623_RS03310	FEF31_RS03715
OG0000177	NB623_RS03315	FEF31_RS03720
OG0000178	NB623_RS03320	FEF31_RS03725
OG0000179	NB623_RS03330	FEF31_RS03735
OG0000180	NB623_RS03335	FEF31_RS03740
OG0000181	NB623_RS03375	FEF31_RS04690
OG0000182	NB623_RS03385	FEF31_RS03795
OG0000183	NB623_RS03420	FEF31_RS03830
OG0000184	NB623_RS03485	FEF31_RS02980
OG0000185	NB623_RS03475	FEF31_RS02965
OG0000186	NB623_RS01645	FEF31_RS04435
OG0000187	NB623_RS01660	FEF31_RS01200
OG0000188	NB623_RS01670	FEF31_RS01210
OG0000189	NB623_RS02445	FEF31_RS04520
OG0000190	NB623_RS02440	FEF31_RS02035
OG0000191	NB623_RS02415	FEF31_RS02015
OG0000192	NB623_RS01340	FEF31_RS00875
