Orthogroup	MHP_111A_genes	MHP_MHP653_genes
OG0000000	NB623_RS01020	DR096_RS04410
OG0000000	NB623_RS01855	DR096_RS03335
OG0000000	NB623_RS02460	DR096_RS03550
OG0000000	NB623_RS01850	DR096_RS02065
OG0000000	NB623_RS01865	DR096_RS03340
OG0000001	NB623_RS02960	DR096_RS01190
OG0000002	NB623_RS02345	DR096_RS04275
OG0000002	NB623_RS01905	DR096_RS02905
OG0000002	NB623_RS01015	DR096_RS04810
OG0000003	NB623_RS00495	DR096_RS03740
OG0000003	NB623_RS00940	DR096_RS04710
OG0000003	NB623_RS01040, NB623_RS01035	DR096_RS04820
OG0000005	NB623_RS00105	DR096_RS02575
OG0000005	NB623_RS00110	DR096_RS02565
OG0000005	NB623_RS00115	DR096_RS02560
OG0000006	NB623_RS02650	DR096_RS04365
OG0000006	NB623_RS02495	DR096_RS01695
OG0000007	NB623_RS00955, NB623_RS00950	DR096_RS02415
OG0000007	NB623_RS01045	DR096_RS03505
OG0000007	NB623_RS00970	DR096_RS04240
OG0000007	NB623_RS01050	DR096_RS03510
OG0000007	NB623_RS01060	DR096_RS00630
OG0000008	NB623_RS02665, NB623_RS02660	DR096_RS04360
OG0000009	NB623_RS00090	DR096_RS02590
OG0000010	NB623_RS02245	DR096_RS00395
OG0000011	NB623_RS02145	DR096_RS00490
OG0000011	NB623_RS02150	DR096_RS00485
OG0000012	NB623_RS02230	DR096_RS03785
OG0000013	NB623_RS02540	DR096_RS04100
OG0000014	NB623_RS00600	DR096_RS04790
OG0000015	NB623_RS01750, NB623_RS01925, NB623_RS01685	DR096_RS01405
OG0000016	NB623_RS00160	DR096_RS00345
OG0000017	NB623_RS00145	DR096_RS00360
OG0000017	NB623_RS03015	DR096_RS01140
OG0000018	NB623_RS01440	DR096_RS04640
OG0000019	NB623_RS03195, NB623_RS03185, NB623_RS03175	DR096_RS03940
OG0000020	NB623_RS03740	DR096_RS03230
OG0000020	NB623_RS03745	DR096_RS04775
OG0000022	NB623_RS01785	DR096_RS01995
OG0000022	NB623_RS01840	DR096_RS04665
OG0000024	NB623_RS02905	DR096_RS01490
OG0000024	NB623_RS01395	DR096_RS01690
OG0000025	NB623_RS01790	DR096_RS04660
OG0000025	NB623_RS01835	DR096_RS02045
OG0000026	NB623_RS01480	DR096_RS01600
OG0000026	NB623_RS01815	DR096_RS02025
OG0000027	NB623_RS03520	DR096_RS04770
OG0000027	NB623_RS03535	DR096_RS04540
OG0000028	NB623_RS02565	DR096_RS01750
OG0000029	NB623_RS00605	DR096_RS03330
OG0000030	NB623_RS03510	DR096_RS04765
OG0000030	NB623_RS03530	DR096_RS04535
OG0000032	NB623_RS01690	DR096_RS04610
OG0000032	NB623_RS03525	DR096_RS00860
OG0000033	NB623_RS02545, NB623_RS02550	DR096_RS01745
OG0000034	NB623_RS00990	DR096_RS03570
OG0000034	NB623_RS00980	DR096_RS04455
OG0000035	NB623_RS03345	DR096_RS03635
OG0000036	NB623_RS00120	DR096_RS02555
OG0000037	NB623_RS01695	DR096_RS04615
OG0000039	NB623_RS01730	DR096_RS01385
OG0000041	NB623_RS00670	DR096_RS03595
OG0000042	NB623_RS03100	DR096_RS00855
OG0000043	NB623_RS02180	DR096_RS00455
OG0000044	NB623_RS01800	DR096_RS04875
OG0000045	NB623_RS01740, NB623_RS01735	DR096_RS01390
OG0000046	NB623_RS03460	DR096_RS04310
OG0000048	NB623_RS01920	DR096_RS03530
OG0000049	NB623_RS03205	DR096_RS00770
OG0000050	NB623_RS02600	DR096_RS03020
OG0000051	NB623_RS02820	DR096_RS02440
OG0000052	NB623_RS00080, NB623_RS00075	DR096_RS02830
OG0000053	NB623_RS01570	DR096_RS04590
OG0000054	NB623_RS02625	DR096_RS02995
OG0000055	NB623_RS00125	DR096_RS02530
OG0000056	NB623_RS03725	DR096_RS01045
OG0000057	NB623_RS03085	DR096_RS01065
OG0000061	NB623_RS02235	DR096_RS00405
OG0000062	NB623_RS03775	DR096_RS01775
OG0000063	NB623_RS03770	DR096_RS04645
OG0000064	NB623_RS03760	DR096_RS01760
OG0000065	NB623_RS02390	DR096_RS02855
OG0000066	NB623_RS01470	DR096_RS01610
OG0000068	NB623_RS00640	DR096_RS03280
OG0000069	NB623_RS02980	DR096_RS01175
OG0000070	NB623_RS02630	DR096_RS02990
OG0000071	NB623_RS03425	DR096_RS03055
OG0000072	NB623_RS03430	DR096_RS04730
OG0000073	NB623_RS00710	DR096_RS02090
OG0000074	NB623_RS00910	DR096_RS04705
OG0000075	NB623_RS00330	DR096_RS00165
OG0000076	NB623_RS00345	DR096_RS00150
OG0000077	NB623_RS00430	DR096_RS00060
OG0000078	NB623_RS01805	DR096_RS04150
OG0000079	NB623_RS02720	DR096_RS02960
OG0000080	NB623_RS02770	DR096_RS04245
OG0000081	NB623_RS00325	DR096_RS00170
OG0000083	NB623_RS02075	DR096_RS00560
OG0000084	NB623_RS02045	DR096_RS00585
OG0000085	NB623_RS02040	DR096_RS00590
OG0000086	NB623_RS02030	DR096_RS00600
OG0000087	NB623_RS02015	DR096_RS00615
OG0000088	NB623_RS02010	DR096_RS00620
OG0000089	NB623_RS02000	DR096_RS03525
OG0000090	NB623_RS00070	DR096_RS02835
OG0000091	NB623_RS00055	DR096_RS01865
OG0000092	NB623_RS00050	DR096_RS01850
OG0000093	NB623_RS00035	DR096_RS01845
OG0000094	NB623_RS00030	DR096_RS01840
OG0000095	NB623_RS00005	DR096_RS01815
OG0000096	NB623_RS03810	DR096_RS01810
OG0000097	NB623_RS03790	DR096_RS01790
OG0000098	NB623_RS03780	DR096_RS01780
OG0000099	NB623_RS03730	DR096_RS03485
OG0000100	NB623_RS03715	DR096_RS01035
OG0000101	NB623_RS03710	DR096_RS01030
OG0000102	NB623_RS01830	DR096_RS02040
OG0000103	NB623_RS02355	DR096_RS02890
OG0000104	NB623_RS02360	DR096_RS02885
OG0000105	NB623_RS02380	DR096_RS02870
OG0000106	NB623_RS02385	DR096_RS02860
OG0000107	NB623_RS02395	DR096_RS02850
OG0000108	NB623_RS02400	DR096_RS02845
OG0000109	NB623_RS02405	DR096_RS02840
OG0000110	NB623_RS02525	DR096_RS01725
OG0000111	NB623_RS02520	DR096_RS01720
OG0000112	NB623_RS02510	DR096_RS01710
OG0000113	NB623_RS02490	DR096_RS04785
OG0000114	NB623_RS02485	DR096_RS03255
OG0000115	NB623_RS02470	DR096_RS03245
OG0000116	NB623_RS01415	DR096_RS01665
OG0000117	NB623_RS01420	DR096_RS01660
OG0000118	NB623_RS01455	DR096_RS01625
OG0000119	NB623_RS01465	DR096_RS01620
OG0000120	NB623_RS01475	DR096_RS01605
OG0000121	NB623_RS01505	DR096_RS01580
OG0000122	NB623_RS01510	DR096_RS01575
OG0000123	NB623_RS01530	DR096_RS01555
OG0000124	NB623_RS01535	DR096_RS01550
OG0000125	NB623_RS01545	DR096_RS01545
OG0000126	NB623_RS01550	DR096_RS01210
OG0000127	NB623_RS01560	DR096_RS01220
OG0000128	NB623_RS01575	DR096_RS01235
OG0000129	NB623_RS01580	DR096_RS01240
OG0000130	NB623_RS01590	DR096_RS01250
OG0000131	NB623_RS01620	DR096_RS04595
OG0000132	NB623_RS01635	DR096_RS04600
OG0000133	NB623_RS00525	DR096_RS02600
OG0000134	NB623_RS00530	DR096_RS02605
OG0000135	NB623_RS00545	DR096_RS02620
OG0000136	NB623_RS00550	DR096_RS02625
OG0000137	NB623_RS00590	DR096_RS02665
OG0000138	NB623_RS00615	DR096_RS03305
OG0000139	NB623_RS00645	DR096_RS03275
OG0000140	NB623_RS00650	DR096_RS03270
OG0000141	NB623_RS03095	DR096_RS01055
OG0000142	NB623_RS03090	DR096_RS04575
OG0000143	NB623_RS03075	DR096_RS01085
OG0000144	NB623_RS03060	DR096_RS01095
OG0000145	NB623_RS03050	DR096_RS01105
OG0000146	NB623_RS03040	DR096_RS01115
OG0000147	NB623_RS03035	DR096_RS01120
OG0000148	NB623_RS03020	DR096_RS01135
OG0000149	NB623_RS03010	DR096_RS01145
OG0000150	NB623_RS02995	DR096_RS01160
OG0000151	NB623_RS02945	DR096_RS01530
OG0000152	NB623_RS02940	DR096_RS01525
OG0000153	NB623_RS02935	DR096_RS01520
OG0000154	NB623_RS02925	DR096_RS01510
OG0000155	NB623_RS02885	DR096_RS01470
OG0000156	NB623_RS02875	DR096_RS01460
OG0000157	NB623_RS02870	DR096_RS04635
OG0000158	NB623_RS02860	DR096_RS04630
OG0000159	NB623_RS02615	DR096_RS03005
OG0000160	NB623_RS02610	DR096_RS03010
OG0000161	NB623_RS02605	DR096_RS03015
OG0000162	NB623_RS02595	DR096_RS03025
OG0000163	NB623_RS02590	DR096_RS03030
OG0000164	NB623_RS01725	DR096_RS01375
OG0000165	NB623_RS02155	DR096_RS00480
OG0000166	NB623_RS02135	DR096_RS00500
OG0000167	NB623_RS02120	DR096_RS00515
OG0000168	NB623_RS02115	DR096_RS00520
OG0000169	NB623_RS03200	DR096_RS00775
OG0000170	NB623_RS03215	DR096_RS00760
OG0000171	NB623_RS03225	DR096_RS00750
OG0000172	NB623_RS03230	DR096_RS00740
OG0000173	NB623_RS03235	DR096_RS00735
OG0000174	NB623_RS03240	DR096_RS00730
OG0000175	NB623_RS03265	DR096_RS00715
OG0000176	NB623_RS03310	DR096_RS00665
OG0000177	NB623_RS03315	DR096_RS00660
OG0000178	NB623_RS03320	DR096_RS00655
OG0000179	NB623_RS03330	DR096_RS00645
OG0000180	NB623_RS03335	DR096_RS00640
OG0000181	NB623_RS03375	DR096_RS04745
OG0000182	NB623_RS03385	DR096_RS03095
OG0000183	NB623_RS03420	DR096_RS03060
OG0000184	NB623_RS03485	DR096_RS03135
OG0000185	NB623_RS03475	DR096_RS03120
OG0000186	NB623_RS01645	DR096_RS04605
OG0000187	NB623_RS01660	DR096_RS01320
OG0000188	NB623_RS01670	DR096_RS01330
OG0000189	NB623_RS02445	DR096_RS04750
OG0000190	NB623_RS02440	DR096_RS03155
OG0000191	NB623_RS02415	DR096_RS03175
OG0000192	NB623_RS01340	DR096_RS02270
OG0000193	NB623_RS01325	DR096_RS02285
OG0000194	NB623_RS00690	DR096_RS02075
OG0000195	NB623_RS00695	DR096_RS02080
OG0000196	NB623_RS00720	DR096_RS02100
OG0000197	NB623_RS00730	DR096_RS02105
OG0000198	NB623_RS00740	DR096_RS02120
OG0000199	NB623_RS00745	DR096_RS02125
OG0000200	NB623_RS00760	DR096_RS02140
OG0000201	NB623_RS00770	DR096_RS02150
OG0000202	NB623_RS00830	DR096_RS02205
OG0000203	NB623_RS00835	DR096_RS02215
OG0000204	NB623_RS00840	DR096_RS04690
OG0000205	NB623_RS00845	DR096_RS02315
OG0000206	NB623_RS00865	DR096_RS02335
OG0000207	NB623_RS00880	DR096_RS02350
OG0000208	NB623_RS00885	DR096_RS02355
OG0000209	NB623_RS00890	DR096_RS02360
OG0000210	NB623_RS00935	DR096_RS02405
OG0000211	NB623_RS01070	DR096_RS02680
