Orthogroup	MHP_111A_genes	MHP_UFV01_genes
OG0000000	NB623_RS01020	FEF30_RS02505
OG0000000	NB623_RS01030	FEF30_RS04350
OG0000000	NB623_RS02460	FEF30_RS02690
OG0000000	NB623_RS01850	FEF30_RS02035
OG0000001	NB623_RS01400	FEF30_RS01595
OG0000001	NB623_RS02960	FEF30_RS03180
OG0000001	NB623_RS02910	FEF30_RS03125
OG0000002	NB623_RS02345	FEF30_RS02580
OG0000002	NB623_RS01905	FEF30_RS02575
OG0000002	NB623_RS01015	FEF30_RS04340
OG0000003	NB623_RS01040, NB623_RS01035	FEF30_RS04345
OG0000004	NB623_RS03360	FEF30_RS03540
OG0000004	NB623_RS03365	FEF30_RS03550
OG0000005	NB623_RS00105	FEF30_RS00415
OG0000005	NB623_RS00110	FEF30_RS04180
OG0000005	NB623_RS00115	FEF30_RS00425
OG0000006	NB623_RS02650	FEF30_RS02880
OG0000006	NB623_RS02465	FEF30_RS02700
OG0000007	NB623_RS01045	FEF30_RS02555
OG0000007	NB623_RS01050	FEF30_RS02545
OG0000007	NB623_RS01060	FEF30_RS02540
OG0000008	NB623_RS02455	FEF30_RS02685
OG0000008	NB623_RS01760	FEF30_RS01955
OG0000008	NB623_RS02665, NB623_RS02660	FEF30_RS02885
OG0000009	NB623_RS00665	FEF30_RS00980
OG0000009	NB623_RS00680	FEF30_RS00990
OG0000010	NB623_RS02245	FEF30_RS02240
OG0000011	NB623_RS02145	FEF30_RS02330
OG0000011	NB623_RS02150	FEF30_RS02325
OG0000012	NB623_RS01710, NB623_RS01005, NB623_RS02340	FEF30_RS03655
OG0000013	NB623_RS02540	FEF30_RS02775
OG0000014	NB623_RS01220	FEF30_RS01400
OG0000014	NB623_RS00600	FEF30_RS04210
OG0000015	NB623_RS01685	FEF30_RS01950
OG0000016	NB623_RS00160	FEF30_RS00485
OG0000017	NB623_RS00145	FEF30_RS00470
OG0000017	NB623_RS03015	FEF30_RS03230
OG0000020	NB623_RS03740	FEF30_RS00265
OG0000020	NB623_RS03745	FEF30_RS03755
OG0000021	NB623_RS02325	FEF30_RS00820
OG0000022	NB623_RS01785	FEF30_RS01975
OG0000022	NB623_RS01840	FEF30_RS04290
OG0000024	NB623_RS02905	FEF30_RS03120
OG0000024	NB623_RS01395	FEF30_RS01585
OG0000025	NB623_RS01790	FEF30_RS04285
OG0000025	NB623_RS01835	FEF30_RS02025
OG0000026	NB623_RS01480	FEF30_RS01680
OG0000026	NB623_RS01815	FEF30_RS02005
OG0000027	NB623_RS03520	FEF30_RS00060
OG0000027	NB623_RS03535	FEF30_RS04125
OG0000029	NB623_RS01215	FEF30_RS01390
OG0000029	NB623_RS00605	FEF30_RS00925
OG0000030	NB623_RS03510	FEF30_RS04110
OG0000030	NB623_RS03530	FEF30_RS04120
OG0000031	NB623_RS01720	FEF30_RS01920
OG0000032	NB623_RS03525	FEF30_RS00065
OG0000034	NB623_RS00990	FEF30_RS02525
OG0000035	NB623_RS03355	FEF30_RS03545
OG0000036	NB623_RS00120	FEF30_RS00430
OG0000039	NB623_RS01730	FEF30_RS01930
OG0000040	NB623_RS03445, NB623_RS03440, NB623_RS03435	FEF30_RS03620
OG0000041	NB623_RS00670	FEF30_RS00985
OG0000042	NB623_RS03100	FEF30_RS03315
OG0000043	NB623_RS02180	FEF30_RS02295, FEF30_RS02105
OG0000044	NB623_RS01800	FEF30_RS04460
OG0000044	NB623_RS02300	FEF30_RS02200
OG0000045	NB623_RS01740	FEF30_RS01935, FEF30_RS01940
OG0000046	NB623_RS03460	FEF30_RS04495
OG0000048	NB623_RS01920	FEF30_RS02480
OG0000049	NB623_RS03205	FEF30_RS03400
OG0000050	NB623_RS02600	FEF30_RS02820
OG0000051	NB623_RS02820	FEF30_RS03030
OG0000052	NB623_RS00080	FEF30_RS00405
OG0000053	NB623_RS01570	FEF30_RS04260
OG0000054	NB623_RS02625	FEF30_RS02845
OG0000055	NB623_RS00125	FEF30_RS00450
OG0000056	NB623_RS03725	FEF30_RS00250
OG0000057	NB623_RS03085	FEF30_RS03300
OG0000058	NB623_RS01995	FEF30_RS02120
OG0000061	NB623_RS02235	FEF30_RS01900, FEF30_RS02250
OG0000062	NB623_RS03775	FEF30_RS00295
OG0000063	NB623_RS03770	FEF30_RS04165
OG0000064	NB623_RS03760	FEF30_RS00280
OG0000065	NB623_RS02390	FEF30_RS02625
OG0000066	NB623_RS01470	FEF30_RS01670
OG0000068	NB623_RS00640	FEF30_RS00960
OG0000069	NB623_RS02980	FEF30_RS03195
OG0000070	NB623_RS02630	FEF30_RS02850
OG0000071	NB623_RS03425	FEF30_RS03610
OG0000072	NB623_RS03430	FEF30_RS04405
OG0000073	NB623_RS00710	FEF30_RS01015
OG0000074	NB623_RS00910	FEF30_RS04230
OG0000075	NB623_RS00330	FEF30_RS00655
OG0000077	NB623_RS00430	FEF30_RS00755
OG0000078	NB623_RS01805	FEF30_RS01995
OG0000079	NB623_RS02720	FEF30_RS02935
OG0000080	NB623_RS02770	FEF30_RS02980
OG0000081	NB623_RS00325	FEF30_RS00650
OG0000083	NB623_RS02075	FEF30_RS02400
OG0000084	NB623_RS02045	FEF30_RS02430
OG0000085	NB623_RS02040	FEF30_RS02435
OG0000086	NB623_RS02030	FEF30_RS02445
OG0000087	NB623_RS02015	FEF30_RS02460
OG0000088	NB623_RS02010	FEF30_RS02465
OG0000089	NB623_RS02000	FEF30_RS02475
OG0000090	NB623_RS00070	FEF30_RS00400
OG0000091	NB623_RS00055	FEF30_RS00385
OG0000092	NB623_RS00050	FEF30_RS00370
OG0000093	NB623_RS00035	FEF30_RS00365
OG0000094	NB623_RS00030	FEF30_RS00360
OG0000095	NB623_RS00005	FEF30_RS00335
OG0000096	NB623_RS03810	FEF30_RS00330
OG0000097	NB623_RS03790	FEF30_RS00310
OG0000098	NB623_RS03780	FEF30_RS00300
OG0000099	NB623_RS03730	FEF30_RS04160
OG0000100	NB623_RS03715	FEF30_RS00240
OG0000101	NB623_RS03710	FEF30_RS00235
OG0000102	NB623_RS01830	FEF30_RS02020
OG0000103	NB623_RS02355	FEF30_RS02590
OG0000104	NB623_RS02360	FEF30_RS02595
OG0000105	NB623_RS02380	FEF30_RS02610
OG0000106	NB623_RS02385	FEF30_RS02620
OG0000107	NB623_RS02395	FEF30_RS02630
OG0000108	NB623_RS02400	FEF30_RS02635
OG0000109	NB623_RS02405	FEF30_RS02640
OG0000110	NB623_RS02525	FEF30_RS02760
OG0000111	NB623_RS02520	FEF30_RS02755
OG0000112	NB623_RS02510	FEF30_RS02745
OG0000113	NB623_RS02490	FEF30_RS02725
OG0000114	NB623_RS02485	FEF30_RS02715
