Orthogroup	MHP_111A_genes	MHP_1257_genes
OG0000000	NB623_RS01020	ABKJ22_RS02265, ABKJ22_RS02260
OG0000000	NB623_RS01030, NB623_RS01855, NB623_RS02460	ABKJ22_RS02090
OG0000000	NB623_RS01845, NB623_RS01850, NB623_RS01865	ABKJ22_RS01715
OG0000001	NB623_RS02910	ABKJ22_RS02685
OG0000002	NB623_RS02345	ABKJ22_RS02205
OG0000002	NB623_RS01015	ABKJ22_RS02250
OG0000003	NB623_RS00940	ABKJ22_RS00770
OG0000003	NB623_RS01035	ABKJ22_RS02215
OG0000003	NB623_RS02255	ABKJ22_RS01825
OG0000004	NB623_RS03360, NB623_RS03350, NB623_RS03365, NB623_RS03170, NB623_RS03180, NB623_RS03190	ABKJ22_RS02940
OG0000005	NB623_RS00105	ABKJ22_RS00095
OG0000005	NB623_RS00110	ABKJ22_RS00100
OG0000005	NB623_RS00115	ABKJ22_RS00105
OG0000006	NB623_RS02650	ABKJ22_RS02450
OG0000006	NB623_RS02495	ABKJ22_RS02310
OG0000006	NB623_RS02465	ABKJ22_RS02280
OG0000007	NB623_RS00955, NB623_RS00950	ABKJ22_RS00765
OG0000007	NB623_RS01045	ABKJ22_RS02220
OG0000007	NB623_RS01050	ABKJ22_RS02225
OG0000007	NB623_RS01060	ABKJ22_RS02230
OG0000008	NB623_RS02455	ABKJ22_RS02100
OG0000008	NB623_RS01760	ABKJ22_RS01635
OG0000008	NB623_RS02660	ABKJ22_RS02455
OG0000009	NB623_RS00660, NB623_RS00665	ABKJ22_RS01035
OG0000009	NB623_RS00090	ABKJ22_RS00085
OG0000009	NB623_RS00680	ABKJ22_RS01020
OG0000010	NB623_RS02245	ABKJ22_RS01835
OG0000011	NB623_RS02145	ABKJ22_RS01925
OG0000011	NB623_RS02150	ABKJ22_RS01920
OG0000012	NB623_RS01710, NB623_RS01005, NB623_RS02340	ABKJ22_RS00425
OG0000012	NB623_RS02230	ABKJ22_RS01200
OG0000013	NB623_RS02540	ABKJ22_RS02355
OG0000014	NB623_RS01220	ABKJ22_RS01105
OG0000014	NB623_RS00600	ABKJ22_RS01095
OG0000015	NB623_RS01685	ABKJ22_RS01630
OG0000016	NB623_RS00160	ABKJ22_RS00165
OG0000017	NB623_RS00145	ABKJ22_RS00150
OG0000017	NB623_RS03015	ABKJ22_RS02795
OG0000018	NB623_RS01440	ABKJ22_RS01340
OG0000019	NB623_RS03195, NB623_RS03185, NB623_RS03175	ABKJ22_RS02945
OG0000020	NB623_RS03740	ABKJ22_RS03435
OG0000020	NB623_RS03745	ABKJ22_RS03440
OG0000021	NB623_RS02325	ABKJ22_RS01740, ABKJ22_RS00510
OG0000022	NB623_RS01785	ABKJ22_RS01655
OG0000022	NB623_RS01840	ABKJ22_RS01710
OG0000024	NB623_RS02905	ABKJ22_RS02680
OG0000024	NB623_RS01395	ABKJ22_RS01290
OG0000025	NB623_RS01790	ABKJ22_RS01660
OG0000025	NB623_RS01835	ABKJ22_RS01705
OG0000026	NB623_RS01480	ABKJ22_RS01380
OG0000026	NB623_RS01815	ABKJ22_RS01685
OG0000027	NB623_RS03520	ABKJ22_RS03225
OG0000027	NB623_RS03535	ABKJ22_RS03240
OG0000028	NB623_RS02565, NB623_RS02570	ABKJ22_RS02365
OG0000029	NB623_RS01215	ABKJ22_RS00600
OG0000029	NB623_RS00605	ABKJ22_RS01090
OG0000030	NB623_RS03510	ABKJ22_RS03215
OG0000030	NB623_RS03530	ABKJ22_RS03235
OG0000032	NB623_RS01690	ABKJ22_RS01585
OG0000032	NB623_RS03525	ABKJ22_RS03230
OG0000033	NB623_RS02545	ABKJ22_RS02360
OG0000034	NB623_RS00980	ABKJ22_RS02240
OG0000035	NB623_RS03345	ABKJ22_RS03095
OG0000036	NB623_RS00120	ABKJ22_RS00110
OG0000037	NB623_RS01700, NB623_RS01695	ABKJ22_RS01590
OG0000038	NB623_RS02330	ABKJ22_RS00505
OG0000039	NB623_RS01730	ABKJ22_RS01615
OG0000040	NB623_RS03445, NB623_RS03440, NB623_RS03435	ABKJ22_RS03165
OG0000041	NB623_RS00670	ABKJ22_RS01030
OG0000043	NB623_RS02180	ABKJ22_RS01890
OG0000044	NB623_RS01800	ABKJ22_RS01670
OG0000045	NB623_RS01740, NB623_RS01735	ABKJ22_RS01620
OG0000046	NB623_RS03465, NB623_RS03455, NB623_RS03450	ABKJ22_RS03170
OG0000048	NB623_RS01920	ABKJ22_RS02075
OG0000049	NB623_RS03205	ABKJ22_RS02955
OG0000050	NB623_RS02600	ABKJ22_RS02395
OG0000051	NB623_RS02820	ABKJ22_RS02600
OG0000052	NB623_RS00080, NB623_RS00075	ABKJ22_RS00075
OG0000053	NB623_RS01570	ABKJ22_RS01465
OG0000054	NB623_RS02625	ABKJ22_RS02420
OG0000055	NB623_RS00125	ABKJ22_RS00130
OG0000056	NB623_RS03725	ABKJ22_RS03415
OG0000057	NB623_RS03085	ABKJ22_RS02865
OG0000060	NB623_RS00085	ABKJ22_RS00080
OG0000061	NB623_RS02235	ABKJ22_RS01845
OG0000062	NB623_RS03775	ABKJ22_RS03470
OG0000063	NB623_RS03770	ABKJ22_RS03465
OG0000064	NB623_RS03760	ABKJ22_RS03455
OG0000065	NB623_RS02390	ABKJ22_RS02160
OG0000066	NB623_RS01470	ABKJ22_RS01370
OG0000068	NB623_RS00640	ABKJ22_RS01055
OG0000069	NB623_RS02980	ABKJ22_RS02760
OG0000070	NB623_RS02630	ABKJ22_RS02425
OG0000071	NB623_RS03425	ABKJ22_RS03155
OG0000072	NB623_RS03430	ABKJ22_RS03160
OG0000073	NB623_RS00710	ABKJ22_RS00995
OG0000074	NB623_RS00910	ABKJ22_RS00800
OG0000075	NB623_RS00330	ABKJ22_RS00335
OG0000076	NB623_RS00345	ABKJ22_RS00350
OG0000077	NB623_RS00430	ABKJ22_RS00445
OG0000078	NB623_RS01805	ABKJ22_RS01675
OG0000079	NB623_RS02720	ABKJ22_RS02505
OG0000080	NB623_RS02770	ABKJ22_RS02550
OG0000081	NB623_RS00325	ABKJ22_RS00330
OG0000083	NB623_RS02075	ABKJ22_RS01995
OG0000084	NB623_RS02045	ABKJ22_RS02025
OG0000085	NB623_RS02040	ABKJ22_RS02030
OG0000086	NB623_RS02030	ABKJ22_RS02040
OG0000087	NB623_RS02015	ABKJ22_RS02055
OG0000088	NB623_RS02010	ABKJ22_RS02060
OG0000089	NB623_RS02000	ABKJ22_RS02070
OG0000090	NB623_RS00070	ABKJ22_RS00070
OG0000091	NB623_RS00055	ABKJ22_RS00055
OG0000092	NB623_RS00050	ABKJ22_RS00040
OG0000093	NB623_RS00035	ABKJ22_RS00035
OG0000094	NB623_RS00030	ABKJ22_RS00030
OG0000095	NB623_RS00005	ABKJ22_RS00005
OG0000096	NB623_RS03810	ABKJ22_RS03505
OG0000097	NB623_RS03790	ABKJ22_RS03485
OG0000098	NB623_RS03780	ABKJ22_RS03475
OG0000099	NB623_RS03730	ABKJ22_RS03425
OG0000100	NB623_RS03715	ABKJ22_RS03405
OG0000101	NB623_RS03710	ABKJ22_RS03400
OG0000102	NB623_RS01830	ABKJ22_RS01700
OG0000103	NB623_RS02355	ABKJ22_RS02195
OG0000104	NB623_RS02360	ABKJ22_RS02190
OG0000105	NB623_RS02380	ABKJ22_RS02175
OG0000106	NB623_RS02385	ABKJ22_RS02165
OG0000107	NB623_RS02395	ABKJ22_RS02155
OG0000108	NB623_RS02400	ABKJ22_RS02150
OG0000109	NB623_RS02405	ABKJ22_RS02145
OG0000110	NB623_RS02525	ABKJ22_RS02340
OG0000111	NB623_RS02520	ABKJ22_RS02335
OG0000112	NB623_RS02510	ABKJ22_RS02325
OG0000113	NB623_RS02490	ABKJ22_RS02305
OG0000114	NB623_RS02485	ABKJ22_RS02295
OG0000115	NB623_RS02470	ABKJ22_RS02285
OG0000116	NB623_RS01415	ABKJ22_RS01315
OG0000117	NB623_RS01420	ABKJ22_RS01320
OG0000118	NB623_RS01455	ABKJ22_RS01355
OG0000119	NB623_RS01465	ABKJ22_RS01360
OG0000120	NB623_RS01475	ABKJ22_RS01375
OG0000121	NB623_RS01505	ABKJ22_RS01400
OG0000122	NB623_RS01510	ABKJ22_RS01405
OG0000123	NB623_RS01530	ABKJ22_RS01425
OG0000124	NB623_RS01535	ABKJ22_RS01430
OG0000125	NB623_RS01545	ABKJ22_RS01435
OG0000126	NB623_RS01550	ABKJ22_RS01445
OG0000127	NB623_RS01560	ABKJ22_RS01455
OG0000128	NB623_RS01575	ABKJ22_RS01470
OG0000129	NB623_RS01580	ABKJ22_RS01475
