Orthogroup	MHP_111A_genes	MHP_KM014_genes
OG0000000	NB623_RS01845	CIB43_RS02595
OG0000000	NB623_RS01850	CIB43_RS02600
OG0000001	NB623_RS02960	CIB43_RS03715
OG0000001	NB623_RS02915, NB623_RS02910	CIB43_RS03670
OG0000002	NB623_RS02345	CIB43_RS03100
OG0000003	NB623_RS00495, NB623_RS00505	CIB43_RS01390
OG0000003	NB623_RS02255	CIB43_RS02725
OG0000004	NB623_RS03360	CIB43_RS00290
OG0000004	NB623_RS03350	CIB43_RS00275
OG0000005	NB623_RS00105	CIB43_RS00810
OG0000006	NB623_RS02650	CIB43_RS03435
OG0000006	NB623_RS02495, NB623_RS02465	CIB43_RS03420
OG0000007	NB623_RS01045	CIB43_RS03095
OG0000007	NB623_RS01050	CIB43_RS03080
OG0000007	NB623_RS01060	CIB43_RS03075
OG0000008	NB623_RS02455	CIB43_RS03225
OG0000009	NB623_RS00090	CIB43_RS00790
OG0000009	NB623_RS00680	CIB43_RS01550
OG0000010	NB623_RS02245	CIB43_RS02735
OG0000011	NB623_RS02145	CIB43_RS02850
OG0000012	NB623_RS02340	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	NB623_RS01220	CIB43_RS01955
OG0000015	NB623_RS01925	CIB43_RS01235
OG0000017	NB623_RS00145	CIB43_RS00855
OG0000017	NB623_RS03015	CIB43_RS03765
OG0000018	NB623_RS01950	CIB43_RS01250
OG0000019	NB623_RS03175	CIB43_RS00115
OG0000020	NB623_RS03745	CIB43_RS00635
OG0000021	NB623_RS02325	CIB43_RS02635
OG0000022	NB623_RS01840	CIB43_RS02590
OG0000023	NB623_RS01940	CIB43_RS01245
OG0000024	NB623_RS01395	CIB43_RS02140
OG0000025	NB623_RS01835	CIB43_RS02585
OG0000026	NB623_RS01815	CIB43_RS02565
OG0000027	NB623_RS03535	CIB43_RS00440
OG0000028	NB623_RS02565, NB623_RS02570	CIB43_RS03325
OG0000030	NB623_RS03530	CIB43_RS00435
OG0000031	NB623_RS01985	CIB43_RS01295
OG0000035	NB623_RS03355	CIB43_RS00280, CIB43_RS00300
OG0000035	NB623_RS03345	CIB43_RS00270
OG0000036	NB623_RS00120	CIB43_RS00815
OG0000037	NB623_RS01700	CIB43_RS02475, CIB43_RS02465
OG0000038	NB623_RS00485, NB623_RS02330	CIB43_RS02625
OG0000039	NB623_RS01730	CIB43_RS02500
OG0000041	NB623_RS00670	CIB43_RS03980
OG0000042	NB623_RS03100	CIB43_RS03855
OG0000043	NB623_RS02180	CIB43_RS00070
OG0000044	NB623_RS02300	CIB43_RS02665
OG0000045	NB623_RS01740, NB623_RS01735	CIB43_RS02520
OG0000048	NB623_RS01920	CIB43_RS02995
OG0000049	NB623_RS03205	CIB43_RS00150
OG0000051	NB623_RS02820	CIB43_RS03575
OG0000052	NB623_RS00080	CIB43_RS00775
OG0000053	NB623_RS01570	CIB43_RS02315
OG0000054	NB623_RS02625	CIB43_RS03395
OG0000055	NB623_RS00125	CIB43_RS00835
OG0000056	NB623_RS03725	CIB43_RS00630, CIB43_RS03960
OG0000057	NB623_RS03085	CIB43_RS03840
OG0000058	NB623_RS01995	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085
OG0000058	NB623_RS01990	CIB43_RS01300
OG0000060	NB623_RS00085	CIB43_RS00780
OG0000061	NB623_RS02235	CIB43_RS02745
OG0000062	NB623_RS03775	CIB43_RS00675
OG0000063	NB623_RS03770	CIB43_RS00660
OG0000064	NB623_RS03760	CIB43_RS00650
OG0000065	NB623_RS02390	CIB43_RS03145
OG0000068	NB623_RS00640	CIB43_RS01520
OG0000069	NB623_RS02980	CIB43_RS03740
OG0000070	NB623_RS02630	CIB43_RS03400
OG0000071	NB623_RS03425	CIB43_RS00360
OG0000072	NB623_RS03430	CIB43_RS00375
OG0000073	NB623_RS00710	CIB43_RS01580
OG0000075	NB623_RS00330	CIB43_RS01060
OG0000077	NB623_RS00430	CIB43_RS01330
OG0000078	NB623_RS01805	CIB43_RS02560
OG0000079	NB623_RS02720	CIB43_RS03480
OG0000080	NB623_RS02770	CIB43_RS03525
OG0000081	NB623_RS00325	CIB43_RS01055
OG0000083	NB623_RS02075	CIB43_RS02935
OG0000084	NB623_RS02045	CIB43_RS02955
OG0000086	NB623_RS02030	CIB43_RS02970
OG0000087	NB623_RS02015	CIB43_RS02975
OG0000088	NB623_RS02010	CIB43_RS02980
OG0000089	NB623_RS02000	CIB43_RS02990
OG0000090	NB623_RS00070	CIB43_RS00770
OG0000091	NB623_RS00055	CIB43_RS00760
OG0000092	NB623_RS00050	CIB43_RS00745
OG0000093	NB623_RS00035	CIB43_RS00735
OG0000094	NB623_RS00030	CIB43_RS00730
OG0000095	NB623_RS00005	CIB43_RS00715
OG0000096	NB623_RS03810	CIB43_RS00700
OG0000097	NB623_RS03790	CIB43_RS00690
OG0000100	NB623_RS03715	CIB43_RS00610
OG0000101	NB623_RS03710	CIB43_RS00600
OG0000102	NB623_RS01830	CIB43_RS02580
OG0000103	NB623_RS02355	CIB43_RS03110
OG0000104	NB623_RS02360	CIB43_RS03120
OG0000105	NB623_RS02380	CIB43_RS03130
OG0000106	NB623_RS02385	CIB43_RS03140
OG0000107	NB623_RS02395	CIB43_RS03150
OG0000108	NB623_RS02400	CIB43_RS03155
OG0000109	NB623_RS02405	CIB43_RS03160
OG0000110	NB623_RS02525	CIB43_RS03290
OG0000111	NB623_RS02520	CIB43_RS03285
OG0000112	NB623_RS02510	CIB43_RS03280
OG0000113	NB623_RS02490	CIB43_RS03260
OG0000114	NB623_RS02485	CIB43_RS03245
OG0000115	NB623_RS02470	CIB43_RS03230
OG0000116	NB623_RS01415	CIB43_RS02165
OG0000117	NB623_RS01420	CIB43_RS02170
OG0000118	NB623_RS01455	CIB43_RS02205
OG0000119	NB623_RS01465	CIB43_RS02210
OG0000120	NB623_RS01475	CIB43_RS02230
OG0000121	NB623_RS01505	CIB43_RS02250
OG0000122	NB623_RS01510	CIB43_RS02255
OG0000123	NB623_RS01530	CIB43_RS02275
OG0000124	NB623_RS01535	CIB43_RS02280
OG0000125	NB623_RS01545	CIB43_RS02285
OG0000126	NB623_RS01550	CIB43_RS02295
OG0000127	NB623_RS01560	CIB43_RS02305
OG0000128	NB623_RS01575	CIB43_RS02320
OG0000129	NB623_RS01580	CIB43_RS02330
OG0000130	NB623_RS01590	CIB43_RS02335
OG0000131	NB623_RS01620	CIB43_RS02370
OG0000132	NB623_RS01635	CIB43_RS02385
OG0000133	NB623_RS00525	CIB43_RS01415
OG0000134	NB623_RS00530	CIB43_RS01425
OG0000135	NB623_RS00545	CIB43_RS01435
OG0000136	NB623_RS00550	CIB43_RS01440
OG0000137	NB623_RS00590	CIB43_RS01470
OG0000138	NB623_RS00615	CIB43_RS01495
OG0000139	NB623_RS00645	CIB43_RS01525
OG0000140	NB623_RS00650	CIB43_RS01540
OG0000141	NB623_RS03095	CIB43_RS03850
OG0000142	NB623_RS03090	CIB43_RS03845
OG0000143	NB623_RS03075	CIB43_RS03835
OG0000144	NB623_RS03060	CIB43_RS03815
OG0000145	NB623_RS03050	CIB43_RS03805
OG0000146	NB623_RS03040	CIB43_RS03790
OG0000147	NB623_RS03035	CIB43_RS03785
OG0000148	NB623_RS03020	CIB43_RS03780
OG0000149	NB623_RS03010	CIB43_RS03760
OG0000150	NB623_RS02995	CIB43_RS03745
OG0000151	NB623_RS02945	CIB43_RS03700
OG0000152	NB623_RS02940	CIB43_RS03695
OG0000153	NB623_RS02935	CIB43_RS03690
OG0000154	NB623_RS02925	CIB43_RS03680
OG0000155	NB623_RS02885	CIB43_RS03645
OG0000156	NB623_RS02875	CIB43_RS03635
OG0000157	NB623_RS02870	CIB43_RS03625
OG0000158	NB623_RS02860	CIB43_RS03620
OG0000159	NB623_RS02615	CIB43_RS03385
OG0000160	NB623_RS02610	CIB43_RS03380
OG0000161	NB623_RS02605	CIB43_RS03375
OG0000163	NB623_RS02590	CIB43_RS03370
OG0000164	NB623_RS01725	CIB43_RS02495
OG0000165	NB623_RS02155	CIB43_RS02840
OG0000166	NB623_RS02135	CIB43_RS02860
OG0000167	NB623_RS02120	CIB43_RS02875
OG0000168	NB623_RS02115	CIB43_RS02880
OG0000169	NB623_RS03200	CIB43_RS00130
OG0000171	NB623_RS03225	CIB43_RS00155
OG0000172	NB623_RS03230	CIB43_RS00160
OG0000173	NB623_RS03235	CIB43_RS00165
OG0000174	NB623_RS03240	CIB43_RS00170
OG0000175	NB623_RS03265	CIB43_RS00190
OG0000176	NB623_RS03310	CIB43_RS00235
OG0000177	NB623_RS03315	CIB43_RS00240
OG0000178	NB623_RS03320	CIB43_RS00245
OG0000179	NB623_RS03330	CIB43_RS00255
OG0000180	NB623_RS03335	CIB43_RS00260
OG0000181	NB623_RS03375	CIB43_RS00310
OG0000182	NB623_RS03385	CIB43_RS00320
OG0000183	NB623_RS03420	CIB43_RS00355
OG0000184	NB623_RS03485	CIB43_RS00430
OG0000185	NB623_RS03475	CIB43_RS00380
OG0000186	NB623_RS01645	CIB43_RS02400
OG0000187	NB623_RS01660	CIB43_RS02410
OG0000188	NB623_RS01670	CIB43_RS02425
OG0000189	NB623_RS02445	CIB43_RS03200
OG0000190	NB623_RS02440	CIB43_RS03195
OG0000191	NB623_RS02415	CIB43_RS03180
OG0000192	NB623_RS01340	CIB43_RS02085
OG0000193	NB623_RS01325	CIB43_RS02075
OG0000194	NB623_RS00690	CIB43_RS01560
OG0000195	NB623_RS00695	CIB43_RS01565
OG0000196	NB623_RS00720	CIB43_RS01585
OG0000197	NB623_RS00730	CIB43_RS01590
OG0000198	NB623_RS00740	CIB43_RS01605
OG0000199	NB623_RS00745	CIB43_RS01615
OG0000200	NB623_RS00760	CIB43_RS01630
OG0000201	NB623_RS00770	CIB43_RS01635
OG0000202	NB623_RS00830	CIB43_RS01690
OG0000203	NB623_RS00835	CIB43_RS01695
OG0000204	NB623_RS00840	CIB43_RS01700
