Orthogroup	MHP_111A_genes	MHP_168_genes
OG0000000	NB623_RS02460	MHP168_RS02315
OG0000000	NB623_RS01865	MHP168_RS01690
OG0000001	NB623_RS01400	MHP168_RS01365
OG0000001	NB623_RS02960	MHP168_RS02805
OG0000001	NB623_RS02915	MHP168_RS02755
OG0000001	NB623_RS02910	MHP168_RS02760
OG0000002	NB623_RS02345	MHP168_RS03985
OG0000002	NB623_RS01905	MHP168_RS03895
OG0000003	NB623_RS00495, NB623_RS00505	MHP168_RS01845
OG0000004	NB623_RS03360	MHP168_RS03180
OG0000004	NB623_RS03365	MHP168_RS03190
OG0000005	NB623_RS00105	MHP168_RS00085
OG0000005	NB623_RS00110	MHP168_RS00095
OG0000005	NB623_RS00115	MHP168_RS00100, MHP168_RS03905
OG0000006	NB623_RS02650	MHP168_RS02510, MHP168_RS02505
OG0000008	NB623_RS02455	MHP168_RS02310
OG0000008	NB623_RS01760	MHP168_RS01780
OG0000008	NB623_RS02660	MHP168_RS04005
OG0000009	NB623_RS00665	MHP168_RS00985
OG0000009	NB623_RS00680	MHP168_RS00975
OG0000010	NB623_RS02245	MHP168_RS01930
OG0000011	NB623_RS02145	MHP168_RS04085
OG0000011	NB623_RS02150	MHP168_RS02015
OG0000013	NB623_RS02540	MHP168_RS02405
OG0000014	NB623_RS01220	MHP168_RS01070
OG0000014	NB623_RS00600	MHP168_RS01055
OG0000015	NB623_RS01750	MHP168_RS04045
OG0000015	NB623_RS01925	MHP168_RS03520
OG0000016	NB623_RS00160	MHP168_RS00145
OG0000017	NB623_RS00145	MHP168_RS00130
OG0000017	NB623_RS03015	MHP168_RS02860
OG0000018	NB623_RS01950	MHP168_RS04035
OG0000020	NB623_RS03740	MHP168_RS03580
OG0000020	NB623_RS03745	MHP168_RS03585
OG0000021	NB623_RS02325	MHP168_RS00490, MHP168_RS01775, MHP168_RS00485, MHP168_RS02335
OG0000022	NB623_RS01785	MHP168_RS01760
OG0000022	NB623_RS01840	MHP168_RS01710
OG0000023	NB623_RS01940	MHP168_RS03535
OG0000024	NB623_RS02905	MHP168_RS02750
OG0000024	NB623_RS01395	MHP168_RS03940, MHP168_RS03945
OG0000025	NB623_RS01790	MHP168_RS01755
OG0000025	NB623_RS01835	MHP168_RS01715
OG0000026	NB623_RS01480	MHP168_RS01450
OG0000026	NB623_RS01815	MHP168_RS01735
OG0000027	NB623_RS03520	MHP168_RS03845
OG0000027	NB623_RS03535	MHP168_RS03330
OG0000029	NB623_RS01215	MHP168_RS00575
OG0000029	NB623_RS00605	MHP168_RS01050
OG0000030	NB623_RS03510	MHP168_RS03310
OG0000030	NB623_RS03530	MHP168_RS03325
OG0000031	NB623_RS01985	MHP168_RS03565
OG0000032	NB623_RS03525	MHP168_RS03320
OG0000035	NB623_RS03355	MHP168_RS03185
OG0000035	NB623_RS03345	MHP168_RS03170
