Orthogroup	MHP_UFV02_genes	MHP_111A_genes
OG0000000	FEF31_RS01875	NB623_RS01020
OG0000000	FEF31_RS04515	NB623_RS01030
OG0000000	FEF31_RS02055	NB623_RS02460
OG0000000	FEF31_RS01380	NB623_RS01845
OG0000000	FEF31_RS01385	NB623_RS01850
OG0000001	FEF31_RS00940	NB623_RS01400
OG0000001	FEF31_RS02540	NB623_RS02960
OG0000001	FEF31_RS02490	NB623_RS02910
OG0000002	FEF31_RS01945	NB623_RS02345
OG0000002	FEF31_RS01940	NB623_RS01905
OG0000002	FEF31_RS04505	NB623_RS01015
OG0000003	FEF31_RS04510	NB623_RS01040, NB623_RS01035
OG0000004	FEF31_RS03760	NB623_RS03360
OG0000004	FEF31_RS03775	NB623_RS03365
OG0000005	FEF31_RS03370	NB623_RS00105
OG0000005	FEF31_RS04660	NB623_RS00110
OG0000005	FEF31_RS03380	NB623_RS00115
OG0000006	FEF31_RS02230	NB623_RS02650
OG0000006	FEF31_RS02060	NB623_RS02465
OG0000007	FEF31_RS01925	NB623_RS01045
OG0000007	FEF31_RS01915	NB623_RS01050
OG0000007	FEF31_RS01910	NB623_RS01060
OG0000008	FEF31_RS02050	NB623_RS02455
OG0000008	FEF31_RS01300	NB623_RS01760
OG0000008	FEF31_RS02250	NB623_RS02665, NB623_RS02660
OG0000009	FEF31_RS00325	NB623_RS00665
OG0000009	FEF31_RS00335	NB623_RS00680
OG0000010	FEF31_RS01600	NB623_RS02245
OG0000011	FEF31_RS01695	NB623_RS02145
OG0000011	FEF31_RS01690	NB623_RS02150
OG0000012	FEF31_RS02235	NB623_RS01710, NB623_RS01005, NB623_RS02340
OG0000013	FEF31_RS02135	NB623_RS02540
OG0000014	FEF31_RS00745	NB623_RS01220
OG0000014	FEF31_RS04375	NB623_RS00600
OG0000015	FEF31_RS01295	NB623_RS01685
OG0000016	FEF31_RS03440	NB623_RS00160
OG0000017	FEF31_RS03425	NB623_RS00145
OG0000017	FEF31_RS02590	NB623_RS03015
OG0000020	FEF31_RS03220	NB623_RS03740
OG0000020	FEF31_RS04270	NB623_RS03745
OG0000021	FEF31_RS00170	NB623_RS02325
OG0000022	FEF31_RS01320	NB623_RS01785
OG0000022	FEF31_RS04450	NB623_RS01840
OG0000024	FEF31_RS02485	NB623_RS02905
OG0000024	FEF31_RS00930	NB623_RS01395
OG0000025	FEF31_RS04445	NB623_RS01790
OG0000025	FEF31_RS01370	NB623_RS01835
OG0000026	FEF31_RS01025	NB623_RS01480
OG0000026	FEF31_RS01350	NB623_RS01815
OG0000027	FEF31_RS03015	NB623_RS03520
OG0000027	FEF31_RS04605	NB623_RS03535
OG0000029	FEF31_RS00735	NB623_RS01215
OG0000029	FEF31_RS00270	NB623_RS00605
OG0000030	FEF31_RS04590	NB623_RS03510
OG0000030	FEF31_RS04600	NB623_RS03530
OG0000031	FEF31_RS01265	NB623_RS01720
OG0000032	FEF31_RS03020	NB623_RS03525
OG0000034	FEF31_RS01895	NB623_RS00990
OG0000035	FEF31_RS03765	NB623_RS03355
OG0000036	FEF31_RS03385	NB623_RS00120
OG0000039	FEF31_RS01275	NB623_RS01730
OG0000040	FEF31_RS03890	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000041	FEF31_RS00330	NB623_RS00670
OG0000042	FEF31_RS02675	NB623_RS03100
OG0000043	FEF31_RS01660, FEF31_RS01455	NB623_RS02180
OG0000044	FEF31_RS04775	NB623_RS01800
OG0000044	FEF31_RS01545	NB623_RS02300
OG0000045	FEF31_RS01280, FEF31_RS01285	NB623_RS01740
OG0000046	FEF31_RS02960, FEF31_RS02245	NB623_RS03460
OG0000048	FEF31_RS01845	NB623_RS01920
OG0000049	FEF31_RS03620	NB623_RS03205
OG0000050	FEF31_RS02180	NB623_RS02600
OG0000051	FEF31_RS02395	NB623_RS02820
OG0000052	FEF31_RS03360	NB623_RS00080
OG0000053	FEF31_RS04425	NB623_RS01570
OG0000054	FEF31_RS02205	NB623_RS02625
OG0000055	FEF31_RS03405	NB623_RS00125
OG0000056	FEF31_RS03205	NB623_RS03725
OG0000057	FEF31_RS02660	NB623_RS03085
OG0000058	FEF31_RS01470	NB623_RS01995
OG0000061	FEF31_RS01245, FEF31_RS01610	NB623_RS02235
