Orthogroup	MHP_UFV02_genes	MHP_131B_genes
OG0000000	FEF31_RS01935	NB627_RS02355
OG0000000	FEF31_RS01875	NB627_RS02285
OG0000000	FEF31_RS01865	NB627_RS02265
OG0000000	FEF31_RS04515	NB627_RS02350
OG0000000	FEF31_RS01860	NB627_RS02260
OG0000000	FEF31_RS02055	NB627_RS02480
OG0000000	FEF31_RS01385	NB627_RS01850
OG0000001	FEF31_RS00940	NB627_RS01400, NB627_RS01405
OG0000001	FEF31_RS02490	NB627_RS02935
OG0000002	FEF31_RS01945	NB627_RS02365
OG0000002	FEF31_RS01940	NB627_RS02360
OG0000002	FEF31_RS04505	NB627_RS02290
OG0000002	FEF31_RS04455	NB627_RS01865
OG0000003	FEF31_RS01590	NB627_RS01980
OG0000004	FEF31_RS03760	NB627_RS03390
OG0000004	FEF31_RS03775	NB627_RS03405
OG0000005	FEF31_RS03370	NB627_RS00100
OG0000005	FEF31_RS04665	NB627_RS00120
OG0000005	FEF31_RS04660	NB627_RS00110
OG0000005	FEF31_RS04670	NB627_RS00125
OG0000006	FEF31_RS02090	NB627_RS02520
OG0000007	FEF31_RS01925	NB627_RS02345
OG0000007	FEF31_RS01915	NB627_RS02325
OG0000008	FEF31_RS02050	NB627_RS02475
OG0000008	FEF31_RS01300	NB627_RS01765
OG0000008	FEF31_RS02250	NB627_RS02695
OG0000009	FEF31_RS00325	NB627_RS00775
OG0000009	FEF31_RS00335	NB627_RS00790
OG0000010	FEF31_RS01600	NB627_RS01985
OG0000011	FEF31_RS01690	NB627_RS02090
OG0000013	FEF31_RS02135	NB627_RS02570
OG0000013	FEF31_RS03455	NB627_RS00185
OG0000014	FEF31_RS00255	NB627_RS00705
OG0000014	FEF31_RS00745	NB627_RS01205
OG0000014	FEF31_RS04375	NB627_RS00715
OG0000015	FEF31_RS01295	NB627_RS01760
OG0000016	FEF31_RS02580	NB627_RS03030
OG0000016	FEF31_RS03440	NB627_RS00170
OG0000017	FEF31_RS03425	NB627_RS00155
OG0000017	FEF31_RS02590	NB627_RS03040
OG0000020	FEF31_RS03220	NB627_RS03755
OG0000020	FEF31_RS04270	NB627_RS03760
OG0000021	FEF31_RS00170	NB627_RS00620
OG0000022	FEF31_RS01320	NB627_RS01790
OG0000022	FEF31_RS04450	NB627_RS01845
OG0000023	FEF31_RS00975	NB627_RS01440
OG0000024	FEF31_RS02485	NB627_RS02930
OG0000024	FEF31_RS00930	NB627_RS01395
OG0000025	FEF31_RS04445	NB627_RS01795
OG0000025	FEF31_RS01370	NB627_RS01840
OG0000026	FEF31_RS01025	NB627_RS01490
OG0000026	FEF31_RS01350	NB627_RS01820
OG0000027	FEF31_RS03015	NB627_RS03540
OG0000027	FEF31_RS04605	NB627_RS03555
OG0000029	FEF31_RS00735	NB627_RS01200
OG0000029	FEF31_RS00270	NB627_RS00720
OG0000030	FEF31_RS04590	NB627_RS03530
OG0000030	FEF31_RS04600	NB627_RS03550
OG0000032	FEF31_RS03020	NB627_RS03545
OG0000035	FEF31_RS03765	NB627_RS03400
OG0000036	FEF31_RS03385	NB627_RS00115
OG0000036	FEF31_RS03400	NB627_RS00130
OG0000038	FEF31_RS01510	NB627_RS01895
OG0000039	FEF31_RS01275	NB627_RS01740
OG0000040	FEF31_RS03890	NB627_RS03475
OG0000041	FEF31_RS00330	NB627_RS00780
OG0000042	FEF31_RS02675	NB627_RS03125
OG0000043	FEF31_RS01660, FEF31_RS01455	NB627_RS02055
OG0000044	FEF31_RS04775	NB627_RS01805
OG0000044	FEF31_RS01545	NB627_RS01925
OG0000045	FEF31_RS01280, FEF31_RS01285	NB627_RS01745
OG0000046	FEF31_RS02960, FEF31_RS02245	NB627_RS03485
OG0000048	FEF31_RS01845	NB627_RS02245
OG0000049	FEF31_RS03620	NB627_RS03240
OG0000050	FEF31_RS02180	NB627_RS02630
OG0000051	FEF31_RS02395	NB627_RS02845
OG0000052	FEF31_RS03360	NB627_RS00075
OG0000053	FEF31_RS04425	NB627_RS01580
OG0000054	FEF31_RS02205	NB627_RS02655
OG0000055	FEF31_RS03405	NB627_RS00135
OG0000056	FEF31_RS03205	NB627_RS03735
OG0000057	FEF31_RS02660	NB627_RS03110
OG0000058	FEF31_RS01470	NB627_RS00435
OG0000059	FEF31_RS01460	NB627_RS00465
OG0000061	FEF31_RS01245	NB627_RS01995
OG0000062	FEF31_RS03250	NB627_RS03790
OG0000063	FEF31_RS04645	NB627_RS03785
OG0000064	FEF31_RS03235	NB627_RS03775
OG0000065	FEF31_RS01990	NB627_RS02410
