Orthogroup	MHP_UFV02_genes	MHP_LH_genes
OG0000000	FEF31_RS01935	KUD10_RS02260
OG0000000	FEF31_RS01875	KUD10_RS02195
OG0000000	FEF31_RS01865	KUD10_RS02170
OG0000000	FEF31_RS04515	KUD10_RS02255
OG0000000	FEF31_RS01860	KUD10_RS02165
OG0000000	FEF31_RS02055	KUD10_RS02380
OG0000000	FEF31_RS01385	KUD10_RS01785
OG0000001	FEF31_RS00940	KUD10_RS01355
OG0000001	FEF31_RS00935	KUD10_RS01350
OG0000001	FEF31_RS02540	KUD10_RS02875
OG0000001	FEF31_RS02490	KUD10_RS02830
OG0000002	FEF31_RS01945	KUD10_RS02270
OG0000002	FEF31_RS01940	KUD10_RS02265
OG0000002	FEF31_RS04505	KUD10_RS02210
OG0000002	FEF31_RS04455	KUD10_RS01790
OG0000003	FEF31_RS01515	KUD10_RS01820
OG0000003	FEF31_RS04365	KUD10_RS00500
OG0000003	FEF31_RS04510	KUD10_RS02250
OG0000003	FEF31_RS01590	KUD10_RS01900
OG0000004	FEF31_RS03760	KUD10_RS03265
OG0000004	FEF31_RS03775	KUD10_RS03275
OG0000005	FEF31_RS03370	KUD10_RS00100
OG0000005	FEF31_RS04665	KUD10_RS00120
OG0000005	FEF31_RS04660	KUD10_RS00105
OG0000005	FEF31_RS03380	KUD10_RS00110
OG0000005	FEF31_RS04670	KUD10_RS00125
OG0000006	FEF31_RS02230	KUD10_RS02585
OG0000006	FEF31_RS02090	KUD10_RS02420
OG0000007	FEF31_RS01910	KUD10_RS02245
OG0000008	FEF31_RS02050	KUD10_RS02375
OG0000008	FEF31_RS01300	KUD10_RS01700
OG0000008	FEF31_RS02250	KUD10_RS02590
OG0000009	FEF31_RS00845	KUD10_RS01265
OG0000009	FEF31_RS00335	KUD10_RS00675
OG0000010	FEF31_RS01600	KUD10_RS01910
OG0000011	FEF31_RS01695	KUD10_RS02000
OG0000011	FEF31_RS01690	KUD10_RS01995
OG0000012	FEF31_RS02235	KUD10_RS01085
OG0000013	FEF31_RS02135	KUD10_RS02465
OG0000013	FEF31_RS03455	KUD10_RS00185
OG0000014	FEF31_RS00745	KUD10_RS01080
OG0000014	FEF31_RS04375	KUD10_RS00610
OG0000015	FEF31_RS01295	KUD10_RS01635
OG0000016	FEF31_RS02580	KUD10_RS02915
OG0000016	FEF31_RS03440	KUD10_RS00170
OG0000017	FEF31_RS03425	KUD10_RS00155
OG0000017	FEF31_RS02590	KUD10_RS02925
OG0000018	FEF31_RS04420	KUD10_RS01395
OG0000020	FEF31_RS03220	KUD10_RS03620
OG0000020	FEF31_RS04270	KUD10_RS03625
OG0000021	FEF31_RS01520	KUD10_RS01825
OG0000022	FEF31_RS01320	KUD10_RS01720
OG0000022	FEF31_RS04450	KUD10_RS01775
OG0000023	FEF31_RS00975	KUD10_RS01390
OG0000024	FEF31_RS02485	KUD10_RS02825
OG0000024	FEF31_RS00930	KUD10_RS01345
OG0000025	FEF31_RS04445	KUD10_RS01725
OG0000025	FEF31_RS01370	KUD10_RS01770
OG0000026	FEF31_RS01025	KUD10_RS01435
OG0000026	FEF31_RS01350	KUD10_RS01750
OG0000027	FEF31_RS03015	KUD10_RS03410
OG0000027	FEF31_RS04605	KUD10_RS03425
OG0000028	FEF31_RS02145, FEF31_RS04525	KUD10_RS02500
OG0000029	FEF31_RS00735	KUD10_RS01075
OG0000029	FEF31_RS00270	KUD10_RS00620
OG0000030	FEF31_RS04590	KUD10_RS03400
OG0000030	FEF31_RS04600	KUD10_RS03420
OG0000033	FEF31_RS02140	KUD10_RS02475
OG0000034	FEF31_RS01895	KUD10_RS02225
OG0000035	FEF31_RS03765	KUD10_RS03270
OG0000036	FEF31_RS03385	KUD10_RS00115
OG0000036	FEF31_RS03400	KUD10_RS00130
OG0000038	FEF31_RS01510	KUD10_RS01815
OG0000038	FEF31_RS00160	KUD10_RS00495
OG0000039	FEF31_RS01275	KUD10_RS01675
OG0000040	FEF31_RS03890	KUD10_RS03345
OG0000042	FEF31_RS02675	KUD10_RS03010
OG0000043	FEF31_RS01660, FEF31_RS01455	KUD10_RS01965
OG0000044	FEF31_RS01545	KUD10_RS01860
OG0000045	FEF31_RS01280, FEF31_RS01285	KUD10_RS01680
OG0000046	FEF31_RS02960, FEF31_RS02245	KUD10_RS03355
OG0000048	FEF31_RS01845	KUD10_RS02150
OG0000049	FEF31_RS03620	KUD10_RS03120
OG0000050	FEF31_RS02180	KUD10_RS02530
OG0000051	FEF31_RS02395	KUD10_RS02740
OG0000052	FEF31_RS03360	KUD10_RS00075
OG0000053	FEF31_RS04425	KUD10_RS01520
OG0000054	FEF31_RS02205	KUD10_RS02555
OG0000055	FEF31_RS03405	KUD10_RS00135
OG0000056	FEF31_RS03205	KUD10_RS03605
OG0000057	FEF31_RS02660	KUD10_RS02995
OG0000058	FEF31_RS01470	KUD10_RS01145
OG0000061	FEF31_RS01245	KUD10_RS01920
OG0000062	FEF31_RS03250	KUD10_RS03655
OG0000063	FEF31_RS04645	KUD10_RS03650
OG0000064	FEF31_RS03235	KUD10_RS03640
OG0000065	FEF31_RS01990	KUD10_RS02315
OG0000066	FEF31_RS01015	KUD10_RS01425
OG0000067	FEF31_RS00185	KUD10_RS00530
OG0000068	FEF31_RS00305	KUD10_RS00655
OG0000069	FEF31_RS02555	KUD10_RS02890
OG0000070	FEF31_RS02210	KUD10_RS02560
OG0000071	FEF31_RS03835	KUD10_RS03335
OG0000072	FEF31_RS04700	KUD10_RS03340
OG0000073	FEF31_RS00360	KUD10_RS00700
OG0000074	FEF31_RS04395	KUD10_RS00895
OG0000075	FEF31_RS00005	KUD10_RS00340
OG0000076	FEF31_RS00020	KUD10_RS00355
OG0000077	FEF31_RS00105	KUD10_RS00440
OG0000079	FEF31_RS02300	KUD10_RS02640
OG0000080	FEF31_RS02345	KUD10_RS02690
OG0000081	FEF31_RS03610	KUD10_RS00335
OG0000082	FEF31_RS02130	KUD10_RS02460
OG0000083	FEF31_RS01765	KUD10_RS02070
OG0000084	FEF31_RS01795	KUD10_RS02100
OG0000085	FEF31_RS01800	KUD10_RS02105
OG0000086	FEF31_RS01810	KUD10_RS02115
OG0000087	FEF31_RS01825	KUD10_RS02130
OG0000088	FEF31_RS01830	KUD10_RS02135
OG0000089	FEF31_RS01840	KUD10_RS02145
OG0000090	FEF31_RS03355	KUD10_RS00070
OG0000091	FEF31_RS03340	KUD10_RS00055
OG0000092	FEF31_RS03325	KUD10_RS00040
OG0000093	FEF31_RS03320	KUD10_RS00035
OG0000094	FEF31_RS03315	KUD10_RS00030
OG0000095	FEF31_RS03290	KUD10_RS00005
OG0000096	FEF31_RS03285	KUD10_RS03690
OG0000097	FEF31_RS03265	KUD10_RS03670
OG0000099	FEF31_RS04640	KUD10_RS03610
OG0000100	FEF31_RS03195	KUD10_RS03590
OG0000101	FEF31_RS03190	KUD10_RS03585
OG0000102	FEF31_RS01365	KUD10_RS01765
OG0000103	FEF31_RS01955	KUD10_RS02280
OG0000104	FEF31_RS01960	KUD10_RS02285
OG0000105	FEF31_RS01975	KUD10_RS02300
OG0000106	FEF31_RS01985	KUD10_RS02310
OG0000107	FEF31_RS01995	KUD10_RS02320
OG0000108	FEF31_RS02000	KUD10_RS02325
OG0000109	FEF31_RS02005	KUD10_RS02330
OG0000110	FEF31_RS02120	KUD10_RS02450
OG0000111	FEF31_RS02115	KUD10_RS02445
OG0000112	FEF31_RS02105	KUD10_RS02435
OG0000113	FEF31_RS02085	KUD10_RS02415
OG0000114	FEF31_RS02075	KUD10_RS02405
OG0000115	FEF31_RS02065	KUD10_RS02395
OG0000116	FEF31_RS00955	KUD10_RS01370
OG0000117	FEF31_RS00960	KUD10_RS01375
OG0000118	FEF31_RS00995	KUD10_RS01410
OG0000119	FEF31_RS01000	KUD10_RS01415
OG0000120	FEF31_RS01020	KUD10_RS01430
OG0000121	FEF31_RS01045	KUD10_RS01455
OG0000122	FEF31_RS01050	KUD10_RS01460
OG0000123	FEF31_RS01070	KUD10_RS01480
OG0000124	FEF31_RS01075	KUD10_RS01485
OG0000125	FEF31_RS01080	KUD10_RS01490
OG0000126	FEF31_RS01090	KUD10_RS01500
OG0000127	FEF31_RS01100	KUD10_RS01510
OG0000128	FEF31_RS01115	KUD10_RS01525
OG0000129	FEF31_RS01120	KUD10_RS01530
OG0000130	FEF31_RS01130	KUD10_RS01540
OG0000131	FEF31_RS01160	KUD10_RS01570
OG0000132	FEF31_RS04430	KUD10_RS01585
OG0000133	FEF31_RS00190	KUD10_RS00535
OG0000134	FEF31_RS00195	KUD10_RS00540
OG0000135	FEF31_RS00210	KUD10_RS00555
OG0000136	FEF31_RS00215	KUD10_RS00560
OG0000137	FEF31_RS00245	KUD10_RS00600
OG0000138	FEF31_RS00280	KUD10_RS00630
OG0000139	FEF31_RS00310	KUD10_RS00660
OG0000140	FEF31_RS00315	KUD10_RS00665
OG0000141	FEF31_RS02670	KUD10_RS03005
OG0000142	FEF31_RS04555	KUD10_RS03000
OG0000143	FEF31_RS02645	KUD10_RS02980
OG0000144	FEF31_RS02635	KUD10_RS02970
OG0000145	FEF31_RS02625	KUD10_RS02960
OG0000146	FEF31_RS02615	KUD10_RS02950
OG0000147	FEF31_RS02610	KUD10_RS02945
OG0000148	FEF31_RS02595	KUD10_RS02930
OG0000149	FEF31_RS02585	KUD10_RS02920
OG0000150	FEF31_RS02570	KUD10_RS02905
OG0000151	FEF31_RS02525	KUD10_RS02860
OG0000152	FEF31_RS02520	KUD10_RS02855
OG0000153	FEF31_RS02515	KUD10_RS02850
OG0000154	FEF31_RS02505	KUD10_RS02840
OG0000155	FEF31_RS02465	KUD10_RS02805
OG0000156	FEF31_RS02455	KUD10_RS02795
OG0000157	FEF31_RS04545	KUD10_RS02790
OG0000158	FEF31_RS04540	KUD10_RS03710
OG0000159	FEF31_RS02195	KUD10_RS02545
OG0000160	FEF31_RS02190	KUD10_RS02540
OG0000161	FEF31_RS02185	KUD10_RS02535
OG0000162	FEF31_RS02175	KUD10_RS02525
OG0000163	FEF31_RS02170	KUD10_RS02520
OG0000164	FEF31_RS01270	KUD10_RS01670
OG0000165	FEF31_RS01685	KUD10_RS01990
OG0000166	FEF31_RS01705	KUD10_RS02010
OG0000167	FEF31_RS01720	KUD10_RS02025
OG0000168	FEF31_RS01725	KUD10_RS02030
OG0000169	FEF31_RS03615	KUD10_RS03115
OG0000170	FEF31_RS04785, FEF31_RS04795	KUD10_RS03130
OG0000171	FEF31_RS03640	KUD10_RS03140
OG0000172	FEF31_RS03645	KUD10_RS03145
OG0000173	FEF31_RS03650	KUD10_RS03150
OG0000174	FEF31_RS03655	KUD10_RS03155
OG0000175	FEF31_RS03670	KUD10_RS03170
OG0000176	FEF31_RS03715	KUD10_RS03215
OG0000177	FEF31_RS03720	KUD10_RS03220
OG0000178	FEF31_RS03725	KUD10_RS03225
OG0000179	FEF31_RS03735	KUD10_RS03235
OG0000180	FEF31_RS03740	KUD10_RS03240
OG0000181	FEF31_RS04690	KUD10_RS03285
OG0000182	FEF31_RS03795	KUD10_RS03295
OG0000183	FEF31_RS03830	KUD10_RS03330
OG0000184	FEF31_RS02980	KUD10_RS03375
OG0000185	FEF31_RS02965	KUD10_RS03360
OG0000186	FEF31_RS04435	KUD10_RS01595
OG0000187	FEF31_RS01200	KUD10_RS01610
OG0000188	FEF31_RS01210	KUD10_RS01620
OG0000189	FEF31_RS04520	KUD10_RS02365
OG0000190	FEF31_RS02035	KUD10_RS02360
OG0000191	FEF31_RS02015	KUD10_RS02340
OG0000192	FEF31_RS00875	KUD10_RS01290
OG0000193	FEF31_RS00860	KUD10_RS01275
OG0000194	FEF31_RS00345	KUD10_RS00685
OG0000195	FEF31_RS00350	KUD10_RS00690
OG0000196	FEF31_RS00370	KUD10_RS00710
OG0000197	FEF31_RS00375	KUD10_RS00715
OG0000198	FEF31_RS00390	KUD10_RS00730
OG0000199	FEF31_RS00395	KUD10_RS00735
OG0000200	FEF31_RS00410	KUD10_RS00750
OG0000201	FEF31_RS00420	KUD10_RS00760
OG0000202	FEF31_RS00475	KUD10_RS00815
OG0000203	FEF31_RS00480	KUD10_RS00820
OG0000204	FEF31_RS00485	KUD10_RS00825
OG0000205	FEF31_RS00490	KUD10_RS00830
OG0000206	FEF31_RS00510	KUD10_RS00850
OG0000207	FEF31_RS00525	KUD10_RS00865
OG0000208	FEF31_RS00530	KUD10_RS00870
OG0000209	FEF31_RS00535	KUD10_RS00875
OG0000210	FEF31_RS00580	KUD10_RS00920
OG0000211	FEF31_RS00590	KUD10_RS00930
OG0000212	FEF31_RS00600	KUD10_RS00940
OG0000213	FEF31_RS00605	KUD10_RS00945
OG0000214	FEF31_RS00610	KUD10_RS00950
OG0000215	FEF31_RS00615	KUD10_RS00955
OG0000216	FEF31_RS00620	KUD10_RS00960
OG0000217	FEF31_RS00625	KUD10_RS00965
OG0000218	FEF31_RS00635	KUD10_RS00975
OG0000219	FEF31_RS00640	KUD10_RS00980
OG0000220	FEF31_RS00645	KUD10_RS00985
OG0000221	FEF31_RS00650	KUD10_RS00990
OG0000222	FEF31_RS00655	KUD10_RS00995
OG0000223	FEF31_RS00660	KUD10_RS01000
OG0000224	FEF31_RS00670	KUD10_RS01010
OG0000225	FEF31_RS00680	KUD10_RS01020
OG0000226	FEF31_RS00685	KUD10_RS01025
OG0000227	FEF31_RS00690	KUD10_RS01030
OG0000228	FEF31_RS04770	KUD10_RS03740
OG0000229	FEF31_RS00700	KUD10_RS01040
OG0000230	FEF31_RS00705	KUD10_RS01045
OG0000231	FEF31_RS00715	KUD10_RS01055
OG0000232	FEF31_RS00725	KUD10_RS01065
OG0000233	FEF31_RS00750	KUD10_RS01090
OG0000234	FEF31_RS00785	KUD10_RS01125
OG0000235	FEF31_RS00795	KUD10_RS01135
OG0000236	FEF31_RS00800	KUD10_RS01140
OG0000237	FEF31_RS00805	KUD10_RS01230
OG0000238	FEF31_RS00810	KUD10_RS01235
OG0000239	FEF31_RS02680	KUD10_RS03015
OG0000240	FEF31_RS02685	KUD10_RS03020
OG0000241	FEF31_RS02695	KUD10_RS03030
OG0000242	FEF31_RS02700	KUD10_RS03035
OG0000243	FEF31_RS02705	KUD10_RS03040
OG0000244	FEF31_RS02715	KUD10_RS03050
OG0000245	FEF31_RS02720	KUD10_RS03055
OG0000246	FEF31_RS03410	KUD10_RS00140
OG0000247	FEF31_RS03420	KUD10_RS00150
OG0000248	FEF31_RS03430	KUD10_RS00160
OG0000249	FEF31_RS03435	KUD10_RS00165
OG0000250	FEF31_RS03450	KUD10_RS00180
OG0000251	FEF31_RS03480	KUD10_RS00210
OG0000252	FEF31_RS03490	KUD10_RS00220
OG0000253	FEF31_RS03495	KUD10_RS00225
OG0000254	FEF31_RS03505	KUD10_RS00235
OG0000255	FEF31_RS03510	KUD10_RS00240
OG0000256	FEF31_RS03515	KUD10_RS00245
OG0000257	FEF31_RS03540	KUD10_RS00270
OG0000258	FEF31_RS03550	KUD10_RS00280
OG0000259	FEF31_RS03580	KUD10_RS00310
OG0000260	FEF31_RS03590	KUD10_RS00320
OG0000261	FEF31_RS04680	KUD10_RS00330
OG0000262	FEF31_RS00010	KUD10_RS00345
OG0000263	FEF31_RS00025	KUD10_RS00360
OG0000264	FEF31_RS00040	KUD10_RS00375
OG0000265	FEF31_RS00050	KUD10_RS00385
OG0000266	FEF31_RS00065	KUD10_RS00400
OG0000267	FEF31_RS00080	KUD10_RS00415
OG0000268	FEF31_RS00085	KUD10_RS00420
OG0000269	FEF31_RS00100	KUD10_RS00435
OG0000270	FEF31_RS04635	KUD10_RS03560
OG0000271	FEF31_RS03160	KUD10_RS03555
OG0000272	FEF31_RS03155	KUD10_RS03550
OG0000273	FEF31_RS03150	KUD10_RS03545
OG0000274	FEF31_RS03130	KUD10_RS03525
OG0000275	FEF31_RS04625	KUD10_RS03520
OG0000276	FEF31_RS03120	KUD10_RS03515
OG0000277	FEF31_RS03110	KUD10_RS03505
OG0000278	FEF31_RS03105	KUD10_RS03500
OG0000279	FEF31_RS03095	KUD10_RS03490
OG0000280	FEF31_RS03090	KUD10_RS03485
OG0000281	FEF31_RS03085	KUD10_RS03480
OG0000282	FEF31_RS04615	KUD10_RS03455
OG0000283	FEF31_RS03055	KUD10_RS03450
OG0000284	FEF31_RS03050	KUD10_RS03445
OG0000285	FEF31_RS04610	KUD10_RS03440
OG0000286	FEF31_RS02155	KUD10_RS02505
OG0000287	FEF31_RS02260	KUD10_RS02600
OG0000288	FEF31_RS02270	KUD10_RS02610
OG0000289	FEF31_RS02275	KUD10_RS02615
OG0000290	FEF31_RS02385	KUD10_RS02730
OG0000291	FEF31_RS02375	KUD10_RS02720
OG0000292	FEF31_RS02370	KUD10_RS02715
OG0000293	FEF31_RS02365	KUD10_RS02710
OG0000294	FEF31_RS02355	KUD10_RS02700
OG0000295	FEF31_RS02350	KUD10_RS02695
OG0000296	FEF31_RS02310	KUD10_RS02650
OG0000297	FEF31_RS02305	KUD10_RS02645
OG0000298	FEF31_RS03445	KUD10_RS00175
OG0000299	FEF31_RS03465	KUD10_RS00195
OG0000300	FEF31_RS00035	KUD10_RS00370
OG0000301	FEF31_RS00070	KUD10_RS00405
OG0000302	FEF31_RS00075	KUD10_RS00410
OG0000303	FEF31_RS00220	KUD10_RS00565
OG0000304	FEF31_RS00730	KUD10_RS01070
OG0000305	FEF31_RS02620	KUD10_RS02955
OG0000306	FEF31_RS02545	KUD10_RS02880
OG0000307	FEF31_RS02510	KUD10_RS02845
OG0000308	FEF31_RS02405	KUD10_RS02750
OG0000309	FEF31_RS02340	KUD10_RS02685
OG0000310	FEF31_RS02265	KUD10_RS02605
OG0000311	FEF31_RS02215	KUD10_RS02565
OG0000312	FEF31_RS02200	KUD10_RS02550
OG0000313	FEF31_RS01260	KUD10_RS01660
OG0000314	FEF31_RS01700	KUD10_RS02005
OG0000315	FEF31_RS01730	KUD10_RS02035
OG0000316	FEF31_RS01740	KUD10_RS02045
OG0000317	FEF31_RS01835	KUD10_RS02140
OG0000318	FEF31_RS04480	KUD10_RS02050
OG0000319	FEF31_RS01970	KUD10_RS02295
OG0000320	FEF31_RS02095	KUD10_RS02425
OG0000321	FEF31_RS00990	KUD10_RS01405
OG0000322	FEF31_RS01040	KUD10_RS01450
OG0000323	FEF31_RS01170	KUD10_RS01580
OG0000324	FEF31_RS02010	KUD10_RS02335
OG0000325	FEF31_RS00355	KUD10_RS00695
OG0000326	FEF31_RS00450	KUD10_RS00790
OG0000327	FEF31_RS00455	KUD10_RS00795
OG0000328	FEF31_RS00540	KUD10_RS00880
OG0000329	FEF31_RS00560	KUD10_RS00900
OG0000330	FEF31_RS00760	KUD10_RS01100
OG0000331	FEF31_RS02710	KUD10_RS03045
OG0000332	FEF31_RS03680	KUD10_RS03180
OG0000333	FEF31_RS03690	KUD10_RS03190
OG0000334	FEF31_RS03790	KUD10_RS03290
OG0000335	FEF31_RS03800	KUD10_RS03300
OG0000336	FEF31_RS04620	KUD10_RS03470
OG0000337	FEF31_RS03240	KUD10_RS03645
OG0000338	FEF31_RS03280	KUD10_RS03685
OG0000339	FEF31_RS02070	KUD10_RS02400
OG0000340	FEF31_RS00970	KUD10_RS01385
OG0000341	FEF31_RS02030	KUD10_RS02355
OG0000342	FEF31_RS00385	KUD10_RS00725
OG0000343	FEF31_RS03700	KUD10_RS03200
OG0000344	FEF31_RS00235	KUD10_RS00580
OG0000345	FEF31_RS00675	KUD10_RS01015
OG0000346	FEF31_RS03080	KUD10_RS03475
OG0000347	FEF31_RS01065	KUD10_RS01475
OG0000348	FEF31_RS00460	KUD10_RS00800
OG0000349	FEF31_RS04630	KUD10_RS03535
OG0000350	FEF31_RS02500	KUD10_RS02835
OG0000351	FEF31_RS00155	KUD10_RS00490
OG0000352	FEF31_RS01680	KUD10_RS01985
OG0000353	FEF31_RS01035	KUD10_RS01445
OG0000354	FEF31_RS00295	KUD10_RS00645
OG0000355	FEF31_RS04470	KUD10_RS01960
OG0000356	FEF31_RS04475	KUD10_RS02040
OG0000357	FEF31_RS04685	KUD10_RS03160
OG0000358	FEF31_RS03665	KUD10_RS03165
OG0000359	FEF31_RS04380	KUD10_RS00770
OG0000360	FEF31_RS03545	KUD10_RS00275
OG0000361	FEF31_RS03575	KUD10_RS00305
OG0000362	FEF31_RS02285	KUD10_RS02625
OG0000363	FEF31_RS01105	KUD10_RS01515
OG0000364	FEF31_RS01635	KUD10_RS01940
OG0000365	FEF31_RS01785	KUD10_RS02085
OG0000366	FEF31_RS01805	KUD10_RS02110
OG0000367	FEF31_RS01815	KUD10_RS02120
OG0000368	FEF31_RS03345	KUD10_RS00060
OG0000369	FEF31_RS04650	KUD10_RS00025
OG0000370	FEF31_RS03305	KUD10_RS00020
OG0000371	FEF31_RS03300	KUD10_RS00015
OG0000372	FEF31_RS03295	KUD10_RS00010
OG0000373	FEF31_RS03270	KUD10_RS03675
OG0000374	FEF31_RS03260	KUD10_RS03665
OG0000375	FEF31_RS01965	KUD10_RS02290
OG0000376	FEF31_RS02110	KUD10_RS02440
OG0000377	FEF31_RS02100	KUD10_RS02430
OG0000378	FEF31_RS00950	KUD10_RS01365
OG0000379	FEF31_RS01030	KUD10_RS01440
OG0000380	FEF31_RS01055	KUD10_RS01465
OG0000381	FEF31_RS01095	KUD10_RS01505
OG0000382	FEF31_RS01125	KUD10_RS01535
OG0000383	FEF31_RS01165	KUD10_RS01575
OG0000384	FEF31_RS00175	KUD10_RS00520
OG0000385	FEF31_RS00180	KUD10_RS00525
OG0000386	FEF31_RS00200	KUD10_RS00545
OG0000387	FEF31_RS00225	KUD10_RS00570
OG0000388	FEF31_RS04370	KUD10_RS00575
OG0000389	FEF31_RS00275	KUD10_RS00625
OG0000390	FEF31_RS02640	KUD10_RS02975
OG0000391	FEF31_RS02630	KUD10_RS02965
OG0000392	FEF31_RS02605	KUD10_RS02940
OG0000393	FEF31_RS04550	KUD10_RS02885
OG0000394	FEF31_RS02475	KUD10_RS02815
OG0000395	FEF31_RS02470	KUD10_RS02810
OG0000396	FEF31_RS02160	KUD10_RS02510
OG0000397	FEF31_RS01665	KUD10_RS01970
OG0000398	FEF31_RS01670	KUD10_RS01975
OG0000399	FEF31_RS01715	KUD10_RS02020
OG0000400	FEF31_RS03625	KUD10_RS03125
OG0000401	FEF31_RS03685	KUD10_RS03185
OG0000402	FEF31_RS03695	KUD10_RS03195
OG0000403	FEF31_RS03705	KUD10_RS03205
OG0000404	FEF31_RS03730	KUD10_RS03230
OG0000405	FEF31_RS04800	KUD10_RS03245
OG0000406	FEF31_RS03805	KUD10_RS03305
OG0000407	FEF31_RS04695	KUD10_RS03310
OG0000408	FEF31_RS03815	KUD10_RS03315
OG0000409	FEF31_RS03820	KUD10_RS03320
OG0000410	FEF31_RS02985	KUD10_RS03380
OG0000411	FEF31_RS02975	KUD10_RS03370
OG0000412	FEF31_RS02970	KUD10_RS03365
OG0000413	FEF31_RS01180	KUD10_RS01590
OG0000414	FEF31_RS01190	KUD10_RS01600
OG0000415	FEF31_RS01195	KUD10_RS01605
OG0000416	FEF31_RS01205	KUD10_RS01615
OG0000417	FEF31_RS02025	KUD10_RS02350
OG0000418	FEF31_RS02020	KUD10_RS02345
OG0000419	FEF31_RS00365	KUD10_RS00705
OG0000420	FEF31_RS00400	KUD10_RS00740
OG0000421	FEF31_RS00435	KUD10_RS00775
OG0000422	FEF31_RS00445	KUD10_RS00785
OG0000423	FEF31_RS00500	KUD10_RS00840
OG0000424	FEF31_RS00505	KUD10_RS00845
OG0000425	FEF31_RS00515	KUD10_RS00855
OG0000426	FEF31_RS04385	KUD10_RS00860
OG0000427	FEF31_RS04390	KUD10_RS00885
OG0000428	FEF31_RS00570	KUD10_RS00910
OG0000429	FEF31_RS00665	KUD10_RS01005
OG0000430	FEF31_RS00710	KUD10_RS01050
OG0000431	FEF31_RS00720	KUD10_RS01060
OG0000432	FEF31_RS00755	KUD10_RS01095
OG0000433	FEF31_RS00770	KUD10_RS01110
OG0000434	FEF31_RS00775	KUD10_RS01115
OG0000435	FEF31_RS00790	KUD10_RS01130
OG0000436	FEF31_RS00815	KUD10_RS01240
OG0000437	FEF31_RS00825	KUD10_RS01250
OG0000438	FEF31_RS00830	KUD10_RS01255
OG0000439	FEF31_RS04400	KUD10_RS01260
OG0000440	FEF31_RS02690	KUD10_RS03025
OG0000441	FEF31_RS02725	KUD10_RS03060
OG0000442	FEF31_RS03415	KUD10_RS00145
OG0000443	FEF31_RS03460	KUD10_RS00190
OG0000444	FEF31_RS03475	KUD10_RS00205
OG0000445	FEF31_RS03500	KUD10_RS00230
OG0000446	FEF31_RS03525	KUD10_RS00255
OG0000447	FEF31_RS03530	KUD10_RS00260
OG0000448	FEF31_RS03560	KUD10_RS00290
OG0000449	FEF31_RS03585	KUD10_RS00315
OG0000450	FEF31_RS03595	KUD10_RS00325
OG0000451	FEF31_RS00030	KUD10_RS00365
OG0000452	FEF31_RS00055	KUD10_RS00390
OG0000453	FEF31_RS00090	KUD10_RS00425
OG0000455	FEF31_RS03185	KUD10_RS03580
OG0000456	FEF31_RS03065	KUD10_RS03460
OG0000457	FEF31_RS03040	KUD10_RS03435
OG0000458	FEF31_RS02255	KUD10_RS02595
