Orthogroup	MHP_UFV02_genes	MHP_KM014_genes
OG0000000	FEF31_RS01860	CIB43_RS03010
OG0000000	FEF31_RS01380	CIB43_RS02595
OG0000000	FEF31_RS01385	CIB43_RS02600
OG0000001	FEF31_RS00935	CIB43_RS02150
OG0000001	FEF31_RS02540	CIB43_RS03715
OG0000001	FEF31_RS02495, FEF31_RS02490	CIB43_RS03670
OG0000002	FEF31_RS01945	CIB43_RS03100
OG0000002	FEF31_RS04455	CIB43_RS02610
OG0000003	FEF31_RS01590	CIB43_RS02725
OG0000004	FEF31_RS03760	CIB43_RS00290
OG0000005	FEF31_RS03370	CIB43_RS00810
OG0000005	FEF31_RS04665	CIB43_RS00830
OG0000006	FEF31_RS02230	CIB43_RS03435
OG0000006	FEF31_RS02090, FEF31_RS02060	CIB43_RS03420
OG0000007	FEF31_RS01925	CIB43_RS03095
OG0000007	FEF31_RS01915	CIB43_RS03080
OG0000007	FEF31_RS01910	CIB43_RS03075
OG0000008	FEF31_RS02050	CIB43_RS03225
OG0000009	FEF31_RS00335	CIB43_RS01550
OG0000010	FEF31_RS01600	CIB43_RS02735
OG0000011	FEF31_RS01695	CIB43_RS02850
OG0000012	FEF31_RS02235	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	FEF31_RS00255	CIB43_RS01485
OG0000014	FEF31_RS00745	CIB43_RS01955
OG0000015	FEF31_RS01395	CIB43_RS00010
OG0000016	FEF31_RS02580	CIB43_RS03755
OG0000017	FEF31_RS03425	CIB43_RS00855
OG0000017	FEF31_RS02590	CIB43_RS03765
OG0000020	FEF31_RS04270	CIB43_RS00635
OG0000022	FEF31_RS04450	CIB43_RS02590
OG0000023	FEF31_RS01405	CIB43_RS00020
OG0000024	FEF31_RS00930	CIB43_RS02140
OG0000025	FEF31_RS01370	CIB43_RS02585
OG0000026	FEF31_RS01350	CIB43_RS02565
OG0000027	FEF31_RS04605	CIB43_RS00440
OG0000028	FEF31_RS02145, FEF31_RS04525	CIB43_RS03340
OG0000030	FEF31_RS04600	CIB43_RS00435
OG0000031	FEF31_RS01450	CIB43_RS00065
OG0000035	FEF31_RS03765	CIB43_RS00280
OG0000036	FEF31_RS03385	CIB43_RS00815
OG0000038	FEF31_RS01510	CIB43_RS02625
OG0000039	FEF31_RS01275	CIB43_RS02500
OG0000041	FEF31_RS00330	CIB43_RS03980
OG0000042	FEF31_RS02675	CIB43_RS03855
OG0000043	FEF31_RS01455	CIB43_RS00070
OG0000044	FEF31_RS01545	CIB43_RS02665
OG0000045	FEF31_RS01280, FEF31_RS01285	CIB43_RS02520
OG0000047	FEF31_RS01435	CIB43_RS00045
OG0000048	FEF31_RS01845	CIB43_RS02995
OG0000049	FEF31_RS03620	CIB43_RS00150
OG0000051	FEF31_RS02395	CIB43_RS03575
OG0000052	FEF31_RS03360	CIB43_RS00775
OG0000053	FEF31_RS04425	CIB43_RS02315
OG0000054	FEF31_RS02205	CIB43_RS03395
OG0000055	FEF31_RS03405	CIB43_RS00835
OG0000056	FEF31_RS03205	CIB43_RS03960
OG0000057	FEF31_RS02660	CIB43_RS03840
OG0000058	FEF31_RS01470	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085
OG0000059	FEF31_RS01460	CIB43_RS00080, CIB43_RS01165
OG0000060	FEF31_RS00850	CIB43_RS00780
OG0000061	FEF31_RS01245	CIB43_RS02745
OG0000062	FEF31_RS03250	CIB43_RS00675
OG0000063	FEF31_RS04645	CIB43_RS00660
OG0000064	FEF31_RS03235	CIB43_RS00650
OG0000065	FEF31_RS01990	CIB43_RS03145
OG0000068	FEF31_RS00305	CIB43_RS01520
OG0000069	FEF31_RS02555	CIB43_RS03740
OG0000070	FEF31_RS02210	CIB43_RS03400
OG0000071	FEF31_RS03835	CIB43_RS00360
OG0000072	FEF31_RS04700	CIB43_RS00375
OG0000073	FEF31_RS00360	CIB43_RS01580
OG0000075	FEF31_RS00005	CIB43_RS01060
OG0000077	FEF31_RS00105	CIB43_RS01330
OG0000078	FEF31_RS01340	CIB43_RS02560
OG0000079	FEF31_RS02300	CIB43_RS03480
OG0000080	FEF31_RS02345	CIB43_RS03525
OG0000081	FEF31_RS03610	CIB43_RS01055
OG0000082	FEF31_RS02130	CIB43_RS03315
OG0000083	FEF31_RS01765	CIB43_RS02935
OG0000084	FEF31_RS01795	CIB43_RS02955
OG0000086	FEF31_RS01810	CIB43_RS02970
OG0000087	FEF31_RS01825	CIB43_RS02975
OG0000088	FEF31_RS01830	CIB43_RS02980
OG0000089	FEF31_RS01840	CIB43_RS02990
OG0000090	FEF31_RS03355	CIB43_RS00770
OG0000091	FEF31_RS03340	CIB43_RS00760
OG0000092	FEF31_RS03325	CIB43_RS00745
OG0000093	FEF31_RS03320	CIB43_RS00735
OG0000094	FEF31_RS03315	CIB43_RS00730
OG0000095	FEF31_RS03290	CIB43_RS00715
OG0000096	FEF31_RS03285	CIB43_RS00700
OG0000097	FEF31_RS03265	CIB43_RS00690
OG0000100	FEF31_RS03195	CIB43_RS00610
OG0000101	FEF31_RS03190	CIB43_RS00600
OG0000102	FEF31_RS01365	CIB43_RS02580
OG0000103	FEF31_RS01955	CIB43_RS03110
OG0000104	FEF31_RS01960	CIB43_RS03120
OG0000105	FEF31_RS01975	CIB43_RS03130
OG0000106	FEF31_RS01985	CIB43_RS03140
OG0000107	FEF31_RS01995	CIB43_RS03150
OG0000108	FEF31_RS02000	CIB43_RS03155
OG0000109	FEF31_RS02005	CIB43_RS03160
OG0000110	FEF31_RS02120	CIB43_RS03290
OG0000111	FEF31_RS02115	CIB43_RS03285
OG0000112	FEF31_RS02105	CIB43_RS03280
OG0000113	FEF31_RS02085	CIB43_RS03260
OG0000114	FEF31_RS02075	CIB43_RS03245
OG0000115	FEF31_RS02065	CIB43_RS03230
OG0000116	FEF31_RS00955	CIB43_RS02165
OG0000117	FEF31_RS00960	CIB43_RS02170
OG0000118	FEF31_RS00995	CIB43_RS02205
OG0000119	FEF31_RS01000	CIB43_RS02210
OG0000120	FEF31_RS01020	CIB43_RS02230
OG0000121	FEF31_RS01045	CIB43_RS02250
OG0000122	FEF31_RS01050	CIB43_RS02255
OG0000123	FEF31_RS01070	CIB43_RS02275
OG0000124	FEF31_RS01075	CIB43_RS02280
OG0000125	FEF31_RS01080	CIB43_RS02285
OG0000126	FEF31_RS01090	CIB43_RS02295
OG0000127	FEF31_RS01100	CIB43_RS02305
OG0000128	FEF31_RS01115	CIB43_RS02320
OG0000129	FEF31_RS01120	CIB43_RS02330
OG0000130	FEF31_RS01130	CIB43_RS02335
