Orthogroup	MHP_UFV02_genes	MFC_MF30_genes
OG0000000	FEF31_RS01935	DR084_RS02900
OG0000000	FEF31_RS01875, FEF31_RS01865	DR084_RS02935
OG0000000	FEF31_RS01385	DR084_RS02480
OG0000001	FEF31_RS00940, FEF31_RS00935, FEF31_RS02540, FEF31_RS02495, FEF31_RS02490	DR084_RS03095
OG0000002	FEF31_RS01945, FEF31_RS01940	DR084_RS03505
OG0000002	FEF31_RS04455	DR084_RS03620
OG0000011	FEF31_RS01695	DR084_RS03145
OG0000011	FEF31_RS01690	DR084_RS01055
OG0000013	FEF31_RS02135	DR084_RS00890, DR084_RS00885
OG0000013	FEF31_RS03455	DR084_RS02985
OG0000014	FEF31_RS00255, FEF31_RS00745, FEF31_RS04375	DR084_RS03465
OG0000016	FEF31_RS02580	DR084_RS00585
OG0000017	FEF31_RS03425	DR084_RS02415
OG0000017	FEF31_RS02590	DR084_RS00575
OG0000019	FEF31_RS04805	DR084_RS03440
OG0000020	FEF31_RS04270	DR084_RS02530
OG0000022	FEF31_RS04450	DR084_RS03625
OG0000024	FEF31_RS02485, FEF31_RS00930	DR084_RS00640
OG0000025	FEF31_RS01370	DR084_RS02490
OG0000026	FEF31_RS01025, FEF31_RS01350	DR084_RS01955
OG0000027	FEF31_RS04605	DR084_RS03655
OG0000028	FEF31_RS02145, FEF31_RS04525	DR084_RS00905, DR084_RS00910
OG0000029	FEF31_RS00735, FEF31_RS00270	DR084_RS00420
OG0000030	FEF31_RS04590, FEF31_RS04600	DR084_RS03660
OG0000031	FEF31_RS01450	DR084_RS01000
OG0000039	FEF31_RS01275	DR084_RS00480
OG0000040	FEF31_RS03890	DR084_RS02240, DR084_RS00690
OG0000042	FEF31_RS02675	DR084_RS00475, DR084_RS00620
OG0000043	FEF31_RS01455	DR084_RS01025
OG0000045	FEF31_RS01280, FEF31_RS01285	DR084_RS00485
OG0000047	FEF31_RS01435	DR084_RS03000
OG0000048	FEF31_RS01845	DR084_RS02740
OG0000049	FEF31_RS03620	DR084_RS02050
OG0000050	FEF31_RS02180	DR084_RS00965
OG0000051	FEF31_RS02395	DR084_RS01670
OG0000052	FEF31_RS03360	DR084_RS02375
OG0000053	FEF31_RS04425	DR084_RS03670
OG0000054	FEF31_RS02205	DR084_RS00940
OG0000055	FEF31_RS03405	DR084_RS03600, DR084_RS03710
OG0000056	FEF31_RS03205	DR084_RS02515
OG0000057	FEF31_RS02660	DR084_RS00500
OG0000062	FEF31_RS03250	DR084_RS02265
OG0000063	FEF31_RS04645	DR084_RS03590
OG0000064	FEF31_RS03235	DR084_RS02250
OG0000065	FEF31_RS01990	DR084_RS01815
OG0000066	FEF31_RS01015	DR084_RS01945
OG0000068	FEF31_RS00305	DR084_RS00455
OG0000069	FEF31_RS02555	DR084_RS00610
OG0000070	FEF31_RS02210	DR084_RS00920
OG0000071	FEF31_RS03835	DR084_RS01120, DR084_RS02230
OG0000072	FEF31_RS04700	DR084_RS03585
OG0000073	FEF31_RS00360	DR084_RS01245
OG0000074	FEF31_RS04395	DR084_RS03540
OG0000075	FEF31_RS00005	DR084_RS00175
OG0000076	FEF31_RS00020	DR084_RS00190
OG0000077	FEF31_RS00105	DR084_RS00275
OG0000079	FEF31_RS02300	DR084_RS00835
OG0000080	FEF31_RS02345	DR084_RS03130
OG0000081	FEF31_RS03610	DR084_RS00170
OG0000082	FEF31_RS02130	DR084_RS00895
OG0000083	FEF31_RS01765	DR084_RS02845
OG0000084	FEF31_RS01795	DR084_RS02690
OG0000085	FEF31_RS01800	DR084_RS02695
OG0000086	FEF31_RS01810	DR084_RS03665
OG0000087	FEF31_RS01825	DR084_RS02720
OG0000088	FEF31_RS01830	DR084_RS02725
OG0000089	FEF31_RS01840	DR084_RS02735
OG0000090	FEF31_RS03355	DR084_RS02370
OG0000091	FEF31_RS03340	DR084_RS02355
OG0000092	FEF31_RS03325	DR084_RS02340
OG0000093	FEF31_RS03320	DR084_RS02335
OG0000094	FEF31_RS03315	DR084_RS02330
OG0000095	FEF31_RS03290	DR084_RS02305
OG0000096	FEF31_RS03285	DR084_RS02300
OG0000097	FEF31_RS03265	DR084_RS02280
OG0000098	FEF31_RS03255	DR084_RS02270
OG0000099	FEF31_RS04640	DR084_RS02520
OG0000100	FEF31_RS03195	DR084_RS02510
OG0000101	FEF31_RS03190	DR084_RS02505
OG0000102	FEF31_RS01365	DR084_RS02495
OG0000103	FEF31_RS01955	DR084_RS01780
OG0000104	FEF31_RS01960	DR084_RS01785
OG0000105	FEF31_RS01975	DR084_RS01800
OG0000106	FEF31_RS01985	DR084_RS01810
OG0000107	FEF31_RS01995	DR084_RS01820
OG0000108	FEF31_RS02000	DR084_RS01825
OG0000109	FEF31_RS02005	DR084_RS01830
OG0000110	FEF31_RS02120	DR084_RS01835
OG0000111	FEF31_RS02115	DR084_RS01840
OG0000112	FEF31_RS02105	DR084_RS01850
OG0000113	FEF31_RS02085	DR084_RS03550
OG0000114	FEF31_RS02075	DR084_RS01875
OG0000115	FEF31_RS02065	DR084_RS01885
OG0000116	FEF31_RS00955	DR084_RS01895
OG0000117	FEF31_RS00960	DR084_RS01900
OG0000118	FEF31_RS00995	DR084_RS01930
OG0000119	FEF31_RS01000	DR084_RS01935
OG0000120	FEF31_RS01020	DR084_RS01950
OG0000121	FEF31_RS01045	DR084_RS01975
OG0000122	FEF31_RS01050	DR084_RS01980
OG0000123	FEF31_RS01070	DR084_RS02000
OG0000124	FEF31_RS01075	DR084_RS02005
OG0000125	FEF31_RS01080	DR084_RS02010
OG0000126	FEF31_RS01090	DR084_RS02020
OG0000127	FEF31_RS01100	DR084_RS02030
OG0000128	FEF31_RS01115	DR084_RS02760
OG0000129	FEF31_RS01120	DR084_RS02765
OG0000130	FEF31_RS01130	DR084_RS02775
OG0000131	FEF31_RS01160	DR084_RS02805
OG0000132	FEF31_RS04430	DR084_RS03675
OG0000133	FEF31_RS00190	DR084_RS00350
OG0000134	FEF31_RS00195	DR084_RS03455
OG0000135	FEF31_RS00210	DR084_RS00370
OG0000136	FEF31_RS00215	DR084_RS00375
OG0000137	FEF31_RS00245	DR084_RS00405
OG0000138	FEF31_RS00280	DR084_RS00430
OG0000139	FEF31_RS00310	DR084_RS00460
OG0000140	FEF31_RS00315	DR084_RS00465
OG0000141	FEF31_RS02670	DR084_RS00490
OG0000142	FEF31_RS04555	DR084_RS03470
OG0000143	FEF31_RS02645	DR084_RS00520
OG0000144	FEF31_RS02635	DR084_RS00530
OG0000145	FEF31_RS02625	DR084_RS00540
OG0000146	FEF31_RS02615	DR084_RS00550
OG0000147	FEF31_RS02610	DR084_RS00555
OG0000148	FEF31_RS02595	DR084_RS00570
OG0000149	FEF31_RS02585	DR084_RS00580
OG0000150	FEF31_RS02570	DR084_RS00595
OG0000151	FEF31_RS02525	DR084_RS00645
OG0000152	FEF31_RS02520	DR084_RS00650
OG0000153	FEF31_RS02515	DR084_RS00655
OG0000154	FEF31_RS02505	DR084_RS00665
OG0000155	FEF31_RS02465	DR084_RS00685
OG0000156	FEF31_RS02455	DR084_RS00700
OG0000157	FEF31_RS04545	DR084_RS03475
OG0000158	FEF31_RS04540	DR084_RS03480
OG0000159	FEF31_RS02195	DR084_RS00950
OG0000160	FEF31_RS02190	DR084_RS00955
OG0000161	FEF31_RS02185	DR084_RS00960
OG0000162	FEF31_RS02175	DR084_RS02975, DR084_RS00970
OG0000163	FEF31_RS02170	DR084_RS00975
OG0000164	FEF31_RS01270	DR084_RS03490
OG0000165	FEF31_RS01685	DR084_RS01050
OG0000166	FEF31_RS01705	DR084_RS01070
OG0000167	FEF31_RS01720	DR084_RS01085
OG0000168	FEF31_RS01725	DR084_RS01090
OG0000169	FEF31_RS03615	DR084_RS02045
OG0000170	FEF31_RS04785, FEF31_RS04795	DR084_RS02060
OG0000171	FEF31_RS03640	DR084_RS02070
OG0000172	FEF31_RS03645	DR084_RS02075
OG0000173	FEF31_RS03650	DR084_RS02080
OG0000174	FEF31_RS03655	DR084_RS02085
OG0000175	FEF31_RS03670	DR084_RS02100
OG0000176	FEF31_RS03715	DR084_RS02140
OG0000177	FEF31_RS03720	DR084_RS02145
OG0000178	FEF31_RS03725	DR084_RS02150
OG0000179	FEF31_RS03735	DR084_RS02160
OG0000180	FEF31_RS03740	DR084_RS02165
OG0000181	FEF31_RS04690	DR084_RS03570
OG0000182	FEF31_RS03795	DR084_RS02190
OG0000183	FEF31_RS03830	DR084_RS02225
OG0000184	FEF31_RS02980	DR084_RS02865
OG0000185	FEF31_RS02965	DR084_RS02880
OG0000186	FEF31_RS04435	DR084_RS01135
OG0000187	FEF31_RS01200	DR084_RS01150
OG0000188	FEF31_RS01210	DR084_RS01160
OG0000189	FEF31_RS04520	DR084_RS03510
OG0000190	FEF31_RS02035	DR084_RS01175
OG0000191	FEF31_RS02015	DR084_RS01195
OG0000192	FEF31_RS00875	DR084_RS01205
OG0000193	FEF31_RS00860	DR084_RS01220
OG0000194	FEF31_RS00345	DR084_RS01230
OG0000195	FEF31_RS00350	DR084_RS01235
OG0000196	FEF31_RS00370	DR084_RS03515
