Orthogroup	MHP_UFV02_genes	MFC_MF29_genes
OG0000000	FEF31_RS01935	DR095_RS03080
OG0000000	FEF31_RS01385	DR095_RS01240
OG0000001	FEF31_RS00940, FEF31_RS00935, FEF31_RS02540, FEF31_RS02495, FEF31_RS02490	DR095_RS00305, DR095_RS00300
OG0000002	FEF31_RS04505	DR095_RS04030
OG0000002	FEF31_RS04455	DR095_RS03820
OG0000003	FEF31_RS04510	DR095_RS04020
OG0000007	FEF31_RS01925	DR095_RS03020
OG0000007	FEF31_RS01915	DR095_RS03025
OG0000007	FEF31_RS01910	DR095_RS03035
OG0000008	FEF31_RS01300	DR095_RS03220
OG0000011	FEF31_RS01695	DR095_RS03240, DR095_RS03235
OG0000011	FEF31_RS01690	DR095_RS03230
OG0000013	FEF31_RS02135	DR095_RS00580, DR095_RS00575
OG0000013	FEF31_RS03455	DR095_RS03215
OG0000014	FEF31_RS00255, FEF31_RS00745, FEF31_RS04375	DR095_RS03760
OG0000015	FEF31_RS01395	DR095_RS01695
OG0000016	FEF31_RS02580	DR095_RS00250
OG0000017	FEF31_RS03425	DR095_RS01000
OG0000017	FEF31_RS02590	DR095_RS00240
OG0000018	FEF31_RS01415, FEF31_RS01420	DR095_RS03850
OG0000020	FEF31_RS03220	DR095_RS03810
OG0000020	FEF31_RS04270	DR095_RS03805
OG0000022	FEF31_RS04450	DR095_RS03815
OG0000023	FEF31_RS01405	DR095_RS03490
OG0000024	FEF31_RS02485, FEF31_RS00930	DR095_RS00310
OG0000025	FEF31_RS01370	DR095_RS01230
OG0000026	FEF31_RS01025, FEF31_RS01350	DR095_RS01450
OG0000027	FEF31_RS04605	DR095_RS03960
OG0000028	FEF31_RS02145, FEF31_RS04525	DR095_RS00595
OG0000029	FEF31_RS00735, FEF31_RS00270	DR095_RS00085
OG0000030	FEF31_RS04590, FEF31_RS04600	DR095_RS03965
OG0000031	FEF31_RS01450	DR095_RS01640
OG0000039	FEF31_RS01275	DR095_RS00145
OG0000040	FEF31_RS03890	DR095_RS01945, DR095_RS00375, DR095_RS00380
OG0000042	FEF31_RS02675	DR095_RS00140, DR095_RS00285
OG0000043	FEF31_RS01455	DR095_RS02735
OG0000045	FEF31_RS01280, FEF31_RS01285	DR095_RS03295, DR095_RS03300
OG0000047	FEF31_RS01435	DR095_RS03200
OG0000048	FEF31_RS01845	DR095_RS03095, DR095_RS02830
OG0000049	FEF31_RS03620	DR095_RS01755
OG0000050	FEF31_RS02180	DR095_RS03970
OG0000051	FEF31_RS02395	DR095_RS01545
OG0000052	FEF31_RS03360	DR095_RS01040
OG0000053	FEF31_RS04425	DR095_RS03995, DR095_RS01535
OG0000054	FEF31_RS02205	DR095_RS00625
OG0000055	FEF31_RS03405	DR095_RS01035
OG0000056	FEF31_RS03205	DR095_RS01205
OG0000057	FEF31_RS02660	DR095_RS00165
OG0000058	FEF31_RS01470	DR095_RS01620
OG0000059	FEF31_RS01460	DR095_RS03480
OG0000062	FEF31_RS03250	DR095_RS01150
OG0000063	FEF31_RS04645	DR095_RS01155
