Orthogroup	MHP_UFV01_genes	MHP_133A_genes
OG0000000	FEF30_RS02570	NB626_RS02350
OG0000000	FEF30_RS02505	NB626_RS02275
OG0000000	FEF30_RS02500	NB626_RS02255
OG0000000	FEF30_RS04350	NB626_RS02345
OG0000000	FEF30_RS02495	NB626_RS02250
OG0000000	FEF30_RS02690	NB626_RS02475
OG0000000	FEF30_RS02695	NB626_RS02480
OG0000000	FEF30_RS02035	NB626_RS01840
OG0000001	FEF30_RS01595	NB626_RS01395, NB626_RS01400
OG0000001	FEF30_RS03125	NB626_RS02930
OG0000002	FEF30_RS02580	NB626_RS02360
OG0000002	FEF30_RS02575	NB626_RS02355
OG0000002	FEF30_RS04340	NB626_RS02280
OG0000002	FEF30_RS04295	NB626_RS01855
OG0000004	FEF30_RS03540	NB626_RS03385
OG0000004	FEF30_RS03550	NB626_RS03400
OG0000005	FEF30_RS00415	NB626_RS00100
OG0000005	FEF30_RS00435	NB626_RS00120
OG0000005	FEF30_RS04180	NB626_RS00110
OG0000005	FEF30_RS04185	NB626_RS00125
OG0000006	FEF30_RS02730	NB626_RS02515
OG0000007	FEF30_RS02555	NB626_RS02340
OG0000007	FEF30_RS02545	NB626_RS02320
OG0000008	FEF30_RS02685	NB626_RS02470
OG0000008	FEF30_RS01955	NB626_RS01750
OG0000008	FEF30_RS02885	NB626_RS02690
OG0000009	FEF30_RS00980	NB626_RS00765
OG0000009	FEF30_RS00990	NB626_RS00780
OG0000010	FEF30_RS02240	NB626_RS01975
OG0000011	FEF30_RS02330	NB626_RS02080
OG0000013	FEF30_RS02775	NB626_RS02565
OG0000013	FEF30_RS00500	NB626_RS00185
OG0000014	FEF30_RS00910	NB626_RS00695
OG0000014	FEF30_RS01400	NB626_RS01210
OG0000014	FEF30_RS04210	NB626_RS00705
OG0000015	FEF30_RS01950	NB626_RS01740
OG0000016	FEF30_RS00485	NB626_RS00170
OG0000017	FEF30_RS00470	NB626_RS00155
OG0000017	FEF30_RS03230	NB626_RS03035
OG0000020	FEF30_RS03755	NB626_RS03760
OG0000021	FEF30_RS00820	NB626_RS00610
OG0000022	FEF30_RS01975	NB626_RS01775
OG0000022	FEF30_RS04290	NB626_RS01830
OG0000023	FEF30_RS01630	NB626_RS01435
OG0000024	FEF30_RS03120	NB626_RS02925
OG0000024	FEF30_RS01585	NB626_RS01390
OG0000025	FEF30_RS04285	NB626_RS01780
OG0000025	FEF30_RS02025	NB626_RS01825
OG0000026	FEF30_RS01680	NB626_RS01480
OG0000026	FEF30_RS02005	NB626_RS01805
OG0000027	FEF30_RS00060	NB626_RS03540
OG0000027	FEF30_RS04125	NB626_RS03555
OG0000029	FEF30_RS01390	NB626_RS01205
OG0000029	FEF30_RS00925	NB626_RS00710
OG0000030	FEF30_RS04110	NB626_RS03530
OG0000030	FEF30_RS04120	NB626_RS03550
OG0000032	FEF30_RS00065	NB626_RS03545
OG0000035	FEF30_RS03545	NB626_RS03395
OG0000036	FEF30_RS00430	NB626_RS00115
OG0000036	FEF30_RS00445	NB626_RS00130
OG0000038	FEF30_RS02160	NB626_RS01885
OG0000039	FEF30_RS01930	NB626_RS01720
OG0000040	FEF30_RS03620	NB626_RS03470
OG0000041	FEF30_RS00985	NB626_RS00770
OG0000042	FEF30_RS03315	NB626_RS03120
OG0000043	FEF30_RS02295, FEF30_RS02105	NB626_RS02045
OG0000044	FEF30_RS04460	NB626_RS01790
OG0000044	FEF30_RS02200	NB626_RS01915
OG0000045	FEF30_RS01935, FEF30_RS01940	NB626_RS01725
OG0000046	FEF30_RS04495	NB626_RS03480
OG0000048	FEF30_RS02480	NB626_RS02235
