Orthogroup	MHP_UFV01_genes	MFC_MF22_genes
OG0000000	FEF30_RS02570	DR094_RS03000
OG0000000	FEF30_RS02500	DR094_RS02820
OG0000000	FEF30_RS02035	DR094_RS01215
OG0000001	FEF30_RS01595, FEF30_RS01590, FEF30_RS03180, FEF30_RS03130, FEF30_RS03125	DR094_RS00325, DR094_RS00330
OG0000002	FEF30_RS02575	DR094_RS02550
OG0000002	FEF30_RS04340	DR094_RS03815
OG0000002	FEF30_RS04295	DR094_RS03610
OG0000003	FEF30_RS04345	DR094_RS03820
OG0000007	FEF30_RS02555	DR094_RS02850
OG0000007	FEF30_RS02545	DR094_RS02845
OG0000007	FEF30_RS02540	DR094_RS02840
OG0000011	FEF30_RS02330	DR094_RS03520
OG0000011	FEF30_RS02325	DR094_RS02895
OG0000013	FEF30_RS02775	DR094_RS00075, DR094_RS00080
OG0000013	FEF30_RS00500	DR094_RS03050
OG0000014	FEF30_RS00910, FEF30_RS01400, FEF30_RS04210	DR094_RS03555
OG0000016	FEF30_RS03220	DR094_RS00380
OG0000017	FEF30_RS00470	DR094_RS00975
OG0000017	FEF30_RS03230	DR094_RS00390
OG0000019	FEF30_RS03670	DR094_RS03350
OG0000020	FEF30_RS00265	DR094_RS03600
OG0000020	FEF30_RS03755	DR094_RS03595
OG0000022	FEF30_RS04290	DR094_RS03605
OG0000023	FEF30_RS01630, FEF30_RS02055	DR094_RS02170
OG0000024	FEF30_RS03120, FEF30_RS01585	DR094_RS00320
OG0000025	FEF30_RS02025	DR094_RS01205
OG0000026	FEF30_RS01680, FEF30_RS02005	DR094_RS02215
OG0000027	FEF30_RS00060	DR094_RS01395
OG0000027	FEF30_RS04125	DR094_RS03650
OG0000028	FEF30_RS02785, FEF30_RS02790	DR094_RS00060
OG0000029	FEF30_RS01390, FEF30_RS00925	DR094_RS00545
OG0000030	FEF30_RS04110, FEF30_RS04120	DR094_RS03655
OG0000031	FEF30_RS02100	DR094_RS02590
OG0000032	FEF30_RS00065	DR094_RS01390
OG0000039	FEF30_RS01930	DR094_RS00485
OG0000040	FEF30_RS03620	DR094_RS02025, DR094_RS00270
OG0000042	FEF30_RS03315	DR094_RS00490, DR094_RS00345
OG0000043	FEF30_RS02105	DR094_RS02615
OG0000045	FEF30_RS01935, FEF30_RS01940	DR094_RS03140, DR094_RS03135
OG0000048	FEF30_RS02480	DR094_RS02695, DR094_RS02985
OG0000049	FEF30_RS03400	DR094_RS03355
OG0000050	FEF30_RS02820	DR094_RS03765
OG0000051	FEF30_RS03030	DR094_RS01715
OG0000052	FEF30_RS00405	DR094_RS01015
OG0000053	FEF30_RS04260	DR094_RS03805
OG0000054	FEF30_RS02845	DR094_RS00030
OG0000055	FEF30_RS00450	DR094_RS03580, DR094_RS03850
OG0000056	FEF30_RS00250	DR094_RS01180
OG0000057	FEF30_RS03300	DR094_RS00465
OG0000062	FEF30_RS00295	DR094_RS01125
OG0000063	FEF30_RS04165	DR094_RS03590
