Orthogroup	MHP_UFV01_genes	MFC_ATCC27716_genes
OG0000000	FEF30_RS02570	MFC_RS01410
OG0000000	FEF30_RS02505, FEF30_RS02500	MFC_RS02935
OG0000000	FEF30_RS02035	MFC_RS00365
OG0000001	FEF30_RS01595, FEF30_RS01590, FEF30_RS03180, FEF30_RS03130, FEF30_RS03125	MFC_RS03350
OG0000002	FEF30_RS02580, FEF30_RS02575	MFC_RS00395
OG0000002	FEF30_RS04340	MFC_RS02940
OG0000002	FEF30_RS04295	MFC_RS00370
OG0000003	FEF30_RS04345	MFC_RS02995
OG0000007	FEF30_RS02555	MFC_RS02975
OG0000007	FEF30_RS02545	MFC_RS02970
OG0000007	FEF30_RS02540	MFC_RS02965
OG0000008	FEF30_RS01955	MFC_RS03380
OG0000011	FEF30_RS02330	MFC_RS03510, MFC_RS03505
OG0000011	FEF30_RS02325	MFC_RS01350
OG0000013	FEF30_RS02775	MFC_RS03175, MFC_RS02880
OG0000013	FEF30_RS00500	MFC_RS03420
OG0000014	FEF30_RS00910, FEF30_RS01400, FEF30_RS04210	MFC_RS00870
OG0000015	FEF30_RS02045	MFC_RS03450
OG0000016	FEF30_RS03220	MFC_RS01050
OG0000017	FEF30_RS00470	MFC_RS03155
OG0000017	FEF30_RS03230	MFC_RS01040
OG0000019	FEF30_RS03670	MFC_RS03000
OG0000020	FEF30_RS00265	MFC_RS00305
OG0000020	FEF30_RS03755	MFC_RS00300
OG0000022	FEF30_RS04290	MFC_RS00360
OG0000024	FEF30_RS03120, FEF30_RS01585	MFC_RS01110
OG0000025	FEF30_RS02025	MFC_RS00355
OG0000026	FEF30_RS01680, FEF30_RS02005	MFC_RS00580
OG0000027	FEF30_RS04125	MFC_RS02850
OG0000028	FEF30_RS02785, FEF30_RS02790	MFC_RS01205, MFC_RS01200
OG0000029	FEF30_RS01390, FEF30_RS00925	MFC_RS00875
OG0000030	FEF30_RS04110, FEF30_RS04120	MFC_RS02855
OG0000031	FEF30_RS02100	MFC_RS01295
OG0000032	FEF30_RS00065	MFC_RS02860
OG0000039	FEF30_RS01930	MFC_RS03135, MFC_RS00935
OG0000040	FEF30_RS03620	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	FEF30_RS03315	MFC_RS00930, MFC_RS01085
OG0000043	FEF30_RS02105	MFC_RS01320
OG0000045	FEF30_RS01935, FEF30_RS01940	MFC_RS00950
OG0000047	FEF30_RS02085	MFC_RS03280
OG0000048	FEF30_RS02480	MFC_RS00140
OG0000049	FEF30_RS03400	MFC_RS03220, MFC_RS03365
OG0000050	FEF30_RS02820	MFC_RS01260
OG0000051	FEF30_RS03030	MFC_RS02240
OG0000052	FEF30_RS00405	MFC_RS00160
OG0000053	FEF30_RS04260	MFC_RS00665
OG0000054	FEF30_RS02845	MFC_RS01235
OG0000055	FEF30_RS00450	MFC_RS03415, MFC_RS03540
OG0000056	FEF30_RS00250	MFC_RS00325
OG0000057	FEF30_RS03300	MFC_RS00965
OG0000062	FEF30_RS00295	MFC_RS00270
OG0000063	FEF30_RS04165	MFC_RS00275
OG0000064	FEF30_RS00280	MFC_RS00285
OG0000065	FEF30_RS02625	MFC_RS00440
OG0000066	FEF30_RS01670	MFC_RS00570
OG0000068	FEF30_RS00960	MFC_RS00910
OG0000069	FEF30_RS03195	MFC_RS01075
OG0000070	FEF30_RS02850	MFC_RS01215
OG0000071	FEF30_RS03610	MFC_RS01630
OG0000072	FEF30_RS04405	MFC_RS01635
OG0000073	FEF30_RS01015	MFC_RS03395, MFC_RS03390
OG0000074	FEF30_RS04230	MFC_RS03400
OG0000075	FEF30_RS00655	MFC_RS02565
OG0000076	FEF30_RS00670	MFC_RS02580
OG0000077	FEF30_RS00755	MFC_RS02670
OG0000079	FEF30_RS02935	MFC_RS02930, MFC_RS03120
OG0000080	FEF30_RS02980	MFC_RS03315
OG0000081	FEF30_RS00650	MFC_RS03430, MFC_RS02560
OG0000082	FEF30_RS02770	MFC_RS02870
OG0000083	FEF30_RS02400	MFC_RS00040
OG0000084	FEF30_RS02430	MFC_RS00070
OG0000085	FEF30_RS02435	MFC_RS00075
OG0000086	FEF30_RS02445	MFC_RS00085
OG0000087	FEF30_RS02460	MFC_RS03320
OG0000088	FEF30_RS02465	MFC_RS00105
OG0000089	FEF30_RS02475	MFC_RS00115
OG0000090	FEF30_RS00400	MFC_RS00165
OG0000091	FEF30_RS00385	MFC_RS00180
OG0000092	FEF30_RS00370	MFC_RS00195
OG0000093	FEF30_RS00365	MFC_RS00200
OG0000094	FEF30_RS00360	MFC_RS00205
OG0000095	FEF30_RS00335	MFC_RS00230
OG0000096	FEF30_RS00330	MFC_RS00235
OG0000097	FEF30_RS00310	MFC_RS00255
OG0000098	FEF30_RS00300	MFC_RS00265
OG0000099	FEF30_RS04160	MFC_RS00320
OG0000100	FEF30_RS00240	MFC_RS00335
OG0000101	FEF30_RS00235	MFC_RS00340
OG0000102	FEF30_RS02020	MFC_RS00350
OG0000103	FEF30_RS02590	MFC_RS00405
OG0000104	FEF30_RS02595	MFC_RS00410
OG0000105	FEF30_RS02610	MFC_RS00425
OG0000106	FEF30_RS02620	MFC_RS00435
OG0000107	FEF30_RS02630	MFC_RS00445
OG0000108	FEF30_RS02635	MFC_RS00450
OG0000109	FEF30_RS02640	MFC_RS00455
OG0000110	FEF30_RS02760	MFC_RS00460
OG0000111	FEF30_RS02755	MFC_RS00465
OG0000112	FEF30_RS02745	MFC_RS00475
OG0000113	FEF30_RS02725	MFC_RS00490
OG0000114	FEF30_RS02715	MFC_RS00500
OG0000115	FEF30_RS02705	MFC_RS00510
OG0000116	FEF30_RS01610	MFC_RS00520
OG0000117	FEF30_RS01615	MFC_RS00525
OG0000118	FEF30_RS01650	MFC_RS00555
OG0000119	FEF30_RS01655	MFC_RS00560
OG0000120	FEF30_RS01675	MFC_RS00575
OG0000121	FEF30_RS01700	MFC_RS00600
OG0000122	FEF30_RS01705	MFC_RS00605
OG0000123	FEF30_RS01725	MFC_RS00625
OG0000124	FEF30_RS01730	MFC_RS00630
OG0000125	FEF30_RS01735	MFC_RS00635
OG0000126	FEF30_RS01745	MFC_RS00645
OG0000127	FEF30_RS01755	MFC_RS00655
OG0000128	FEF30_RS01770	MFC_RS00670
OG0000129	FEF30_RS01775	MFC_RS00675
OG0000130	FEF30_RS01785	MFC_RS00685
OG0000131	FEF30_RS04265	MFC_RS00715
OG0000132	FEF30_RS04270	MFC_RS00735
OG0000133	FEF30_RS00840	MFC_RS00805
OG0000134	FEF30_RS00845	MFC_RS00810
OG0000135	FEF30_RS00860	MFC_RS00825
OG0000136	FEF30_RS00865	MFC_RS00830
OG0000137	FEF30_RS00905	MFC_RS00860
OG0000138	FEF30_RS00935	MFC_RS00885
OG0000139	FEF30_RS00965	MFC_RS00915
OG0000140	FEF30_RS00970	MFC_RS00920
OG0000141	FEF30_RS03310	MFC_RS00955
OG0000142	FEF30_RS04385	MFC_RS00960
OG0000143	FEF30_RS03285	MFC_RS00985
OG0000144	FEF30_RS03275	MFC_RS00995
OG0000145	FEF30_RS03265	MFC_RS01005
OG0000146	FEF30_RS03255	MFC_RS01015
OG0000147	FEF30_RS03250	MFC_RS01020
OG0000148	FEF30_RS03235	MFC_RS01035
OG0000149	FEF30_RS03225	MFC_RS01045
OG0000150	FEF30_RS03210	MFC_RS01060
OG0000151	FEF30_RS03160	MFC_RS01115
OG0000152	FEF30_RS03155	MFC_RS01120
OG0000153	FEF30_RS03150	MFC_RS01125
OG0000154	FEF30_RS03140	MFC_RS01135
OG0000155	FEF30_RS03100	MFC_RS01155
OG0000156	FEF30_RS03090	MFC_RS01175
OG0000157	FEF30_RS04375	MFC_RS01180
OG0000158	FEF30_RS04370	MFC_RS01190
OG0000159	FEF30_RS02835	MFC_RS01245
OG0000160	FEF30_RS02830	MFC_RS01250
OG0000161	FEF30_RS02825	MFC_RS01255
OG0000162	FEF30_RS02815	MFC_RS01265
OG0000163	FEF30_RS02810	MFC_RS01270
OG0000164	FEF30_RS01925	MFC_RS01300
OG0000165	FEF30_RS02320	MFC_RS01345
OG0000166	FEF30_RS02340	MFC_RS01365
OG0000167	FEF30_RS02355	MFC_RS01380
OG0000168	FEF30_RS02360	MFC_RS01385
OG0000169	FEF30_RS03395	MFC_RS01430
OG0000170	FEF30_RS04475	MFC_RS01455
OG0000171	FEF30_RS03420	MFC_RS01465
OG0000172	FEF30_RS03425	MFC_RS01470
OG0000173	FEF30_RS03430	MFC_RS01475
OG0000174	FEF30_RS03435	MFC_RS01480
OG0000175	FEF30_RS03450	MFC_RS01495
OG0000176	FEF30_RS03495	MFC_RS01540
OG0000177	FEF30_RS03500	MFC_RS01545
OG0000178	FEF30_RS03505	MFC_RS01550
OG0000179	FEF30_RS03515	MFC_RS01560
OG0000180	FEF30_RS03520	MFC_RS01565
OG0000181	FEF30_RS04395	MFC_RS01580
OG0000182	FEF30_RS03570	MFC_RS01590
OG0000183	FEF30_RS03605	MFC_RS01625
OG0000184	FEF30_RS00025	MFC_RS01655
OG0000185	FEF30_RS00010	MFC_RS01670
OG0000186	FEF30_RS04275	MFC_RS01710
OG0000187	FEF30_RS01855	MFC_RS01725
OG0000188	FEF30_RS01865	MFC_RS01735
OG0000189	FEF30_RS04355	MFC_RS03385
OG0000190	FEF30_RS02670	MFC_RS01750
OG0000191	FEF30_RS02650	MFC_RS01770
OG0000192	FEF30_RS01530	MFC_RS01780
OG0000193	FEF30_RS01515	MFC_RS01795
OG0000194	FEF30_RS01000	MFC_RS01805
OG0000195	FEF30_RS01005	MFC_RS01810
OG0000196	FEF30_RS01025	MFC_RS01830
OG0000197	FEF30_RS01030	MFC_RS01835
OG0000198	FEF30_RS01045	MFC_RS01850
OG0000199	FEF30_RS01050	MFC_RS01855
OG0000200	FEF30_RS01065	MFC_RS01865
OG0000201	FEF30_RS01075	MFC_RS01875
OG0000202	FEF30_RS01130	MFC_RS01930
OG0000203	FEF30_RS01135	MFC_RS01935
OG0000204	FEF30_RS01140	MFC_RS01940
OG0000205	FEF30_RS01145	MFC_RS01945
OG0000206	FEF30_RS01165	MFC_RS01965
OG0000207	FEF30_RS01180	MFC_RS01980
OG0000208	FEF30_RS01185	MFC_RS01985
OG0000209	FEF30_RS01190	MFC_RS01990
OG0000210	FEF30_RS01235	MFC_RS02040
OG0000211	FEF30_RS01245	MFC_RS02050
OG0000212	FEF30_RS01255	MFC_RS02060
OG0000213	FEF30_RS01260	MFC_RS02065
OG0000214	FEF30_RS01265	MFC_RS02070
OG0000215	FEF30_RS01270	MFC_RS02075
OG0000216	FEF30_RS01275	MFC_RS02080
OG0000217	FEF30_RS01280	MFC_RS02085
OG0000218	FEF30_RS01290	MFC_RS02095
OG0000219	FEF30_RS01295	MFC_RS02100
OG0000220	FEF30_RS01300	MFC_RS02105
OG0000221	FEF30_RS01305	MFC_RS02110
OG0000222	FEF30_RS01310	MFC_RS03235
OG0000223	FEF30_RS01315	MFC_RS02115
OG0000224	FEF30_RS01325	MFC_RS02125
OG0000225	FEF30_RS01335	MFC_RS02135
OG0000226	FEF30_RS01340	MFC_RS02140
OG0000227	FEF30_RS01345	MFC_RS02145
OG0000228	FEF30_RS04410	MFC_RS03530
OG0000229	FEF30_RS01355	MFC_RS02155
OG0000230	FEF30_RS01360	MFC_RS02160
OG0000231	FEF30_RS01370	MFC_RS02170
OG0000232	FEF30_RS01380	MFC_RS02180
OG0000233	FEF30_RS01405	MFC_RS02190
OG0000234	FEF30_RS01440	MFC_RS02220
OG0000235	FEF30_RS01450	MFC_RS02230
OG0000236	FEF30_RS01455	MFC_RS02235
OG0000237	FEF30_RS01460	MFC_RS02250
OG0000238	FEF30_RS01465	MFC_RS02255
OG0000239	FEF30_RS03320	MFC_RS02285
OG0000240	FEF30_RS03325	MFC_RS02290
OG0000241	FEF30_RS03335	MFC_RS02300
OG0000242	FEF30_RS03340	MFC_RS02305
OG0000243	FEF30_RS03345	MFC_RS02310
OG0000244	FEF30_RS03355	MFC_RS02320
OG0000245	FEF30_RS03365	MFC_RS02330
OG0000246	FEF30_RS00455	MFC_RS02345
OG0000247	FEF30_RS00465	MFC_RS02355
OG0000248	FEF30_RS00475	MFC_RS02380
OG0000249	FEF30_RS03675, FEF30_RS00480	MFC_RS02385
