Orthogroup	MHP_UFV01_genes	MHP_UFV02_genes
OG0000000	FEF30_RS02570	FEF31_RS01935
OG0000000	FEF30_RS02505	FEF31_RS01875
OG0000000	FEF30_RS02500	FEF31_RS01865
OG0000000	FEF30_RS02495	FEF31_RS01860
OG0000000	FEF30_RS02690	FEF31_RS02055
OG0000000	FEF30_RS02035	FEF31_RS01385
OG0000001	FEF30_RS01595	FEF31_RS00940
OG0000001	FEF30_RS01590	FEF31_RS00935
OG0000001	FEF30_RS03180	FEF31_RS02540
OG0000001	FEF30_RS03130	FEF31_RS02495
OG0000001	FEF30_RS03125	FEF31_RS02490
OG0000002	FEF30_RS02580	FEF31_RS01945
OG0000002	FEF30_RS02575	FEF31_RS01940
OG0000002	FEF30_RS04340	FEF31_RS04505
OG0000002	FEF30_RS04295	FEF31_RS04455
OG0000003	FEF30_RS02165	FEF31_RS01515
OG0000003	FEF30_RS04200	FEF31_RS04365
OG0000003	FEF30_RS04345	FEF31_RS04510
OG0000004	FEF30_RS03540	FEF31_RS03760
OG0000004	FEF30_RS03550	FEF31_RS03775
OG0000005	FEF30_RS00415	FEF31_RS03370
OG0000005	FEF30_RS00435	FEF31_RS04665
OG0000005	FEF30_RS04180	FEF31_RS04660
OG0000005	FEF30_RS00425	FEF31_RS03380
OG0000005	FEF30_RS04185	FEF31_RS04670
OG0000006	FEF30_RS02880	FEF31_RS02230
OG0000006	FEF30_RS02730	FEF31_RS02090
OG0000006	FEF30_RS02700	FEF31_RS02060
OG0000007	FEF30_RS02555	FEF31_RS01925
OG0000007	FEF30_RS02545	FEF31_RS01915
OG0000007	FEF30_RS02540	FEF31_RS01910
OG0000008	FEF30_RS02685	FEF31_RS02050
OG0000008	FEF30_RS01955	FEF31_RS01300
OG0000008	FEF30_RS02885	FEF31_RS02250
OG0000009	FEF30_RS00980	FEF31_RS00325
OG0000009	FEF30_RS01500	FEF31_RS00845
OG0000009	FEF30_RS00990	FEF31_RS00335
OG0000010	FEF30_RS02240	FEF31_RS01600
OG0000010	FEF30_RS01880	FEF31_RS01225
OG0000010	FEF30_RS04280	FEF31_RS04440
OG0000011	FEF30_RS02330	FEF31_RS01695
OG0000011	FEF30_RS02325	FEF31_RS01690
OG0000012	FEF30_RS03655	FEF31_RS02235
OG0000013	FEF30_RS02775	FEF31_RS02135
OG0000013	FEF30_RS00500	FEF31_RS03455
OG0000014	FEF30_RS00910	FEF31_RS00255
OG0000014	FEF30_RS01400	FEF31_RS00745
OG0000014	FEF30_RS04210	FEF31_RS04375
OG0000015	FEF30_RS01950	FEF31_RS01295
OG0000015	FEF30_RS02045	FEF31_RS01395
OG0000016	FEF30_RS03220	FEF31_RS02580
OG0000016	FEF30_RS00485	FEF31_RS03440
OG0000017	FEF30_RS00470	FEF31_RS03425
OG0000017	FEF30_RS03230	FEF31_RS02590
OG0000018	FEF30_RS04255	FEF31_RS04420
OG0000018	FEF30_RS02065	FEF31_RS01415
OG0000018	FEF30_RS02070	FEF31_RS01420
OG0000019	FEF30_RS03670	FEF31_RS04805
OG0000020	FEF30_RS00265	FEF31_RS03220
OG0000020	FEF30_RS03755	FEF31_RS04270
OG0000021	FEF30_RS02170	FEF31_RS01520
OG0000021	FEF30_RS00820	FEF31_RS00170
OG0000022	FEF30_RS01975	FEF31_RS01320
OG0000022	FEF30_RS04290	FEF31_RS04450
OG0000023	FEF30_RS01630	FEF31_RS00975
OG0000023	FEF30_RS02055	FEF31_RS01405
OG0000024	FEF30_RS03120	FEF31_RS02485
OG0000024	FEF30_RS01585	FEF31_RS00930
OG0000025	FEF30_RS04285	FEF31_RS04445
OG0000025	FEF30_RS02025	FEF31_RS01370
OG0000026	FEF30_RS01680	FEF31_RS01025
OG0000026	FEF30_RS02005	FEF31_RS01350
OG0000027	FEF30_RS00060	FEF31_RS03015
OG0000027	FEF30_RS04125	FEF31_RS04605
OG0000028	FEF30_RS02785	FEF31_RS02145
OG0000028	FEF30_RS02790	FEF31_RS04525
OG0000029	FEF30_RS01390	FEF31_RS00735
OG0000029	FEF30_RS00925	FEF31_RS00270
OG0000030	FEF30_RS04110	FEF31_RS04590
OG0000030	FEF30_RS04120	FEF31_RS04600
OG0000031	FEF30_RS01920	FEF31_RS01265
OG0000031	FEF30_RS02100	FEF31_RS01450
OG0000032	FEF30_RS00065	FEF31_RS03020
OG0000033	FEF30_RS02780	FEF31_RS02140
OG0000034	FEF30_RS02525	FEF31_RS01895
OG0000035	FEF30_RS03545	FEF31_RS03765
OG0000036	FEF30_RS00430	FEF31_RS03385
OG0000036	FEF30_RS00445	FEF31_RS03400
OG0000038	FEF30_RS02160	FEF31_RS01510
OG0000038	FEF30_RS00810	FEF31_RS00160
OG0000039	FEF30_RS01930	FEF31_RS01275
OG0000040	FEF30_RS03620	FEF31_RS03890
OG0000041	FEF30_RS00985	FEF31_RS00330
OG0000042	FEF30_RS03315	FEF31_RS02675
OG0000043	FEF30_RS02295	FEF31_RS01660
OG0000043	FEF30_RS02105	FEF31_RS01455
OG0000044	FEF30_RS04460	FEF31_RS04775
OG0000044	FEF30_RS02200	FEF31_RS01545
OG0000045	FEF30_RS01935	FEF31_RS01280
OG0000045	FEF30_RS01940	FEF31_RS01285
OG0000046	FEF30_RS04495	FEF31_RS02960, FEF31_RS02245
OG0000047	FEF30_RS02085	FEF31_RS01435
OG0000048	FEF30_RS02480	FEF31_RS01845
OG0000049	FEF30_RS03400	FEF31_RS03620
OG0000050	FEF30_RS02820	FEF31_RS02180
OG0000051	FEF30_RS03030	FEF31_RS02395
OG0000052	FEF30_RS00405	FEF31_RS03360
OG0000053	FEF30_RS04260	FEF31_RS04425
OG0000054	FEF30_RS02845	FEF31_RS02205
OG0000055	FEF30_RS00450	FEF31_RS03405
OG0000056	FEF30_RS00250	FEF31_RS03205
OG0000057	FEF30_RS03300	FEF31_RS02660
OG0000058	FEF30_RS02120	FEF31_RS01470
OG0000059	FEF30_RS02110	FEF31_RS01460
OG0000060	FEF30_RS01505	FEF31_RS00850
OG0000061	FEF30_RS01900	FEF31_RS01245
OG0000061	FEF30_RS02250	FEF31_RS01610
OG0000062	FEF30_RS00295	FEF31_RS03250
OG0000063	FEF30_RS04165	FEF31_RS04645
OG0000064	FEF30_RS00280	FEF31_RS03235
OG0000065	FEF30_RS02625	FEF31_RS01990
OG0000066	FEF30_RS01670	FEF31_RS01015
OG0000067	FEF30_RS00835	FEF31_RS00185
OG0000068	FEF30_RS00960	FEF31_RS00305
OG0000069	FEF30_RS03195	FEF31_RS02555
OG0000070	FEF30_RS02850	FEF31_RS02210
OG0000071	FEF30_RS03610	FEF31_RS03835
OG0000072	FEF30_RS04405	FEF31_RS04700
OG0000073	FEF30_RS01015	FEF31_RS00360
OG0000074	FEF30_RS04230	FEF31_RS04395
OG0000075	FEF30_RS00655	FEF31_RS00005
OG0000076	FEF30_RS00670	FEF31_RS00020
OG0000077	FEF30_RS00755	FEF31_RS00105
OG0000078	FEF30_RS01995	FEF31_RS01340
OG0000079	FEF30_RS02935	FEF31_RS02300
OG0000080	FEF30_RS02980	FEF31_RS02345
OG0000081	FEF30_RS00650	FEF31_RS03610
OG0000082	FEF30_RS02770	FEF31_RS02130
OG0000083	FEF30_RS02400	FEF31_RS01765
OG0000084	FEF30_RS02430	FEF31_RS01795
OG0000085	FEF30_RS02435	FEF31_RS01800
OG0000086	FEF30_RS02445	FEF31_RS01810
OG0000087	FEF30_RS02460	FEF31_RS01825
OG0000088	FEF30_RS02465	FEF31_RS01830
OG0000089	FEF30_RS02475	FEF31_RS01840
OG0000090	FEF30_RS00400	FEF31_RS03355
OG0000091	FEF30_RS00385	FEF31_RS03340
OG0000092	FEF30_RS00370	FEF31_RS03325
OG0000093	FEF30_RS00365	FEF31_RS03320
OG0000094	FEF30_RS00360	FEF31_RS03315
OG0000095	FEF30_RS00335	FEF31_RS03290
OG0000096	FEF30_RS00330	FEF31_RS03285
OG0000097	FEF30_RS00310	FEF31_RS03265
OG0000098	FEF30_RS00300	FEF31_RS03255
OG0000099	FEF30_RS04160	FEF31_RS04640
OG0000100	FEF30_RS00240	FEF31_RS03195
OG0000101	FEF30_RS00235	FEF31_RS03190
OG0000102	FEF30_RS02020	FEF31_RS01365
OG0000103	FEF30_RS02590	FEF31_RS01955
OG0000104	FEF30_RS02595	FEF31_RS01960
OG0000105	FEF30_RS02610	FEF31_RS01975
OG0000106	FEF30_RS02620	FEF31_RS01985
OG0000107	FEF30_RS02630	FEF31_RS01995
OG0000108	FEF30_RS02635	FEF31_RS02000
