Orthogroup	MHP_UFV01_genes	MHP_MHP696_genes
OG0000000	FEF30_RS02570	DR090_RS03565
OG0000000	FEF30_RS02505	DR090_RS04285
OG0000000	FEF30_RS02035	DR090_RS04125
OG0000001	FEF30_RS03180	DR090_RS01575
OG0000001	FEF30_RS03130	DR090_RS03950
OG0000001	FEF30_RS03125	DR090_RS03945
OG0000002	FEF30_RS02580	DR090_RS04315
OG0000002	FEF30_RS02575	DR090_RS03590
OG0000002	FEF30_RS04340	DR090_RS03470
OG0000002	FEF30_RS04295	DR090_RS03425
OG0000003	FEF30_RS02165	DR090_RS00820
OG0000003	FEF30_RS04345	DR090_RS04620
OG0000004	FEF30_RS03550	DR090_RS03435
OG0000005	FEF30_RS00415	DR090_RS03620
OG0000005	FEF30_RS00435	DR090_RS04590
OG0000005	FEF30_RS04180	DR090_RS03525
OG0000005	FEF30_RS00425	DR090_RS03075
OG0000005	FEF30_RS04185	DR090_RS04595
OG0000006	FEF30_RS02730	DR090_RS04155
OG0000007	FEF30_RS02555	DR090_RS03340
OG0000007	FEF30_RS02545	DR090_RS03345
OG0000007	FEF30_RS02540	DR090_RS03360
OG0000008	FEF30_RS01955	DR090_RS03700
OG0000008	FEF30_RS02885	DR090_RS04310
OG0000009	FEF30_RS00990	DR090_RS00150
OG0000010	FEF30_RS02240	DR090_RS00915
OG0000011	FEF30_RS02330	DR090_RS01025
OG0000011	FEF30_RS02325	DR090_RS01020
OG0000013	FEF30_RS02775	DR090_RS02640
OG0000013	FEF30_RS00500	DR090_RS03805
OG0000014	FEF30_RS01400	DR090_RS00220
OG0000014	FEF30_RS04210	DR090_RS04325
OG0000015	FEF30_RS01950, FEF30_RS02045	DR090_RS03270
OG0000016	FEF30_RS03220	DR090_RS01615
OG0000016	FEF30_RS00485	DR090_RS00790
OG0000017	FEF30_RS00470	DR090_RS00805
OG0000017	FEF30_RS03230	DR090_RS01625
OG0000018	FEF30_RS04255, FEF30_RS02065, FEF30_RS02070	DR090_RS04560
OG0000020	FEF30_RS00265	DR090_RS04405
OG0000020	FEF30_RS03755	DR090_RS04410
OG0000021	FEF30_RS02170, FEF30_RS00820	DR090_RS00825
OG0000022	FEF30_RS01975	DR090_RS02415
OG0000022	FEF30_RS04290	DR090_RS04550
OG0000023	FEF30_RS01630, FEF30_RS02055	DR090_RS02440
OG0000024	FEF30_RS03120	DR090_RS01515
OG0000024	FEF30_RS01585	DR090_RS00410
OG0000025	FEF30_RS04285	DR090_RS04555
OG0000025	FEF30_RS02025	DR090_RS02365
OG0000026	FEF30_RS01680	DR090_RS02485
OG0000026	FEF30_RS02005	DR090_RS02385
OG0000027	FEF30_RS00060	DR090_RS04475
OG0000027	FEF30_RS04125	DR090_RS04520
OG0000029	FEF30_RS01390	DR090_RS01710
OG0000029	FEF30_RS00925	DR090_RS00205
OG0000030	FEF30_RS04110	DR090_RS04480
OG0000030	FEF30_RS04120	DR090_RS04515
OG0000031	FEF30_RS01920	DR090_RS03235
OG0000031	FEF30_RS02100	DR090_RS03235
OG0000032	FEF30_RS00065	DR090_RS02225
OG0000033	FEF30_RS02780	DR090_RS02635
OG0000034	FEF30_RS02525	DR090_RS00815
OG0000035	FEF30_RS03545	DR090_RS03430
OG0000036	FEF30_RS00430	DR090_RS03080
OG0000036	FEF30_RS00445	DR090_RS04210
OG0000038	FEF30_RS02160	DR090_RS00450
OG0000039	FEF30_RS01930	DR090_RS03220
OG0000040	FEF30_RS03620	DR090_RS02020
