Orthogroup	MHP_UFV01_genes	MHP_111A_genes
OG0000000	FEF30_RS02505	NB623_RS01020
OG0000000	FEF30_RS04350	NB623_RS01030
OG0000000	FEF30_RS02690	NB623_RS02460
OG0000000	FEF30_RS02035	NB623_RS01850
OG0000001	FEF30_RS01595	NB623_RS01400
OG0000001	FEF30_RS03180	NB623_RS02960
OG0000001	FEF30_RS03125	NB623_RS02910
OG0000002	FEF30_RS02580	NB623_RS02345
OG0000002	FEF30_RS02575	NB623_RS01905
OG0000002	FEF30_RS04340	NB623_RS01015
OG0000003	FEF30_RS04345	NB623_RS01040, NB623_RS01035
OG0000004	FEF30_RS03540	NB623_RS03360
OG0000004	FEF30_RS03550	NB623_RS03365
OG0000005	FEF30_RS00415	NB623_RS00105
OG0000005	FEF30_RS04180	NB623_RS00110
OG0000005	FEF30_RS00425	NB623_RS00115
OG0000006	FEF30_RS02880	NB623_RS02650
OG0000006	FEF30_RS02700	NB623_RS02465
OG0000007	FEF30_RS02555	NB623_RS01045
OG0000007	FEF30_RS02545	NB623_RS01050
OG0000007	FEF30_RS02540	NB623_RS01060
OG0000008	FEF30_RS02685	NB623_RS02455
OG0000008	FEF30_RS01955	NB623_RS01760
OG0000008	FEF30_RS02885	NB623_RS02665, NB623_RS02660
OG0000009	FEF30_RS00980	NB623_RS00665
OG0000009	FEF30_RS00990	NB623_RS00680
OG0000010	FEF30_RS02240	NB623_RS02245
OG0000011	FEF30_RS02330	NB623_RS02145
OG0000011	FEF30_RS02325	NB623_RS02150
OG0000012	FEF30_RS03655	NB623_RS01710, NB623_RS01005, NB623_RS02340
OG0000013	FEF30_RS02775	NB623_RS02540
OG0000014	FEF30_RS01400	NB623_RS01220
OG0000014	FEF30_RS04210	NB623_RS00600
OG0000015	FEF30_RS01950	NB623_RS01685
OG0000016	FEF30_RS00485	NB623_RS00160
OG0000017	FEF30_RS00470	NB623_RS00145
OG0000017	FEF30_RS03230	NB623_RS03015
OG0000020	FEF30_RS00265	NB623_RS03740
OG0000020	FEF30_RS03755	NB623_RS03745
OG0000021	FEF30_RS00820	NB623_RS02325
OG0000022	FEF30_RS01975	NB623_RS01785
OG0000022	FEF30_RS04290	NB623_RS01840
OG0000024	FEF30_RS03120	NB623_RS02905
OG0000024	FEF30_RS01585	NB623_RS01395
OG0000025	FEF30_RS04285	NB623_RS01790
OG0000025	FEF30_RS02025	NB623_RS01835
OG0000026	FEF30_RS01680	NB623_RS01480
OG0000026	FEF30_RS02005	NB623_RS01815
OG0000027	FEF30_RS00060	NB623_RS03520
OG0000027	FEF30_RS04125	NB623_RS03535
OG0000029	FEF30_RS01390	NB623_RS01215
OG0000029	FEF30_RS00925	NB623_RS00605
OG0000030	FEF30_RS04110	NB623_RS03510
OG0000030	FEF30_RS04120	NB623_RS03530
OG0000031	FEF30_RS01920	NB623_RS01720
OG0000032	FEF30_RS00065	NB623_RS03525
OG0000034	FEF30_RS02525	NB623_RS00990
OG0000035	FEF30_RS03545	NB623_RS03355
OG0000036	FEF30_RS00430	NB623_RS00120
OG0000039	FEF30_RS01930	NB623_RS01730
OG0000040	FEF30_RS03620	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000041	FEF30_RS00985	NB623_RS00670
OG0000042	FEF30_RS03315	NB623_RS03100
OG0000043	FEF30_RS02295, FEF30_RS02105	NB623_RS02180
OG0000044	FEF30_RS04460	NB623_RS01800
OG0000044	FEF30_RS02200	NB623_RS02300
OG0000045	FEF30_RS01935, FEF30_RS01940	NB623_RS01740
OG0000046	FEF30_RS04495	NB623_RS03460
OG0000048	FEF30_RS02480	NB623_RS01920
OG0000049	FEF30_RS03400	NB623_RS03205
OG0000050	FEF30_RS02820	NB623_RS02600
OG0000051	FEF30_RS03030	NB623_RS02820
OG0000052	FEF30_RS00405	NB623_RS00080
OG0000053	FEF30_RS04260	NB623_RS01570
OG0000054	FEF30_RS02845	NB623_RS02625
OG0000055	FEF30_RS00450	NB623_RS00125
OG0000056	FEF30_RS00250	NB623_RS03725
OG0000057	FEF30_RS03300	NB623_RS03085
OG0000058	FEF30_RS02120	NB623_RS01995
OG0000061	FEF30_RS01900, FEF30_RS02250	NB623_RS02235
OG0000062	FEF30_RS00295	NB623_RS03775
OG0000063	FEF30_RS04165	NB623_RS03770
OG0000064	FEF30_RS00280	NB623_RS03760
OG0000065	FEF30_RS02625	NB623_RS02390
OG0000066	FEF30_RS01670	NB623_RS01470
OG0000068	FEF30_RS00960	NB623_RS00640
OG0000069	FEF30_RS03195	NB623_RS02980
OG0000070	FEF30_RS02850	NB623_RS02630
OG0000071	FEF30_RS03610	NB623_RS03425
OG0000072	FEF30_RS04405	NB623_RS03430
OG0000073	FEF30_RS01015	NB623_RS00710
OG0000074	FEF30_RS04230	NB623_RS00910
OG0000075	FEF30_RS00655	NB623_RS00330
OG0000077	FEF30_RS00755	NB623_RS00430
OG0000078	FEF30_RS01995	NB623_RS01805
OG0000079	FEF30_RS02935	NB623_RS02720
OG0000080	FEF30_RS02980	NB623_RS02770
OG0000081	FEF30_RS00650	NB623_RS00325
OG0000083	FEF30_RS02400	NB623_RS02075
OG0000084	FEF30_RS02430	NB623_RS02045
OG0000085	FEF30_RS02435	NB623_RS02040
OG0000086	FEF30_RS02445	NB623_RS02030
OG0000087	FEF30_RS02460	NB623_RS02015
OG0000088	FEF30_RS02465	NB623_RS02010
OG0000089	FEF30_RS02475	NB623_RS02000
OG0000090	FEF30_RS00400	NB623_RS00070
OG0000091	FEF30_RS00385	NB623_RS00055
OG0000092	FEF30_RS00370	NB623_RS00050
OG0000093	FEF30_RS00365	NB623_RS00035
OG0000094	FEF30_RS00360	NB623_RS00030
OG0000095	FEF30_RS00335	NB623_RS00005
OG0000096	FEF30_RS00330	NB623_RS03810
OG0000097	FEF30_RS00310	NB623_RS03790
OG0000098	FEF30_RS00300	NB623_RS03780
OG0000099	FEF30_RS04160	NB623_RS03730
OG0000100	FEF30_RS00240	NB623_RS03715
OG0000101	FEF30_RS00235	NB623_RS03710
OG0000102	FEF30_RS02020	NB623_RS01830
OG0000103	FEF30_RS02590	NB623_RS02355
OG0000104	FEF30_RS02595	NB623_RS02360
OG0000105	FEF30_RS02610	NB623_RS02380
OG0000106	FEF30_RS02620	NB623_RS02385
OG0000107	FEF30_RS02630	NB623_RS02395
OG0000108	FEF30_RS02635	NB623_RS02400
OG0000109	FEF30_RS02640	NB623_RS02405
OG0000110	FEF30_RS02760	NB623_RS02525
OG0000111	FEF30_RS02755	NB623_RS02520
OG0000112	FEF30_RS02745	NB623_RS02510
OG0000113	FEF30_RS02725	NB623_RS02490
OG0000114	FEF30_RS02715	NB623_RS02485
OG0000115	FEF30_RS02705	NB623_RS02470
OG0000116	FEF30_RS01610	NB623_RS01415
OG0000117	FEF30_RS01615	NB623_RS01420
OG0000118	FEF30_RS01650	NB623_RS01455
OG0000119	FEF30_RS01655	NB623_RS01465
OG0000120	FEF30_RS01675	NB623_RS01475
OG0000121	FEF30_RS01700	NB623_RS01505
OG0000122	FEF30_RS01705	NB623_RS01510
OG0000123	FEF30_RS01725	NB623_RS01530
OG0000124	FEF30_RS01730	NB623_RS01535
OG0000125	FEF30_RS01735	NB623_RS01545
OG0000126	FEF30_RS01745	NB623_RS01550
OG0000127	FEF30_RS01755	NB623_RS01560
OG0000128	FEF30_RS01770	NB623_RS01575
OG0000129	FEF30_RS01775	NB623_RS01580
OG0000130	FEF30_RS01785	NB623_RS01590
OG0000131	FEF30_RS04265	NB623_RS01620
OG0000132	FEF30_RS04270	NB623_RS01635
OG0000133	FEF30_RS00840	NB623_RS00525
OG0000134	FEF30_RS00845	NB623_RS00530
OG0000135	FEF30_RS00860	NB623_RS00545
OG0000136	FEF30_RS00865	NB623_RS00550
OG0000137	FEF30_RS00905	NB623_RS00590
OG0000138	FEF30_RS00935	NB623_RS00615
OG0000139	FEF30_RS00965	NB623_RS00645
OG0000140	FEF30_RS00970	NB623_RS00650
OG0000141	FEF30_RS03310	NB623_RS03095
OG0000142	FEF30_RS04385	NB623_RS03090
OG0000143	FEF30_RS03285	NB623_RS03075
OG0000144	FEF30_RS03275	NB623_RS03060
OG0000145	FEF30_RS03265	NB623_RS03050
OG0000146	FEF30_RS03255	NB623_RS03040
OG0000147	FEF30_RS03250	NB623_RS03035
OG0000148	FEF30_RS03235	NB623_RS03020
OG0000149	FEF30_RS03225	NB623_RS03010
OG0000150	FEF30_RS03210	NB623_RS02995
OG0000151	FEF30_RS03160	NB623_RS02945
OG0000152	FEF30_RS03155	NB623_RS02940
OG0000153	FEF30_RS03150	NB623_RS02935
OG0000154	FEF30_RS03140	NB623_RS02925
OG0000155	FEF30_RS03100	NB623_RS02885
OG0000156	FEF30_RS03090	NB623_RS02875
OG0000157	FEF30_RS04375	NB623_RS02870
OG0000158	FEF30_RS04370	NB623_RS02860
OG0000159	FEF30_RS02835	NB623_RS02615
OG0000160	FEF30_RS02830	NB623_RS02610
OG0000161	FEF30_RS02825	NB623_RS02605
OG0000162	FEF30_RS02815	NB623_RS02595
OG0000163	FEF30_RS02810	NB623_RS02590
OG0000164	FEF30_RS01925	NB623_RS01725
OG0000165	FEF30_RS02320	NB623_RS02155
OG0000166	FEF30_RS02340	NB623_RS02135
OG0000167	FEF30_RS02355	NB623_RS02120
OG0000168	FEF30_RS02360	NB623_RS02115
OG0000169	FEF30_RS03395	NB623_RS03200
OG0000170	FEF30_RS04475	NB623_RS03215
OG0000171	FEF30_RS03420	NB623_RS03225
OG0000172	FEF30_RS03425	NB623_RS03230
OG0000173	FEF30_RS03430	NB623_RS03235
OG0000174	FEF30_RS03435	NB623_RS03240
OG0000175	FEF30_RS03450	NB623_RS03265
OG0000176	FEF30_RS03495	NB623_RS03310
OG0000177	FEF30_RS03500	NB623_RS03315
OG0000178	FEF30_RS03505	NB623_RS03320
OG0000179	FEF30_RS03515	NB623_RS03330
OG0000180	FEF30_RS03520	NB623_RS03335
OG0000181	FEF30_RS04395	NB623_RS03375
OG0000182	FEF30_RS03570	NB623_RS03385
OG0000183	FEF30_RS03605	NB623_RS03420
OG0000184	FEF30_RS00025	NB623_RS03485
OG0000185	FEF30_RS00010	NB623_RS03475
OG0000186	FEF30_RS04275	NB623_RS01645
OG0000187	FEF30_RS01855	NB623_RS01660
OG0000188	FEF30_RS01865	NB623_RS01670
OG0000189	FEF30_RS04355	NB623_RS02445
OG0000190	FEF30_RS02670	NB623_RS02440
OG0000191	FEF30_RS02650	NB623_RS02415
OG0000192	FEF30_RS01530	NB623_RS01340
OG0000193	FEF30_RS01515	NB623_RS01325
OG0000194	FEF30_RS01000	NB623_RS00690
OG0000195	FEF30_RS01005	NB623_RS00695
OG0000196	FEF30_RS01025	NB623_RS00720
OG0000197	FEF30_RS01030	NB623_RS00730
OG0000198	FEF30_RS01045	NB623_RS00740
OG0000199	FEF30_RS01050	NB623_RS00745
OG0000200	FEF30_RS01065	NB623_RS00760
OG0000201	FEF30_RS01075	NB623_RS00770
OG0000202	FEF30_RS01130	NB623_RS00830
OG0000203	FEF30_RS01135	NB623_RS00835
OG0000204	FEF30_RS01140	NB623_RS00840
