Orthogroup	MHP_F72C_genes	MHP_98_genes
OG0000000	EHI52_RS01825	GOM18_RS02340
OG0000000	EHI52_RS03780	GOM18_RS04045
OG0000000	EHI52_RS02325, EHI52_RS03815	GOM18_RS04450
OG0000000	EHI52_RS01775	GOM18_RS00685
OG0000001	EHI52_RS02790	GOM18_RS03125
OG0000001	EHI52_RS02745	GOM18_RS04130
OG0000001	EHI52_RS02740	GOM18_RS04125
OG0000002	EHI52_RS02215	GOM18_RS02350
OG0000002	EHI52_RS01820	GOM18_RS02345
OG0000002	EHI52_RS01780	GOM18_RS04550
OG0000003	EHI52_RS02140	GOM18_RS03425
OG0000003	EHI52_RS03670	GOM18_RS03375
OG0000004	EHI52_RS03210	GOM18_RS00895
OG0000004	EHI52_RS03215	GOM18_RS00890
OG0000004	EHI52_RS03225	GOM18_RS00880
OG0000005	EHI52_RS00100	GOM18_RS03145
OG0000005	EHI52_RS00105	GOM18_RS03600
OG0000005	EHI52_RS00110, EHI52_RS00125	GOM18_RS04540
OG0000006	EHI52_RS02500	GOM18_RS01950
OG0000008	EHI52_RS02320	GOM18_RS02455
OG0000008	EHI52_RS03830	GOM18_RS03975
OG0000009	EHI52_RS00085	GOM18_RS00665
OG0000009	EHI52_RS00680	GOM18_RS00110
OG0000010	EHI52_RS02085	GOM18_RS03360
OG0000011	EHI52_RS01985	GOM18_RS03250
OG0000011	EHI52_RS01990	GOM18_RS03255
OG0000012	EHI52_RS03635	GOM18_RS03340
OG0000013	EHI52_RS02410	GOM18_RS02545
OG0000013	EHI52_RS03710	GOM18_RS03935
OG0000014	EHI52_RS00615	GOM18_RS03570, GOM18_RS01700
OG0000015	EHI52_RS01690	GOM18_RS02565
OG0000016	EHI52_RS02830	GOM18_RS01215
OG0000016	EHI52_RS00170	GOM18_RS01280
OG0000017	EHI52_RS00155	GOM18_RS01265
OG0000017	EHI52_RS02840	GOM18_RS01205
OG0000020	EHI52_RS03550	GOM18_RS04290
OG0000020	EHI52_RS03555	GOM18_RS03770, GOM18_RS03765
OG0000021	EHI52_RS02195, EHI52_RS03715	GOM18_RS03345
OG0000022	EHI52_RS01715	GOM18_RS03040
OG0000022	EHI52_RS01770	GOM18_RS04500
OG0000024	EHI52_RS02735	GOM18_RS03075
OG0000024	EHI52_RS01335	GOM18_RS03225
OG0000025	EHI52_RS01720	GOM18_RS04510
OG0000025	EHI52_RS01765	GOM18_RS04505
OG0000026	EHI52_RS01425	GOM18_RS02790
OG0000026	EHI52_RS01745	GOM18_RS03010
OG0000027	EHI52_RS03355	GOM18_RS04335
OG0000028	EHI52_RS02420	GOM18_RS01870
OG0000029	EHI52_RS01150	GOM18_RS01705
OG0000029	EHI52_RS00620	GOM18_RS03580
OG0000030	EHI52_RS03350	GOM18_RS04340
OG0000031	EHI52_RS01660	GOM18_RS00085, GOM18_RS03625
OG0000032	EHI52_RS01630	GOM18_RS02560
OG0000035	EHI52_RS03220	GOM18_RS00885
OG0000035	EHI52_RS03205	GOM18_RS00900
OG0000036	EHI52_RS00115, EHI52_RS03705, EHI52_RS00130	GOM18_RS03585
OG0000037	EHI52_RS01640	GOM18_RS04545
OG0000037	EHI52_RS01635	GOM18_RS02550
OG0000038	EHI52_RS02145	GOM18_RS03510
OG0000038	EHI52_RS00515	GOM18_RS01605
OG0000039	EHI52_RS01675	GOM18_RS03565
OG0000040	EHI52_RS03295	GOM18_RS00810
OG0000041	EHI52_RS03655	GOM18_RS00100, GOM18_RS02975
OG0000042	EHI52_RS02930	GOM18_RS01120
OG0000043	EHI52_RS02020	GOM18_RS03285
OG0000044	EHI52_RS03910	GOM18_RS04585
OG0000045	EHI52_RS01680	GOM18_RS03555
OG0000046	EHI52_RS03305	GOM18_RS03875
OG0000048	EHI52_RS01840	GOM18_RS02325
OG0000049	EHI52_RS03065	GOM18_RS01035
OG0000050	EHI52_RS02450	GOM18_RS01900
OG0000051	EHI52_RS02650	GOM18_RS02100
OG0000052	EHI52_RS00075	GOM18_RS00655
OG0000053	EHI52_RS01510	GOM18_RS04480
OG0000054	EHI52_RS02475	GOM18_RS01925
OG0000055	EHI52_RS00135	GOM18_RS01245
OG0000056	EHI52_RS03530	GOM18_RS00495
OG0000057	EHI52_RS02915	GOM18_RS01135
OG0000060	EHI52_RS00080	GOM18_RS03800
OG0000061	EHI52_RS02075	GOM18_RS03350
OG0000062	EHI52_RS03585	GOM18_RS00545
OG0000063	EHI52_RS03580	GOM18_RS04295
OG0000064	EHI52_RS03570	GOM18_RS00530
OG0000065	EHI52_RS02260	GOM18_RS02395
OG0000066	EHI52_RS01415	GOM18_RS02800
OG0000067	EHI52_RS00540	GOM18_RS01630
OG0000068	EHI52_RS00660	GOM18_RS03445
OG0000069	EHI52_RS02805	GOM18_RS01240, GOM18_RS03140
OG0000070	EHI52_RS02480	GOM18_RS01930
OG0000071	EHI52_RS03285	GOM18_RS00820
OG0000072	EHI52_RS03290	GOM18_RS04355
OG0000073	EHI52_RS00705	GOM18_RS00135
OG0000074	EHI52_RS00900	GOM18_RS04260
OG0000075	EHI52_RS00355	GOM18_RS01450
OG0000076	EHI52_RS00370	GOM18_RS01465
OG0000077	EHI52_RS00460	GOM18_RS01550
OG0000078	EHI52_RS01735	GOM18_RS03020
OG0000079	EHI52_RS02555	GOM18_RS02005
OG0000080	EHI52_RS03675	GOM18_RS03980
OG0000081	EHI52_RS00350	GOM18_RS01445
OG0000082	EHI52_RS02405	GOM18_RS02535
OG0000083	EHI52_RS01915	GOM18_RS02245
OG0000084	EHI52_RS01890	GOM18_RS02275
OG0000085	EHI52_RS01885	GOM18_RS02280
OG0000086	EHI52_RS01875	GOM18_RS02290
OG0000087	EHI52_RS01860	GOM18_RS02305
OG0000088	EHI52_RS01855	GOM18_RS02310
OG0000089	EHI52_RS01845	GOM18_RS02320
OG0000090	EHI52_RS00070	GOM18_RS00650
OG0000091	EHI52_RS00055	GOM18_RS00635
OG0000092	EHI52_RS00040	GOM18_RS00620
OG0000093	EHI52_RS00035	GOM18_RS00615
OG0000094	EHI52_RS00030	GOM18_RS00610
OG0000095	EHI52_RS00005	GOM18_RS00585
OG0000096	EHI52_RS03620	GOM18_RS00580
OG0000097	EHI52_RS03600	GOM18_RS00560
OG0000098	EHI52_RS03590	GOM18_RS00550
OG0000099	EHI52_RS03540	GOM18_RS04285
OG0000100	EHI52_RS03520	GOM18_RS00485
OG0000101	EHI52_RS03515	GOM18_RS00480
OG0000102	EHI52_RS01760	GOM18_RS02995
OG0000103	EHI52_RS02225	GOM18_RS02360
OG0000104	EHI52_RS02230	GOM18_RS02365
OG0000105	EHI52_RS02245	GOM18_RS02380
OG0000106	EHI52_RS02255	GOM18_RS02390
OG0000107	EHI52_RS02265	GOM18_RS02400
OG0000108	EHI52_RS02270	GOM18_RS02405
OG0000109	EHI52_RS02275	GOM18_RS02410
OG0000110	EHI52_RS02395	GOM18_RS02525
OG0000111	EHI52_RS02390	GOM18_RS02520
OG0000112	EHI52_RS02380	GOM18_RS02510
OG0000113	EHI52_RS02360	GOM18_RS02490
OG0000114	EHI52_RS02350	GOM18_RS02480
OG0000115	EHI52_RS02335	GOM18_RS02470
OG0000116	EHI52_RS01360	GOM18_RS02855
OG0000117	EHI52_RS01365	GOM18_RS02850
OG0000118	EHI52_RS01400	GOM18_RS02815
OG0000119	EHI52_RS01405	GOM18_RS02810
OG0000120	EHI52_RS01420	GOM18_RS02795
OG0000121	EHI52_RS01445	GOM18_RS02775
OG0000122	EHI52_RS01450	GOM18_RS02770
OG0000123	EHI52_RS01470	GOM18_RS02750
OG0000124	EHI52_RS01475	GOM18_RS02745
OG0000125	EHI52_RS01480	GOM18_RS02740
OG0000126	EHI52_RS01490	GOM18_RS02730
OG0000127	EHI52_RS01500	GOM18_RS02720
OG0000128	EHI52_RS01515	GOM18_RS02705
OG0000129	EHI52_RS01520	GOM18_RS02700
OG0000130	EHI52_RS01530	GOM18_RS02690
