Orthogroup	MHP_F72C_genes	MHP_7422_genes
OG0000000	EHI52_RS00960	MHL_RS02190
OG0000000	EHI52_RS03755	MHL_RS03905
OG0000000	EHI52_RS02325	MHL_RS02380
OG0000000	EHI52_RS03815	MHL_RS04190
OG0000000	EHI52_RS01775	MHL_RS03710
OG0000001	EHI52_RS02790	MHL_RS02845
OG0000001	EHI52_RS02740	MHL_RS04080
OG0000002	EHI52_RS02215	MHL_RS04055
OG0000002	EHI52_RS03740	MHL_RS02195
OG0000002	EHI52_RS01780	MHL_RS01800
OG0000003	EHI52_RS00975, EHI52_RS03760	MHL_RS02255
OG0000003	EHI52_RS03670	MHL_RS03835
OG0000004	EHI52_RS03210	MHL_RS03205
OG0000004	EHI52_RS03225	MHL_RS03215
OG0000005	EHI52_RS00100	MHL_RS00105
OG0000005	EHI52_RS00120	MHL_RS00125
OG0000005	EHI52_RS00105	MHL_RS04205
OG0000005	EHI52_RS00110	MHL_RS00115
OG0000005	EHI52_RS00125	MHL_RS00130
OG0000006	EHI52_RS02500	MHL_RS03635
OG0000006	EHI52_RS02365, EHI52_RS03880	MHL_RS02420
OG0000006	EHI52_RS02330	MHL_RS02390
OG0000007	EHI52_RS00980	MHL_RS02250
OG0000007	EHI52_RS00985	MHL_RS02245
OG0000007	EHI52_RS00995	MHL_RS02240
OG0000008	EHI52_RS02320	MHL_RS02375
OG0000008	EHI52_RS03775	MHL_RS04180
OG0000008	EHI52_RS03830	MHL_RS04065
OG0000009	EHI52_RS00085	MHL_RS00090
OG0000009	EHI52_RS00680	MHL_RS00770
OG0000010	EHI52_RS02085	MHL_RS01930
OG0000011	EHI52_RS01985	MHL_RS04185
OG0000011	EHI52_RS01990	MHL_RS02020
OG0000012	EHI52_RS03635	MHL_RS03845
OG0000013	EHI52_RS02410	MHL_RS02470
OG0000013	EHI52_RS03710	MHL_RS03925
OG0000014	EHI52_RS00615	MHL_RS00590
OG0000014	EHI52_RS01155	MHL_RS01170
OG0000016	EHI52_RS02830	MHL_RS02885
OG0000016	EHI52_RS00170	MHL_RS00175
OG0000017	EHI52_RS00155	MHL_RS00160
OG0000017	EHI52_RS02840	MHL_RS02895
OG0000020	EHI52_RS03550	MHL_RS03545
OG0000020	EHI52_RS03555	MHL_RS03550
OG0000021	EHI52_RS03715	MHL_RS03930
OG0000022	EHI52_RS01715	MHL_RS01740
OG0000022	EHI52_RS01770	MHL_RS01790
OG0000024	EHI52_RS02735	MHL_RS02790
OG0000024	EHI52_RS01335	MHL_RS01355
OG0000025	EHI52_RS01720	MHL_RS01745
OG0000025	EHI52_RS01765	MHL_RS01785
OG0000026	EHI52_RS01425	MHL_RS01445
OG0000027	EHI52_RS03355	MHL_RS03755
OG0000028	EHI52_RS02420	MHL_RS02480
OG0000029	EHI52_RS01150	MHL_RS01165
OG0000029	EHI52_RS00620	MHL_RS00700
OG0000030	EHI52_RS03350	MHL_RS03335
OG0000031	EHI52_RS01660	MHL_RS01685
OG0000031	EHI52_RS01660	MHL_RS00630
OG0000032	EHI52_RS01630	MHL_RS04000
OG0000033	EHI52_RS03820	MHL_RS02475
OG0000035	EHI52_RS03220	MHL_RS03210
OG0000035	EHI52_RS03205	MHL_RS03195
OG0000036	EHI52_RS00115, EHI52_RS03705	MHL_RS00120
OG0000036	EHI52_RS00130	MHL_RS00135
OG0000038	EHI52_RS02145	MHL_RS01870
OG0000039	EHI52_RS01675	MHL_RS01705
OG0000040	EHI52_RS03295	MHL_RS03285
OG0000041	EHI52_RS03655	MHL_RS00760, MHL_RS01270
OG0000043	EHI52_RS02020	MHL_RS01990
OG0000043	EHI52_RS02020	MHL_RS00625
OG0000044	EHI52_RS03910	MHL_RS04220
OG0000045	EHI52_RS01680	MHL_RS01710
OG0000046	EHI52_RS03305	MHL_RS04100
OG0000048	EHI52_RS01840	MHL_RS02170
OG0000049	EHI52_RS03065	MHL_RS03060
OG0000050	EHI52_RS02450	MHL_RS02510
OG0000051	EHI52_RS02650	MHL_RS02710
OG0000052	EHI52_RS00075	MHL_RS00080
OG0000053	EHI52_RS01510	MHL_RS01530
OG0000054	EHI52_RS02475	MHL_RS02535
OG0000055	EHI52_RS00135	MHL_RS00140
OG0000056	EHI52_RS03530	MHL_RS03530
OG0000057	EHI52_RS02915	MHL_RS02970
OG0000060	EHI52_RS00080	MHL_RS04115
OG0000061	EHI52_RS02075	MHL_RS01940
OG0000062	EHI52_RS03585	MHL_RS03580
OG0000063	EHI52_RS03580	MHL_RS03575
OG0000064	EHI52_RS03570	MHL_RS03565
OG0000065	EHI52_RS02260	MHL_RS02310
OG0000066	EHI52_RS01415	MHL_RS01435
OG0000067	EHI52_RS00540	MHL_RS00525
OG0000068	EHI52_RS00660	MHL_RS00735
OG0000069	EHI52_RS02805	MHL_RS02860
OG0000070	EHI52_RS02480	MHL_RS02540
OG0000071	EHI52_RS03285	MHL_RS03275
OG0000072	EHI52_RS03290	MHL_RS03280
OG0000073	EHI52_RS00705	MHL_RS00795
OG0000074	EHI52_RS00900	MHL_RS03950, MHL_RS04210
OG0000075	EHI52_RS00355	MHL_RS00345
OG0000076	EHI52_RS00370	MHL_RS00360
OG0000077	EHI52_RS00460	MHL_RS00450
OG0000078	EHI52_RS01735	MHL_RS01755
OG0000079	EHI52_RS02555	MHL_RS02615
OG0000080	EHI52_RS03675	MHL_RS03870
OG0000081	EHI52_RS00350	MHL_RS00340
OG0000082	EHI52_RS02405	MHL_RS02460
OG0000083	EHI52_RS01915	MHL_RS02095
OG0000084	EHI52_RS01890	MHL_RS02120
OG0000085	EHI52_RS01885	MHL_RS02125
OG0000086	EHI52_RS01875	MHL_RS02135
OG0000087	EHI52_RS01860	MHL_RS02150
OG0000088	EHI52_RS01855	MHL_RS02155
OG0000089	EHI52_RS01845	MHL_RS02165
OG0000090	EHI52_RS00070	MHL_RS00075
OG0000091	EHI52_RS00055	MHL_RS00060
OG0000092	EHI52_RS00040	MHL_RS00045
OG0000093	EHI52_RS00035	MHL_RS00040
OG0000094	EHI52_RS00030	MHL_RS00035
OG0000095	EHI52_RS00005	MHL_RS00010
OG0000096	EHI52_RS03620	MHL_RS03615
OG0000097	EHI52_RS03600	MHL_RS03595
OG0000098	EHI52_RS03590	MHL_RS03585
OG0000099	EHI52_RS03540	MHL_RS03535
OG0000100	EHI52_RS03520	MHL_RS03520
OG0000101	EHI52_RS03515	MHL_RS03515
OG0000102	EHI52_RS01760	MHL_RS01780
OG0000103	EHI52_RS02225	MHL_RS02275
OG0000104	EHI52_RS02230	MHL_RS02280
OG0000105	EHI52_RS02245	MHL_RS02295
OG0000106	EHI52_RS02255	MHL_RS02305
OG0000107	EHI52_RS02265	MHL_RS02315
OG0000108	EHI52_RS02270	MHL_RS02320
OG0000109	EHI52_RS02275	MHL_RS02325
OG0000110	EHI52_RS02395	MHL_RS02450
OG0000111	EHI52_RS02390	MHL_RS02445
OG0000112	EHI52_RS02380	MHL_RS02435
OG0000113	EHI52_RS02360	MHL_RS02415
OG0000114	EHI52_RS02350	MHL_RS02405
OG0000115	EHI52_RS02335	MHL_RS02395
OG0000116	EHI52_RS01360	MHL_RS01380
OG0000117	EHI52_RS01365	MHL_RS01385
OG0000118	EHI52_RS01400	MHL_RS01420
OG0000119	EHI52_RS01405	MHL_RS01425
OG0000120	EHI52_RS01420	MHL_RS01440
OG0000121	EHI52_RS01445	MHL_RS01465
OG0000122	EHI52_RS01450	MHL_RS01470
OG0000123	EHI52_RS01470	MHL_RS01490
OG0000124	EHI52_RS01475	MHL_RS01495
OG0000125	EHI52_RS01480	MHL_RS01500
OG0000126	EHI52_RS01490	MHL_RS01510
OG0000127	EHI52_RS01500	MHL_RS01520
OG0000128	EHI52_RS01515	MHL_RS01535
OG0000129	EHI52_RS01520	MHL_RS01540
OG0000130	EHI52_RS01530	MHL_RS01550
OG0000131	EHI52_RS01560	MHL_RS01580
OG0000132	EHI52_RS01575	MHL_RS01595
OG0000133	EHI52_RS00545	MHL_RS00530
OG0000134	EHI52_RS00550	MHL_RS00535
OG0000135	EHI52_RS00565	MHL_RS00550
OG0000136	EHI52_RS00570	MHL_RS00555
OG0000137	EHI52_RS00600	MHL_RS00585
OG0000138	EHI52_RS00635	MHL_RS00710
OG0000139	EHI52_RS00665	MHL_RS00740
OG0000140	EHI52_RS00670	MHL_RS00745
OG0000141	EHI52_RS02925	MHL_RS02980
OG0000142	EHI52_RS02920	MHL_RS02975
OG0000143	EHI52_RS02895	MHL_RS02950
OG0000144	EHI52_RS02885	MHL_RS02940
OG0000145	EHI52_RS02875	MHL_RS02930
OG0000146	EHI52_RS02865	MHL_RS02920
OG0000147	EHI52_RS02860	MHL_RS02915
OG0000148	EHI52_RS02845	MHL_RS02900
OG0000149	EHI52_RS02835	MHL_RS02890
OG0000150	EHI52_RS02820	MHL_RS02875
OG0000151	EHI52_RS02775	MHL_RS02830
OG0000152	EHI52_RS02770	MHL_RS02825
OG0000153	EHI52_RS02765	MHL_RS02820
OG0000154	EHI52_RS02755	MHL_RS02810
OG0000155	EHI52_RS02715	MHL_RS02770
OG0000156	EHI52_RS02705	MHL_RS02760
OG0000157	EHI52_RS02700	MHL_RS02755
OG0000158	EHI52_RS03885	MHL_RS04195
OG0000159	EHI52_RS03925	MHL_RS02525
OG0000160	EHI52_RS02460	MHL_RS02520
OG0000161	EHI52_RS02455	MHL_RS02515
OG0000162	EHI52_RS02445	MHL_RS02505
OG0000163	EHI52_RS02440	MHL_RS02500
OG0000164	EHI52_RS01665	MHL_RS01690
OG0000165	EHI52_RS01995	MHL_RS02015
OG0000166	EHI52_RS01975	MHL_RS02035
OG0000167	EHI52_RS01960	MHL_RS02050
OG0000168	EHI52_RS01955	MHL_RS04040
OG0000169	EHI52_RS03055	MHL_RS03055
OG0000170	EHI52_RS03075	MHL_RS03070
OG0000171	EHI52_RS03085	MHL_RS03080
OG0000172	EHI52_RS03095	MHL_RS03085
OG0000173	EHI52_RS03100	MHL_RS03090
OG0000174	EHI52_RS03105	MHL_RS03095
OG0000175	EHI52_RS03120	MHL_RS03110
OG0000176	EHI52_RS03170	MHL_RS03160
OG0000177	EHI52_RS03175	MHL_RS03165
OG0000178	EHI52_RS03180	MHL_RS03170
OG0000179	EHI52_RS03190	MHL_RS03180
OG0000180	EHI52_RS03195	MHL_RS03185
OG0000181	EHI52_RS03235	MHL_RS03225
OG0000182	EHI52_RS03245	MHL_RS03235
OG0000183	EHI52_RS03280	MHL_RS03270
OG0000184	EHI52_RS03325	MHL_RS03310
OG0000185	EHI52_RS03310	MHL_RS03295
OG0000186	EHI52_RS01585	MHL_RS01605
OG0000187	EHI52_RS01600	MHL_RS01620
OG0000188	EHI52_RS01610	MHL_RS01630
OG0000189	EHI52_RS02310	MHL_RS02365
OG0000190	EHI52_RS02305	MHL_RS02360
OG0000191	EHI52_RS02285	MHL_RS02340
OG0000192	EHI52_RS01280	MHL_RS01300
OG0000193	EHI52_RS01270	MHL_RS01290
OG0000194	EHI52_RS00690	MHL_RS00780
OG0000195	EHI52_RS00695	MHL_RS00785
OG0000196	EHI52_RS00715	MHL_RS00805
OG0000197	EHI52_RS00720	MHL_RS00810
OG0000198	EHI52_RS00735	MHL_RS00825
OG0000199	EHI52_RS00740	MHL_RS00830
OG0000200	EHI52_RS00755	MHL_RS00840
OG0000201	EHI52_RS00765	MHL_RS00850
OG0000202	EHI52_RS00820	MHL_RS00905
OG0000203	EHI52_RS00825	MHL_RS00910
OG0000204	EHI52_RS00830	MHL_RS00915
OG0000205	EHI52_RS00835	MHL_RS00920
OG0000206	EHI52_RS00855	MHL_RS00940
OG0000207	EHI52_RS00870	MHL_RS00955
OG0000208	EHI52_RS00875	MHL_RS00960
OG0000209	EHI52_RS00880	MHL_RS00965
OG0000210	EHI52_RS00925	MHL_RS01010
OG0000211	EHI52_RS01005	MHL_RS01020
OG0000212	EHI52_RS01015	MHL_RS01030
OG0000213	EHI52_RS01020	MHL_RS01035
OG0000214	EHI52_RS01025	MHL_RS01040
OG0000215	EHI52_RS01030	MHL_RS01045
OG0000216	EHI52_RS01035	MHL_RS01050
OG0000217	EHI52_RS01040	MHL_RS01055
OG0000218	EHI52_RS01050	MHL_RS01065
OG0000219	EHI52_RS01055	MHL_RS01070
OG0000220	EHI52_RS01060	MHL_RS01075
OG0000221	EHI52_RS01065	MHL_RS01080
OG0000222	EHI52_RS01070	MHL_RS01085
OG0000223	EHI52_RS01075	MHL_RS01090
OG0000224	EHI52_RS01085	MHL_RS01100
OG0000225	EHI52_RS01095	MHL_RS01110
OG0000226	EHI52_RS01100	MHL_RS01115
OG0000227	EHI52_RS01105	MHL_RS01120
OG0000228	EHI52_RS03905	MHL_RS04215
OG0000229	EHI52_RS01115	MHL_RS01130
OG0000230	EHI52_RS01120	MHL_RS01135
OG0000231	EHI52_RS01130	MHL_RS01145
OG0000232	EHI52_RS01140	MHL_RS01155
OG0000233	EHI52_RS01165	MHL_RS01175
OG0000234	EHI52_RS01200	MHL_RS01210
OG0000235	EHI52_RS01210	MHL_RS01220
OG0000236	EHI52_RS01215	MHL_RS01225
OG0000237	EHI52_RS01220	MHL_RS01230
OG0000238	EHI52_RS01230	MHL_RS01240
OG0000239	EHI52_RS02935	MHL_RS02990
OG0000240	EHI52_RS02940	MHL_RS02995
OG0000241	EHI52_RS02950	MHL_RS03005
OG0000242	EHI52_RS02955	MHL_RS03010
OG0000243	EHI52_RS02960	MHL_RS03015
OG0000244	EHI52_RS02970	MHL_RS03025
OG0000245	EHI52_RS02980	MHL_RS03035
OG0000246	EHI52_RS00140	MHL_RS00145
OG0000247	EHI52_RS00150	MHL_RS00155
OG0000248	EHI52_RS00160	MHL_RS00165
OG0000249	EHI52_RS00165	MHL_RS00170
OG0000250	EHI52_RS00180	MHL_RS00185
OG0000251	EHI52_RS00215	MHL_RS00210
OG0000252	EHI52_RS00225	MHL_RS00220
OG0000253	EHI52_RS00230	MHL_RS00225
OG0000254	EHI52_RS00240	MHL_RS00235
OG0000255	EHI52_RS00250	MHL_RS00245
OG0000256	EHI52_RS00255	MHL_RS00250
OG0000257	EHI52_RS00280	MHL_RS00275
OG0000258	EHI52_RS00290	MHL_RS00285
OG0000259	EHI52_RS00320	MHL_RS00315
OG0000260	EHI52_RS00330	MHL_RS00325
OG0000261	EHI52_RS00340	MHL_RS00335
OG0000262	EHI52_RS00360	MHL_RS00350
OG0000263	EHI52_RS00375	MHL_RS00370
OG0000264	EHI52_RS00390	MHL_RS00380
OG0000265	EHI52_RS00400	MHL_RS00390
OG0000266	EHI52_RS00415	MHL_RS00405
OG0000267	EHI52_RS00430	MHL_RS00420
OG0000268	EHI52_RS00435	MHL_RS00425
OG0000269	EHI52_RS00450	MHL_RS00440
OG0000270	EHI52_RS03490	MHL_RS03490
OG0000271	EHI52_RS03485	MHL_RS03485
OG0000272	EHI52_RS03480	MHL_RS03480
OG0000273	EHI52_RS03475	MHL_RS03475
OG0000274	EHI52_RS03455	MHL_RS03455
OG0000275	EHI52_RS03450	MHL_RS03450
OG0000276	EHI52_RS03445	MHL_RS03445
OG0000277	EHI52_RS03435	MHL_RS03435
OG0000278	EHI52_RS03430	MHL_RS03430
OG0000279	EHI52_RS03420	MHL_RS03420
OG0000280	EHI52_RS03415	MHL_RS03415
OG0000281	EHI52_RS03410	MHL_RS03760
OG0000282	EHI52_RS03385	MHL_RS03390
OG0000283	EHI52_RS03380	MHL_RS03385
OG0000284	EHI52_RS03375	MHL_RS03380
OG0000285	EHI52_RS03370	MHL_RS03375
OG0000286	EHI52_RS02425	MHL_RS02485
OG0000287	EHI52_RS02515	MHL_RS02575
OG0000288	EHI52_RS02525	MHL_RS02585
OG0000289	EHI52_RS02530	MHL_RS02590
OG0000290	EHI52_RS02640	MHL_RS02700
OG0000291	EHI52_RS02630	MHL_RS02690
OG0000292	EHI52_RS02625	MHL_RS02685
OG0000293	EHI52_RS02620	MHL_RS02680
OG0000294	EHI52_RS02610	MHL_RS02670
OG0000295	EHI52_RS02605	MHL_RS02665
OG0000296	EHI52_RS02565	MHL_RS02625
OG0000297	EHI52_RS02560	MHL_RS02620
OG0000298	EHI52_RS00175	MHL_RS00180
OG0000299	EHI52_RS00200	MHL_RS03650
OG0000300	EHI52_RS00385	MHL_RS00375
OG0000301	EHI52_RS00420	MHL_RS00410
OG0000302	EHI52_RS00425	MHL_RS00415
OG0000303	EHI52_RS00575	MHL_RS00560
OG0000304	EHI52_RS01145	MHL_RS01160
OG0000305	EHI52_RS02870	MHL_RS02925
OG0000306	EHI52_RS02795	MHL_RS02850
OG0000307	EHI52_RS02760	MHL_RS02815
OG0000308	EHI52_RS02660	MHL_RS02720
OG0000309	EHI52_RS02595	MHL_RS02655
OG0000310	EHI52_RS02520	MHL_RS02580
OG0000311	EHI52_RS02485	MHL_RS02545
OG0000312	EHI52_RS02470	MHL_RS02530
OG0000313	EHI52_RS01655	MHL_RS01680
OG0000314	EHI52_RS01980	MHL_RS02030
OG0000315	EHI52_RS01950	MHL_RS02060
OG0000316	EHI52_RS01940	MHL_RS02070
OG0000317	EHI52_RS01850	MHL_RS02160
OG0000318	EHI52_RS01935	MHL_RS02075
OG0000319	EHI52_RS02240	MHL_RS02290
OG0000320	EHI52_RS02370	MHL_RS02425
OG0000321	EHI52_RS01395	MHL_RS01415
OG0000322	EHI52_RS01440	MHL_RS01460
OG0000323	EHI52_RS01570	MHL_RS01590
OG0000324	EHI52_RS02280	MHL_RS02335
OG0000325	EHI52_RS00700	MHL_RS00790
OG0000326	EHI52_RS00795	MHL_RS00880
OG0000327	EHI52_RS00800	MHL_RS00885
OG0000328	EHI52_RS00885	MHL_RS00970
OG0000329	EHI52_RS00905	MHL_RS00990
OG0000330	EHI52_RS01175	MHL_RS01185
OG0000331	EHI52_RS02965	MHL_RS03020
OG0000332	EHI52_RS03130	MHL_RS03120
OG0000333	EHI52_RS03140	MHL_RS03130
OG0000334	EHI52_RS03240	MHL_RS03230
OG0000335	EHI52_RS03250	MHL_RS03240
OG0000336	EHI52_RS03400	MHL_RS03405
OG0000337	EHI52_RS03575	MHL_RS03570
OG0000338	EHI52_RS03615	MHL_RS03610
OG0000339	EHI52_RS02340	MHL_RS02400
OG0000340	EHI52_RS01375	MHL_RS01395
OG0000341	EHI52_RS02300	MHL_RS02355
OG0000342	EHI52_RS00730	MHL_RS00820
OG0000343	EHI52_RS03150	MHL_RS03140
OG0000344	EHI52_RS00590	MHL_RS00580
OG0000345	EHI52_RS01090	MHL_RS01105
OG0000346	EHI52_RS03405	MHL_RS03410
OG0000347	EHI52_RS01465	MHL_RS01485
OG0000348	EHI52_RS00805	MHL_RS00890
OG0000349	EHI52_RS03465	MHL_RS03640
OG0000350	EHI52_RS02750	MHL_RS02805
