Orthogroup	MHP_F72C_genes	MHP_MHP650_genes
OG0000000	EHI52_RS01825	DR083_RS02765
OG0000000	EHI52_RS00960	DR083_RS04550, DR083_RS03535, DR083_RS03820, DR083_RS00790, DR083_RS03700
OG0000000	EHI52_RS02325	DR083_RS04515
OG0000000	EHI52_RS03815	DR083_RS04520
OG0000001	EHI52_RS02790	DR083_RS00590
OG0000001	EHI52_RS02740	DR083_RS00540
OG0000002	EHI52_RS02215	DR083_RS04320
OG0000002	EHI52_RS01820	DR083_RS02760
OG0000002	EHI52_RS03740	DR083_RS04915
OG0000002	EHI52_RS01780	DR083_RS04760
OG0000003	EHI52_RS03760	DR083_RS04460
OG0000003	EHI52_RS03670	DR083_RS03840
OG0000004	EHI52_RS03215	DR083_RS03460
OG0000004	EHI52_RS03225	DR083_RS03440
OG0000004	EHI52_RS03010	DR083_RS01645
OG0000005	EHI52_RS00100	DR083_RS03065
OG0000005	EHI52_RS00105	DR083_RS03050
OG0000005	EHI52_RS00110, EHI52_RS00125	DR083_RS04870
OG0000006	EHI52_RS03880	DR083_RS03320
OG0000007	EHI52_RS00980	DR083_RS03475
OG0000007	EHI52_RS00985	DR083_RS03470
OG0000007	EHI52_RS00995	DR083_RS03465
OG0000008	EHI52_RS02320	DR083_RS04510
OG0000008	EHI52_RS03830	DR083_RS04540
OG0000009	EHI52_RS00085	DR083_RS05040
OG0000009	EHI52_RS00680	DR083_RS01240
OG0000010	EHI52_RS02085	DR083_RS02305
OG0000011	EHI52_RS01985	DR083_RS01555
OG0000011	EHI52_RS01990	DR083_RS01550
OG0000012	EHI52_RS02210, EHI52_RS01810, EHI52_RS03060	DR083_RS03720
OG0000013	EHI52_RS02410	DR083_RS05105
OG0000013	EHI52_RS03710	DR083_RS03885
OG0000014	EHI52_RS00615	DR083_RS03770
OG0000015	EHI52_RS01690	DR083_RS02965
OG0000016	EHI52_RS02830	DR083_RS00630
OG0000016	EHI52_RS00170	DR083_RS00040
OG0000017	EHI52_RS00155	DR083_RS00025
OG0000017	EHI52_RS02840	DR083_RS00640
OG0000019	EHI52_RS03860	DR083_RS04180
OG0000020	EHI52_RS03550	DR083_RS04635
OG0000020	EHI52_RS03555	DR083_RS04640
OG0000021	EHI52_RS02195	DR083_RS02215, DR083_RS03855
OG0000022	EHI52_RS01715	DR083_RS02055
OG0000022	EHI52_RS01770	DR083_RS04755
OG0000024	EHI52_RS02735	DR083_RS03365
OG0000024	EHI52_RS01335	DR083_RS01215
OG0000025	EHI52_RS01720	DR083_RS04750
OG0000025	EHI52_RS01765	DR083_RS02105
OG0000026	EHI52_RS01425	DR083_RS01120
OG0000026	EHI52_RS01745	DR083_RS02085
OG0000027	EHI52_RS03355	DR083_RS02995
OG0000028	EHI52_RS02420	DR083_RS00320, DR083_RS00315
OG0000029	EHI52_RS01150	DR083_RS02525
OG0000029	EHI52_RS00620	DR083_RS03325
OG0000030	EHI52_RS03350	DR083_RS04855
OG0000031	EHI52_RS01660	DR083_RS03560
OG0000031	EHI52_RS01660	DR083_RS02520
OG0000032	EHI52_RS01630	DR083_RS03590
OG0000033	EHI52_RS03825	DR083_RS00310
OG0000035	EHI52_RS03220	DR083_RS03445
OG0000036	EHI52_RS00115, EHI52_RS03705, EHI52_RS00130	DR083_RS03040
OG0000037	EHI52_RS01635	DR083_RS04925
OG0000039	EHI52_RS01675	DR083_RS03510, DR083_RS03505
OG0000040	EHI52_RS03295	DR083_RS02780
OG0000041	EHI52_RS03655	DR083_RS01230, DR083_RS01935
OG0000042	EHI52_RS02930	DR083_RS00730
OG0000043	EHI52_RS02020	DR083_RS01520
OG0000044	EHI52_RS03910	DR083_RS04960
OG0000045	EHI52_RS01680	DR083_RS03515
OG0000048	EHI52_RS01840	DR083_RS02860
OG0000049	EHI52_RS03065	DR083_RS01660
OG0000050	EHI52_RS02450	DR083_RS00350
OG0000051	EHI52_RS02650	DR083_RS02195
OG0000052	EHI52_RS00075	DR083_RS02690
OG0000053	EHI52_RS01510	DR083_RS04665
OG0000054	EHI52_RS02475	DR083_RS00375
OG0000055	EHI52_RS00135	DR083_RS00005
OG0000056	EHI52_RS03530	DR083_RS00815
OG0000057	EHI52_RS02915	DR083_RS03975, DR083_RS03980
OG0000060	EHI52_RS00080	DR083_RS02685
OG0000061	EHI52_RS02075	DR083_RS02315
OG0000062	EHI52_RS03585	DR083_RS00865
OG0000063	EHI52_RS03580	DR083_RS04645
OG0000064	EHI52_RS03570	DR083_RS00850
OG0000065	EHI52_RS02260	DR083_RS02715
OG0000066	EHI52_RS01415	DR083_RS01130
OG0000067	EHI52_RS00540	DR083_RS02350
OG0000068	EHI52_RS00660	DR083_RS03160
OG0000069	EHI52_RS02805	DR083_RS00605
OG0000070	EHI52_RS02480	DR083_RS00380
OG0000071	EHI52_RS03285	DR083_RS02790
OG0000072	EHI52_RS03290	DR083_RS04820
OG0000073	EHI52_RS00705	DR083_RS01265
OG0000074	EHI52_RS00900	DR083_RS04700
OG0000075	EHI52_RS00355	DR083_RS00220
OG0000076	EHI52_RS00370	DR083_RS00235
OG0000077	EHI52_RS00460	DR083_RS03235
OG0000078	EHI52_RS01735	DR083_RS02075
OG0000079	EHI52_RS02555	DR083_RS01845
OG0000080	EHI52_RS03675	DR083_RS04190
OG0000081	EHI52_RS00350	DR083_RS00215
OG0000083	EHI52_RS01915	DR083_RS01625
OG0000084	EHI52_RS01890	DR083_RS02910
OG0000085	EHI52_RS01885	DR083_RS02905
OG0000086	EHI52_RS01875	DR083_RS02895
OG0000087	EHI52_RS01860	DR083_RS02880
OG0000088	EHI52_RS01855	DR083_RS02875
OG0000089	EHI52_RS01845	DR083_RS02865
OG0000090	EHI52_RS00070	DR083_RS02695
OG0000091	EHI52_RS00055	DR083_RS00955
OG0000092	EHI52_RS00040	DR083_RS00940
OG0000093	EHI52_RS00035	DR083_RS00935
OG0000094	EHI52_RS00030	DR083_RS00930
OG0000095	EHI52_RS00005	DR083_RS00905
OG0000096	EHI52_RS03620	DR083_RS00900
OG0000097	EHI52_RS03600	DR083_RS00880
OG0000098	EHI52_RS03590	DR083_RS00870
OG0000099	EHI52_RS03540	DR083_RS04630
OG0000100	EHI52_RS03520	DR083_RS00805
OG0000101	EHI52_RS03515	DR083_RS00800
OG0000102	EHI52_RS01760	DR083_RS02100
OG0000103	EHI52_RS02225	DR083_RS02750
OG0000104	EHI52_RS02230	DR083_RS02745
OG0000105	EHI52_RS02245	DR083_RS02730
OG0000106	EHI52_RS02255	DR083_RS02720
OG0000107	EHI52_RS02265	DR083_RS02710
OG0000108	EHI52_RS02270	DR083_RS02705
OG0000109	EHI52_RS02275	DR083_RS02700
OG0000110	EHI52_RS02395	DR083_RS03140
OG0000111	EHI52_RS02390	DR083_RS03135
