Orthogroup	MHP_F72C_genes	MHP_168_genes
OG0000000	EHI52_RS01825	MHP168_RS02175
OG0000000	EHI52_RS02325	MHP168_RS02315
OG0000000	EHI52_RS01775	MHP168_RS01690
OG0000001	EHI52_RS02790	MHP168_RS02805
OG0000001	EHI52_RS02745	MHP168_RS02755
OG0000001	EHI52_RS02740	MHP168_RS02760
OG0000002	EHI52_RS02215	MHP168_RS03985
OG0000002	EHI52_RS01820	MHP168_RS03895
OG0000002	EHI52_RS01780	MHP168_RS01665, MHP168_RS01685
OG0000003	EHI52_RS02140, EHI52_RS00520	MHP168_RS00480
OG0000003	EHI52_RS03670	MHP168_RS03875
OG0000004	EHI52_RS03210	MHP168_RS03180
OG0000004	EHI52_RS03225	MHP168_RS03190
OG0000005	EHI52_RS00100	MHP168_RS00085
OG0000005	EHI52_RS00105	MHP168_RS00095
OG0000005	EHI52_RS00110, EHI52_RS00125	MHP168_RS00100, MHP168_RS03905
OG0000006	EHI52_RS02500	MHP168_RS02505
OG0000006	EHI52_RS03880	MHP168_RS02355
OG0000008	EHI52_RS02320	MHP168_RS02310
OG0000008	EHI52_RS03775	MHP168_RS01780
OG0000008	EHI52_RS03830	MHP168_RS04005
OG0000009	EHI52_RS00680	MHP168_RS00975
OG0000010	EHI52_RS02085	MHP168_RS01930
OG0000011	EHI52_RS01985	MHP168_RS04085
OG0000011	EHI52_RS01990	MHP168_RS02015
OG0000013	EHI52_RS02410	MHP168_RS02405
OG0000013	EHI52_RS03710	MHP168_RS03910
OG0000014	EHI52_RS01155	MHP168_RS01070
OG0000016	EHI52_RS02830	MHP168_RS02850
OG0000016	EHI52_RS00170	MHP168_RS00145
OG0000017	EHI52_RS00155	MHP168_RS00130
OG0000017	EHI52_RS02840	MHP168_RS02860
OG0000020	EHI52_RS03550	MHP168_RS03580
OG0000020	EHI52_RS03555	MHP168_RS03585
OG0000021	EHI52_RS02195	MHP168_RS00485
OG0000022	EHI52_RS01715	MHP168_RS01760
OG0000022	EHI52_RS01770	MHP168_RS01710
OG0000024	EHI52_RS02735	MHP168_RS02750
OG0000024	EHI52_RS01335	MHP168_RS03940, MHP168_RS03945
OG0000025	EHI52_RS01720	MHP168_RS01755
OG0000025	EHI52_RS01765	MHP168_RS01715
OG0000026	EHI52_RS01425	MHP168_RS01450
OG0000026	EHI52_RS01745	MHP168_RS01735
OG0000027	EHI52_RS03355	MHP168_RS03845
OG0000029	EHI52_RS01150	MHP168_RS00575
OG0000029	EHI52_RS00620	MHP168_RS01050
OG0000030	EHI52_RS03350	MHP168_RS03310
OG0000031	EHI52_RS01660	MHP168_RS03565, MHP168_RS01210, MHP168_RS01815
