Orthogroup	MHP_F72C_genes	MHP_MHP691_genes
OG0000000	EHI52_RS00960	DR087_RS04320, DR087_RS03480, DR087_RS03475
OG0000000	EHI52_RS01775	DR087_RS03570
OG0000001	EHI52_RS02790	DR087_RS04015
OG0000001	EHI52_RS02740	DR087_RS03255
OG0000002	EHI52_RS02215	DR087_RS03810
OG0000002	EHI52_RS03740	DR087_RS04740
OG0000002	EHI52_RS01780	DR087_RS04755
OG0000003	EHI52_RS02140, EHI52_RS00520	DR087_RS01665
OG0000003	EHI52_RS03720	DR087_RS04220
OG0000003	EHI52_RS00975, EHI52_RS03760	DR087_RS04750
OG0000004	EHI52_RS03210	DR087_RS00850
OG0000004	EHI52_RS03225	DR087_RS00840
OG0000005	EHI52_RS00100	DR087_RS00530
OG0000005	EHI52_RS00105	DR087_RS00540
OG0000005	EHI52_RS00110, EHI52_RS00125	DR087_RS04465
OG0000007	EHI52_RS00935	DR087_RS04205, DR087_RS04210
OG0000007	EHI52_RS00980	DR087_RS03535
OG0000007	EHI52_RS00945	DR087_RS03750
OG0000007	EHI52_RS00985	DR087_RS03530
OG0000007	EHI52_RS00995	DR087_RS04335, DR087_RS03525
OG0000008	EHI52_RS03830	DR087_RS04355
OG0000009	EHI52_RS00085	DR087_RS00515
OG0000010	EHI52_RS02085	DR087_RS01605
OG0000011	EHI52_RS01985	DR087_RS04590
OG0000011	EHI52_RS01990	DR087_RS01515
OG0000012	EHI52_RS02210, EHI52_RS01810, EHI52_RS03060	DR087_RS03620
OG0000012	EHI52_RS03635	DR087_RS03740
OG0000013	EHI52_RS02410	DR087_RS01680
OG0000013	EHI52_RS03710	DR087_RS04185
OG0000014	EHI52_RS00615	DR087_RS03505
OG0000015	EHI52_RS01690	DR087_RS03240
OG0000016	EHI52_RS02830	DR087_RS01400
OG0000016	EHI52_RS00170	DR087_RS02395
OG0000017	EHI52_RS00155	DR087_RS02410
OG0000017	EHI52_RS02840	DR087_RS01410
OG0000019	EHI52_RS03865	DR087_RS03610
OG0000020	EHI52_RS03550	DR087_RS04440
OG0000020	EHI52_RS03555	DR087_RS04445
OG0000022	EHI52_RS01715	DR087_RS02045
OG0000022	EHI52_RS01770	DR087_RS04630
OG0000024	EHI52_RS02735	DR087_RS03250
OG0000025	EHI52_RS01720	DR087_RS04625
OG0000025	EHI52_RS01765	DR087_RS02095
OG0000026	EHI52_RS01425	DR087_RS01165
OG0000026	EHI52_RS01745	DR087_RS02075
OG0000027	EHI52_RS03355	DR087_RS04635
OG0000028	EHI52_RS02420	DR087_RS04675
OG0000029	EHI52_RS01150	DR087_RS02775
OG0000029	EHI52_RS00620	DR087_RS03175
OG0000030	EHI52_RS03350	DR087_RS04640
OG0000031	EHI52_RS01660	DR087_RS03210
OG0000032	EHI52_RS01630	DR087_RS03235
OG0000033	EHI52_RS03825	DR087_RS04070
OG0000033	EHI52_RS03820	DR087_RS01675
OG0000035	EHI52_RS03220	DR087_RS00855
OG0000035	EHI52_RS03205	DR087_RS00865
OG0000036	EHI52_RS00115, EHI52_RS03705, EHI52_RS00130	DR087_RS00550
OG0000037	EHI52_RS01635	DR087_RS04725
OG0000039	EHI52_RS01675	DR087_RS03190, DR087_RS03195
OG0000040	EHI52_RS03295	DR087_RS02165
OG0000041	EHI52_RS03655	DR087_RS03625
OG0000042	EHI52_RS02930	DR087_RS03360
OG0000043	EHI52_RS02020	DR087_RS01545
OG0000044	EHI52_RS03910	DR087_RS04800
OG0000045	EHI52_RS01680	DR087_RS03185
OG0000048	EHI52_RS01840	DR087_RS00140
OG0000049	EHI52_RS03065	DR087_RS01000
OG0000050	EHI52_RS02450	DR087_RS02450
OG0000051	EHI52_RS02650	DR087_RS01275
OG0000052	EHI52_RS00075	DR087_RS00505
OG0000053	EHI52_RS01510	DR087_RS04540
OG0000054	EHI52_RS02475	DR087_RS02475
OG0000055	EHI52_RS00135	DR087_RS00555
OG0000056	EHI52_RS03530	DR087_RS00765
OG0000057	EHI52_RS02915	DR087_RS01485
OG0000060	EHI52_RS00080	DR087_RS00510
OG0000061	EHI52_RS02075	DR087_RS01595
OG0000062	EHI52_RS03585	DR087_RS00395
OG0000063	EHI52_RS03580	DR087_RS04450
OG0000064	EHI52_RS03570	DR087_RS00380
OG0000065	EHI52_RS02260	DR087_RS00215
OG0000066	EHI52_RS01415	DR087_RS01175
OG0000067	EHI52_RS00540	DR087_RS03450
OG0000068	EHI52_RS00660	DR087_RS03140
OG0000069	EHI52_RS02805	DR087_RS01375
OG0000070	EHI52_RS02480	DR087_RS02480
OG0000071	EHI52_RS03285	DR087_RS00780
OG0000072	EHI52_RS03290	DR087_RS02175
OG0000073	EHI52_RS00705	DR087_RS02200
OG0000074	EHI52_RS00900	DR087_RS04685
OG0000075	EHI52_RS00355	DR087_RS01860
OG0000076	EHI52_RS00370	DR087_RS01875
OG0000077	EHI52_RS00460	DR087_RS03060
OG0000078	EHI52_RS01735	DR087_RS02065
OG0000079	EHI52_RS02555	DR087_RS02980
OG0000080	EHI52_RS03675	DR087_RS04005
OG0000081	EHI52_RS00350	DR087_RS01855
OG0000082	EHI52_RS02405	DR087_RS01685
OG0000083	EHI52_RS01915	DR087_RS00065
OG0000084	EHI52_RS01890	DR087_RS00090
OG0000085	EHI52_RS01885	DR087_RS00095
OG0000086	EHI52_RS01875	DR087_RS00105
OG0000087	EHI52_RS01860	DR087_RS00120
OG0000088	EHI52_RS01855	DR087_RS00125
OG0000089	EHI52_RS01845	DR087_RS00135
OG0000090	EHI52_RS00070	DR087_RS00500
OG0000091	EHI52_RS00055	DR087_RS00485
OG0000092	EHI52_RS00040	DR087_RS00470
OG0000093	EHI52_RS00035	DR087_RS00465
