CIB43_RS00005 WP_094521749.1
CIB43_RS00010 WP_094521488.1
CIB43_RS00015 WP_044277979.1
CIB43_RS00020 WP_094521750.1
CIB43_RS00025 WP_011290233.1
CIB43_RS00030 WP_011290233.1
CIB43_RS00035 WP_094521489.1
CIB43_RS00040 WP_094521490.1
CIB43_RS00045 WP_094521491.1
CIB43_RS00055 WP_014579683.1
CIB43_RS00060 WP_014579683.1
CIB43_RS00065 WP_011290238.1
CIB43_RS00070 WP_011290239.1
CIB43_RS00075 WP_094521751.1
CIB43_RS00080 WP_094521751.1
CIB43_RS00085 WP_094521493.1
CIB43_RS00090 WP_014579677.1
CIB43_RS00095 WP_094521494.1
CIB43_RS00100 WP_014579675.1
CIB43_RS00110 WP_094521753.1
CIB43_RS00115 WP_094521752.1
CIB43_RS00120 WP_094521495.1
CIB43_RS00130 WP_094521497.1
CIB43_RS00135 WP_094521498.1
CIB43_RS00140 WP_094521498.1
CIB43_RS00145 WP_094521498.1
CIB43_RS00150 WP_094521498.1
CIB43_RS00155 WP_011206422.1
CIB43_RS00160 WP_011206424.1
CIB43_RS00165 WP_094521499.1
CIB43_RS00170 WP_094521500.1
CIB43_RS00175 WP_094521501.1
CIB43_RS00180 WP_094521502.1
CIB43_RS00185 WP_094521754.1
CIB43_RS00190 WP_094521754.1
CIB43_RS00195 WP_011290372.1
CIB43_RS00200 WP_011290372.1
CIB43_RS00205 WP_011206433.1
CIB43_RS00210 WP_011206433.1
CIB43_RS00215 WP_011206435.1
CIB43_RS00220 WP_094521503.1
CIB43_RS00225 WP_094521504.1
CIB43_RS00230 WP_041361696.1
CIB43_RS00235 WP_094521505.1
CIB43_RS00240 WP_094521506.1
CIB43_RS00245 WP_020835878.1
CIB43_RS00250 WP_094521507.1
CIB43_RS00255 WP_014579979.1
CIB43_RS00260 WP_011206445.1
CIB43_RS00265 WP_094521755.1
CIB43_RS00270 WP_094521508.1
CIB43_RS00275 WP_044284710.1
CIB43_RS00280 WP_094521509.1
CIB43_RS00285 WP_094521510.1
CIB43_RS00290 WP_094521510.1
CIB43_RS00295 WP_157696706.1
CIB43_RS00300 WP_157696706.1
CIB43_RS00310 WP_020835888.1
CIB43_RS00315 WP_094521511.1
CIB43_RS00320 WP_011206453.1
CIB43_RS00325 WP_041361699.1
CIB43_RS00330 WP_041361699.1
CIB43_RS00335 WP_041361699.1
CIB43_RS00340 WP_041361699.1
CIB43_RS00345 WP_011206458.1
CIB43_RS00355 WP_011206459.1
CIB43_RS00360 WP_094521512.1
CIB43_RS00365 WP_094521513.1
CIB43_RS00370 WP_094521513.1
CIB43_RS00375 WP_094521513.1
CIB43_RS00380 WP_094521514.1
CIB43_RS00385 WP_011290399.1
CIB43_RS00390 WP_011290399.1
CIB43_RS00395 WP_011206468.1
CIB43_RS00400 WP_011206468.1
CIB43_RS00405 WP_011206468.1
CIB43_RS00410 WP_011206468.1
CIB43_RS00415 WP_011206468.1
CIB43_RS00420 WP_011206468.1
CIB43_RS00425 WP_011206468.1
CIB43_RS03955 WP_011206468.1
CIB43_RS00430 WP_011206468.1
CIB43_RS00435 WP_020835904.1
CIB43_RS00440 WP_094521515.1
CIB43_RS00445 WP_094521516.1
CIB43_RS00450 WP_094521517.1
CIB43_RS00455 WP_094521518.1
CIB43_RS00460 WP_094521519.1
CIB43_RS00465 WP_014580009.1
CIB43_RS00470 WP_014580009.1
CIB43_RS00475 WP_014580009.1
CIB43_RS00485 WP_011206488.1
CIB43_RS00490 WP_041361706.1
CIB43_RS00495 WP_014580012.1
CIB43_RS00500 WP_094521520.1
CIB43_RS00505 WP_011290418.1
CIB43_RS00510 WP_011290418.1
CIB43_RS00515 WP_011206493.1
CIB43_RS00520 WP_011206494.1
CIB43_RS00525 WP_011206494.1
CIB43_RS00530 WP_011290421.1
CIB43_RS00535 WP_011290422.1
CIB43_RS00540 WP_094521521.1
CIB43_RS00545 WP_094521521.1
CIB43_RS00550 WP_094521522.1
CIB43_RS00560 WP_011206502.1
CIB43_RS00565 WP_011284373.1
CIB43_RS00570 WP_094521523.1
CIB43_RS00575 WP_094521524.1
CIB43_RS00580 WP_094521525.1
CIB43_RS00585 WP_011284377.1
CIB43_RS00590 WP_094521526.1
CIB43_RS00595 WP_094521526.1
CIB43_RS00600 WP_011206510.1
CIB43_RS00605 WP_094521527.1
CIB43_RS00610 WP_094521527.1
CIB43_RS03960 WP_157696707.1
CIB43_RS03965 WP_157696708.1
CIB43_RS00620 WP_157696708.1
CIB43_RS00625 WP_157696708.1
CIB43_RS00630 WP_157696708.1
CIB43_RS00635 WP_094521756.1
CIB43_RS00650 WP_011290440.1
CIB43_RS00655 WP_094521528.1
CIB43_RS00660 WP_094521529.1
CIB43_RS00665 WP_094521530.1
CIB43_RS00670 WP_094521530.1
CIB43_RS00675 WP_094521530.1
CIB43_RS00680 WP_094521757.1
CIB43_RS00685 WP_094521757.1
CIB43_RS00690 WP_094521757.1
CIB43_RS00695 WP_094521531.1
CIB43_RS00700 WP_011206529.1
CIB43_RS00705 WP_094521532.1
CIB43_RS00710 WP_094521532.1
CIB43_RS00715 WP_094521532.1
CIB43_RS00720 WP_044272260.1
CIB43_RS00725 WP_094521533.1
CIB43_RS00730 WP_014579519.1
CIB43_RS00735 WP_011205846.1
CIB43_RS00740 WP_011205847.1
CIB43_RS00745 WP_011205847.1
CIB43_RS00750 WP_094521534.1
CIB43_RS00755 WP_020835487.1
CIB43_RS00760 WP_020835487.1
CIB43_RS00765 WP_011283834.1
CIB43_RS00770 WP_094521535.1
CIB43_RS00775 WP_094521536.1
CIB43_RS00780 WP_011283837.1
CIB43_RS00785 WP_094521537.1
CIB43_RS00790 WP_094521537.1
CIB43_RS00795 WP_094521538.1
CIB43_RS00800 WP_094521539.1
CIB43_RS00805 WP_094521539.1
CIB43_RS00810 WP_094521539.1
CIB43_RS00815 WP_044284813.1
CIB43_RS00820 WP_094521540.1
CIB43_RS00825 WP_094521540.1
CIB43_RS00830 WP_094521540.1
CIB43_RS00835 WP_011205867.1
CIB43_RS00840 WP_094521541.1
CIB43_RS00845 WP_094521541.1
CIB43_RS00850 WP_094521542.1
CIB43_RS00855 WP_020835500.1
CIB43_RS00860 WP_094521543.1
CIB43_RS00865 WP_052259122.1
CIB43_RS00870 WP_052259122.1
CIB43_RS00875 WP_052259122.1
CIB43_RS00880 WP_094521544.1
CIB43_RS00885 WP_011289957.1
CIB43_RS00890 WP_081420856.1
CIB43_RS00895 WP_081420856.1
CIB43_RS00900 WP_081420856.1
CIB43_RS00905 WP_094521545.1
CIB43_RS00910 WP_094521545.1
CIB43_RS00915 WP_094521545.1
CIB43_RS00920 WP_094521546.1
CIB43_RS00925 WP_094521546.1
CIB43_RS00930 WP_011205883.1
CIB43_RS00935 WP_094521547.1
CIB43_RS00940 WP_094521547.1
CIB43_RS00945 WP_050195453.1
CIB43_RS00950 WP_050195453.1
CIB43_RS00955 WP_014579550.1
