DR086_RS03915 WP_160590553.1
DR086_RS05325 WP_220200823.1
DR086_RS03925 WP_220200823.1
DR086_RS04735 WP_220200823.1
DR086_RS01675 WP_220200823.1
DR086_RS01680 WP_011290071.1
DR086_RS01685 WP_160590251.1
DR086_RS01690 WP_011206016.1
DR086_RS01695 WP_011290073.1
DR086_RS01700 WP_011206014.1
DR086_RS01705 WP_160590253.1
DR086_RS01710 WP_146379532.1
DR086_RS01715 WP_160590255.1
DR086_RS01720 WP_160584678.1
DR086_RS01725 WP_011290078.1
DR086_RS01730 WP_011283989.1
DR086_RS01735 WP_160590257.1
DR086_RS01745 WP_011283991.1
DR086_RS01750 WP_011206005.1
DR086_RS01755 WP_020835615.1
DR086_RS01760 WP_160590259.1
DR086_RS01765 WP_160590261.1
DR086_RS01770 WP_160590263.1
DR086_RS01775 WP_011205931.1
DR086_RS01780 WP_011205932.1
DR086_RS01785 WP_011284056.1
DR086_RS01790 WP_011284055.1
DR086_RS01795 WP_160590266.1
DR086_RS01800 WP_011290131.1
DR086_RS04895 WP_160590268.1
DR086_RS01810 WP_146379568.1
DR086_RS04900 WP_160590270.1
DR086_RS01820 WP_160590272.1
DR086_RS01825 WP_014579735.1
DR086_RS01830 WP_146379566.1
DR086_RS01860 WP_160590274.1
DR086_RS01865 WP_160590276.1
DR086_RS01870 WP_014579732.1
DR086_RS01875 WP_160590278.1
DR086_RS04905 WP_160590280.1
DR086_RS04910 WP_308704679.1
DR086_RS01890 WP_160590282.1
DR086_RS01895 WP_160590284.1
DR086_RS01900 WP_011290120.1
DR086_RS01905 WP_308704705.1
DR086_RS01910 WP_160590286.1
DR086_RS01915 WP_011205952.1
DR086_RS01920 WP_011205953.1
DR086_RS01925 WP_011205954.1
DR086_RS01930 WP_011205955.1
DR086_RS01935 WP_160590288.1
DR086_RS01940 WP_146379558.1
DR086_RS01945 WP_020835643.1
DR086_RS01950 WP_011284032.1
DR086_RS01955 WP_020835642.1
DR086_RS01960 WP_160590290.1
DR086_RS01965 WP_011205962.1
DR086_RS01970 WP_044284614.1
DR086_RS01975 WP_160590292.1
DR086_RS01980 WP_160588243.1
DR086_RS01985 WP_160588241.1
DR086_RS01990 WP_135618686.1
DR086_RS01995 WP_179696056.1
DR086_RS02000 WP_011205969.1
DR086_RS02005 WP_160590295.1
DR086_RS04915 WP_160590297.1
DR086_RS02015 WP_160590299.1
DR086_RS02020 WP_011205973.1
DR086_RS02025 WP_160585249.1
DR086_RS04920 WP_160590301.1
DR086_RS02035 WP_011206256.1
DR086_RS02040 WP_160590303.1
DR086_RS02045 WP_160590305.1
DR086_RS02050 WP_258555694.1
DR086_RS02055 WP_135619204.1
DR086_RS02060 WP_094521693.1
DR086_RS02065 WP_160590309.1
DR086_RS02070 WP_192894278.1
DR086_RS02075 WP_011284169.1
DR086_RS02080 WP_011290219.1
DR086_RS02085 WP_146379631.1
DR086_RS02090 WP_014579831.1
DR086_RS02095 WP_160588282.1
DR086_RS02100 WP_308704706.1
DR086_RS02105 WP_146379628.1
DR086_RS02110 WP_011206239.1
DR086_RS02115 WP_160590311.1
DR086_RS02120 WP_160590313.1
DR086_RS04305 WP_160585200.1
DR086_RS02130 WP_160585200.1
DR086_RS04310 WP_160585200.1
DR086_RS02140 WP_160590314.1
DR086_RS04315 WP_258555632.1
DR086_RS04320 WP_258555696.1
DR086_RS02160 WP_011206293.1
DR086_RS02165 WP_011206292.1
DR086_RS02170 WP_011206291.1
DR086_RS02175 WP_160590316.1
DR086_RS05100 WP_160590317.1
DR086_RS02185 WP_160590318.1
DR086_RS02190 WP_011206287.1
DR086_RS02195 WP_160590319.1
DR086_RS02200 WP_135619210.1
DR086_RS02205 WP_160590321.1
DR086_RS02215 WP_160585153.1
DR086_RS02220 WP_146379652.1
DR086_RS02225 WP_160590323.1
DR086_RS02230 WP_041361727.1
DR086_RS02235 WP_160590327.1
DR086_RS02240 WP_160590329.1
DR086_RS02245 WP_014579589.1
DR086_RS02250 WP_233688635.1
DR086_RS02255 WP_011206121.1
DR086_RS02265 WP_011206120.1
DR086_RS04335 WP_258555615.1
DR086_RS02270 WP_135618546.1
DR086_RS02275 WP_011206118.1
DR086_RS02280 WP_160590331.1
DR086_RS04925 WP_160590333.1
DR086_RS02290 WP_160590335.1
DR086_RS02295 WP_160585737.1
DR086_RS02300 WP_011206113.1
DR086_RS02310 WP_011206113.1
DR086_RS02315 WP_160590338.1
DR086_RS02320 WP_160590340.1
DR086_RS04930 WP_160590342.1
DR086_RS02330 WP_011206457.1
DR086_RS02335 WP_011206458.1
DR086_RS02345 WP_011206459.1
DR086_RS02350 WP_160585219.1
DR086_RS04935 WP_160590344.1
DR086_RS02360 WP_160590346.1
DR086_RS02365 WP_258555699.1
DR086_RS04940 WP_160590348.1
DR086_RS02375 WP_020835897.1
DR086_RS02380 WP_160590350.1
DR086_RS02385 WP_160590352.1
DR086_RS02390 WP_011206468.1
DR086_RS02395 WP_011206469.1
DR086_RS02400 WP_011206502.1
DR086_RS02405 WP_146379758.1
DR086_RS02410 WP_160590354.1
DR086_RS04945 WP_160590356.1
DR086_RS02420 WP_160588156.1
DR086_RS02425 WP_041361711.1
DR086_RS02430 WP_160590358.1
DR086_RS02435 WP_160590360.1
DR086_RS02440 WP_011206510.1
DR086_RS02445 WP_011290432.1
DR086_RS02450 WP_160590362.1
DR086_RS02455 WP_160590364.1
DR086_RS04950 WP_160590366.1
DR086_RS02465 WP_160590368.1
DR086_RS02470 WP_258555701.1
DR086_RS02475 WP_160590370.1
DR086_RS02480 WP_220200784.1
DR086_RS04375 WP_258555704.1
DR086_RS02495 WP_160590375.1
DR086_RS02500 WP_011283999.1
DR086_RS02505 WP_160590377.1
DR086_RS02510 WP_158209054.1
DR086_RS02515 WP_011284001.1
DR086_RS02520 WP_146379542.1
DR086_RS02525 WP_160590379.1
DR086_RS02530 WP_160590381.1
DR086_RS02535 WP_160590383.1
DR086_RS04955 WP_160590385.1
DR086_RS02545 WP_011205986.1
DR086_RS04960 WP_308507054.1
DR086_RS04965 WP_308704707.1
DR086_RS02560 WP_011205983.1
DR086_RS02565 WP_160590387.1
DR086_RS02570 WP_160590387.1
DR086_RS02575 WP_011290053.1
DR086_RS02580 WP_011206050.1
DR086_RS02585 WP_011206049.1
DR086_RS02590 WP_011206048.1
DR086_RS02595 WP_011283963.1
DR086_RS02600 WP_011206047.1
DR086_RS02605 WP_011290055.1
DR086_RS02610 WP_160590389.1
DR086_RS02615 WP_011206044.1
DR086_RS02620 WP_160585191.1
DR086_RS02625 WP_011290058.1
DR086_RS02630 WP_011206041.1
DR086_RS02635 WP_160590391.1
DR086_RS02640 WP_011206039.1
DR086_RS02645 WP_011206038.1
DR086_RS02650 WP_041361589.1
DR086_RS02655 WP_011206036.1
DR086_RS02660 WP_011206035.1
DR086_RS02665 WP_160590393.1
DR086_RS02670 WP_160590395.1
DR086_RS02675 WP_011206032.1
DR086_RS02680 WP_011206031.1
DR086_RS05105 WP_094521599.1
DR086_RS02690 WP_011206028.1
DR086_RS02695 WP_160585185.1
DR086_RS02700 WP_094521600.1
DR086_RS02705 WP_011206025.1
DR086_RS02710 WP_160590397.1
DR086_RS02715 WP_014579601.1
DR086_RS02720 WP_160590399.1
DR086_RS02725 WP_011283978.1
DR086_RS02730 WP_160590401.1
DR086_RS00005 WP_258555647.1
DR086_RS05075 WP_258555647.1
DR086_RS00010 WP_308704696.1
DR086_RS00015 WP_243215933.1
DR086_RS00020 WP_160585552.1
DR086_RS00025 WP_160589978.1
DR086_RS00030 WP_146379459.1
DR086_RS00035 WP_160589980.1
DR086_RS00040 WP_011289957.1
DR086_RS04005 WP_308704697.1
DR086_RS00055 WP_044272282.1
DR086_RS00060 WP_011205878.1
DR086_RS04740 WP_225973007.1
DR086_RS00070 WP_011205880.1
DR086_RS00075 WP_146379462.1
DR086_RS00080 WP_146379463.1
DR086_RS00085 WP_011205883.1
DR086_RS00090 WP_160589983.1
DR086_RS00095 WP_044284571.1
DR086_RS00100 WP_160589986.1
DR086_RS00110 WP_014579550.1
DR086_RS00115 WP_011205889.1
DR086_RS00120 WP_094521758.1
DR086_RS00125 WP_135618497.1
DR086_RS00130 WP_014579553.1
DR086_RS00135 WP_146379468.1
DR086_RS00140 WP_011289973.1
DR086_RS00145 WP_225973008.1
DR086_RS00150 WP_011289974.1
DR086_RS00155 WP_020835518.1
DR086_RS00160 WP_011205897.1
DR086_RS00165 WP_011289977.1
DR086_RS00170 WP_135618505.1
DR086_RS00175 WP_160589992.1
DR086_RS00180 WP_020835520.1
DR086_RS00185 WP_160584763.1
DR086_RS00190 WP_011289982.1
DR086_RS00195 WP_160589995.1
DR086_RS04745 WP_160589998.1
DR086_RS00205 WP_160590000.1
DR086_RS00210 WP_135618517.1
DR086_RS00215 WP_135618519.1
DR086_RS00220 WP_011289986.1
DR086_RS00225 WP_160584756.1
DR086_RS00230 WP_160590002.1
DR086_RS00235 WP_011205913.1
DR086_RS00240 WP_041361533.1
DR086_RS00245 WP_011283887.1
DR086_RS00250 WP_020835528.1
DR086_RS00255 WP_044284579.1
DR086_RS00260 WP_160584747.1
DR086_RS00265 WP_011205922.1
DR086_RS00270 WP_011205923.1
DR086_RS00275 WP_160590003.1
DR086_RS00280 WP_011205925.1
DR086_RS00285 WP_146379477.1
DR086_RS00290 WP_146379478.1
DR086_RS00295 WP_160590005.1
DR086_RS00300 WP_160590007.1
DR086_RS00305 WP_011206134.1
DR086_RS00315 WP_160590009.1
