DR088_RS04475 WP_160588173.1
DR088_RS02155 WP_160588175.1
DR088_RS02160 WP_160588177.1
DR088_RS04480 WP_160588179.1
DR088_RS02170 WP_011290421.1
DR088_RS02175 WP_146379753.1
DR088_RS02180 WP_011206494.1
DR088_RS02185 WP_258555327.1
DR088_RS02190 WP_160585582.1
DR088_RS02195 WP_160588183.1
DR088_RS02200 WP_094521520.1
DR088_RS02205 WP_014580012.1
DR088_RS02210 WP_232039558.1
DR088_RS04485 WP_011206488.1
DR088_RS02225 WP_011206487.1
DR088_RS04490 WP_160588184.1
DR088_RS02235 WP_011206485.1
DR088_RS02240 WP_011206484.1
DR088_RS04495 WP_160584909.1
DR088_RS02250 WP_160588187.1
DR088_RS02255 WP_020835906.1
DR088_RS04500 WP_160588189.1
DR088_RS04505 WP_020835904.1
DR088_RS02270 WP_308507099.1
DR088_RS02275 WP_308507099.1
DR088_RS02280 WP_308507099.1
DR088_RS04510 WP_160588193.1
DR088_RS04100 WP_334199370.1
DR088_RS04105 WP_160588195.1
DR088_RS04515 WP_160588197.1
DR088_RS02305 WP_160588199.1
DR088_RS02310 WP_160588213.1
DR088_RS02315 WP_011206161.1
DR088_RS02320 WP_135618777.1
DR088_RS02325 WP_160588201.1
DR088_RS02330 WP_011290150.1
DR088_RS02335 WP_160588203.1
DR088_RS04645 WP_225973034.1
DR088_RS02345 WP_044272424.1
DR088_RS04520 WP_160588205.1
DR088_RS02355 WP_160588207.1
DR088_RS02360 WP_308506992.1
DR088_RS02365 WP_160585066.1
DR088_RS02370 WP_243216079.1
DR088_RS02375 WP_160588215.1
DR088_RS02380 WP_258555342.1
DR088_RS04120 WP_258555343.1
DR088_RS04125 WP_258555344.1
DR088_RS02390 WP_160585727.1
DR088_RS02395 WP_160585726.1
DR088_RS02400 WP_258555345.1
DR088_RS02405 WP_160585724.1
DR088_RS02410 WP_237697204.1
DR088_RS02415 WP_011206271.1
DR088_RS02420 WP_160588217.1
DR088_RS02425 WP_258555346.1
DR088_RS04525 WP_160585296.1
DR088_RS02435 WP_160585722.1
DR088_RS02440 WP_258555347.1
DR088_RS02450 WP_160585719.1
DR088_RS02455 WP_160585718.1
DR088_RS02460 WP_308507062.1
DR088_RS02465 WP_146379560.1
DR088_RS02470 WP_160588219.1
DR088_RS02475 WP_011290122.1
DR088_RS03675 WP_220191096.1
DR088_RS02480 WP_233417364.1
DR088_RS04530 WP_160588221.1
DR088_RS02490 WP_160585095.1
DR088_RS02495 WP_020835651.1
DR088_RS02500 WP_160588223.1
DR088_RS02505 WP_011284046.1
DR088_RS04535 WP_160588225.1
DR088_RS02540 WP_014579735.1
DR088_RS02545 WP_160588227.1
DR088_RS04540 WP_160588229.1
DR088_RS02555 WP_011290129.1
DR088_RS04545 WP_020835656.1
DR088_RS02565 WP_011290131.1
DR088_RS02570 WP_020835657.1
DR088_RS02575 WP_011284055.1
DR088_RS02580 WP_160588231.1
DR088_RS02585 WP_011205932.1
DR088_RS02590 WP_011205931.1
DR088_RS02595 WP_160588233.1
DR088_RS04550 WP_160588235.1
DR088_RS02605 WP_160588237.1
